,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
572,NIFTY,17350,C,2022-04-21,2022-04-21 14:45:00,BUY,2022-04-21 14:50:00,48.6,37.6,37.6,2022-04-21 15:05:00,37.6,-11.0,1.293,-12.293,-27938.63636363636,Initial SL Hit,2272.7272727272725,-1.1175454545454544,2022,4,5795220.429310858,231.8088171724346,247.8507151701753,-16.041897997740705
223,BANKNIFTY,36600,C,2022-04-21,2022-04-21 14:45:00,BUY,2022-04-21 14:50:00,160.95,125.05,193.45,2022-04-21 15:20:00,211.9,50.95000000000002,5.5927500000000006,45.357250000000015,31585.82869080781,EOD Exit,696.3788300835656,1.2634331476323126,2022,4,5826806.2580016665,233.07225032006693,247.8507151701753,-14.778464850108378
573,NIFTY,17250,C,2022-04-28,2022-04-28 13:30:00,BUY,2022-04-28 13:35:00,23.75,14.95,25.975,2022-04-28 13:50:00,24.9,1.1499999999999986,0.7297499999999999,0.4202499999999987,1193.8920454545416,TSL Hit,2840.9090909090905,0.0477556818181816,2022,4,5828000.150047121,233.12000600188512,247.8507151701753,-14.73070916829019
574,NIFTY,17250,C,2022-04-28,2022-04-28 13:55:00,BUY,2022-04-28 14:00:00,42.85,22.85,44.8,2022-04-28 14:15:00,39.05,-3.800000000000004,1.2285,-5.028500000000005,-6285.6250000000055,TSL Hit,1250.0,-0.2514250000000002,2022,4,5821714.525047121,232.8685810018851,247.8507151701753,-14.982134168290202
224,BANKNIFTY,36400,C,2022-04-28,2022-04-28 14:10:00,BUY,2022-04-28 14:15:00,59.2,45.65,45.65,2022-04-28 14:15:00,45.65,-13.550000000000004,1.57275,-15.122750000000003,-27901.752767527672,Initial SL Hit,1845.0184501845013,-1.1160701107011068,2022,4,5793812.772279593,231.752510891184,247.8507151701753,-16.098204278991318
225,BANKNIFTY,36400,C,2022-04-28,2022-04-28 14:20:00,BUY,2022-04-28 14:25:00,65.55,34.7,34.7,2022-04-28 15:00:00,34.7,-30.849999999999994,1.50375,-32.35374999999999,-26218.598055105347,Initial SL Hit,810.3727714748786,-1.048743922204214,2022,4,5767594.1742244875,230.70376696897978,247.8507151701753,-17.146948201195528
575,NIFTY,17250,C,2022-04-28,2022-04-28 14:20:00,BUY,2022-04-28 14:25:00,50.4,31.25,31.25,2022-04-28 15:00:00,31.25,-19.15,1.22475,-20.37475,-26598.890339425587,Initial SL Hit,1305.4830287206266,-1.0639556135770234,2022,4,5740995.283885062,229.63981135540274,247.8507151701753,-18.210903814772564
576,NIFTY,16850,P,2022-05-05,2022-05-05 13:50:00,BUY,2022-05-05 13:55:00,88.45,58.4,149.05,2022-05-05 14:25:00,132.0,43.55,3.30675,40.24325,33480.24126455906,TSL Hit,831.9467554076538,1.3392096505823623,2022,5,5774475.525149621,230.97902100598512,247.8507151701753,-16.87169416419019
226,BANKNIFTY,35400,P,2022-05-05,2022-05-05 14:00:00,BUY,2022-05-05 14:05:00,161.4,24.7,24.7,2022-05-05 15:20:00,170.0,8.599999999999994,4.970999999999999,3.628999999999995,663.6795903438176,EOD Exit,182.882223847842,0.0265471836137527,2022,5,5775139.204739965,231.00556818959888,247.8507151701753,-16.84514698057643
577,NIFTY,16850,P,2022-05-05,2022-05-05 14:40:00,BUY,2022-05-05 14:45:00,151.4,118.5,118.5,2022-05-05 14:45:00,118.5,-32.900000000000006,4.0485,-36.9485,-28076.36778115501,Initial SL Hit,759.8784194528874,-1.1230547112462006,2022,5,5747062.83695881,229.88251347835268,247.8507151701753,-17.968201691822628
