,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Initial Target,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
362,bnf,47100,P,2024-03-13,2024-03-13 14:20:00,BUY,2024-03-13 14:25:00,266.75,226.6,306.9,226.6,2024-03-13 14:25:00,226.6,-40.150000000000006,7.40025,-47.550250000000005,-11843.150684931506,Initial SL hit,249.06600249066,-1.1843150684931505,2024,3
363,bnf,47100,P,2024-03-13,2024-03-13 14:30:00,BUY,2024-03-13 14:35:00,214.75,173.85,255.65,173.85,2024-03-13 14:40:00,173.85,-40.900000000000006,5.829,-46.729000000000006,-11425.18337408313,Initial SL hit,244.49877750611245,-1.142518337408313,2024,3
364,bnf,47100,P,2024-03-13,2024-03-13 14:50:00,BUY,2024-03-13 14:55:00,149.6,116.05,223.55,116.05,2024-03-13 15:00:00,116.05,-33.55,3.9847499999999996,-37.534749999999995,-11187.704918032787,Initial SL Hit,298.06259314456037,-1.1187704918032786,2024,3
398,bnf,46400,C,2024-03-20,2024-03-20 12:30:00,BUY,2024-03-20 12:35:00,77.5,58.0,97.0,58.0,2024-03-20 12:35:00,97.0,19.5,2.6174999999999997,16.8825,8657.692307692309,Target Hit,512.8205128205128,0.8657692307692308,2024,3
399,bnf,46400,C,2024-03-20,2024-03-20 12:45:00,BUY,2024-03-20 12:50:00,116.85,96.2,137.5,96.2,2024-03-20 12:55:00,96.2,-20.64999999999999,3.19575,-23.845749999999992,-11547.578692493948,Initial SL hit,484.26150121065393,-1.1547578692493947,2024,3
400,bnf,46400,C,2024-03-20,2024-03-20 13:05:00,BUY,2024-03-20 13:10:00,100.6,71.0,130.2,83.99666666666667,2024-03-20 13:10:00,130.2,29.599999999999994,3.4619999999999997,26.137999999999995,8830.405405405405,Target Hit,337.8378378378379,0.8830405405405405,2024,3
401,bnf,46400,C,2024-03-20,2024-03-20 13:15:00,BUY,2024-03-20 13:20:00,183.15,143.0,223.3,143.0,2024-03-20 13:20:00,223.3,40.150000000000006,6.09675,34.053250000000006,8481.506849315068,Target Hit,249.06600249066,0.8481506849315068,2024,3
402,bnf,46400,C,2024-03-20,2024-03-20 13:35:00,BUY,2024-03-20 13:40:00,203.8,154.7,252.90000000000003,154.7,2024-03-20 13:45:00,154.7,-49.10000000000002,5.3774999999999995,-54.47750000000002,-11095.213849287167,Initial SL hit,203.66598778004064,-1.1095213849287169,2024,3
403,bnf,46400,P,2024-03-20,2024-03-20 14:05:00,BUY,2024-03-20 14:10:00,84.85,60.6,109.1,60.6,2024-03-20 14:10:00,109.1,24.25,2.9092499999999997,21.34075,8800.309278350518,Target Hit,412.3711340206187,0.8800309278350519,2024,3
404,bnf,46400,P,2024-03-20,2024-03-20 14:15:00,BUY,2024-03-20 14:20:00,131.55,53.3,209.8,62.440000000000005,2024-03-20 14:25:00,209.8,78.25,5.12025,73.12975,9345.654952076677,Target Hit,127.7955271565495,0.9345654952076676,2024,3
405,bnf,46400,P,2024-03-20,2024-03-20 14:50:00,BUY,2024-03-20 14:55:00,150.5,111.9,245.6,111.9,2024-03-20 14:55:00,111.9,-38.599999999999994,3.9359999999999995,-42.535999999999994,-11019.689119170984,Initial SL Hit,259.0673575129534,-1.1019689119170983,2024,3
