,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,DD%
79,2023-10-31 11:15:00,LONG,2023-10-31 12:15:00,8743.9,8710.55,8710.55,2023-10-31 12:15:00,8710.55,-33.350000000000364,-42.07722500000036,-59960.045625000515,Initial SL Hit,1425,5x,-2.3984018250000205,2023,-10.259159999999696
80,2023-10-31 13:15:00,LONG,2023-10-31 14:15:00,8758.1,8724.05,8724.05,2023-11-01 15:15:00,8724.05,-34.05000000000109,-42.79107500000109,-60977.28187500156,Initial SL Hit,1425,5x,-2.439091275000062,2023,-12.698251274999762
81,2023-11-02 10:15:00,LONG,2023-11-02 11:15:00,8836.05,8814.0,8814.0,2023-11-02 11:15:00,8814.0,-22.049999999999272,-30.875024999999273,-43996.91062499896,Initial SL Hit,1425,5x,-1.7598764249999586,2023,-14.458127699999721
82,2023-11-02 12:15:00,LONG,2023-11-02 13:15:00,8818.75,8801.0,10137.163970588235,2023-12-20 13:15:00,10124.45,1305.7000000000007,1296.2284000000006,1847125.470000001,TSL Hit,1425,5x,73.88501880000004,2023,0.0
83,2023-12-22 10:15:00,LONG,2023-12-22 11:15:00,10250.4,10225.9,10225.9,2023-12-22 12:15:00,10225.9,-24.5,-34.73815,-41685.78,Initial SL hit,1200,5x,-1.6674312,2023,-1.66743120000001
84,2023-12-22 13:15:00,LONG,2023-12-22 14:15:00,10238.9,10188.35,10421.816911764705,2024-01-09 15:15:00,10416.6,177.70000000000073,167.37225000000072,200846.70000000086,TSL Hit,1200,5x,8.033868000000034,2023,0.0
85,2024-01-11 11:15:00,LONG,2024-01-11 12:15:00,10476.05,10461.95,10461.95,2024-01-11 12:15:00,10461.95,-14.099999999998545,-24.568999999998546,-29482.799999998257,Initial SL hit,1200,5x,-1.1793119999999304,2024,-1.1793119999999249
86,2024-01-11 13:15:00,LONG,2024-01-11 14:15:00,10476.0,10426.55,10426.55,2024-01-11 14:15:00,10426.55,-49.45000000000073,-59.90127500000072,-71881.53000000087,Initial SL Hit,1200,5x,-2.875261200000035,2024,-4.054573199999936
87,2024-01-12 11:15:00,LONG,2024-01-12 12:15:00,10504.1,10481.4,10503.528676470587,2024-01-17 09:15:00,10461.1,-43.0,-53.4826,-64179.119999999995,Gap Open Outside ISL,1200,5x,-2.5671648,2024,-6.621737999999937
88,2024-01-19 11:15:00,LONG,2024-01-19 12:15:00,10526.4,10504.0,10504.0,2024-01-19 12:15:00,10504.0,-22.399999999999636,-32.915199999999636,-39498.23999999956,Initial SL hit,1200,5x,-1.5799295999999825,2024,-8.201667599999894
