date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,TSL,Exit Price,Exit date,Exit Time,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
2019-10-04,Friday,2019-10-10,6,11400,C,62.5,12:35:00,109.0,0.0,0.05,2019-10-10,15:25:00,EOD exit,62.45,0.6255,2175,134468.2875,2.6893657500000003,2019,10,67.95,0.05,2.7165749999999997,61.9875
2019-10-07,Monday,2019-10-10,3,11150,P,49.65,10:35:00,91.35,0.5175000000000001,0.05,2019-10-10,15:25:00,EOD exit,49.6,0.49699999999999994,2400,117847.2,2.356944,2019,10,88.95,0.05,2.3808,66.9
2019-10-11,Friday,2019-10-17,6,11300,C,77.25,12:35:00,136.5,0.0,136.5,2019-10-14,10:40:00,SL hit,-59.25,2.1375,1725,-105893.4375,-2.11786875,2019,10,139.0,70.5,0.232875,48.731249999999996
2019-10-14,Monday,2019-10-17,3,11300,P,84.4,09:20:00,90.3,92.63250000000001,90.3,2019-10-14,09:25:00,SL hit,-5.8999999999999915,1.7469999999999999,7050,-53911.34999999994,-1.0782269999999987,2019,10,93.45,73.05,1.600350000000001,199.1625
2019-10-15,Tuesday,2019-10-17,2,11400,C,68.35,10:20:00,71.3,0.0,71.3,2019-10-15,10:40:00,SL hit,-2.950000000000003,1.3964999999999999,7050,-30642.82500000002,-0.6128565000000004,2019,10,71.55,61.55,0.9587999999999995,200.925
2019-10-15,Tuesday,2019-10-17,2,11400,C,68.55,10:45:00,71.55,0.0,71.55,2019-10-15,11:00:00,SL hit,-3.0,1.401,7050,-31027.05,-0.620541,2019,10,74.3,65.65,0.40889999999999876,200.925
2019-10-15,Tuesday,2019-10-17,2,11400,C,64.5,10:00:00,67.95,0.0,67.95,2019-10-15,10:05:00,SL hit,-3.450000000000003,1.3245,7050,-33660.22500000002,-0.6732045000000004,2019,10,70.2,63.5,0.14100000000000001,200.925
2019-10-15,Tuesday,2019-10-17,2,11400,C,60.8,09:40:00,64.4,0.0,64.4,2019-10-15,09:55:00,SL hit,-3.6000000000000085,1.252,7050,-34206.60000000006,-0.6841320000000011,2019,10,66.75,53.4,1.0433999999999999,200.925
2019-10-15,Tuesday,2019-10-17,2,11400,C,58.95,09:30:00,64.0,0.0,64.0,2019-10-15,09:35:00,SL hit,-5.049999999999997,1.2295,7050,-44270.47499999998,-0.8854094999999996,2019,10,64.4,55.6,0.4723500000000002,200.925
2019-10-15,Tuesday,2019-10-17,2,11400,C,67.35,10:10:00,70.2,0.0,70.2,2019-10-15,10:15:00,SL hit,-2.8500000000000085,1.3755000000000002,7050,-29789.775000000063,-0.5957955000000013,2019,10,71.3,65.2,0.3031499999999988,200.925
