,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
75,finnifty,19600,P,2023-10-23,2023-10-23 14:10:00,BUY,2023-10-23 14:15:00,9.75,7.6,117.195,2023-10-23 15:20:00,196.0,186.25,3.08625,183.16375,2129811.0465116277,EOD Exit,11627.906976744183,85.1924418604651,2023,10
76,finnifty,19250,P,2023-10-31,2023-10-31 13:55:00,BUY,2023-10-31 14:00:00,16.6,9.5,9.5,2023-10-31 14:05:00,9.5,-7.100000000000001,0.3915,-7.491500000000001,-26378.521126760563,Initial SL Hit,3521.12676056338,-1.0551408450704225,2023,10
77,finnifty,19250,P,2023-10-31,2023-10-31 14:50:00,BUY,2023-10-31 14:55:00,9.65,2.45,26.445,2023-10-31 15:20:00,44.2,34.550000000000004,0.80775,33.742250000000006,117160.5902777778,EOD Exit,3472.222222222222,4.686423611111112,2023,10
28,finnifty,19450,C,2023-11-07,2023-11-07 13:45:00,BUY,2023-11-07 13:50:00,22.8,11.3,80.184375,2023-11-07 15:20:00,110.3,87.5,1.9965,85.5035,185877.1739130435,EOD Exit,2173.913043478261,7.43508695652174,2023,11
78,finnifty,19500,P,2023-11-07,2023-11-07 14:35:00,BUY,2023-11-07 14:40:00,12.65,6.05,6.05,2023-11-07 14:40:00,6.05,-6.6000000000000005,0.2804999999999999,-6.8805000000000005,-26062.5,Initial SL Hit,3787.878787878788,-1.0425,2023,11
79,finnifty,19550,P,2023-11-13,2023-11-13 14:35:00,BUY,2023-11-13 14:40:00,9.45,2.45,2.45,2023-11-13 15:20:00,7.25,-2.1999999999999997,0.2505,-2.4504999999999995,-8751.785714285714,EOD Exit,3571.428571428572,-0.3500714285714285,2023,11
29,finnifty,19700,C,2023-11-28,2023-11-28 14:20:00,BUY,2023-11-28 14:25:00,24.25,1.25,6.671875,2023-11-28 14:45:00,5.7,-18.55,0.44925,-18.99925,-20651.358695652176,TSL Hit,1086.9565217391305,-0.8260543478260871,2023,11
80,finnifty,21050,P,2023-12-05,2023-12-05 14:15:00,BUY,2023-12-05 14:20:00,25.75,14.65,14.65,2023-12-05 14:20:00,14.65,-11.1,0.606,-11.706,-26364.864864864863,Initial SL Hit,2252.252252252252,-1.0545945945945945,2023,12
81,finnifty,21200,P,2023-12-12,2023-12-12 14:05:00,BUY,2023-12-12 14:10:00,13.8,10.5,10.5,2023-12-12 14:10:00,10.5,-3.3000000000000007,0.3645,-3.6645000000000008,-27761.36363636364,Initial SL Hit,7575.757575757574,-1.1104545454545454,2023,12
82,finnifty,21200,P,2023-12-12,2023-12-12 14:20:00,BUY,2023-12-12 14:25:00,15.0,7.75,19.785000000000004,2023-12-12 14:55:00,19.2,4.199999999999999,0.513,3.687,12713.793103448274,TSL Hit,3448.2758620689656,0.5085517241379309,2023,12
30,finnifty,21450,C,2023-12-19,2023-12-19 13:30:00,BUY,2023-12-19 13:35:00,14.4,8.75,16.775,2023-12-19 14:00:00,16.7,2.299999999999999,0.4665,1.833499999999999,8112.831858407074,TSL Hit,4424.778761061946,0.3245132743362829,2023,12
31,finnifty,21450,C,2023-12-19,2023-12-19 14:05:00,BUY,2023-12-19 14:10:00,22.4,15.2,16.328125,2023-12-19 14:15:00,15.2,-7.199999999999999,0.564,-7.763999999999999,-26958.333333333336,Initial SL hit,3472.2222222222226,-1.0783333333333334,2023,12
83,finnifty,21450,P,2023-12-19,2023-12-19 14:15:00,BUY,2023-12-19 14:20:00,16.3,8.65,8.65,2023-12-19 14:25:00,8.65,-7.65,0.37425,-8.02425,-26223.03921568628,Initial SL Hit,3267.97385620915,-1.0489215686274511,2023,12
32,finnifty,21450,C,2023-12-19,2023-12-19 14:30:00,BUY,2023-12-19 14:35:00,17.15,8.45,8.45,2023-12-19 14:40:00,8.45,-8.7,0.3839999999999999,-9.084,-26103.44827586207,Initial SL Hit,2873.5632183908046,-1.0441379310344827,2023,12
84,finnifty,21450,P,2023-12-19,2023-12-19 14:45:00,BUY,2023-12-19 14:50:00,27.55,6.65,17.665,2023-12-19 15:00:00,14.3,-13.25,0.62775,-13.87775,-16600.179425837323,TSL Hit,1196.172248803828,-0.664007177033493,2023,12
