Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-03-28 14:15:00,2017-03-28,1.4698799,,28/03/2017,04/07/2017,-0.3589042439,0,0,-0.1794521219
2017-03-31 11:45:00,2017-03-31,-0.3047717648,,31/03/2017,05/07/2017,1.024585354,0,0,0.5122926771
2017-04-03 13:15:00,2017-04-03,0.2899729889,,03/04/2017,06/07/2017,0,-1.149050633,-1.723575949,-0.8617879747
2017-04-03 12:45:00,2017-04-03,0.3496343835,,03/04/2017,07/07/2017,0.8570803482,0,0,0.4285401741
2017-04-06 09:45:00,2017-04-06,-0.1920374379,,06/04/2017,10/07/2017,-0.1673728072,0,0,-0.08368640362
2017-04-07 14:15:00,2017-04-07,-0.727596517,,07/04/2017,12/07/2017,7.841753505,0,0,3.920876752
2017-04-11 09:15:00,2017-04-11,0.3193831575,,11/04/2017,14/07/2017,0.85812489,0,0,0.429062445
2017-04-11 09:15:00,2017-04-11,0.4878020134,,11/04/2017,19/07/2017,-0.225650548,0,0,-0.112825274
2017-04-11 11:15:00,2017-04-11,-0.1710818415,,11/04/2017,21/07/2017,3.805086575,0,0,1.902543288
2017-04-11 13:15:00,2017-04-11,-0.978683426,,11/04/2017,27/07/2017,0,1.214725275,1.822087912,0.911043956
2017-04-11 15:15:00,2017-04-11,-0.9903586532,,11/04/2017,28/07/2017,-0.4850482554,0,0,-0.2425241277
2017-04-12 10:45:00,2017-04-12,0.0772337643,,12/04/2017,31/07/2017,-0.5524665149,0,0,-0.2762332575
2017-04-13 09:15:00,2017-04-13,0.1130131002,,13/04/2017,01/08/2017,0.06436793685,0,0,0.03218396843
2017-04-13 12:45:00,2017-04-13,-0.2625088702,,13/04/2017,02/08/2017,-0.6881075597,0,0,-0.3440537798
2017-04-18 10:15:00,2017-04-18,-0.5194727041,,18/04/2017,03/08/2017,0,6.201676631,9.302514947,4.651257474
2017-04-18 09:45:00,2017-04-18,-0.8625462072,,18/04/2017,07/08/2017,-1.52285246,0,0,-0.7614262299
2017-04-20 13:15:00,2017-04-20,-0.301073051,,20/04/2017,08/08/2017,-2.208312935,0,0,-1.104156467
2017-04-21 11:15:00,2017-04-21,-0.9911830891,,21/04/2017,14/08/2017,-0.5312176328,0,0,-0.2656088164
2017-04-21 11:15:00,2017-04-21,-0.899689113,,21/04/2017,16/08/2017,0.05361940388,0,0,0.02680970194
2017-04-24 10:15:00,2017-04-24,1.30852035,,24/04/2017,17/08/2017,-2.881215884,0,0,-1.440607942
2017-04-24 09:45:00,2017-04-24,1.902393088,,24/04/2017,21/08/2017,-0.3207637431,0,0,-0.1603818716
2017-04-24 11:15:00,2017-04-24,1.838208539,,24/04/2017,23/08/2017,0.9903323039,0,0,0.4951661519
2017-04-24 11:15:00,2017-04-24,1.757706307,,24/04/2017,24/08/2017,-0.7990240796,0,0,-0.3995120398
2017-04-24 11:15:00,2017-04-24,2.580885237,,24/04/2017,28/08/2017,-0.7934695308,0,0,-0.3967347654
2017-04-26 14:45:00,2017-04-26,-0.051932115,,26/04/2017,29/08/2017,-0.08353504248,0,0,-0.04176752124
2017-04-27 10:15:00,2017-04-27,0.1885582125,,27/04/2017,30/08/2017,-1.600690283,0,0,-0.8003451416
2017-04-28 10:15:00,2017-04-28,0.082092015,,28/04/2017,31/08/2017,0.2691054352,-1.0805,-1.62075,-0.6758222824
2017-05-02 11:45:00,2017-05-02,-0.002079891,,02/05/2017,01/09/2017,-0.5211147379,0,0,-0.260557369
2017-05-02 12:15:00,2017-05-02,0.95261463,,02/05/2017,04/09/2017,-0.6672518008,0,0,-0.3336259004
2017-05-02 13:15:00,2017-05-02,-0.2201254907,,02/05/2017,05/09/2017,-2.050697186,0,0,-1.025348593
2017-05-02 14:45:00,2017-05-02,-0.4224792563,,02/05/2017,06/09/2017,1.287893475,0,0,0.6439467375
2017-05-03 09:15:00,2017-05-03,-0.2013837,,03/05/2017,07/09/2017,-0.7690939431,0,0,-0.3845469716
2017-05-03 13:15:00,2017-05-03,-0.242667404,,03/05/2017,08/09/2017,1.154541346,0,0,0.5772706732
2017-05-04 11:15:00,2017-05-04,-0.1166727354,,04/05/2017,11/09/2017,4.325753939,0,0,2.16287697
2017-05-04 10:45:00,2017-05-04,0.0227884998,,04/05/2017,14/09/2017,-0.2614897038,0,0,-0.1307448519
2017-05-04 12:15:00,2017-05-04,-0.9919835507,,04/05/2017,15/09/2017,-0.3140651331,0,0,-0.1570325665
2017-05-04 13:15:00,2017-05-04,-0.31624725,,04/05/2017,18/09/2017,-1.952479224,0,0,-0.976239612
2017-05-05 13:45:00,2017-05-05,-0.2122110081,,05/05/2017,19/09/2017,0.0251124615,0,0,0.01255623075
2017-05-08 10:15:00,2017-05-08,-0.5215681504,,08/05/2017,20/09/2017,-0.2487951931,0,0,-0.1243975966
2017-05-08 09:45:00,2017-05-08,-0.0667703988,,08/05/2017,28/09/2017,0,-1.056,-1.584,-0.792
2017-05-08 14:15:00,2017-05-08,-0.29066145,,08/05/2017,29/09/2017,-2.790980179,0,0,-1.39549009
2017-05-09 10:15:00,2017-05-09,-0.0491338386,,09/05/2017,03/10/2017,5.538614843,0,0,2.769307421
2017-05-09 11:15:00,2017-05-09,-0.05896035945,,09/05/2017,05/10/2017,-0.1329354421,0,0,-0.06646772105
2017-05-09 11:15:00,2017-05-09,-0.2284419,,09/05/2017,06/10/2017,-1.333187879,0,0,-0.6665939395
2017-05-09 13:15:00,2017-05-09,-0.4108778468,,09/05/2017,09/10/2017,0.1235843406,0,0,0.0617921703
2017-05-09 12:45:00,2017-05-09,0.5721448446,,09/05/2017,12/10/2017,2.652171973,4.093150782,6.139726174,4.395949073
2017-05-09 14:15:00,2017-05-09,-0.2700229187,,09/05/2017,13/10/2017,0.9088870314,0,0,0.4544435157
