time,open,high,low,close
2019-09-05T13:00:00+05:30,51176,51200,50233,50585
2019-09-05T17:00:00+05:30,50580,50880,48645,49581
2019-09-05T21:00:00+05:30,49578,49626,49260,49490
2019-09-06T09:00:00+05:30,49190,49190,47948,48275
2019-09-06T13:00:00+05:30,48275,48425,47570,47870
2019-09-06T17:00:00+05:30,47884,49347,47735,49160
2019-09-06T21:00:00+05:30,49145,49230,47480,47940
2019-09-09T09:00:00+05:30,47750,47750,47360,47442
2019-09-09T13:00:00+05:30,47440,47940,47387,47900
2019-09-09T17:00:00+05:30,47896,48190,47325,47450
2019-09-09T21:00:00+05:30,47455,47920,47420,47815
2019-09-10T17:00:00+05:30,47447,48018,47206,47815
2019-09-10T21:00:00+05:30,47818,47851,47620,47820
2019-09-11T09:00:00+05:30,47751,48000,47669,47687
2019-09-11T13:00:00+05:30,47692,47853,47562,47673
2019-09-11T17:00:00+05:30,47675,47802,47205,47656
2019-09-11T21:00:00+05:30,47656,47673,47408,47518
2019-09-12T09:00:00+05:30,47430,47590,47290,47537
2019-09-12T13:00:00+05:30,47545,47789,47480,47544
2019-09-12T17:00:00+05:30,47542,48082,47130,47261
2019-09-12T21:00:00+05:30,47253,47307,46951,47070
2019-09-13T09:00:00+05:30,47052,47240,47011,47145
2019-09-13T13:00:00+05:30,47142,47410,47136,47251
2019-09-13T17:00:00+05:30,47242,47323,46318,46327
2019-09-13T21:00:00+05:30,46310,46337,45620,45830
2019-09-16T09:00:00+05:30,46100,47087,46100,46805
2019-09-16T13:00:00+05:30,46800,46970,46598,46950
2019-09-16T17:00:00+05:30,46960,47245,46691,47048
2019-09-16T21:00:00+05:30,47038,47328,46996,47220
2019-09-17T09:00:00+05:30,47140,47140,46811,46835
2019-09-17T13:00:00+05:30,46835,47186,46835,47068
2019-09-17T17:00:00+05:30,47072,47300,46710,47104
2019-09-17T21:00:00+05:30,47113,47468,47101,47225
2019-09-18T09:00:00+05:30,47037,47154,46722,46795
2019-09-18T13:00:00+05:30,46801,46828,46580,46666
2019-09-18T17:00:00+05:30,46660,46924,46627,46876
2019-09-18T21:00:00+05:30,46885,46968,46274,46700
2019-09-19T09:00:00+05:30,46650,46650,45900,46177
2019-09-19T13:00:00+05:30,46174,46495,46111,46477
2019-09-19T17:00:00+05:30,46475,46841,46398,46447
2019-09-19T21:00:00+05:30,46427,46660,46422,46639
2019-09-20T09:00:00+05:30,46642,46688,46278,46562
2019-09-20T13:00:00+05:30,46560,46639,46405,46440
2019-09-20T17:00:00+05:30,46430,46435,46208,46297
2019-09-20T21:00:00+05:30,46298,46570,46151,46523
2019-09-23T09:00:00+05:30,46705,47500,46705,47335
2019-09-23T13:00:00+05:30,47335,47680,47284,47615
2019-09-23T17:00:00+05:30,47610,48145,47446,47970
2019-09-23T21:00:00+05:30,47962,48170,47808,48140
2019-09-24T09:00:00+05:30,48024,48060,47711,47901
2019-09-24T13:00:00+05:30,47930,48192,47903,48024
2019-09-24T17:00:00+05:30,48021,48040,47260,48000
2019-09-24T21:00:00+05:30,48000,48213,47823,48048
2019-09-25T09:00:00+05:30,48100,48138,47860,47990
2019-09-25T13:00:00+05:30,47992,48320,47992,48122
2019-09-25T17:00:00+05:30,48119,48146,47354,47449
2019-09-25T21:00:00+05:30,47440,47520,46483,46800
2019-09-26T09:00:00+05:30,46749,46749,46334,46402
2019-09-26T13:00:00+05:30,46400,46648,46370,46445
2019-09-26T17:00:00+05:30,46430,46744,45970,46478
2019-09-26T21:00:00+05:30,46466,46518,46160,46255
2019-09-27T09:00:00+05:30,46339,46365,45216,45455
2019-09-27T13:00:00+05:30,45455,45539,45115,45299
2019-09-27T17:00:00+05:30,45290,45390,44655,44900
2019-09-27T21:00:00+05:30,44900,45600,44858,45474
2019-09-30T09:00:00+05:30,45270,45270,44770,45047
2019-09-30T13:00:00+05:30,45035,45045,44620,44760
2019-09-30T17:00:00+05:30,44759,44819,44150,44188
2019-09-30T21:00:00+05:30,44180,44404,43975,44125
2019-10-01T09:00:00+05:30,44105,44387,43969,44296
2019-10-01T13:00:00+05:30,44291,44691,44164,44654
2019-10-01T17:00:00+05:30,44650,45089,44468,44980
2019-10-01T21:00:00+05:30,44970,45100,44760,44870
2019-10-03T09:00:00+05:30,45561,45944,45380,45493
2019-10-03T13:00:00+05:30,45495,45696,45325,45443
2019-10-03T17:00:00+05:30,45456,45995,45230,45641
2019-10-03T21:00:00+05:30,45632,45763,45585,45660
2019-10-04T09:00:00+05:30,45650,45650,45339,45436
2019-10-04T13:00:00+05:30,45429,45570,45412,45474
2019-10-04T17:00:00+05:30,45482,45750,44802,45233
2019-10-04T21:00:00+05:30,45245,45439,45160,45349
2019-10-07T09:00:00+05:30,45549,45549,45202,45261
2019-10-07T13:00:00+05:30,45265,45317,45085,45207
2019-10-07T17:00:00+05:30,45207,45500,45152,45369
2019-10-07T21:00:00+05:30,45375,45395,45126,45160
2019-10-08T17:00:00+05:30,45569,46145,45514,45944
2019-10-08T21:00:00+05:30,45935,45980,45776,45952
2019-10-09T09:00:00+05:30,46096,46443,45973,46359
2019-10-09T13:00:00+05:30,46355,46429,45827,45938
2019-10-09T17:00:00+05:30,45940,46236,45878,46010
2019-10-09T21:00:00+05:30,45990,46109,45829,46030
2019-10-10T09:00:00+05:30,46234,46234,45686,45929
2019-10-10T13:00:00+05:30,45930,46056,45890,45941
2019-10-10T17:00:00+05:30,45952,46028,45085,45415
2019-10-10T21:00:00+05:30,45407,45478,45272,45435
2019-10-11T09:00:00+05:30,45350,45790,45185,45732
2019-10-11T13:00:00+05:30,45735,45829,45308,45348
2019-10-11T17:00:00+05:30,45350,45411,44880,45115
2019-10-11T21:00:00+05:30,45128,45267,45053,45222
2019-10-14T09:00:00+05:30,45235,45508,45213,45420
2019-10-14T13:00:00+05:30,45420,45627,45365,45592
2019-10-14T17:00:00+05:30,45575,45787,45381,45675
2019-10-14T21:00:00+05:30,45677,45830,45608,45776
2019-10-15T09:00:00+05:30,45877,45950,45565,45675
2019-10-15T13:00:00+05:30,45675,46020,45651,45883
2019-10-15T17:00:00+05:30,45894,45905,45225,45366
2019-10-15T21:00:00+05:30,45369,45369,45165,45280
2019-10-16T09:00:00+05:30,45420,45495,44785,45120
2019-10-16T13:00:00+05:30,45129,45200,44785,44832
2019-10-16T17:00:00+05:30,44829,45290,44700,45167
2019-10-16T21:00:00+05:30,45160,45278,45079,45250
2019-10-17T09:00:00+05:30,45181,45288,45000,45151
2019-10-17T13:00:00+05:30,45142,45356,45026,45250
2019-10-17T17:00:00+05:30,45250,45475,45205,45339
2019-10-17T21:00:00+05:30,45327,45653,45317,45585
2019-10-18T09:00:00+05:30,45483,45562,45281,45282
2019-10-18T13:00:00+05:30,45280,45289,45110,45245
2019-10-18T17:00:00+05:30,45244,45510,45232,45419
2019-10-18T21:00:00+05:30,45420,45500,45360,45500
2019-10-21T17:00:00+05:30,45625,46007,45400,45445
2019-10-21T21:00:00+05:30,45450,45556,45386,45400
2019-10-22T09:00:00+05:30,45340,45520,45203,45425
2019-10-22T13:00:00+05:30,45420,45616,45420,45525
2019-10-22T17:00:00+05:30,45537,45567,45185,45259
2019-10-22T21:00:00+05:30,45241,45272,45115,45228
2019-10-23T09:00:00+05:30,45315,45480,45307,45440
2019-10-23T13:00:00+05:30,45445,45520,45385,45385
2019-10-23T17:00:00+05:30,45389,45476,45313,45369
2019-10-23T21:00:00+05:30,45365,45389,45265,45270
2019-10-24T09:00:00+05:30,45374,45489,45283,45348
2019-10-24T13:00:00+05:30,45368,45460,45352,45424
2019-10-24T17:00:00+05:30,45428,46082,45406,45961
2019-10-24T21:00:00+05:30,45950,46035,45905,46013
2019-10-25T09:00:00+05:30,46200,46670,46048,46576
2019-10-25T13:00:00+05:30,46590,46785,46518,46747
2019-10-25T17:00:00+05:30,46760,47250,46625,46734
2019-10-25T21:00:00+05:30,46731,46731,46108,46350
2019-10-28T17:00:00+05:30,46526,46607,45815,46001
2019-10-28T21:00:00+05:30,45991,46066,45908,46020
2019-10-29T09:00:00+05:30,45868,45942,45710,45866
2019-10-29T13:00:00+05:30,45866,46120,45725,45810
2019-10-29T17:00:00+05:30,45802,46063,45556,46060
2019-10-29T21:00:00+05:30,46060,46180,45931,45932
2019-10-30T09:00:00+05:30,45850,46238,45850,46125
2019-10-30T13:00:00+05:30,46110,46285,45943,46250
2019-10-30T17:00:00+05:30,46252,46384,46007,46158
2019-10-30T21:00:00+05:30,46155,46230,46050,46055
2019-10-31T09:00:00+05:30,46061,46285,46021,46280
2019-10-31T13:00:00+05:30,46280,46744,46276,46620
2019-10-31T17:00:00+05:30,46620,46894,46464,46670
2019-10-31T21:00:00+05:30,46668,46800,46502,46795
2019-11-01T09:00:00+05:30,46725,46750,46575,46708
2019-11-01T13:00:00+05:30,46708,46820,46587,46638
2019-11-01T17:00:00+05:30,46640,46756,46300,46404
2019-11-01T21:00:00+05:30,46402,46513,46357,46418
2019-11-04T09:00:00+05:30,46556,46689,46556,46674
2019-11-04T13:00:00+05:30,46670,46760,46521,46665
2019-11-04T17:00:00+05:30,46650,46900,46645,46673
2019-11-04T21:00:00+05:30,46671,46690,46395,46644
2019-11-05T09:00:00+05:30,46516,46568,46369,46491
2019-11-05T13:00:00+05:30,46491,46519,46401,46466
2019-11-05T17:00:00+05:30,46468,46485,45604,45680
2019-11-05T21:00:00+05:30,45670,45740,45385,45438
2019-11-06T09:00:00+05:30,45494,45500,45310,45397
2019-11-06T13:00:00+05:30,45396,45620,45356,45449
2019-11-06T17:00:00+05:30,45440,45635,45075,45429
2019-11-06T21:00:00+05:30,45439,45725,45428,45679
2019-11-07T09:00:00+05:30,45707,45777,45454,45463
2019-11-07T13:00:00+05:30,45454,45573,45205,45335
2019-11-07T17:00:00+05:30,45327,45573,45251,45364
2019-11-07T21:00:00+05:30,45354,45354,44085,44200
2019-11-08T09:00:00+05:30,44311,44412,44264,44350
2019-11-08T13:00:00+05:30,44349,44448,44010,44046
2019-11-08T17:00:00+05:30,44040,44227,43467,44154
2019-11-08T21:00:00+05:30,44155,44230,43829,43950
2019-11-11T09:00:00+05:30,44100,44100,43879,44062
2019-11-11T13:00:00+05:30,44056,44197,44030,44114
2019-11-11T17:00:00+05:30,44114,44180,43875,43924
2019-11-11T21:00:00+05:30,43920,44038,43606,44000
2019-11-12T17:00:00+05:30,43940,44090,43817,43870
2019-11-12T21:00:00+05:30,43874,43968,43660,43876
2019-11-13T09:00:00+05:30,44132,44410,44090,44373
2019-11-13T13:00:00+05:30,44372,44588,44150,44578
2019-11-13T17:00:00+05:30,44579,44725,44330,44460
2019-11-13T21:00:00+05:30,44460,44610,44421,44605
2019-11-14T09:00:00+05:30,44610,44765,44553,44623
2019-11-14T13:00:00+05:30,44614,44888,44512,44780
2019-11-14T17:00:00+05:30,44780,44809,44378,44463
2019-11-14T21:00:00+05:30,44459,44780,44444,44755
2019-11-15T09:00:00+05:30,44550,44550,44101,44195
2019-11-15T13:00:00+05:30,44195,44284,44150,44225
2019-11-15T17:00:00+05:30,44234,44322,44061,44303
2019-11-15T21:00:00+05:30,44303,44470,44251,44385
2019-11-18T09:00:00+05:30,44355,44355,44110,44180
2019-11-18T13:00:00+05:30,44178,44250,43907,44017
2019-11-18T17:00:00+05:30,44015,44711,43975,44584
2019-11-18T21:00:00+05:30,44584,44716,44525,44682
2019-11-19T09:00:00+05:30,44545,44960,44545,44848
2019-11-19T13:00:00+05:30,44838,44860,44585,44680
2019-11-19T17:00:00+05:30,44680,44783,44366,44655
2019-11-19T21:00:00+05:30,44650,44915,44635,44832
2019-11-20T09:00:00+05:30,44836,44964,44681,44736
2019-11-20T13:00:00+05:30,44743,45018,44742,44887
2019-11-20T17:00:00+05:30,44880,44895,44652,44754
2019-11-20T21:00:00+05:30,44740,44888,44553,44830
2019-11-21T09:00:00+05:30,44829,44850,44657,44725
2019-11-21T13:00:00+05:30,44723,44815,44593,44660
