Signal Generated At,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,Qty,ROI%,Trade Year,Trade Month
2022-12-02 10:15:00,2022-12-02 11:15:00,7458.4,7432.45,7466.225,2022-12-05 09:15:00,7451.65,-6.75,-7.425,643.5696664,-0.4778504773,2022,12
2022-12-05 11:15:00,2022-12-05 12:15:00,7474.35,7464,7464,2022-12-05 13:15:00,7464,-10.35,-11.385,642.1963114,-0.7311405005,2022,12
2022-12-06 11:15:00,2022-12-06 12:15:00,7454.85,7439.3,7439.3,2022-12-06 13:15:00,7439.3,-15.55,-17.105,643.8761343,-1.101350128,2022,12
2022-12-14 09:15:00,2022-12-14 10:15:00,7466.2,7445,7478.79375,2022-12-15 09:15:00,7465.4,-0.8,-0.88,642.8973239,-0.05657496451,2022,12
2022-12-28 11:15:00,2022-12-28 12:15:00,7171.5,7158.1,7158.1,2022-12-28 13:15:00,7158.1,-13.4,-14.74,669.3160427,-0.9865718469,2022,12
2022-12-29 11:15:00,2022-12-29 12:15:00,7091.4,7075.25,7187.1125,2022-12-30 14:15:00,7179.95,88.55,79.695,676.8762163,5.394365005,2022,12
2023-01-03 12:15:00,2023-01-03 13:15:00,7198.7,7181,7181,2023-01-04 09:15:00,7181,-17.7,-19.47,666.7870588,-1.298234403,2023,1
2023-01-19 15:15:00,2023-01-20 09:15:00,7048.7,7038.15,7038.15,2023-01-20 10:15:00,7038.15,-10.55,-11.605,680.976634,-0.7902733837,2023,1
2023-01-23 11:15:00,2023-01-23 12:15:00,7047.6,7027.75,7041.34375,2023-01-24 10:15:00,7040.35,-7.25,-7.975,681.0829218,-0.5431636302,2023,1
2023-02-01 10:15:00,2023-02-01 11:15:00,7058.1,7036.75,7036.75,2023-02-01 13:15:00,7036.75,-21.35,-23.485,680.0697071,-1.597143707,2023,2
2023-02-01 15:15:00,2023-02-02 09:15:00,6949.7,6923.2,6923.2,2023-02-02 10:15:00,6923.2,-26.5,-29.15,690.6772954,-2.013324316,2023,2
2023-02-02 13:15:00,2023-02-02 14:15:00,6919.85,6874,6924.99375,2023-02-03 09:15:00,6905.25,-14.6,-16.06,693.6566544,-1.114012587,2023,2
2023-02-03 11:15:00,2023-02-03 12:15:00,6896.05,6854.05,6977.15625,2023-02-07 09:15:00,6972.1,76.05,68.445,696.0506377,4.76411859,2023,2
2023-02-07 12:15:00,2023-02-07 13:15:00,6978.6,6950.7,7050.68125,2023-02-10 09:15:00,7041.9,63.3,56.97,687.8170407,3.918493681,2023,2
