time,open,high,low,close,MA,MA,EMA
2013-03-06,11871.55,11904.15,11822.35,11876.2,12144.873076923077,12303.96538461539,12031.786083824889
2013-03-07,11829.2,11989.85,11819.6,11970.25,12109.986538461539,12271.819230769235,12025.925504412995
2013-03-08,12008.8,12219.45,12008.8,12197.25,12083.834615384616,12247.471153846158,12042.242123040329
2013-03-11,12221.5,12241.3,12130.25,12165.4,12066.503846153848,12228.167307692314,12053.971444655535
2013-03-12,12150.7,12183.5,11970.9,12054.5,12045.563461538462,12207.405769230776,12054.02178325977
2013-03-13,11989.55,11989.55,11754.3,11777.5,12020.146153846155,12187.71538461539,12027.686375330268
2013-03-14,11772.45,12058.55,11555.45,12020.75,11987.78653846154,12169.75961538462,12027.025768155956
2013-03-15,11972.75,12034.95,11749.85,11816.55,11966.417307692307,12152.853846153852,12006.980456903008
2013-03-18,11679.35,11810.4,11625.6,11735.5,11942.557692307691,12130.569230769235,11981.125175293197
2013-03-19,11796.2,11814.75,11416.75,11508.05,11909.599999999999,12109.555769230774,11936.070396693845
2013-03-20,11491.8,11491.8,11231.75,11254.85,11868.449999999999,12074.017307692313,11871.192263675384
2013-03-21,11285.65,11512.1,11209.65,11238.35,11824.13269230769,12036.561538461545,11810.921571896777
2013-03-22,11275.45,11331.2,11173.35,11204.05,11781.396153846152,11994.14615384616,11753.12427933518
2013-03-25,11327.4,11372.8,11097.95,11125.65,11736.824999999995,11955.671153846159,11693.3648241604
2013-03-26,11067.35,11198.45,11048.4,11163.45,11687.557692307688,11909.463461538468,11642.896745668933
2013-03-28,11188.95,11413.25,11080.05,11361.85,11640.494230769227,11870.476923076929,11616.130388938558
2013-04-01,11414.95,11460.6,11330.85,11425.55,11601.230769230764,11831.626923076929,11597.979875706314
2013-04-02,11430.85,11548.05,11361.15,11523.4,11575.257692307689,11802.657692307695,11590.87703040095
2013-04-03,11512.75,11590.6,11283.4,11344.1,11546.757692307689,11781.54038461539,11567.37445607705
2013-04-04,11243.2,11254.25,11105.1,11126.25,11513.819230769226,11747.555769230774,11525.362603117332
2013-04-05,11120.15,11168.25,11021.4,11098.95,11483.53461538461,11715.757692307696,11484.751879010919
2013-04-08,11075.85,11133.85,11002.1,11012.65,11451.371153846148,11683.546153846157,11439.789795295594
2013-04-09,11085.8,11210.35,10897.15,10929.15,11431.984615384612,11651.58076923077,11391.157433838871
2013-04-10,11009.45,11143.6,10888.75,11122.25,11410.063461538459,11634.313461538464,11365.547202044692
2013-04-11,11220.5,11341.85,11154.05,11306.5,11398.561538461536,11624.288461538465,11359.923658992817
2013-04-12,11239.15,11442.9,11236.05,11410.1,11383.653846153842,11610.013461538465,11364.702358136357
2013-04-15,11357.95,11643.3,11334.75,11526.25,11364.899999999994,11599.980769230771,11380.087847837656
2013-04-16,11517.9,11906.25,11515.3,11871.6,11353.196153846151,11596.765384615388,11426.898528995975
2013-04-17,11924.7,12112.25,11913.95,11981.05,11349.548076923073,11592.642307692311,11479.674859567787
2013-04-18,11902.55,12313,11891.95,12288.25,11340.382692307689,11595.400000000003,11556.682015799426
2013-04-22,12317.4,12637.95,12317.4,12576.2,11353.70961538461,11612.87884615385,11653.77896667567
2013-04-23,12601.05,12605.7,12333,12543.4,11375.967307692305,11636.576923076927,11738.504779373226
2013-04-25,12632.25,12755.8,12611.5,12726.85,11416.584615384614,11663.394230769236,11832.632895623396
2013-04-26,12679.3,12679.9,12470,12533.15,11444.28269230769,11688.200000000004,11899.34881032593
2013-04-29,12560.35,12661.25,12508.4,12609.15,11478.236538461535,11720.925000000005,11966.948923628222
2013-04-30,12638,12658.6,12402.15,12561.55,11516.136538461536,11753.380769230775,12023.577597568392
2013-05-02,12554.7,12783.3,12552.85,12709.95,11566.948076923074,11803.05384615385,12088.946397799973
2013-05-03,12678.9,12678.9,12364.7,12393.6,11611.373076923075,11847.930769230774,12117.961026580928
2013-05-06,12358.35,12436,12188.3,12396.4,11650.409615384611,11890.423076923083,12144.479024049411
2013-05-07,12404.55,12649.45,12404.55,12631.5,11700.66346153846,11939.525000000005,12190.861974139943
2013-05-08,12662.1,12694.4,12514.7,12643.05,11757.059615384613,11997.061538461545,12233.92750041233
2013-05-09,12663.75,12718.9,12541.8,12596.3,11813.280769230765,12047.278846153851,12268.439167039727
2013-05-10,12580.4,12783.05,12580.4,12752.3,11861.340384615381,12098.142307692313,12314.52115113118
2013-05-13,12760.45,12865.35,12546.25,12568.85,11906.92115384615,12148.807692307697,12338.742946261546
2013-05-14,12567.55,12698.35,12516.1,12583.6,11954.33269230769,12191.413461538466,12362.062665665208
2013-05-15,12646.35,13099.35,12646.35,13077.9,12013.611538461537,12262.37884615385,12430.23764988757
2013-05-16,13022.25,13281.8,13022.25,13239.45,12090.567307692309,12343.669230769234,12507.30549275542
2013-05-17,13227.8,13355.1,13116.85,13317.1,12171.903846153846,12429.101923076927,12584.428779159665
2013-05-20,13332.7,13414.3,13150.3,13181.5,12258.56346153846,12513.869230769234,12641.292704953983
2013-05-21,13182.2,13268.25,13038,13066.5,12341.226923076922,12595.58653846154,12681.788637815509
2013-05-22,13105.1,13175.65,12932.2,13008.25,12409.617307692308,12666.117307692311,12712.880196118795
2013-05-23,12907.9,12944,12594.9,12636.5,12461.880769230767,12723.851923076927,12705.605891726529
2013-05-24,12756.35,12828.6,12582.5,12769.35,12509.871153846152,12769.440384615387,12711.676759181146
2013-05-27,12751.5,13014.75,12735.05,12961.55,12556.784615384615,12812.075000000003,12735.474210687704
2013-05-28,12951.4,13016.45,12872.9,12950,12593.667307692307,12846.851923076927,12755.905238241256
2013-05-29,12931.35,12931.35,12773.4,12853.2,12627.56923076923,12870.63461538462,12765.171406027803
2013-05-30,12738.15,12829.55,12721.45,12805.9,12643.109615384614,12878.00384615385,12769.050319739441
2013-05-31,12734.3,12760.45,12453.15,12475.65,12647.73076923077,12883.95576923077,12741.107432145209
2013-06-03,12453.4,12499.85,12323.6,12402.1,12636.657692307692,12874.111538461542,12708.821010036141
2013-06-04,12401.7,12520.55,12252.4,12275.1,12628.28846153846,12867.982692307694,12667.514247175557
2013-06-05,12252.05,12347.3,12196.75,12289.35,12616.301923076922,12855.907692307694,12631.498604587408
2013-06-06,12225.35,12475.05,12184.05,12398.4,12607.91346153846,12848.84807692308,12609.298737483845
2013-06-07,12347.55,12488.6,12209.25,12231.5,12594.698076923076,12837.513461538463,12573.317905342527
2013-06-10,12292.65,12363.8,12017.9,12087.05,12581.359615384614,12825.394230769232,12527.006676262286
2013-06-11,12007.75,12031.9,11795.45,11820.5,12566.25,12809.851923076927,12459.72032614207
2013-06-12,11791.1,11899.05,11732.35,11814.85,12540.396153846154,12780.990384615387,12398.30410460473
2013-06-13,11693.9,11793.3,11656.9,11686.75,12507.403846153844,12746.332692307693,12330.537047023327
