Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2020-05-15,9250,2020-05-21,6,CE,103.1,134.03,134.03,2020-05-15 14:26:00,136.0,93.95,-30.930000000000007,646.6214031684448,-20000.0,2.3713,-21533.333333333332,74.76559974135142,-2.153333333333333,2020
2020-05-15,9100,2020-05-21,6,PE,170.75,221.975,158.6,2020-05-15 15:29:00,198.9,141.8,12.150000000000006,390.4343582235237,4743.777452415815,3.2935000000000003,3457.88189360664,44.411908247925815,0.34578818936066397,2020
2020-05-18,9250,2020-05-21,3,CE,76.0,98.8,25.3,2020-05-18 15:29:00,79.1,25.3,50.7,877.1929824561405,44473.68421052633,1.013,43585.08771929826,101.42543859649125,4.358508771929825,2020
2020-05-18,9050,2020-05-21,3,PE,128.0,166.4,166.4,2020-05-18 09:35:00,297.0,123.05,-38.400000000000006,520.8333333333333,-20000.0,2.944,-21533.333333333336,58.91927083333333,-2.1533333333333333,2020
2020-05-19,9050,2020-05-21,2,CE,71.35,92.755,92.755,2020-05-19 10:16:00,111.65,40.1,-21.405,934.361130576968,-20000.0,1.64105,-21533.333333333332,105.6996028965195,-2.153333333333333,2020
2020-05-19,8850,2020-05-21,2,PE,106.0,137.8,89.85,2020-05-19 15:29:00,130.4,53.2,16.150000000000006,628.9308176100627,10157.232704402517,1.9585,8925.471698113208,69.57547169811319,0.8925471698113208,2020
2020-05-20,9000,2020-05-21,1,CE,55.55,72.215,72.215,2020-05-20 09:18:00,128.6,42.35,-16.665000000000006,1200.1200120011997,-20000.0,1.27765,-21533.333333333336,135.01350135013496,-2.1533333333333333,2020
2020-05-20,8800,2020-05-21,1,PE,46.15,59.995,4.5,2020-05-20 15:30:00,43.15,4.15,41.65,1444.5648248465152,60166.124954857354,0.5065,59434.45287107259,158.90213073311668,5.943445287107259,2020
2020-05-21,9150,2020-05-21,0,CE,12.0,15.600000000000001,15.600000000000001,2020-05-21 09:17:00,30.4,0.05,-3.6000000000000014,2185.792349726776,-7868.852459016397,0.276,-8472.131147540988,250.0,-0.8472131147540987,2020
2020-05-21,9000,2020-05-21,0,PE,17.65,22.945,0.05,2020-05-21 15:29:00,9.65,0.05,17.599999999999998,2222.222222222222,39111.1111111111,0.177,38717.777777777774,250.0,3.8717777777777775,2020
2020-05-22,9150,2020-05-28,6,CE,67.65,87.94500000000001,87.94500000000001,2020-05-22 09:27:00,115.75,51.0,-20.295,985.4644000985463,-20000.0,1.5559500000000004,-21533.333333333332,112.71249076127123,-2.153333333333333,2020
2020-05-22,9000,2020-05-28,6,PE,120.0,156.0,156.0,2020-05-22 10:37:00,165.65,90.2,-36.0,555.5555555555555,-20000.0,2.7600000000000002,-21533.333333333332,62.5,-2.153333333333333,2020
