,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
52,LONG,2022-04-01 12:15:00+05:30,2022-04-01 13:15:00+05:30,7361.95,7335.4,2022-04-06 09:15:00+05:30,7586.05,Reversed,224.10000000000036,218.12080000000037,407.50073010547476,3,91320.91361663704,88884.3852511904,9.132091361663704,8.88843852511904,2022
53,LONG,2022-04-05 15:15:00+05:30,2022-04-06 09:15:00+05:30,7586.05,7625.5,2022-04-06 09:15:00+05:30,7625.5,Initial SL Hit,39.44999999999982,33.36537999999982,395.462724342708,3,15601.004475319758,13194.76407352963,1.5601004475319757,1.319476407352963,2022
54,SHORT,2022-04-05 15:15:00+05:30,2022-04-06 09:15:00+05:30,7586.05,7625.5,2022-04-06 09:15:00+05:30,7625.5,Initial SL Hit,-39.44999999999982,-45.53461999999982,395.462724342708,3,-15601.004475319758,-18007.244877109886,-1.5601004475319757,-1.8007244877109887,2022
55,LONG,2022-04-06 10:15:00+05:30,2022-04-06 11:15:00+05:30,7642.5,7558.4,2022-04-07 12:15:00+05:30,7649.0,Reversed,6.5,0.38339999999999996,392.54170755642787,3,2551.521099116781,150.50049067713442,0.2551521099116781,0.015050049067713442,2022
56,SHORT,2022-04-07 11:15:00+05:30,2022-04-07 12:15:00+05:30,7649.0,7676.1,2022-04-08 12:15:00+05:30,7629.8,Reversed,19.199999999999818,13.08847999999982,392.20813178193225,3,7530.396130213028,5133.408288665114,0.7530396130213028,0.5133408288665114,2022
57,LONG,2022-04-08 11:15:00+05:30,2022-04-08 12:15:00+05:30,7629.8,7570.5,2022-04-12 09:15:00+05:30,7570.5,Initial SL Hit,-59.30000000000018,-65.38012000000018,393.1951034103122,3,-23316.469632231583,-25707.14304437869,-2.3316469632231582,-2.570714304437869,2022
58,LONG,2022-04-12 11:15:00+05:30,2022-04-12 12:15:00+05:30,7540.8,7476.35,2022-04-12 13:15:00+05:30,7476.35,Initial SL Hit,-64.44999999999982,-70.45685999999982,397.8357733927435,3,-25640.515595162244,-28030.25938892418,-2.5640515595162245,-2.803025938892418,2022
59,LONG,2022-04-13 13:15:00+05:30,2022-04-13 14:15:00+05:30,7524.85,7488.3,2022-04-18 09:15:00+05:30,7416.9,Gap Outside Initial SL,-107.95000000000073,-113.92670000000072,398.67904343608177,3,-43037.40273892532,-45420.18777782974,-4.303740273892532,-4.542018777782974,2022
60,LONG,2022-04-18 13:15:00+05:30,2022-04-18 14:15:00+05:30,7354.55,7321.05,2022-04-19 14:15:00+05:30,7321.05,Initial SL Hit,-33.5,-39.37024,407.91074912809074,3,-13665.01009579104,-16059.544091752725,-1.366501009579104,-1.6059544091752727,2022
61,SHORT,2022-04-20 10:15:00+05:30,2022-04-20 11:15:00+05:30,7369.45,7422.9,2022-04-21 10:15:00+05:30,7422.9,Initial SL Hit,-53.44999999999982,-59.366939999999815,407.08601048924953,3,-21758.747260650314,-24167.450759554573,-2.175874726065031,-2.416745075955457,2022
62,SHORT,2022-04-22 13:15:00+05:30,2022-04-22 14:15:00+05:30,7366.15,7425.95,2022-04-26 14:15:00+05:30,7308.2,Reversed,57.94999999999982,52.08025999999982,407.26838307664116,3,23601.20279929128,21210.643280410997,2.360120279929128,2.1210643280411,2022
63,LONG,2022-04-26 13:15:00+05:30,2022-04-26 14:15:00+05:30,7308.2,7275.4,2022-04-27 09:15:00+05:30,7264.4,Gap Outside Initial SL,-43.80000000000018,-49.62904000000018,410.49779699515614,3,-17979.803508387915,-20372.611586984556,-1.7979803508387915,-2.0372611586984557,2022
64,SHORT,2022-04-27 09:15:00+05:30,2022-04-27 10:15:00+05:30,7216.7,7331.45,2022-04-27 14:15:00+05:30,7256.65,Reversed,-39.94999999999982,-45.739339999999814,415.7024678869844,3,-16607.31359208495,-19013.956517521783,-1.660731359208495,-1.9013956517521784,2022
65,LONG,2022-04-27 13:15:00+05:30,2022-04-27 14:15:00+05:30,7256.65,7189.5,2022-04-29 15:15:00+05:30,7225.35,Reversed,-31.299999999999272,-37.09279999999927,413.4139031095616,3,-12939.855167328977,-15334.679225262045,-1.2939855167328975,-1.5334679225262045,2022
66,SHORT,2022-04-29 14:15:00+05:30,2022-04-29 15:15:00+05:30,7225.35,7337.45,2022-05-06 13:15:00+05:30,6913.1,Reversed,312.25,306.59462,415.20479976748527,3,129647.69872739728,127299.55780688825,12.964769872739728,12.729955780688824,2022
67,LONG,2022-05-06 12:15:00+05:30,2022-05-06 13:15:00+05:30,6913.1,6832.65,2022-05-09 09:15:00+05:30,6830.1,Gap Outside Initial SL,-83.0,-88.49728,433.95871606081204,3,-36018.5734330474,-38404.16600367418,-3.60185734330474,-3.840416600367418,2022
68,SHORT,2022-05-09 13:15:00+05:30,2022-05-09 14:15:00+05:30,6698.6,6789.05,2022-05-10 09:15:00+05:30,6722.6,Reversed,-24.0,-29.36848,447.8547756247574,3,-10748.514614994177,-13152.814020840176,-1.0748514614994176,-1.3152814020840176,2022
69,SHORT,2022-05-09 15:15:00+05:30,2022-05-10 09:15:00+05:30,6722.6,6684.55,2022-05-10 09:15:00+05:30,6684.55,Initial SL Hit,38.05000000000018,32.687140000000184,446.25591289084576,3,16980.037485496763,14586.829500490963,1.6980037485496762,1.4586829500490963,2022
70,LONG,2022-05-10 10:15:00+05:30,2022-05-10 11:15:00+05:30,6655.15,6786.7,2022-05-10 11:15:00+05:30,6675.8,Gap Outside Initial SL,20.650000000000546,15.317620000000545,450.77872023921327,3,9308.58057294,6904.857140710824,0.930858057294,0.6904857140710824,2022
71,SHORT,2022-05-10 13:15:00+05:30,2022-05-10 14:15:00+05:30,6613.8,6685.5,2022-05-16 14:15:00+05:30,6535.5,Reversed,78.30000000000018,73.04028000000018,453.5970244035199,3,35516.64701079569,33130.85366960001,3.551664701079569,3.3130853669600007,2022
72,LONG,2022-05-16 13:15:00+05:30,2022-05-16 14:15:00+05:30,6535.5,6441.3,2022-05-18 11:15:00+05:30,6743.3,Reversed,207.80000000000018,202.48848000000018,459.0314436538903,3,95386.73399127848,92948.57929768196,9.538673399127848,9.294857929768197,2022
73,SHORT,2022-05-18 10:15:00+05:30,2022-05-18 11:15:00+05:30,6743.3,6803.2,2022-05-20 14:15:00+05:30,6616.3,Reversed,127.0,121.65616,444.8860350273605,3,56500.52644847478,54123.12665905417,5.650052644847478,5.412312665905417,2022
74,LONG,2022-05-20 13:15:00+05:30,2022-05-20 14:15:00+05:30,6616.3,6583.2,2022-05-23 15:15:00+05:30,6650.8,Reversed,34.5,29.19316,453.42563063948126,3,15643.184257062103,13236.926983359279,1.5643184257062104,1.3236926983359278,2022
75,SHORT,2022-05-23 14:15:00+05:30,2022-05-23 15:15:00+05:30,6650.8,6760.4,2022-05-26 12:15:00+05:30,6452.0,Reversed,198.80000000000018,193.5588800000002,451.0735550610453,3,89673.42274613588,87309.29211523435,8.96734227461359,8.730929211523435,2022
76,LONG,2022-05-26 11:15:00+05:30,2022-05-26 12:15:00+05:30,6452.0,6386.8,2022-05-27 11:15:00+05:30,6612.95,Reversed,160.94999999999982,155.72401999999983,464.97210167389954,3,74837.25976441405,72407.32486050829,7.483725976441405,7.240732486050829,2022
77,SHORT,2022-05-27 10:15:00+05:30,2022-05-27 11:15:00+05:30,6612.95,6668.55,2022-05-27 13:15:00+05:30,6649.7,Reversed,-36.75,-42.05506,453.65532780377896,3,-16671.83329678888,-19078.502030107593,-1.6671833296788878,-1.9078502030107594,2022
