,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,DD%,Prof Loss Remark,Max High,Max Unrealised Profit,Value At Risk,Max nR,Booked nR,Booked nR w CS
41,LONG,2018-03-01 21:00:00+05:30,2018-03-02 17:00:00+05:30,30261,29807.085,2018-03-07 21:00:00+05:30,30493.0,Trailing SL Hit,232.0,213.7738,220.30556381701376,10,51110.89080554719,47095.55753830553,5.111089080554719,4.7095557538305535,2018,0.0,Profitable,30687.0,93850.17018604786,100000.0,0.9385017018604787,0.5111089080554719,0.4709555753830553
42,LONG,2018-04-06 13:00:00+05:30,2018-04-06 17:00:00+05:30,30596,30137.06,2018-04-26 17:00:00+05:30,31232.0,Trailing SL Hit,636.0,617.4516,217.89340654551856,10,138580.2065629498,134538.6325009809,13.85802065629498,13.453863250098088,2018,0.0,Profitable,31620.0,223122.848302611,100000.0,2.23122848302611,1.385802065629498,1.3453863250098088
43,LONG,2018-04-27 13:00:00+05:30,2018-04-27 17:00:00+05:30,31240,30771.399999999998,2018-05-08 09:00:00+05:30,31195.0,Trailing SL Hit,-45.0,-63.7305,213.4016218523251,10,-9603.072983354628,-13600.192061459604,-0.9603072983354628,-1.3600192061459604,2018,-1.3600192061459495,Lossy,31310.0,14938.113529662756,100000.0,0.14938113529662755,-0.09603072983354628,-0.13600192061459604
44,LONG,2018-06-29 17:00:00+05:30,2018-06-29 21:00:00+05:30,30448,29991.28,2018-07-06 17:00:00+05:30,30565.0,Trailing SL Hit,117.0,98.6961,218.95253109125886,10,25617.446137677285,21609.760903835995,2.5617446137677287,2.1609760903835995,2018,0.0,Profitable,30737.0,63277.28148537381,100000.0,0.632772814853738,0.25617446137677286,0.21609760903835995
45,LONG,2018-07-18 13:00:00+05:30,2018-07-18 17:00:00+05:30,29696,29250.56,2018-08-14 09:00:00+05:30,29694.0,Trailing SL Hit,-2.0,-19.817,224.49712643678228,10,-448.99425287356456,-4448.859554597714,-0.04489942528735646,-0.4448859554597714,2018,-0.4448859554597675,Lossy,29988.0,65553.16091954043,100000.0,0.6555316091954043,-0.004489942528735646,-0.04448859554597714
46,LONG,2018-11-23 21:00:00+05:30,2018-11-26 09:00:00+05:30,30519,30061.215,2018-12-18 13:00:00+05:30,31224.0,Trailing SL Hit,705.0,686.4771,218.4431556298263,10,154002.42471902753,149956.22399161183,15.400242471902754,14.995622399161183,2018,0.0,Profitable,32118.0,349290.60585209227,100000.0,3.492906058520923,1.5400242471902754,1.4995622399161184
47,LONG,2018-12-19 13:00:00+05:30,2018-12-19 17:00:00+05:30,31234,30765.489999999998,2018-12-31 09:00:00+05:30,31384.0,Trailing SL Hit,150.0,131.2146,213.44261595270018,10,32016.39239290503,28006.78747518717,3.2016392392905026,2.800678747518717,2018,0.0,Profitable,31768.0,113978.35691874189,100000.0,1.139783569187419,0.32016392392905024,0.2800678747518717
48,LONG,2018-12-31 13:00:00+05:30,2018-12-31 17:00:00+05:30,31470,30997.95,2019-01-24 13:00:00+05:30,32006.0,Trailing SL Hit,536.0,516.9572000000001,211.8419658934438,10,113547.29371888588,109513.22953077023,11.354729371888586,10.951322953077025,2018,0.0,Profitable,32390.0,194894.6086219683,100000.0,1.948946086219683,1.1354729371888586,1.0951322953077025
49,LONG,2019-02-07 13:00:00+05:30,2019-02-07 17:00:00+05:30,33150,32652.75,2019-02-12 09:00:00+05:30,32960.0,Trailing SL Hit,-190.0,-209.833,201.10608345902463,10,-38210.15585721468,-42198.69281045751,-3.8210155857214683,-4.219869281045751,2019,-4.21986928104576,Lossy,33258.0,21719.45701357466,100000.0,0.2171945701357466,-0.38210155857214684,-0.4219869281045751
50,LONG,2019-03-12 09:00:00+05:30,2019-03-12 13:00:00+05:30,31984,31504.239999999998,2019-03-13 21:00:00+05:30,32221.0,RSI Overbought,237.0,217.7385,208.43755210938716,10,49399.69984992476,45384.87993996979,4.939969984992476,4.538487993996979,2019,0.0,Profitable,32319.0,69826.5799566447,100000.0,0.698265799566447,0.49399699849924755,0.4538487993996979
51,LONG,2019-03-18 13:00:00+05:30,2019-03-18 17:00:00+05:30,31699,31223.515,2019-03-20 09:00:00+05:30,31781.0,RSI Overbought,82.0,62.956,210.31157660073373,10,17245.549281260166,13240.375616475794,1.7245549281260166,1.3240375616475795,2019,0.0,Profitable,32006.0,64565.65401642526,100000.0,0.6456565401642526,0.17245549281260167,0.13240375616475794
