entry date,entry time,index,strike,expiry,dte,option type,entry price,qty,exit date,exit time,exit price,points,slippage,final points,PnL,portfolio,index leverage,ROI%
2020-04-07,13:42:00,nifty,8450,2020-04-30,23,P,318.0,9450,2020-04-08,09:42:00,278.0,40.0,5.96,34.04,321678.0,10000000,8,3.21678
2020-04-08,09:43:00,nifty,9050,2020-04-30,22,C,323.1,8850,2020-04-08,10:20:00,437.95,-114.84999999999997,7.6105,-122.46049999999997,-1083775.4249999998,10000000,8,-10.837754249999998
2020-04-08,09:43:00,nifty,8650,2020-04-30,22,P,318.0,9225,2020-04-08,10:20:00,287.55,30.44999999999999,6.055499999999999,24.39449999999999,225039.2624999999,10000000,8,2.250392624999999
2020-04-08,10:21:00,nifty,9250,2020-04-30,22,C,330.0,8625,2020-04-08,11:46:00,254.2,75.80000000000001,5.8420000000000005,69.95800000000001,603387.7500000001,10000000,8,6.033877500000002
2020-04-08,10:21:00,nifty,8850,2020-04-30,22,P,329.75,9075,2020-04-08,11:46:00,446.4,-116.64999999999998,7.7615,-124.41149999999998,-1129034.3624999998,10000000,8,-11.290343624999998
2020-04-08,11:47:00,nifty,9050,2020-04-30,22,C,317.45,8850,2020-04-09,11:50:00,410.0,-92.55000000000001,7.274500000000001,-99.82450000000001,-883446.8250000002,10000000,8,-8.834468250000002
2020-04-08,11:47:00,nifty,8650,2020-04-30,22,P,375.0,9225,2020-04-09,11:50:00,273.5,101.5,6.485,95.015,876513.375,10000000,8,8.76513375
2020-04-09,11:51:00,nifty,9250,2020-04-30,21,C,287.95,8625,2020-04-15,10:46:00,360.0,-72.05000000000001,6.479500000000001,-78.52950000000001,-677316.9375000001,10000000,8,-6.773169375000001
2020-04-09,11:51:00,nifty,8850,2020-04-30,21,P,350.0,9075,2020-04-15,10:46:00,197.6,152.4,5.476,146.924,1333335.3,10000000,8,13.333353
2020-04-15,10:47:00,nifty,9400,2020-04-30,15,C,278.6,8475,2020-04-15,13:45:00,192.75,85.85000000000002,4.713500000000001,81.13650000000003,687631.8375000003,10000000,8,6.876318375000003
2020-04-15,10:47:00,nifty,9100,2020-04-30,15,P,274.1,8775,2020-04-15,13:45:00,358.0,-83.89999999999998,6.321000000000001,-90.22099999999998,-791689.2749999998,10000000,8,-7.916892749999999
2020-04-15,13:46:00,nifty,9200,2020-04-30,15,C,281.3,8700,2020-04-15,14:14:00,214.75,66.55000000000001,4.960500000000001,61.58950000000001,535828.65,10000000,8,5.3582865
2020-04-15,13:46:00,nifty,8950,2020-04-30,15,P,296.0,8925,2020-04-15,14:14:00,366.9,-70.89999999999998,6.629,-77.52899999999998,-691946.3249999998,10000000,8,-6.919463249999999
2020-04-15,14:15:00,nifty,9100,2020-04-30,15,C,256.6,8775,2020-04-17,09:15:00,402.4,-145.79999999999995,6.59,-152.38999999999996,-1337222.2499999995,10000000,8,-13.372222499999996
2020-04-15,14:15:00,nifty,8800,2020-04-30,15,P,290.65,9075,2020-04-17,09:15:00,110.8,179.84999999999997,4.0145,175.83549999999997,1595707.1624999996,10000000,8,15.957071624999998
2020-05-04,09:16:00,nifty,9750,2020-05-28,24,C,187.05,8175,2020-05-04,14:30:00,159.95,27.100000000000023,3.47,23.630000000000024,193175.2500000002,10000000,8,1.9317525000000018
2020-05-04,09:16:00,nifty,9300,2020-05-28,24,P,283.4,8625,2020-05-04,14:30:00,388.05,-104.65000000000003,6.714500000000001,-111.36450000000004,-960518.8125000003,10000000,8,-9.605188125000003
2020-05-04,14:31:00,nifty,9500,2020-05-28,24,C,260.5,8400,2020-05-12,10:06:00,94.25,166.25,3.5475,162.7025,1366701.0,10000000,8,13.66701
2020-05-04,14:31:00,nifty,9050,2020-05-28,24,P,294.05,8850,2020-05-12,10:06:00,275.15,18.900000000000034,5.692,13.208000000000034,116890.8000000003,10000000,8,1.168908000000003
2020-05-12,10:07:00,nifty,9200,2020-05-28,16,C,192.35,8700,2020-05-12,14:31:00,280.0,-87.65,4.7235000000000005,-92.3735,-803649.4500000001,10000000,8,-8.0364945
2020-05-12,10:07:00,nifty,8900,2020-05-28,16,P,208.75,9000,2020-05-12,14:31:00,147.3,61.44999999999999,3.5605,57.88949999999999,521005.49999999994,10000000,8,5.210055
2020-05-12,14:32:00,nifty,9350,2020-05-28,16,C,202.45,8550,2020-05-13,09:15:00,351.6,-149.15000000000003,5.5405,-154.69050000000004,-1322603.7750000004,10000000,8,-13.226037750000003
2020-05-12,14:32:00,nifty,9050,2020-05-28,16,P,194.8,8850,2020-05-13,09:15:00,119.2,75.60000000000001,3.14,72.46000000000001,641271.0000000001,10000000,8,6.4127100000000015
2020-05-13,09:16:00,nifty,9650,2020-05-28,15,C,194.95,8325,2020-05-14,09:15:00,105.0,89.94999999999999,2.9995,86.95049999999999,723862.9125,10000000,8,7.238629125
2020-05-13,09:16:00,nifty,9350,2020-05-28,15,P,203.55,8550,2020-05-14,09:15:00,300.9,-97.34999999999997,5.0445,-102.39449999999997,-875472.9749999997,10000000,8,-8.754729749999997
2020-05-14,09:16:00,nifty,9350,2020-05-28,14,C,199.1,8550,2020-05-15,09:18:00,135.0,64.1,3.341,60.75899999999999,519489.44999999995,10000000,8,5.194894499999999
2020-05-14,09:16:00,nifty,9100,2020-05-28,14,P,191.1,8775,2020-05-15,09:18:00,250.9,-59.80000000000001,4.42,-64.22000000000001,-563530.5000000001,10000000,8,-5.635305000000002
2020-05-15,09:19:00,nifty,9200,2020-05-28,13,C,191.2,8700,2020-05-18,09:36:00,130.45,60.75,3.2165,57.533500000000004,500541.45,10000000,8,5.0054145
2020-05-15,09:19:00,nifty,9000,2020-05-28,13,P,202.0,8925,2020-05-18,09:36:00,231.15,-29.150000000000006,4.3315,-33.481500000000004,-298822.3875,10000000,8,-2.988223875
2020-06-01,09:37:00,nifty,9950,2020-06-25,24,C,182.95,8025,2020-06-02,12:47:00,257.05,-74.10000000000002,4.4,-78.50000000000003,-629962.5000000002,10000000,8,-6.2996250000000025
2020-06-01,09:37:00,nifty,9500,2020-06-25,24,P,175.8,8400,2020-06-02,12:47:00,135.75,40.05000000000001,3.1155000000000004,36.934500000000014,310249.8000000001,10000000,8,3.102498000000001
2020-06-02,12:48:00,nifty,10200,2020-06-25,23,C,145.9,7875,2020-06-08,09:15:00,301.45,-155.54999999999998,4.4735000000000005,-160.02349999999998,-1260185.0624999998,10000000,8,-12.601850624999997
2020-06-02,12:48:00,nifty,9750,2020-06-25,23,P,210.0,8175,2020-06-08,09:15:00,90.05,119.95,3.0005,116.9495,956062.1625,10000000,8,9.560621625
2020-06-08,09:16:00,nifty,10500,2020-06-25,17,C,151.65,7650,2020-06-08,14:17:00,100.6,51.05000000000001,2.5225,48.52750000000001,371235.37500000006,10000000,8,3.7123537500000006
2020-06-08,09:16:00,nifty,10150,2020-06-25,17,P,197.05,7875,2020-06-08,14:17:00,268.25,-71.19999999999999,4.6530000000000005,-75.853,-597342.375,10000000,8,-5.97342375
2020-06-08,14:18:00,nifty,10300,2020-06-25,17,C,168.85,7800,2020-06-11,14:16:00,83.9,84.94999999999999,2.5275,82.42249999999999,642895.4999999999,10000000,8,6.428954999999998
2020-06-08,14:18:00,nifty,9950,2020-06-25,17,P,183.45,8025,2020-06-11,14:16:00,236.0,-52.55000000000001,4.1945,-56.74450000000001,-455374.61250000005,10000000,8,-4.553746125000001
2020-06-11,14:17:00,nifty,10100,2020-06-25,14,C,147.95,7950,2020-06-12,09:15:00,66.0,81.94999999999999,2.1395,79.81049999999999,634493.475,10000000,8,6.34493475
2020-06-11,14:17:00,nifty,9800,2020-06-25,14,P,171.95,8175,2020-06-12,09:15:00,311.5,-139.55,4.8345,-144.3845,-1180343.2875,10000000,8,-11.803432875000002
2020-06-12,09:16:00,nifty,9800,2020-06-25,13,C,160.65,8175,2020-06-12,13:35:00,226.65,-66.0,3.873,-69.873,-571211.775,10000000,8,-5.71211775
2020-06-12,09:16:00,nifty,9550,2020-06-25,13,P,187.75,8400,2020-06-12,13:35:00,148.0,39.75,3.3575,36.3925,305697.0,10000000,8,3.05697
2020-06-12,13:36:00,nifty,9950,2020-06-25,13,C,153.3,8025,2020-06-12,14:49:00,229.8,-76.5,3.8310000000000004,-80.331,-644656.275,10000000,8,-6.44656275
2020-06-12,13:36:00,nifty,9700,2020-06-25,13,P,194.0,8250,2020-06-12,14:49:00,137.05,56.94999999999999,3.3105,53.63949999999999,442525.87499999994,10000000,8,4.425258749999999
2020-06-12,14:50:00,nifty,10100,2020-06-25,13,C,155.0,7950,2020-06-15,10:17:00,101.5,53.5,2.565,50.935,404933.25,10000000,8,4.0493325
2020-06-12,14:50:00,nifty,9850,2020-06-25,13,P,186.95,8100,2020-06-15,10:17:00,243.35,-56.400000000000006,4.303,-60.703,-491694.30000000005,10000000,8,-4.916943000000001
2020-06-15,10:18:00,nifty,9950,2020-06-25,10,C,156.95,8025,2020-06-15,12:07:00,123.0,33.94999999999999,2.7995,31.150499999999987,249982.7624999999,10000000,8,2.4998276249999987
2020-06-15,10:18:00,nifty,9750,2020-06-25,10,P,199.45,8175,2020-06-15,12:07:00,252.0,-52.55000000000001,4.5145,-57.06450000000001,-466502.2875000001,10000000,8,-4.665022875000001
2020-06-15,12:08:00,nifty,9850,2020-06-25,10,C,160.0,8100,2020-06-15,14:18:00,213.2,-53.19999999999999,3.7319999999999998,-56.93199999999999,-461149.1999999999,10000000,8,-4.611491999999999
2020-06-15,12:08:00,nifty,9650,2020-06-25,10,P,207.45,8325,2020-06-15,14:18:00,146.55,60.89999999999998,3.54,57.35999999999998,477521.9999999998,10000000,8,4.775219999999998
2020-06-15,14:19:00,nifty,9950,2020-06-25,10,C,164.85,8025,2020-06-16,09:15:00,235.0,-70.15,3.9985000000000004,-74.14850000000001,-595041.7125000001,10000000,8,-5.950417125000001
2020-06-15,14:19:00,nifty,9750,2020-06-25,10,P,186.7,8175,2020-06-16,09:15:00,88.7,97.99999999999999,2.754,95.24599999999998,778636.0499999998,10000000,8,7.786360499999999
2020-07-01,09:16:00,nifty,10600,2020-07-30,29,C,152.65,7575,2020-07-03,09:15:00,264.75,-112.1,4.1739999999999995,-116.274,-880775.55,10000000,8,-8.8077555
2020-07-01,09:16:00,nifty,10000,2020-07-30,29,P,212.4,8025,2020-07-03,09:15:00,100.45,111.95,3.1285000000000003,108.8215,873292.5375,10000000,8,8.732925375
2020-07-03,09:16:00,nifty,10900,2020-07-30,27,C,129.3,7350,2020-07-17,15:14:00,165.45,-36.14999999999998,2.9475000000000002,-39.097499999999975,-287366.6249999998,10000000,8,-2.873666249999998
2020-07-03,09:16:00,nifty,10350,2020-07-30,27,P,192.5,7725,2020-07-17,15:14:00,38.3,154.2,2.3080000000000003,151.892,1173365.7,10000000,8,11.733657
2020-08-03,15:15:00,nifty,11300,2020-08-27,24,C,100.05,7050,2020-08-10,09:26:00,198.4,-98.35000000000001,2.9845,-101.3345,-714408.2250000001,10000000,8,-7.144082250000001
2020-08-03,15:15:00,nifty,10800,2020-08-27,24,P,204.05,7425,2020-08-10,09:26:00,54.55,149.5,2.5860000000000003,146.914,1090836.45,10000000,8,10.9083645
2020-08-10,09:27:00,nifty,11500,2020-08-27,17,C,105.5,6975,2020-08-25,09:15:00,64.8,40.7,1.703,38.997,272004.075,10000000,8,2.72004075
2020-08-10,09:27:00,nifty,11100,2020-08-27,17,P,123.0,7200,2020-08-25,09:15:00,5.05,117.95,1.2805000000000002,116.6695,840020.4,10000000,8,8.400204
2020-09-01,09:16:00,nifty,11750,2020-09-24,23,C,92.55,6825,2020-09-09,12:09:00,28.2,64.35,1.2075,63.14249999999999,430947.56249999994,10000000,8,4.309475624999999
2020-09-01,09:16:00,nifty,11200,2020-09-24,23,P,175.6,7125,2020-09-09,12:09:00,194.4,-18.80000000000001,3.7,-22.50000000000001,-160312.5000000001,10000000,8,-1.603125000000001
2020-09-09,12:10:00,nifty,11350,2020-09-24,15,C,129.3,7050,2020-09-10,09:21:00,179.85,-50.54999999999998,3.0915,-53.64149999999998,-378172.57499999984,10000000,8,-3.7817257499999983
2020-09-09,12:10:00,nifty,11050,2020-09-24,15,P,139.7,7275,2020-09-10,09:21:00,80.15,59.54999999999998,2.1985,57.35149999999998,417232.16249999986,10000000,8,4.172321624999999
2020-09-10,09:22:00,nifty,11500,2020-09-24,14,C,107.0,6975,2020-09-14,09:15:00,158.9,-51.900000000000006,2.659,-54.559000000000005,-380549.025,10000000,8,-3.80549025
2020-09-10,09:22:00,nifty,11200,2020-09-24,14,P,118.6,7125,2020-09-14,09:15:00,49.55,69.05,1.6814999999999998,67.3685,480000.5625,10000000,8,4.800005625
