,date,day,expiry,DTE,trade_num,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,ROC on Entry,Opt RSI on Entry,Spot RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Cumulative ROI%,Max Cumulative ROI%,DD,is_win
663,2024-11-08,Friday,2024-11-14,6,1,24200,C,153.6,10:15:00,245.0,0.05,2024-11-14,15:15:00,-53.95898817542284,6.459948320413432,34.728993404072455,EOD exit,153.54999999999998,1.5365000000000002,2892.561983471074,439708.4710743801,4.397084710743801,2024,11,221.0,0.05,4.441528925619834,100.0,2024-11-08 10:15:00,391.05601683963454,391.05601683963454,0.0,True
1283,2024-11-11,Monday,2024-11-14,3,1,24050,P,53.95,10:15:00,168.1,168.1,2024-11-12,13:15:00,-47.052996532937094,32.20164609053498,70.58484586574473,SL hit,-114.14999999999999,2.2205000000000004,2910.6029106029105,-338708.31600831595,-3.3870831600831597,2024,11,191.55,30.9,0.670893970893971,100.0,2024-11-11 10:15:00,387.6689336795514,391.05601683963454,-3.3870831600831366,False
664,2024-11-18,Monday,2024-11-21,3,1,23500,C,81.15,09:15:00,198.95,198.95,2024-11-19,09:15:00,-76.1622742078768,17.242633684976354,62.08998548621167,SL hit,-117.79999999999998,2.801,2978.723404255319,-359237.0212765957,-3.592370212765957,2024,11,247.0,69.0,0.36191489361702145,100.0,2024-11-18 09:15:00,384.07656346678544,391.05601683963454,-6.979453372849093,False
1284,2024-11-19,Tuesday,2024-11-21,2,2,23650,P,77.3,09:15:00,208.55,208.55,2024-11-19,14:45:00,-50.713606089438635,15.269855199648973,66.19864794591803,SL hit,-131.25,2.8585000000000003,2959.830866807611,-396938.4778012685,-3.9693847780126847,2024,11,242.55,44.6,0.9678646934460886,100.0,2024-11-19 09:15:00,380.10717868877276,391.05601683963454,-10.948838150861775,False
665,2024-11-19,Tuesday,2024-11-21,2,2,23700,C,105.85,09:15:00,107.95,107.95,2024-11-19,09:45:00,-26.151714582611707,89.29971988795518,73.88992289284806,SL hit,-2.1000000000000085,2.1380000000000003,2953.5864978902955,-12517.299578059097,-0.12517299578059096,2024,11,109.8,74.45,0.9274261603375525,100.0,2024-11-19 09:15:00,379.9820056929922,391.05601683963454,-11.074011146642363,False
1285,2024-11-21,Thursday,2024-11-21,0,3,23350,P,57.75,10:15:00,130.0,0.1,2024-11-21,15:15:00,-52.82009057225196,69.79982593559617,62.5791594703516,EOD exit,57.65,0.5785,2997.8586723768735,171092.29122055674,1.7109229122055676,2024,11,60.0,0.05,1.7297644539614558,100.0,2024-11-21 10:15:00,381.6929286051977,391.05601683963454,-9.363088234436816,True
666,2024-11-21,Thursday,2024-11-21,0,3,23400,C,5.65,12:15:00,134.45,0.05,2024-11-21,15:15:00,-96.94942467219695,19.90521327014217,59.34032059186208,EOD exit,5.6000000000000005,0.057,2991.4529914529912,16581.62393162393,0.1658162393162393,2024,11,7.9,0.05,0.16752136752136754,100.0,2024-11-21 12:15:00,381.858744844514,391.05601683963454,-9.197271995120559,True
667,2024-11-22,Friday,2024-11-28,6,1,23550,C,220.1,09:45:00,240.95,240.95,2024-11-22,11:45:00,-32.893727955835,97.94933655006031,82.74822313159558,SL hit,-20.849999999999994,4.6105,2972.3991507430997,-75678.76857749467,-0.7567876857749467,2024,11,295.75,156.45,1.891932059447983,100.0,2024-11-22 09:45:00,381.101957158739,391.05601683963454,-9.954059680895512,False
668,2024-11-22,Friday,2024-11-28,6,2,23600,C,240.2,11:45:00,263.8,263.8,2024-11-22,12:15:00,-20.400397088021172,83.26693227091633,70.22498803255097,SL hit,-23.600000000000023,5.04,2966.101694915254,-84949.15254237295,-0.8494915254237295,2024,11,279.95,220.15,0.594703389830508,100.0,2024-11-22 11:45:00,380.2524656333153,391.05601683963454,-10.803551206319241,False
1286,2024-11-25,Monday,2024-11-28,3,1,24300,P,138.9,10:15:00,198.35,198.35,2024-11-25,12:45:00,-85.18400678757027,1.4858626658972867,42.69108841141251,SL hit,-59.44999999999999,3.3725,2880.658436213992,-180970.1646090535,-1.8097016460905349,2024,11,264.0,119.1,0.5703703703703707,100.0,2024-11-25 10:15:00,378.44276398722474,391.05601683963454,-12.6132528524098,False
