Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
36,2017-01-27 09:00:00+05:30,2017-01-30 17:00:00+05:30,Short,28160.0,28478,-318.0,56.638,-374.638,1722.5949999999993
37,2017-02-01 09:00:00+05:30,2017-03-02 13:00:00+05:30,Long,28930.0,29326,396.0,58.256,337.744,2060.3389999999995
37,2017-02-16 21:00:00+05:30,2017-03-02 13:00:00+05:30,Add_Long,29414.0,29326,-88.0,58.74,-146.74,1913.5989999999995
38,2017-03-06 21:00:00+05:30,2017-03-21 17:00:00+05:30,Short,28938.0,28705,233.0,57.643,175.357,2088.9559999999997
39,2017-03-22 21:00:00+05:30,2017-03-29 09:00:00+05:30,Long,28900.0,28680,-220.0,57.58,-277.58,1811.3759999999997
40,2017-04-11 17:00:00+05:30,2017-04-24 09:00:00+05:30,Long,29207.0,29068,-139.0,58.275,-197.275,1614.1009999999997
41,2017-04-26 09:00:00+05:30,2017-05-17 13:00:00+05:30,Short,28686.0,28330,356.0,57.016,298.984,1913.0849999999996
42,2017-05-17 21:00:00+05:30,2017-06-09 09:00:00+05:30,Long,28625.0,29026,401.0,57.651,343.349,2256.4339999999997
43,2017-06-16 13:00:00+05:30,2017-07-17 13:00:00+05:30,Short,28720.0,28070,650.0,56.79,593.21,2849.644
44,2017-07-20 17:00:00+05:30,2017-08-03 09:00:00+05:30,Long,28345.0,28377,32.0,56.722,-24.722,2824.9219999999996
45,2017-08-09 21:00:00+05:30,2017-09-12 13:00:00+05:30,Long,28855.0,29846,991.0,58.701,932.299,3757.2209999999995
45,2017-08-28 21:00:00+05:30,2017-09-12 13:00:00+05:30,Add_Long,29443.0,29846,403.0,59.289,343.711,4100.932
46,2017-09-18 17:00:00+05:30,2017-09-25 17:00:00+05:30,Short,29580.0,29934,-354.0,59.514,-413.514,3687.4179999999997
47,2017-10-26 17:00:00+05:30,2017-11-06 21:00:00+05:30,Short,29315.0,29345,-30.0,58.660000000000004,-88.66,3598.758
48,2017-12-05 17:00:00+05:30,2017-12-22 17:00:00+05:30,Short,28960.0,28586,374.0,57.546,316.454,3915.212
49,2017-12-26 17:00:00+05:30,2018-02-07 17:00:00+05:30,Long,28778.0,30070,1292.0,58.848,1233.152,5148.364
