Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs
106,2023-07-20 17:00:00+05:30,2023-07-24 17:00:00+05:30,Long,227.2,218.8,-8.399999999999977,0.446,-8.845999999999977
107,2023-08-09 17:00:00+05:30,2023-08-10 21:00:00+05:30,Long,245.9,228.6,-17.30000000000001,0.47450000000000003,-17.77450000000001
108,2023-09-12 17:00:00+05:30,2023-09-13 21:00:00+05:30,Long,229.1,221.7,-7.400000000000006,0.4508,-7.850800000000006
109,2023-09-27 09:00:00+05:30,2023-10-11 17:00:00+05:30,Long,240.9,272.6,31.700000000000017,0.5135,31.186500000000017
109,2023-10-04 13:00:00+05:30,2023-10-11 17:00:00+05:30,Add_Long,248.4,272.6,24.200000000000017,0.521,23.679000000000016
110,2023-10-26 21:00:00+05:30,2023-11-06 09:00:00+05:30,Long,264.3,283.2,18.899999999999977,0.5475,18.352499999999978
111,2023-11-07 17:00:00+05:30,2023-11-13 09:00:00+05:30,Short,263.2,263.8,-0.6000000000000227,0.527,-1.1270000000000229
112,2023-11-27 17:00:00+05:30,2023-11-28 09:00:00+05:30,Short,228.3,246.9,-18.599999999999994,0.47520000000000007,-19.075199999999995
113,2023-12-06 21:00:00+05:30,2023-12-15 17:00:00+05:30,Short,214.4,204.6,9.800000000000011,0.419,9.38100000000001
114,2024-01-09 09:00:00+05:30,2024-01-16 09:00:00+05:30,Long,247.5,251.4,3.9000000000000057,0.4989,3.401100000000006
115,2024-01-17 09:00:00+05:30,2024-01-24 17:00:00+05:30,Short,233.0,217.9,15.099999999999994,0.45089999999999997,14.649099999999994
116,2024-01-29 09:00:00+05:30,2024-02-21 09:00:00+05:30,Short,177.6,141.0,36.599999999999994,0.31860000000000005,36.28139999999999
116,2024-02-01 21:00:00+05:30,2024-02-21 09:00:00+05:30,Add_Short,171.0,141.0,30.0,0.312,29.688
117,2024-02-27 17:00:00+05:30,2024-03-07 21:00:00+05:30,Long,151.9,154.3,2.4000000000000057,0.3062,2.0938000000000057
118,2024-03-26 09:00:00+05:30,2024-03-27 17:00:00+05:30,Long,151.7,144.3,-7.399999999999977,0.296,-7.6959999999999775
119,2024-04-25 09:00:00+05:30,2024-04-26 09:00:00+05:30,Short,134.0,166.2,-32.19999999999999,0.3002,-32.500199999999985
119,2024-04-26 09:00:00+05:30,2024-04-26 09:00:00+05:30,Long,166.2,166.2,0.0,0.3324,-0.3324
121,2024-06-17 17:00:00+05:30,2024-06-19 09:00:00+05:30,Short,232.3,243.4,-11.099999999999994,0.47570000000000007,-11.575699999999994
122,2024-07-01 17:00:00+05:30,2024-07-09 17:00:00+05:30,Short,208.9,201.5,7.400000000000006,0.4104,6.989600000000006
123,2024-07-17 17:00:00+05:30,2024-07-22 09:00:00+05:30,Short,173.9,181.2,-7.299999999999983,0.3551,-7.655099999999983
124,2024-08-12 09:00:00+05:30,2024-08-16 17:00:00+05:30,Long,187.9,179.8,-8.099999999999994,0.3677,-8.467699999999994
125,2024-08-22 17:00:00+05:30,2024-08-28 09:00:00+05:30,Short,171.3,175.6,-4.299999999999983,0.3469,-4.646899999999983
126,2024-09-23 17:00:00+05:30,2024-10-04 17:00:00+05:30,Long,217.3,240.6,23.299999999999983,0.4579,22.842099999999984
127,2024-10-14 17:00:00+05:30,2024-10-24 09:00:00+05:30,Short,212.3,201.8,10.5,0.4141,10.0859
