index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Cumulative_PnL,Trade Year,ROI% w cs
61,27,2018-02-01 09:00:00+05:30,2018-02-07 17:00:00+05:30,Add_Long,30170.0,28450.035714285714,30070,-100.0,60.24,-160.24,290.70371062522054,-46582.36259058534,-0.4658236259058534,13067.233464285711,2018,-0.4658236259058534
62,28,2018-02-14 21:00:00+05:30,2018-02-27 21:00:00+05:30,Long,30675.0,30102.785714285714,30305,-370.0,60.980000000000004,-430.98,873.7985270253394,-376589.68917738076,-3.7658968917738074,12636.253464285712,2018,-3.7658968917738074
63,28,2018-02-22 21:00:00+05:30,2018-02-27 21:00:00+05:30,Add_Long,30539.0,30102.785714285714,30305,-234.0,60.844,-294.844,1146.225642705091,-337957.7533977399,-3.379577533977399,12341.409464285713,2018,-3.379577533977399
64,29,2018-03-23 09:00:00+05:30,2018-03-28 21:00:00+05:30,Long,30795.0,30309.571428571428,30500,-295.0,61.295,-356.295,1030.017657445554,-366990.1412595637,-3.669901412595637,11985.114464285713,2018,-3.669901412595637
65,30,2018-04-02 21:00:00+05:30,2018-04-05 09:00:00+05:30,Long,31051.0,30632.285714285714,30632.285714285714,-418.71428571428623,61.68328571428571,-480.39757142857195,1194.1316956670064,-573657.9665643125,-5.7365796656431245,11504.716892857141,2018,-5.7365796656431245
66,31,2018-04-11 13:00:00+05:30,2018-04-27 09:00:00+05:30,Long,31256.0,30707.0,31175,-81.0,62.431000000000004,-143.431,910.7468123861566,-130629.32604735885,-1.3062932604735884,11361.28589285714,2018,-1.3062932604735884
67,31,2018-04-16 17:00:00+05:30,2018-04-27 09:00:00+05:30,Add_Long,31246.0,30707.0,31175,-71.0,62.421,-133.421,927.643784786642,-123767.16141001855,-1.2376716141001856,11227.86489285714,2018,-1.2376716141001856
68,31,2018-04-24 21:00:00+05:30,2018-04-27 09:00:00+05:30,Add_Long,31385.0,30707.0,31175,-210.0,62.56,-272.56,737.4631268436578,-201002.9498525074,-2.010029498525074,10955.30489285714,2018,-2.010029498525074
69,32,2018-08-27 09:00:00+05:30,2018-09-27 13:00:00+05:30,Long,29930.0,29512.321428571428,30560,630.0,60.49,569.51,1197.0927746900354,681756.306113722,6.81756306113722,11524.81489285714,2018,6.81756306113722
70,32,2018-09-05 09:00:00+05:30,2018-09-27 13:00:00+05:30,Add_Long,30347.0,29512.321428571428,30560,213.0,60.907000000000004,152.093,599.0329896024981,91108.72448761274,0.9110872448761274,11676.907892857142,2018,0.9110872448761274
71,32,2018-09-12 13:00:00+05:30,2018-09-27 13:00:00+05:30,Add_Long,30749.0,29512.321428571428,30560,-189.0,61.309000000000005,-250.309,404.3087763883671,-101202.12550899578,-1.0120212550899579,11426.598892857142,2018,-1.0120212550899579
72,32,2018-09-17 17:00:00+05:30,2018-09-27 13:00:00+05:30,Add_Long,30675.0,29512.321428571428,30560,-115.0,61.235,-176.235,430.04146828444135,-75788.35816310853,-0.7578835816310853,11250.363892857142,2018,-0.7578835816310853
73,33,2018-10-03 09:00:00+05:30,2018-10-31 09:00:00+05:30,Long,31285.0,30609.35714285714,31799,514.0,63.084,450.916,740.0359446030219,333694.0479966162,3.336940479966162,11701.279892857141,2018,3.336940479966162
74,33,2018-10-11 09:00:00+05:30,2018-10-31 09:00:00+05:30,Add_Long,31400.0,30609.35714285714,31799,399.0,63.199,335.801,632.3967838106411,212359.47240039706,2.1235947240039708,12037.08089285714,2018,2.1235947240039708
75,33,2018-10-18 21:00:00+05:30,2018-10-31 09:00:00+05:30,Add_Long,32055.0,30609.35714285714,31799,-256.0,63.854,-319.854,345.86689065665263,-110626.90844409296,-1.1062690844409295,11717.226892857141,2018,-1.1062690844409295
76,33,2018-10-23 09:00:00+05:30,2018-10-31 09:00:00+05:30,Add_Long,31978.0,30609.35714285714,31799,-179.0,63.777,-242.777,365.32540055320663,-88692.60477010584,-0.8869260477010583,11474.449892857141,2018,-0.8869260477010583
77,33,2018-10-26 13:00:00+05:30,2018-10-31 09:00:00+05:30,Add_Long,32114.0,30609.35714285714,31799,-315.0,63.913000000000004,-378.913,332.3047709470683,-125914.59767386649,-1.2591459767386648,11095.53689285714,2018,-1.2591459767386648
78,34,2018-12-03 17:00:00+05:30,2018-12-18 13:00:00+05:30,Long,30870.0,30406.785714285714,31224,354.0,62.094,291.906,1079.4140323824197,315087.4325366226,3.1508743253662264,11387.442892857141,2018,3.1508743253662264
79,34,2018-12-17 21:00:00+05:30,2018-12-18 13:00:00+05:30,Add_Long,31641.0,30406.785714285714,31224,-417.0,62.865,-479.865,405.1160368076855,-194401.00700272,-1.9440100700272,10907.577892857142,2018,-1.9440100700272
80,35,2019-01-10 09:00:00+05:30,2019-01-24 13:00:00+05:30,Long,32107.0,31610.785714285714,32006,-101.0,64.113,-165.113,1007.6291924571747,-166372.6788541815,-1.6637267885418148,10742.464892857142,2019,-1.6637267885418148
81,35,2019-01-23 13:00:00+05:30,2019-01-24 13:00:00+05:30,Add_Long,32194.0,31610.785714285714,32006,-188.0,64.2,-252.2,857.3178199632571,-216215.5541947334,-2.1621555419473344,10490.264892857142,2019,-2.1621555419473344
82,36,2019-01-29 09:00:00+05:30,2019-02-12 17:00:00+05:30,Long,32618.0,32126.35714285714,32852,234.0,65.47,168.53,1016.998401859651,171394.74066540698,1.7139474066540699,10658.794892857142,2019,1.7139474066540699
83,37,2019-02-18 09:00:00+05:30,2019-02-25 21:00:00+05:30,Long,33533.0,33032.357142857145,33334,-199.0,66.867,-265.867,998.715936652879,-265525.609930091,-2.65525609930091,10392.927892857142,2019,-2.65525609930091
84,38,2019-04-08 09:00:00+05:30,2019-04-11 17:00:00+05:30,Long,32126.0,31660.0,31858,-268.0,63.984,-331.984,1072.961373390558,-356206.008583691,-3.56206008583691,10060.943892857142,2019,-3.56206008583691
85,38,2019-04-10 21:00:00+05:30,2019-04-11 17:00:00+05:30,Add_Long,32274.0,31660.0,31858,-416.0,64.132,-480.132,814.3322475570033,-390986.9706840391,-3.9098697068403916,9580.811892857142,2019,-3.9098697068403916
