,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
85,85,85,2020-05-13 09:15:00+05:30,2020-05-14 09:15:00+05:30,Long,32055.79,31155.576666666668,31500.16,Trailing SL Hit,-555.630000000001,6.355595,-561.985595000001,2495.6489919605788,-1402518.7836581187,-14.025187836581186,2020
86,86,86,2020-05-21 09:15:00+05:30,2020-05-21 15:15:00+05:30,Long,30973.63,30433.855555555558,30939.93,Trailing SL Hit,-33.70000000000073,6.191356,-39.89135600000073,2582.842243547172,-103033.07942918083,-1.0303307942918083,2020
87,87,87,2020-05-27 12:15:00+05:30,2020-06-11 13:15:00+05:30,Long,31132.91,30657.837777777782,33709.87,Trailing SL Hit,2576.9600000000028,6.484278,2570.475722000003,2569.628088090705,6605166.615006442,66.05166615006442,2020
88,88,88,2020-06-12 14:15:00+05:30,2020-06-15 09:15:00+05:30,Long,33787.94,33108.65222222222,33372.11,Trailing SL Hit,-415.83000000000175,6.716005000000001,-422.54600500000174,2367.708715003045,-1000465.8585282244,-10.004658585282243,2020
89,89,89,2020-06-16 09:15:00+05:30,2020-06-16 12:15:00+05:30,Long,33827.72,33226.97111111111,33351.49,Trailing SL Hit,-476.2300000000032,6.717921,-482.9479210000032,2364.924387455022,-1142135.316243609,-11.42135316243609,2020
90,90,90,2020-06-18 13:15:00+05:30,2020-06-29 09:15:00+05:30,Long,34077.01,33574.938888888886,34703.63,Trailing SL Hit,626.6199999999953,6.878064,619.7419359999953,2347.6238085442355,1454920.9241068868,14.54920924106887,2020
91,91,91,2020-06-30 09:15:00+05:30,2020-06-30 14:15:00+05:30,Long,35181.53,34834.984444444446,34834.984444444446,Initial SL Hit,-346.5455555555527,7.001651444444445,-353.5472069999972,2273.9204349555007,-803938.218718736,-8.03938218718736,2020
92,92,92,2020-07-01 12:15:00+05:30,2020-07-14 10:15:00+05:30,Long,35368.61,35008.18222222222,36096.68,Trailing SL Hit,728.0699999999997,7.146529000000001,720.9234709999997,2261.892678281674,1630651.52065631,16.306515206563102,2020
93,93,93,2020-07-15 09:15:00+05:30,2020-07-15 14:15:00+05:30,Long,36547.28,36131.607777777775,36131.607777777775,Initial SL Hit,-415.67222222222335,7.267888777777777,-422.94011100000114,2188.945388001515,-925792.8053743013,-9.257928053743012,2020
94,94,94,2020-07-17 09:15:00+05:30,2020-07-30 13:15:00+05:30,Long,36682.66,36189.810000000005,37842.12,Trailing SL Hit,1159.4599999999991,7.452478,1152.0075219999992,2180.866927316612,2512375.1047497625,25.123751047497624,2020
95,95,95,2020-08-04 14:15:00+05:30,2020-08-05 14:15:00+05:30,Long,37690.59,37202.86888888889,37665.03,Trailing SL Hit,-25.55999999999767,7.535562,-33.09556199999767,2122.5457070319144,-70246.84304490361,-0.7024684304490362,2020
96,96,96,2020-08-06 12:15:00+05:30,2020-08-14 13:15:00+05:30,Long,38202.63,37700.34333333334,37923.51,Trailing SL Hit,-279.11999999999534,7.612614000000001,-286.73261399999535,2094.096662978439,-600445.8101444751,-6.004458101444751,2020
97,97,97,2020-08-18 09:15:00+05:30,2020-08-20 13:15:00+05:30,Long,38266.69,37884.776666666665,38223.09,Trailing SL Hit,-43.60000000000582,7.6489780000000005,-51.24897800000582,2090.591059744127,-107140.65522783562,-1.0714065522783562,2020
98,98,98,2020-08-24 12:15:00+05:30,2020-08-31 13:15:00+05:30,Long,38818.82,38521.165555555555,38773.68,Trailing SL Hit,-45.13999999999942,7.759250000000001,-52.89924999999942,2060.856048689785,-109017.73933365192,-1.0901773933365193,2020
99,99,99,2020-09-10 10:15:00+05:30,2020-09-14 15:15:00+05:30,Long,38661.91,38111.926666666666,38696.28,Trailing SL Hit,34.36999999999534,7.735819,26.634180999995344,2069.2200669858266,55111.981792923,0.5511198179292299,2020
100,100,100,2020-09-28 10:15:00+05:30,2020-10-15 13:15:00+05:30,Long,37874.49,37162.61777777777,39835.95,Trailing SL Hit,1961.4599999999991,7.771044000000001,1953.688955999999,2112.239663161141,4126659.302343079,41.26659302343079,2020
101,101,101,2020-10-19 09:15:00+05:30,2020-10-21 13:15:00+05:30,Long,40415.96,39864.62777777778,40255.26,Trailing SL Hit,-160.6999999999971,8.067122000000001,-168.7671219999971,1979.4160524703607,-334060.35041601805,-3.3406035041601805,2020
102,102,102,2020-11-03 09:15:00+05:30,2020-11-25 14:15:00+05:30,Long,40140.66,39558.06888888889,43844.7,Trailing SL Hit,3704.0399999999936,8.398536,3695.6414639999934,1992.9916448807767,7365382.560226949,73.65382560226949,2020
