,Trade No.,Entry Date,Entry Time,Entry Price,Entry Remark,Initial SL,Final SL,TSL Time,Exit Date,Exit Time,Exit Price,Remarks,Trade Year,Trade Month,Points Captured,Slippage,Points w cs,Qty,PnL,ROI%
56,29,2018-04-04,13:00:00,31065,Pyr Long,30676.6875,30378.0,2018-04-03 17:00:00+05:30,2018-04-05,09:00:00,30644,Trailing SL,2018,3,-421,61.709,-482.709,515.0490906164493,-248618.83148237565,-2.4861883148237562
57,30,2018-05-08,21:00:00,31224,Long,30833.7,30833.7,2018-05-08 17:00:00+05:30,2018-05-16,13:00:00,31001,Trailing SL,2018,5,-223,62.225,-285.225,1281.0658467845271,-365392.0061491168,-3.6539200614911675
58,31,2018-05-24,21:00:00,31463,Long,31069.7125,31069.7125,2018-05-08 17:00:00+05:30,2018-05-28,09:00:00,31069.7125,Initial SL,2018,5,-393.28749999999854,62.5327125,-455.82021249999855,1271.3345834790118,-579500.0000000003,-5.7950000000000035
59,32,2018-06-11,21:00:00,31213,Long,30822.8375,30822.8375,2018-06-12 17:00:00+05:30,2018-06-15,21:00:00,31010,Trailing SL,2018,6,-203,62.223,-265.223,1281.517316502744,-339887.8672348073,-3.398878672348073
60,33,2018-08-24,21:00:00,29889,Long,29515.3875,29515.3875,2018-09-21 17:00:00+05:30,2018-09-27,17:00:00,30319,Trailing SL,2018,8,430,60.208,369.79200000000003,1338.2849877881522,494887.08220415644,4.948870822041564
61,33,2018-08-30,13:00:00,30210,Pyr Long,29832.375,29515.3875,2018-09-21 17:00:00+05:30,2018-09-27,17:00:00,30319,Trailing SL,2018,8,109,60.529,48.471,529.6259516716319,25671.49950347567,0.2567149950347567
62,33,2018-09-05,09:00:00,30359,Pyr Long,29979.5125,30070.0,2018-09-21 17:00:00+05:30,2018-09-27,17:00:00,30319,Trailing SL,2018,8,-40,60.678000000000004,-100.678,527.0265819032257,-53059.98221285296,-0.5305998221285296
63,33,2018-09-10,17:00:00,30700,Pyr Long,30316.25,30070.0,2018-09-21 17:00:00+05:30,2018-09-27,17:00:00,30319,Trailing SL,2018,8,-381,61.019,-442.019,521.1726384364821,-230368.2084690554,-2.303682084690554
64,34,2018-10-03,13:00:00,31338,Long,30946.275,30946.275,2018-10-24 17:00:00+05:30,2018-10-31,17:00:00,31775,Trailing SL,2018,10,437,63.113,373.887,1276.4056417129411,477231.4761631264,4.772314761631264
65,34,2018-10-04,17:00:00,31480,Pyr Long,31086.5,30946.275,2018-10-24 17:00:00+05:30,2018-10-31,17:00:00,31775,Trailing SL,2018,10,295,63.255,231.745,508.2592121982211,117786.53113087676,1.1778653113087676
66,34,2018-10-11,13:00:00,31670,Pyr Long,31274.125,31202.0,2018-10-24 17:00:00+05:30,2018-10-31,17:00:00,31775,Trailing SL,2018,10,105,63.445,41.555,505.2099778970635,20994.000631512474,0.20994000631512474
67,34,2018-10-23,09:00:00,32097,Pyr Long,31695.787500000002,31783.0,2018-10-24 17:00:00+05:30,2018-10-31,17:00:00,31775,Trailing SL,2018,10,-322,63.872,-385.872,498.48895535408565,-192352.93018039173,-1.9235293018039175
