,Contract,Strike,Trade Type,Expiry Date,DTE,Entry Date,Entry Time,Entry Price,Initial SL,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Remarks,Qty,ROI%,Trade Year,Trade Month
0,BANKNIFTY1760823400CE,23400,CE,2017-06-08,2 days,2017-06-06,09:18:00,149.5,186.875,2017-06-06,15:22:00,141.5,8.0,5.09,EOD,254.92753684765108,0.1297581162554544,2017,6
1,BANKNIFTY1760823600PE,23600,PE,2017-06-08,2 days,2017-06-06,09:18:00,192.85,241.0625,2017-06-06,15:22:00,193.0,-0.15000000000000568,-4.008500000000006,EOD,254.92753684765108,-0.10218770314538109,2017,6
0,BANKNIFTY17JUN23100CE,23100,CE,2017-06-29,1 days,2017-06-28,09:18:00,116.15,145.1875,2017-06-28,09:25:00,145.1875,-29.037499999999994,-31.650874999999996,SL Hit,258.4129568256552,-0.8178996194869208,2017,6
1,BANKNIFTY17JUN23200CE,23200,CE,2017-06-29,1 days,2017-06-28,09:26:00,105.9,145.6125,2017-06-28,09:28:00,145.6125,-39.712500000000006,-42.227625,SL Hit,258.4129568256552,-1.0912165435974959,2017,6
2,BANKNIFTY17JUN23300PE,23300,PE,2017-06-29,1 days,2017-06-28,09:18:00,207.15,258.9375,2017-06-28,15:22:00,103.9,103.25,100.1395,EOD,258.4129568256552,2.5877344290042696,2017,6
0,BANKNIFTY1770623200CE,23200,CE,2017-07-06,3 days,2017-07-03,09:18:00,144.95,181.1875,2017-07-03,10:56:00,181.1875,-36.23750000000001,-39.49887500000001,SL Hit,258.1300200911199,-1.0195845397326637,2017,7
1,BANKNIFTY1770623300PE,23300,PE,2017-07-06,3 days,2017-07-03,09:18:00,178.0,222.5,2017-07-03,09:26:00,222.5,-44.5,-48.505,SL Hit,258.1300200911199,-1.252059662451977,2017,7
2,BANKNIFTY1770623000PE,23000,PE,2017-07-06,3 days,2017-07-03,09:27:00,87.5,120.3125,2017-07-03,15:22:00,32.1,55.4,54.204,EOD,258.1300200911199,1.3991679609019063,2017,7
0,BANKNIFTY1771323500CE,23500,CE,2017-07-13,0 days,2017-07-13,09:18:00,336.55,420.6875,2017-07-13,15:22:00,383.1,-46.55000000000001,-53.74650000000001,EOD,251.72906400840773,-1.3529556138727887,2017,7
1,BANKNIFTY1771324000PE,24000,PE,2017-07-13,0 days,2017-07-13,09:18:00,148.95,186.1875,2017-07-13,15:22:00,71.0,77.94999999999999,75.75049999999999,EOD,251.72906400840773,1.9068602463168887,2017,7
0,BANKNIFTY17JUL24500CE,24500,CE,2017-07-27,2 days,2017-07-25,09:18:00,106.8,133.5,2017-07-25,15:22:00,113.5,-6.700000000000003,-8.903000000000002,EOD,243.65828549847407,-0.2169289715792915,2017,7
1,BANKNIFTY17JUL24600PE,24600,PE,2017-07-27,2 days,2017-07-25,09:18:00,139.15,173.9375,2017-07-25,09:52:00,173.9375,-34.787499999999994,-37.918375,SL Hit,243.65828549847407,-0.9239126241388201,2017,7
2,BANKNIFTY17JUL24500PE,24500,PE,2017-07-27,2 days,2017-07-25,09:53:00,112.25,154.34375,2017-07-25,15:22:00,75.7,36.55,34.6705,EOD,243.65828549847407,0.8447754587374843,2017,7
0,BANKNIFTY1791424400CE,24400,CE,2017-09-14,6 days,2017-09-08,09:18:00,120.1,150.125,2017-09-08,15:22:00,107.4,12.699999999999989,10.424999999999988,EOD,245.769689224228,0.2562149010162574,2017,9
1,BANKNIFTY1791424400PE,24400,PE,2017-09-14,6 days,2017-09-08,09:18:00,158.0,197.5,2017-09-08,12:53:00,197.5,-39.5,-43.055,SL Hit,245.769689224228,-1.0581613969549137,2017,9
2,BANKNIFTY1791424200PE,24200,PE,2017-09-14,6 days,2017-09-08,12:54:00,105.5,145.0625,2017-09-08,15:22:00,86.8,18.700000000000003,16.777,EOD,245.769689224228,0.41232780761148735,2017,9
0,BANKNIFTY1791424600CE,24600,CE,2017-09-14,2 days,2017-09-12,09:18:00,143.3,179.125,2017-09-12,10:26:00,179.125,-35.82499999999999,-39.04924999999999,SL Hit,242.300399997577,-0.9461648894605379,2017,9
1,BANKNIFTY1791424800PE,24800,PE,2017-09-14,2 days,2017-09-12,09:18:00,174.7,218.375,2017-09-12,15:22:00,107.1,67.6,64.782,EOD,242.300399997577,1.5696704512643032,2017,9
0,BANKNIFTY17SEP24700CE,24700,CE,2017-09-28,6 days,2017-09-22,09:18:00,117.6,147.0,2017-09-22,15:22:00,53.7,63.89999999999999,62.18699999999999,EOD,242.81962144421016,1.5100223798751093,2017,9
1,BANKNIFTY17SEP24700PE,24700,PE,2017-09-28,6 days,2017-09-22,09:18:00,212.05,265.0625,2017-09-22,09:31:00,265.0625,-53.01249999999999,-57.78362499999999,SL Hit,242.81962144421016,-1.4030997948174195,2017,9
2,BANKNIFTY17SEP24300PE,24300,PE,2017-09-28,6 days,2017-09-22,09:32:00,100.05,137.56875,2017-09-22,15:13:00,137.56875,-37.51875,-39.8949375,SL Hit,242.81962144421016,-0.9687273621290423,2017,9
3,BANKNIFTY17SEP24100PE,24100,PE,2017-09-28,6 days,2017-09-22,15:14:00,93.5,128.5625,2017-09-22,15:22:00,88.45,5.049999999999997,3.2304999999999975,EOD,242.81962144421016,0.07844287870755202,2017,9
0,BANKNIFTY17SEP24200CE,24200,CE,2017-09-28,1 days,2017-09-27,09:18:00,141.2,176.5,2017-09-27,15:22:00,6.95,134.25,132.7685,EOD,246.9816780758481,3.279138692561324,2017,9
1,BANKNIFTY17SEP24400PE,24400,PE,2017-09-28,1 days,2017-09-27,09:18:00,142.6,178.25,2017-09-27,09:39:00,178.25,-35.650000000000006,-38.85850000000001,SL Hit,246.9816780758481,-0.9597337537510344,2017,9
2,BANKNIFTY17SEP24300PE,24300,PE,2017-09-28,1 days,2017-09-27,09:40:00,110.65,152.14375,2017-09-27,10:09:00,152.14375,-41.493750000000006,-44.12168750000001,SL Hit,246.9816780758481,-1.0897248418288172,2017,9
3,BANKNIFTY17SEP24200PE,24200,PE,2017-09-28,1 days,2017-09-27,10:10:00,110.25,151.59375,2017-09-27,10:12:00,151.59375,-41.34375,-43.9621875,SL Hit,246.9816780758481,-1.0857854840635073,2017,9
0,BANKNIFTY17OCT24500CE,24500,CE,2017-10-26,1 days,2017-10-25,09:18:00,274.55,343.1875,2017-10-25,12:56:00,343.1875,-68.63749999999999,-74.81487499999999,SL Hit,238.49462194627512,-1.7842945329082829,2017,10
1,BANKNIFTY17OCT24900CE,24900,CE,2017-10-26,1 days,2017-10-25,12:57:00,80.05,110.06875,2017-10-25,13:12:00,110.06875,-30.018749999999997,-31.919937499999996,SL Hit,238.49462194627512,-0.7612733426611229,2017,10
2,BANKNIFTY17OCT25000CE,25000,CE,2017-10-26,1 days,2017-10-25,13:13:00,80.0,110.0,2017-10-25,13:45:00,110.0,-30.0,-31.9,SL Hit,238.49462194627512,-0.7607978440086176,2017,10
3,BANKNIFTY17OCT24900PE,24900,PE,2017-10-26,1 days,2017-10-25,09:18:00,179.45,224.3125,2017-10-25,09:18:00,224.3125,-44.86250000000001,-48.90012500000001,SL Hit,238.49462194627512,-1.1662416825000599,2017,10
4,BANKNIFTY17OCT24700PE,24700,PE,2017-10-26,1 days,2017-10-25,09:19:00,92.0,126.5,2017-10-25,09:28:00,126.5,-34.5,-36.685,SL Hit,238.49462194627512,-0.8749175206099105,2017,10
5,BANKNIFTY17OCT24600PE,24600,PE,2017-10-26,1 days,2017-10-25,09:29:00,100.4,138.05,2017-10-25,09:30:00,138.05,-37.650000000000006,-40.03450000000001,SL Hit,238.49462194627512,-0.9548012942308153,2017,10
0,BANKNIFTY17OCT24600CE,24600,CE,2017-10-26,0 days,2017-10-26,09:18:00,390.0,487.5,2017-10-26,09:23:00,487.5,-97.5,-106.275,SL Hit,240.41640120689033,-2.555025303826227,2017,10
1,BANKNIFTY17OCT24900CE,24900,CE,2017-10-26,0 days,2017-10-26,09:24:00,233.65,321.26875,2017-10-26,15:22:00,103.0,130.65,127.2835,EOD,240.41640120689033,3.0601041003017224,2017,10
2,BANKNIFTY17OCT25200PE,25200,PE,2017-10-26,0 days,2017-10-26,09:18:00,232.6,290.75,2017-10-26,10:03:00,290.75,-58.150000000000006,-63.383500000000005,SL Hit,240.41640120689033,-1.5238432965896935,2017,10
3,BANKNIFTY17OCT25100PE,25100,PE,2017-10-26,0 days,2017-10-26,10:04:00,229.45,315.49375,2017-10-26,15:22:00,65.65,163.79999999999998,160.849,EOD,240.41640120689033,3.8670737717727097,2017,10
0,BANKNIFTY17110225200CE,25200,CE,2017-11-02,6 days,2017-10-27,09:18:00,119.5,149.375,2017-10-27,15:22:00,82.25,37.25,35.2325,EOD,240.97595260806264,0.8490185250263566,2017,10
1,BANKNIFTY17110224800PE,24800,PE,2017-11-02,6 days,2017-10-27,09:18:00,147.0,183.75,2017-10-27,15:22:00,127.0,20.0,17.259999999999998,EOD,240.97595260806264,0.41592449420151606,2017,10
0,BANKNIFTY17110225100CE,25100,CE,2017-11-02,1 days,2017-11-01,09:18:00,203.1,253.875,2017-11-01,09:24:00,253.875,-50.775000000000006,-55.344750000000005,SL Hit,238.07114756244906,-1.3175988144056854,2017,11
1,BANKNIFTY17110225400CE,25400,CE,2017-11-02,1 days,2017-11-01,09:25:00,80.0,110.0,2017-11-01,10:03:00,110.0,-30.0,-31.9,SL Hit,238.07114756244906,-0.7594469607242125,2017,11
2,BANKNIFTY17110225400CE,25400,CE,2017-11-02,1 days,2017-11-01,10:04:00,110.1,151.3875,2017-11-01,11:25:00,151.3875,-41.287499999999994,-43.90237499999999,SL Hit,238.07114756244906,-1.0451888796966973,2017,11
3,BANKNIFTY17110225200PE,25200,PE,2017-11-02,1 days,2017-11-01,09:18:00,84.65,105.8125,2017-11-01,15:22:00,13.4,71.25,70.2695,EOD,238.07114756244906,1.6729140503639512,2017,11
0,BANKNIFTY17110225100CE,25100,CE,2017-11-02,0 days,2017-11-02,09:18:00,375.3,469.125,2017-11-02,15:22:00,314.95,60.35000000000002,53.44750000000002,EOD,235.4136708642232,1.2582272173515574,2017,11
1,BANKNIFTY17110225800PE,25800,PE,2017-11-02,0 days,2017-11-02,09:18:00,308.25,385.3125,2017-11-02,15:22:00,350.15,-41.89999999999998,-48.48399999999998,EOD,235.4136708642232,-1.1413796418180993,2017,11
0,BANKNIFTY17110925000CE,25000,CE,2017-11-09,0 days,2017-11-09,09:18:00,327.0,408.75,2017-11-09,15:22:00,280.15,46.85000000000002,40.77850000000002,EOD,237.3661848133115,0.9679436967409629,2017,11
1,BANKNIFTY17110925600PE,25600,PE,2017-11-09,0 days,2017-11-09,09:18:00,261.45,326.8125,2017-11-09,10:59:00,326.8125,-65.36250000000001,-71.24512500000002,SL Hit,237.3661848133115,-1.6911183507797485,2017,11
0,BANKNIFTY17112325800CE,25800,CE,2017-11-23,6 days,2017-11-17,09:18:00,193.15,241.4375,2017-11-17,09:51:00,241.4375,-48.287499999999994,-52.633374999999994,SL Hit,231.75150059096634,-1.219786363741705,2017,11
