,Date,Position,Type,Expiry,Index,Contract,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Points,ROI,PnL_w_cs,ROI_w_cs,Trade Year
3702,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18400CE,9:16:00,10:05:00,3.8,1.9,-163.0434783,309.7826087,1.9,0.0003097826087,308.85326087369003,0.030885326087369002,2023
3703,2023-05-18,CLOSED,STRADDLE,2023-05-18,NIFTY,18400PE,9:16:00,10:05:00,130.05,176.95,-163.0434783,-7646.73913,-46.9,-0.00764673913,-7696.7934778380995,-0.76967934778381,2023
3704,2023-05-18,CLOSED,REBALANCE,2023-05-18,NIFTY,18150CE,10:05:00,15:22:00,83.4,14.1,-165.2892562,11454.54545,69.3,0.011454545449999999,11438.4297475205,1.14384297475205,2023
3705,2023-05-18,CLOSED,REBALANCE,2023-05-18,NIFTY,18150PE,10:05:00,15:22:00,8.25,9.6,-165.2892562,-223.1404959,-1.35,-0.0002231404959,-226.09090912316998,-0.022609090912316998,2023
3706,2023-05-18,CLOSED,REBALANCE,2023-05-18,NIFTY,18100CE,14:08:00,15:22:00,73.9,55.45,-165.7458564,3058.01105,18.45,0.00305801105,3036.57182347466,0.303657182347466,2023
3707,2023-05-18,CLOSED,REBALANCE,2023-05-18,NIFTY,18100PE,14:08:00,15:22:00,3.0,0.55,-165.7458564,406.0773481,2.45,0.0004060773481,405.48895030978,0.040548895030978,2023
3708,2023-05-18,CLOSED,REBALANCE,2023-05-18,NIFTY,18050CE,15:07:00,15:22:00,71.55,105.35,-166.2049861,-5617.728532,-33.8,-0.005617728532,-5647.13019404109,-0.564713019404109,2023
3709,2023-05-18,CLOSED,REBALANCE,2023-05-18,NIFTY,18050PE,15:07:00,15:22:00,0.25,0.2,-166.2049861,8.310249307,0.05,8.310249307e-06,8.235457063255,0.0008235457063255,2023
3710,2023-05-25,CLOSED,HEDGE,2023-05-25,NIFTY,18000PE,9:16:00,15:22:00,1.35,0.15,833.3333333,-1000.0,-1.2,-0.001,-998.75000000005,-0.099875000000005,2023
3711,2023-05-25,CLOSED,HEDGE,2023-05-25,NIFTY,18500CE,9:16:00,15:22:00,1.35,0.3,810.8108108,-851.3513514,-1.05,-0.0008513513514,-850.01351356218,-0.085001351356218,2023
3712,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18150CE,9:16:00,15:15:00,122.65,175.75,-165.2892562,-8776.859504,-53.1,-0.008776859504,-8826.18181805008,-0.882618181805008,2023
3713,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18150PE,9:16:00,15:15:00,6.6,0.05,-165.2892562,1082.644628,6.55,0.001082644628,1081.54545444627,0.108154545444627,2023
3714,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18200CE,9:16:00,15:22:00,82.05,104.85,-164.8351648,-3758.241758,-22.8,-0.0037582417580000003,-3789.04945030112,-0.378904945030112,2023
3715,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18200PE,9:16:00,15:22:00,15.2,0.55,-164.8351648,2414.835165,14.65,0.002414835165,2412.2390111544,0.24122390111544,2023
3716,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18250CE,9:16:00,15:22:00,47.5,56.35,-164.3835616,-1454.794521,-8.85,-0.001454794521,-1471.86575387216,-0.147186575387216,2023
3717,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18250PE,9:16:00,15:22:00,31.15,1.85,-164.3835616,4816.438356,29.3,0.004816438356,4811.0136984672,0.48110136984672,2023
3718,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18300CE,9:16:00,15:22:00,22.75,13.55,-163.9344262,1508.196721,9.2,0.001508196721,1502.2459013289401,0.15022459013289402,2023
3719,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18300PE,9:16:00,15:22:00,57.35,9.05,-163.9344262,7918.032787,48.3,0.007918032787,7907.14754110032,0.790714754110032,2023
3720,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18350CE,9:16:00,15:22:00,10.5,1.15,-163.4877384,1528.610354,9.35,0.001528610354,1526.70572184764,0.15267057218476401,2023
3721,2023-05-25,CLOSED,STRADDLE,2023-05-25,NIFTY,18350PE,9:16:00,15:22:00,94.15,46.7,-163.4877384,7757.493188,47.45,0.007757493188,7734.465940046361,0.7734465940046361,2023
3722,2023-05-25,CLOSED,REBALANCE,2023-05-25,NIFTY,18400CE,15:15:00,15:22:00,0.05,0.6,-163.0434783,-89.67391304,-0.55,-8.967391304e-05,-89.779891300895,-0.0089779891300895,2023
3723,2023-05-25,CLOSED,REBALANCE,2023-05-25,NIFTY,18400PE,15:15:00,15:22:00,74.25,96.3,-163.0434783,-3595.108696,-22.05,-0.003595108696,-3622.9157612240647,-0.3622915761224065,2023
3724,2023-06-01,CLOSED,HEDGE,2023-06-01,NIFTY,18250PE,9:16:00,15:22:00,1.3,0.15,821.9178082,-945.2054795,-1.15,-0.0009452054795,-944.01369867811,-0.094401369867811,2023
3725,2023-06-01,CLOSED,HEDGE,2023-06-01,NIFTY,18850CE,9:16:00,15:22:00,0.95,0.2,795.7559682,-596.8169761,-0.75,-0.0005968169761,-595.90185673657,-0.059590185673657,2023
3726,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18450CE,9:16:00,15:22:00,94.5,78.95,-162.601626,2528.455285,15.55,0.002528455285,2500.2520329703,0.25002520329703004,2023
3727,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18450PE,9:16:00,15:22:00,13.05,0.5,-162.601626,2040.650407,12.55,0.0020406504070000003,2038.4471549677,0.20384471549677,2023
3728,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18500CE,9:16:00,15:22:00,57.15,32.7,-162.1621622,3964.864865,24.45,0.003964864865,3950.29459472633,0.395029459472633,2023
3729,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18500PE,9:16:00,15:22:00,26.85,4.4,-162.1621622,3640.540541,22.45,0.003640540541,3635.47297343125,0.363547297343125,2023
3730,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18550CE,9:16:00,15:22:00,30.55,5.2,-161.7250674,4099.730458,25.35,0.004099730458,4093.94878684045,0.409394878684045,2023
3731,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18550PE,9:16:00,15:22:00,49.9,26.75,-161.7250674,3743.93531,23.15,0.00374393531,3731.5390835837898,0.37315390835837897,2023
3732,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18600CE,9:16:00,15:22:00,14.9,0.75,-161.2903226,2282.258065,14.15,0.002282258065,2279.73387145131,0.227973387145131,2023
3733,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18600PE,9:16:00,15:22:00,83.3,72.6,-161.2903226,1725.806452,10.7,0.001725806452,1700.66129070666,0.170066129070666,2023
3734,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18650CE,9:16:00,15:18:00,5.85,0.05,-160.8579088,932.9758713,5.8,0.0009329758713,932.02680963808,0.093202680963808,2023
3735,2023-06-01,CLOSED,STRADDLE,2023-06-01,NIFTY,18650PE,9:16:00,15:18:00,123.55,163.5,-160.8579088,-6426.273458,-39.95,-0.006426273458,-6472.447720721039,-0.647244772072104,2023
3736,2023-06-01,CLOSED,REBALANCE,2023-06-01,NIFTY,18400CE,15:18:00,15:22:00,86.2,128.4,-163.0434783,-6880.434783,-42.2,-0.006880434782999999,-6915.42391344318,-0.691542391344318,2023
3737,2023-06-01,CLOSED,REBALANCE,2023-06-01,NIFTY,18400PE,15:18:00,15:22:00,0.1,0.3,-163.0434783,-32.60869565,-0.2,-3.2608695650000004e-05,-32.67391304132,-0.0032673913041319997,2023
3738,2023-06-08,CLOSED,HEDGE,2023-06-08,NIFTY,18450PE,9:16:00,15:22:00,1.65,0.2,813.0081301,-1178.861789,-1.45,-0.0011788617890000001,-1177.357723959315,-0.11773577239593151,2023
3739,2023-06-08,CLOSED,HEDGE,2023-06-08,NIFTY,19050CE,9:16:00,15:22:00,0.7,0.15,787.4015748,-433.0708661,-0.55,-0.0004330708661,-432.40157476141997,-0.043240157476141995,2023
3740,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18650CE,9:16:00,15:22:00,102.7,6.35,-160.8579088,15498.65952,96.35,0.01549865952,15481.11796504536,1.548111796504536,2023
3741,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18650PE,9:16:00,15:22:00,9.7,15.85,-160.8579088,-989.2761394,-6.15,-0.0009892761394,-993.3860589698401,-0.09933860589698401,2023
3742,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18700CE,9:16:00,15:22:00,63.3,0.4,-160.4278075,10090.90909,62.9,0.010090909089999999,10080.689838662249,1.008068983866225,2023
3743,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18700PE,9:16:00,15:22:00,20.0,59.8,-160.4278075,-6385.026738,-39.8,-0.006385026738,-6397.8288770385,-0.63978288770385,2023
3744,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18750CE,9:16:00,15:22:00,31.1,0.25,-160.0,4936.0,30.85,0.004936,4930.984,0.49309840000000005,2023
3745,2023-06-08,CLOSED,STRADDLE,2023-06-08,NIFTY,18750PE,9:16:00,15:22:00,38.6,109.3,-160.0,-11312.0,-70.7,-0.011312,-11335.664,-1.1335664,2023
