entry_time,entry_price,exit_time,exit_price,strike,call_put,dir,exit_type,expiry,pnl,index,entry_type,num_indices,index_leverage,pnl_w_cs,qty,roi
2023-02-09 10:15,123.5,2023-02-09 14:44,6.175000000000005,41400,P,short,trgt,2023-02-09,117.32499999999999,BNF,original,2,7,114.73149999999998,14,0.0016062409999999998
2023-02-09 10:15,33.55,2023-02-09 14:56,1.6775000000000013,17850,P,short,trgt,2023-02-09,31.872499999999995,NIFTY,original,2,10,31.167949999999994,46,0.0014337256999999996
2023-02-09 11:15,24.85,2023-02-09 12:41,39.760000000000005,17850,P,short,sl,2023-02-09,-14.910000000000004,NIFTY,original,2,10,-16.202200000000005,46,-0.0007453012000000001
2023-02-09 11:15,104.85,2023-02-09 12:42,167.76,41400,P,short,sl,2023-02-09,-62.91,BNF,original,2,7,-68.3622,14,-0.0009570707999999999
2023-02-09 11:15,99.55,2023-02-09 13:49,159.28,41400,C,short,sl,2023-02-09,-59.730000000000004,BNF,original,2,7,-64.9066,14,-0.0009086923999999998
2023-02-09 11:15,42.0,2023-02-09 14:04,67.2,17850,C,short,sl,2023-02-09,-25.200000000000003,NIFTY,original,2,10,-27.384000000000004,46,-0.0012596640000000002
2023-02-09 12:15,104.6,2023-02-09 13:42,177.82,41300,C,short,sl,2023-02-09,-73.22,BNF,original,2,7,-78.8684,14,-0.0011041576
2023-02-09 12:15,24.6,2023-02-09 13:49,41.82,17850,C,short,sl,2023-02-09,-17.22,NIFTY,original,2,10,-18.548399999999997,46,-0.0008532263999999998
2023-02-09 12:15,101.85,2023-02-09 14:26,5.092500000000004,41300,P,short,trgt,2023-02-09,96.7575,BNF,original,2,7,94.61864999999999,14,0.0013246610999999998
2023-02-09 12:15,36.1,2023-02-09 14:36,1.8050000000000017,17850,P,short,trgt,2023-02-09,34.295,NIFTY,original,2,10,33.5369,46,0.0015426974
2023-02-09 13:15,94.25,2023-02-09 13:41,169.65,41300,C,short,sl,2023-02-09,-75.4,BNF,original,2,7,-80.67800000000001,14,-0.0011294920000000002
2023-02-09 13:15,18.65,2023-02-09 13:42,33.57,17850,C,short,sl,2023-02-09,-14.920000000000002,NIFTY,original,2,10,-15.964400000000001,46,-0.0007343624
2023-02-09 13:15,73.0,2023-02-09 14:36,3.650000000000003,41300,P,short,trgt,2023-02-09,69.35,BNF,original,2,7,67.817,14,0.0009494379999999998
2023-02-09 13:15,34.45,2023-02-09 14:36,1.7225000000000017,17850,P,short,trgt,2023-02-09,32.7275,NIFTY,original,2,10,32.00405,46,0.0014721863
2023-02-09 14:15,23.65,2023-02-09 15:04,1.182500000000001,17900,C,short,trgt,2023-02-09,22.467499999999998,NIFTY,original,2,10,21.97085,46,0.0010106591
2023-02-09 14:15,49.3,2023-02-09 15:10,2.465000000000002,41500,P,short,trgt,2023-02-09,46.834999999999994,BNF,original,2,7,45.799699999999994,14,0.0006411958
2023-02-09 14:15,18.4,2023-02-09 15:23,7.9,17900,P,short,time,2023-02-09,10.499999999999998,NIFTY,original,2,10,9.973999999999998,46,0.0004588039999999999
2023-02-09 14:15,85.85,2023-02-09 15:23,52.0,41500,C,short,time,2023-02-09,33.849999999999994,BNF,original,2,7,31.092999999999993,14,0.0004353019999999999
2023-02-14 09:16,31.4,2023-02-14 12:51,43.959999999999994,18500,C,short,sl,2023-02-14,-12.559999999999995,FINNIFTY,original,1,8,-14.067199999999994,72,-0.0010128383999999995
2023-02-14 09:16,64.6,2023-02-14 14:02,3.2300000000000026,18500,P,short,trgt,2023-02-14,61.36999999999999,FINNIFTY,original,1,8,60.01339999999999,72,0.0043209647999999995
2023-02-14 10:15,40.6,2023-02-14 12:08,60.900000000000006,18450,C,short,sl,2023-02-14,-20.300000000000004,FINNIFTY,original,1,8,-22.330000000000005,72,-0.0016077600000000004
2023-02-14 10:15,36.55,2023-02-14 13:55,1.8275000000000015,18450,P,short,trgt,2023-02-14,34.7225,FINNIFTY,original,1,8,33.95495,72,0.0024447563999999995
2023-02-14 11:15,33.05,2023-02-14 12:00,52.879999999999995,18450,C,short,sl,2023-02-14,-19.83,FINNIFTY,original,1,8,-21.548599999999997,72,-0.0015514991999999997
2023-02-14 11:15,36.75,2023-02-14 13:55,1.8375000000000017,18450,P,short,trgt,2023-02-14,34.9125,FINNIFTY,original,1,8,34.140750000000004,72,0.0024581340000000003
2023-02-14 12:15,32.95,2023-02-14 13:52,56.015,18500,C,short,sl,2023-02-14,-23.064999999999998,FINNIFTY,original,1,8,-24.844299999999997,72,-0.0017887895999999998
2023-02-14 12:15,31.35,2023-02-14 14:30,1.5675000000000014,18500,P,short,trgt,2023-02-14,29.7825,FINNIFTY,original,1,8,29.12415,72,0.0020969388
2023-02-14 13:15,39.0,2023-02-14 14:01,70.2,18500,C,short,sl,2023-02-14,-31.200000000000003,FINNIFTY,original,1,8,-33.384,72,-0.002403648
2023-02-14 13:15,20.3,2023-02-14 14:32,1.015000000000001,18500,P,short,trgt,2023-02-14,19.285,FINNIFTY,original,1,8,18.8587,72,0.0013578263999999998
2023-02-14 14:15,14.05,2023-02-14 15:11,0.7025000000000007,18600,C,short,trgt,2023-02-14,13.3475,FINNIFTY,original,1,8,13.05245,71,0.0009267239500000001
2023-02-14 14:15,33.75,2023-02-14 15:23,4.4,18600,P,short,time,2023-02-14,29.35,FINNIFTY,original,1,8,28.587,71,0.0020296769999999997
2023-02-16 09:16,30.25,2023-02-16 09:17,42.349999999999994,18100,C,short,sl,2023-02-16,-12.099999999999994,NIFTY,original,2,10,-13.551999999999994,46,-0.0006233919999999996
2023-02-16 09:16,103.8,2023-02-16 09:25,145.32,41900,C,short,sl,2023-02-16,-41.519999999999996,BNF,original,2,7,-46.502399999999994,13,-0.0006045311999999999
2023-02-16 09:16,120.85,2023-02-16 10:21,169.18999999999997,41900,P,short,sl,2023-02-16,-48.339999999999975,BNF,original,2,7,-54.14079999999998,13,-0.0007038303999999997
2023-02-16 09:16,46.5,2023-02-16 14:28,65.1,18100,P,short,sl,2023-02-16,-18.599999999999994,NIFTY,original,2,10,-20.831999999999994,46,-0.0009582719999999997
2023-02-16 10:15,116.7,2023-02-16 10:21,175.05,41900,P,short,sl,2023-02-16,-58.35000000000001,BNF,original,2,7,-64.185,13,-0.000834405
2023-02-16 10:15,28.75,2023-02-16 12:33,43.125,18100,P,short,sl,2023-02-16,-14.375,NIFTY,original,2,10,-15.8125,46,-0.0007273749999999999
2023-02-16 10:15,82.0,2023-02-16 14:48,4.100000000000003,41900,C,short,trgt,2023-02-16,77.89999999999999,BNF,original,2,7,76.178,13,0.000990314
2023-02-16 10:15,37.5,2023-02-16 14:55,1.8750000000000018,18100,C,short,trgt,2023-02-16,35.625,NIFTY,original,2,10,34.8375,46,0.0016025249999999998
2023-02-16 11:15,22.2,2023-02-16 11:55,35.52,18100,P,short,sl,2023-02-16,-13.320000000000004,NIFTY,original,2,10,-14.474400000000005,46,-0.0006658224000000002
2023-02-16 11:15,66.2,2023-02-16 12:36,105.92000000000002,41800,P,short,sl,2023-02-16,-39.72000000000001,BNF,original,2,7,-43.16240000000001,13,-0.0005611112000000002
2023-02-16 11:15,36.2,2023-02-16 14:55,1.8100000000000018,18100,C,short,trgt,2023-02-16,34.39,NIFTY,original,2,10,33.6298,46,0.0015469708
2023-02-16 11:15,127.25,2023-02-16 15:01,6.362500000000006,41800,C,short,trgt,2023-02-16,120.88749999999999,BNF,original,2,7,118.21524999999998,13,0.0015367982499999997
2023-02-16 12:15,88.25,2023-02-16 12:37,150.025,41800,P,short,sl,2023-02-16,-61.775000000000006,BNF,original,2,7,-66.54050000000001,13,-0.0008650265000000001
2023-02-16 12:15,32.5,2023-02-16 12:40,55.25,18100,P,short,sl,2023-02-16,-22.75,NIFTY,original,2,10,-24.505,46,-0.00112723
2023-02-16 12:15,23.9,2023-02-16 15:00,1.195000000000001,18100,C,short,trgt,2023-02-16,22.705,NIFTY,original,2,10,22.2031,46,0.0010213426
