,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
298,SHORT,2023-03-22 13:15:00,2023-03-22 14:15:00,6806.7,6829.2,2023-03-23 13:15:00,6787.8,Reversed,18.899999999999636,13.462199999999637,587.6562798419204,4,11106.703689012082,7911.146370487688,1.1106703689012083,0.7911146370487688,2023
299,LONG,2023-03-23 12:15:00,2023-03-23 13:15:00,6787.8,6766.85,2023-03-23 14:15:00,6766.85,Initial SL Hit,-20.949999999999818,-26.37185999999982,589.2925542885765,4,-12345.67901234557,-15540.740740740634,-1.234567901234557,-1.5540740740740635,2023
300,SHORT,2023-03-23 14:15:00,2023-03-23 15:15:00,6756.95,6790.4,2023-03-27 11:15:00,6671.5,Reversed,85.44999999999982,80.07861999999982,591.9830692842185,4,50584.95327033636,47405.18725164449,5.058495327033636,4.740518725164449,2023
301,LONG,2023-03-27 10:15:00,2023-03-27 11:15:00,6671.5,6641.55,2023-03-27 14:15:00,6664.9,Reversed,-6.600000000000364,-11.934560000000364,599.5653151465187,4,-3957.131079967242,-7155.548227535255,-0.3957131079967242,-0.7155548227535256,2023
302,SHORT,2023-03-27 13:15:00,2023-03-27 14:15:00,6664.9,6705.4,2023-03-28 12:15:00,6627.55,Reversed,37.349999999999454,32.03301999999945,600.1590421461688,4,22415.940224159076,19224.906600248738,2.2415940224159074,1.922490660024874,2023
303,SHORT,2023-03-28 11:15:00,2023-03-28 12:15:00,6627.55,6605.75,2023-03-28 12:15:00,6605.75,Initial SL Hit,21.800000000000182,16.50668000000018,603.541278451313,4,13157.199870238734,9962.462750186829,1.3157199870238732,0.9962462750186829,2023
304,LONG,2023-03-28 15:15:00,2023-03-29 09:15:00,6626.85,6596.15,2023-04-05 10:15:00,6771.75,Reversed,144.89999999999964,139.54055999999963,603.6050310479337,4,87462.36899884537,84227.38405124584,8.746236899884536,8.422738405124583,2023
305,SHORT,2023-04-05 09:15:00,2023-04-05 10:15:00,6771.75,6824.55,2023-04-05 12:15:00,6785.05,Reversed,-13.300000000000182,-18.72272000000018,590.6892605308819,4,-7856.167165060837,-11059.30963192686,-0.7856167165060838,-1.105930963192686,2023
306,LONG,2023-04-05 11:15:00,2023-04-05 12:15:00,6785.05,6766.95,2023-04-05 13:15:00,6766.95,Initial SL Hit,-18.100000000000364,-23.520800000000364,589.5313962314206,4,-10670.518271788927,-13866.250064480211,-1.0670518271788927,-1.3866250064480212,2023
307,LONG,2023-04-05 14:15:00,2023-04-05 15:15:00,6785.1,6761.25,2023-04-11 11:15:00,6862.6,Reversed,77.5,72.04092,589.5270519225951,4,45688.34652400112,42470.07118539152,4.5688346524001116,4.247007118539152,2023
