date,high level,low level,atr_multiplier,side,strike,type,expiry,entry_time,entry price,exit price,exit_time,remarks,points,slippage,final_points,portfolio,index_lev,qty,pnl,ROI%,Trade Year
2019-02-28,10892.872828853251,10802.32717114675,3,LONG,10900,PE,2019-03-07,2019-02-28 12:39:00,138.85,140.9,2019-02-28 12:54:00,SL Hit,-2.0500000000000114,2.7975,-4.847500000000011,10000000,8,7339.4495412844035,-35577.98165137623,-0.3557798165137622,2019
2019-02-28,10892.872828853251,10802.32717114675,3,LONG,10900,PE,2019-03-07,2019-02-28 13:18:00,141.85,131.0,2019-02-28 15:00:00,SL Hit,10.849999999999994,2.7285000000000004,8.121499999999994,10000000,8,7339.4495412844035,59607.339449541236,0.5960733944954123,2019
2019-03-07,11083.175480472724,11030.624519527275,3,LONG,11100,PE,2019-03-14,2019-03-07 12:54:00,114.05,88.8,2019-03-07 15:21:00,EOD Exit,25.25,2.0285,23.2215,10000000,8,7207.207207207207,167362.16216216216,1.6736216216216215,2019
2019-03-07,11083.175480472724,11030.624519527275,3,SHORT,11050,CE,2019-03-14,2019-03-07 14:18:00,86.8,91.0,2019-03-07 14:33:00,SL Hit,-4.200000000000003,1.7780000000000002,-5.978000000000003,10000000,8,7239.819004524887,-43279.6380090498,-0.432796380090498,2019
2019-03-12,11280.6095013383,11212.6904986617,3,SHORT,11200,CE,2019-03-14,2019-03-12 11:51:00,80.75,85.0,2019-03-12 12:00:00,SL Hit,-4.25,1.6575,-5.9075,10000000,8,7142.857142857143,-42196.42857142857,-0.42196428571428574,2019
2019-03-12,11280.6095013383,11212.6904986617,3,SHORT,11200,CE,2019-03-14,2019-03-12 12:03:00,83.5,83.55,2019-03-12 12:51:00,SL Hit,-0.04999999999999716,1.6705,-1.7204999999999973,10000000,8,7142.857142857143,-12289.285714285696,-0.12289285714285696,2019
2019-03-13,11327.857725582584,11277.742274417415,3,SHORT,11300,CE,2019-03-14,2019-03-13 09:57:00,44.25,45.85,2019-03-13 13:30:00,SL Hit,-1.6000000000000014,0.9009999999999999,-2.5010000000000012,10000000,8,7079.646017699115,-17706.194690265496,-0.17706194690265498,2019
2019-03-13,11327.857725582584,11277.742274417415,3,SHORT,11300,CE,2019-03-14,2019-03-13 14:27:00,39.35,47.75,2019-03-13 14:30:00,SL Hit,-8.399999999999999,0.871,-9.270999999999999,10000000,8,7079.646017699115,-65635.39823008848,-0.6563539823008848,2019
2019-03-14,11403.39971247453,11346.70028752547,3,LONG,11400,PE,2019-03-20,2019-03-14 10:15:00,106.15,109.75,2019-03-14 10:18:00,SL Hit,-3.5999999999999943,2.1590000000000003,-5.758999999999995,10000000,8,7017.543859649123,-40414.03508771926,-0.40414035087719263,2019
2019-03-14,11403.39971247453,11346.70028752547,3,LONG,11400,PE,2019-03-20,2019-03-14 10:48:00,106.1,104.2,2019-03-14 11:12:00,SL Hit,1.8999999999999915,2.103,-0.20300000000000873,10000000,8,7017.543859649123,-1424.5614035088333,-0.014245614035088333,2019
2019-03-15,11420.976394153044,11361.423605846958,3,SHORT,11350,CE,2019-03-20,2019-03-15 09:39:00,109.4,116.0,2019-03-15 09:54:00,SL Hit,-6.599999999999994,2.254,-8.853999999999994,10000000,8,7048.458149779735,-62407.04845814974,-0.6240704845814974,2019
