date,Morning ATR,side,strike,type,expiry,dte,entry_time,entry price,trade_num,spot_price_at_entry,exit price,exit_time,spot_level_at_exit,remarks,points,index_lev,slippage,final_points,portfolio,qty,pnl,ROI%,Trade Year
2024-02-21,28.002838620258434,LONG,22200,P,2024-02-22,1,12:25:00,68.85,2,22222.4,106.3,2024-02-21 13:45:00,22155.35,TSL Hit,-37.45,8,1.7514999999999998,-39.2015,10000000,3603.6036036036035,-141266.66666666666,-1.4126666666666665,2024.0
2024-02-21,28.002838620258434,SHORT,22200,C,2024-02-22,1,13:45:00,60.8,3,22155.35,28.15,2024-02-21 15:05:00,22095.05,TSL Hit,32.65,8,0.8895,31.7605,10000000,3603.6036036036035,114452.25225225225,1.1445225225225224,2024.0
2024-02-22,39.63746270113261,SHORT,22000,C,2024-02-22,0,09:25:00,48.15,1,21970.35,77.6,2024-02-22 09:35:00,22047.15,TSL Hit,-29.449999999999996,10,1.2575,-30.707499999999996,10000000,4545.454545454545,-139579.5454545454,-1.395795454545454,2024.0
2024-02-22,39.63746270113261,LONG,22050,P,2024-02-22,0,09:35:00,71.75,2,22047.15,132.55,2024-02-22 09:55:00,21931.2,TSL Hit,-60.80000000000001,10,2.043,-62.84300000000001,10000000,4535.14739229025,-285002.2675736962,-2.8500226757369624,2024.0
2024-02-22,39.63746270113261,SHORT,22000,C,2024-02-22,0,09:55:00,35.45,3,21931.2,26.75,2024-02-22 11:35:00,21957.4,TSL Hit,8.700000000000003,10,0.622,8.078000000000003,10000000,4545.454545454545,36718.18181818183,0.36718181818181833,2024.0
2024-02-22,39.63746270113261,LONG,21950,P,2024-02-22,0,11:35:00,47.55,4,21957.4,0.05,2024-02-22 15:25:00,22216.9,EOD Exit,47.5,10,0.476,47.024,10000000,4555.808656036446,214232.34624145785,2.1423234624145784,2024.0
2024-02-26,29.920964576535088,SHORT,22150,C,2024-02-29,3,09:55:00,146.2,1,22127.85,142.35,2024-02-26 13:05:00,22142.0,TSL Hit,3.8499999999999943,8,2.8854999999999995,0.9644999999999948,10000000,3611.7381489841987,3483.521444695241,0.03483521444695241,2024.0
2024-02-26,29.920964576535088,LONG,22150,P,2024-02-29,3,13:05:00,128.3,2,22142.0,134.9,2024-02-26 15:25:00,22117.15,EOD Exit,-6.599999999999994,8,2.6320000000000006,-9.231999999999996,10000000,3611.7381489841987,-33343.56659142211,-0.33343566591422114,2024.0
2024-02-27,24.91739503496851,LONG,22150,P,2024-02-29,2,09:55:00,125.95,1,22143.65,103.2,2024-02-27 13:35:00,22168.4,TSL Hit,22.75,9,2.2915,20.4585,10000000,4063.2054176072234,83127.08803611738,0.8312708803611738,2024.0
2024-02-27,24.91739503496851,SHORT,22150,C,2024-02-29,2,13:35:00,121.95,2,22168.4,150.25,2024-02-27 14:55:00,22212.85,TSL Hit,-28.299999999999997,3,2.722,-31.022,10000000,1354.4018058690745,-42016.25282167042,-0.42016252821670425,2024.0
2024-02-27,24.91739503496851,LONG,22200,P,2024-02-29,2,14:55:00,96.45,3,22212.85,107.7,2024-02-27 15:25:00,22194.2,EOD Exit,-11.25,9,2.0415,-13.2915,10000000,4054.054054054054,-53884.45945945946,-0.5388445945945946,2024.0
