,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
258,258,258,2022-12-29 14:15:00+05:30,2022-12-30 14:45:00+05:30,Long,60948.84,60869.46333333333,60757.07703703704,60820.16,Trailing SL Hit,-128.67999999999302,12.1769,-140.856899999993,1564.431396786187,-220360.95681396133,-2.2036095681396133,2022
259,259,259,2023-01-02 10:15:00+05:30,2023-01-04 09:45:00+05:30,Long,61114.44,61025.69296296296,60910.02296296297,60910.02296296297,Initial SL Hit,-204.41703703703388,12.202446296296298,-216.61948333333018,1467.5880462236107,-317908.16431913007,-3.1790816431913007,2023
260,260,260,2023-01-09 09:45:00+05:30,2023-01-09 13:15:00+05:30,Long,60580.34,60297.44666666666,60123.61703703703,60502.95,Trailing SL Hit,-77.38999999999942,12.108329,-89.49832899999942,656.8533319493423,-58787.275607548065,-0.5878727560754806,2023
261,261,261,2023-01-09 13:45:00+05:30,2023-01-10 09:15:00+05:30,Long,60584.61,60355.56259259259,60203.86037037037,60419.48,Trailing SL Hit,-165.12999999999738,12.100409,-177.2304089999974,787.9193481864221,-139643.26833809094,-1.3964326833809095,2023
262,262,262,2023-01-13 12:45:00+05:30,2023-01-16 12:15:00+05:30,Long,60276.29,60001.64740740741,59853.81518518519,60123.0,Trailing SL Hit,-153.29000000000087,12.039929,-165.32992900000087,710.1015006811733,-117401.03069041246,-1.1740103069041246,2023
263,263,263,2023-01-16 12:45:00+05:30,2023-01-16 13:15:00+05:30,Long,60203.24,60128.76851851852,59994.91037037037,60141.36,Trailing SL Hit,-61.87999999999738,12.034460000000001,-73.91445999999738,1440.0256004551525,-106438.71464381457,-1.0643871464381456,2023
264,264,264,2023-01-17 09:15:00+05:30,2023-01-20 14:15:00+05:30,Long,60347.47,60181.06592592593,60050.09592592593,60610.93,Trailing SL Hit,263.4599999999991,12.09584,251.36415999999912,1008.8303794946069,253583.80092414218,2.535838009241422,2023
265,265,265,2023-01-23 09:15:00+05:30,2023-01-25 09:15:00+05:30,Long,60977.23,60906.22555555556,60782.7137037037,60782.7137037037,Initial SL Hit,-194.51629629630042,12.17599437037037,-206.6922906666708,1542.2872310041296,-318778.8806422004,-3.187788806422004,2023
266,266,266,2023-02-01 09:15:00+05:30,2023-02-01 14:15:00+05:30,Long,59941.15,59436.74185185185,59217.003333333334,59341.22,Trailing SL Hit,-599.9300000000003,11.928237,-611.8582370000003,414.28071661357694,-253481.06889027992,-2.534810688902799,2023
267,267,267,2023-02-03 09:15:00+05:30,2023-02-07 12:15:00+05:30,Long,60215.13,60015.44703703704,59718.397777777776,60179.65,Trailing SL Hit,-35.479999999995925,12.039478,-47.51947799999593,603.9471300208712,-28699.25235818747,-0.2869925235818747,2023
268,268,268,2023-02-08 09:15:00+05:30,2023-02-13 09:45:00+05:30,Long,60664.3,60503.52407407408,60343.56555555556,60343.56555555556,Initial SL Hit,-320.7344444444461,12.100786555555556,-332.83523100000167,935.353234416837,-311318.50984372664,-3.1131850984372664,2023
269,269,269,2023-02-14 09:45:00+05:30,2023-02-17 12:15:00+05:30,Long,60725.44,60598.67481481481,60477.18925925926,61018.93,Trailing SL Hit,293.48999999999796,12.174437,281.31556299999795,1208.4556086513558,339957.36990826135,3.3995736990826138,2023
270,270,270,2023-03-03 09:45:00+05:30,2023-03-09 13:15:00+05:30,Long,59543.8,59260.037407407406,59156.193703703706,59921.08,Trailing SL Hit,377.27999999999884,11.946488,365.33351199999885,773.9812352549395,282761.2828977844,2.827612828977844,2023
271,271,271,2023-03-21 09:45:00+05:30,2023-03-21 11:15:00+05:30,Long,57908.91,57704.11555555555,57497.24555555555,57867.61,Trailing SL Hit,-41.30000000000291,11.577652,-52.87765200000291,728.7488731383002,-38534.5293092013,-0.385345293092013,2023
272,272,272,2023-03-21 12:45:00+05:30,2023-03-23 09:15:00+05:30,Long,58017.84,57698.98333333334,57526.8262962963,57962.49,Trailing SL Hit,-55.349999999998545,11.598033,-66.94803299999855,610.9809109951738,-40903.97019167407,-0.40903970191674066,2023
