,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Previous MA Value,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
568,568,568,2024-02-14 12:15:00+05:30,2024-02-22 09:15:00+05:30,Long,45538.35,45466.458333333336,45276.82916666666,46912.8,Trailing SL Hit,1374.4500000000044,9.245115,1365.2048850000044,9.559467856289245,13050.632215406598,5.22025288616264,2024
569,569,569,2024-02-22 14:45:00+05:30,2024-02-23 13:15:00+05:30,Long,46906.55,46765.9625,46579.708333333336,46872.4,Trailing SL Hit,-34.150000000001455,9.377895000000002,-43.52789500000146,7.648963565436872,-332.94328293517293,-0.13317731317406917,2024
570,570,570,2024-02-27 12:45:00+05:30,2024-02-27 13:15:00+05:30,Long,46664.5,46605.68333333333,46468.916666666664,46625.75,Trailing SL Hit,-38.75,9.329025,-48.079025,12.78227524499345,-614.5593310609212,-0.24582373242436847,2024
571,571,571,2024-02-28 09:45:00+05:30,2024-02-28 10:15:00+05:30,Long,46708.1,46597.087499999994,46500.083333333336,46631.1,Trailing SL Hit,-77.0,9.33392,-86.33392,12.018267767006073,-1037.584167935281,-0.41503366717411233,2024
572,572,572,2024-02-29 14:15:00+05:30,2024-02-29 14:45:00+05:30,Long,46271.1,46024.47083333333,45847.0625,46155.05,Trailing SL Hit,-116.04999999999563,9.242615,-125.29261499999564,5.895704978922875,-738.6882940777411,-0.29547531763109647,2024
573,573,573,2024-02-29 15:15:00+05:30,2024-03-07 15:15:00+05:30,Long,46277.0,46066.174999999996,45885.3125,47788.0,Trailing SL Hit,1511.0,9.406500000000001,1501.5935,6.382639221318015,9584.129567576192,3.8336518270304767,2024
574,574,574,2024-03-12 09:15:00+05:30,2024-03-12 10:15:00+05:30,Long,47720.05,47493.36666666667,47340.68333333333,47340.68333333333,Initial SL Hit,-379.3666666666759,9.506073333333335,-388.87274000000923,6.589930586064334,-2562.644363412704,-1.0250577453650815,2024
575,575,575,2024-03-14 11:15:00+05:30,2024-03-14 11:45:00+05:30,Long,47198.75,47056.57916666666,46868.6875,47128.0,Trailing SL Hit,-70.75,9.432675,-80.182675,7.574323044877864,-607.3294830524522,-0.2429317932209809,2024
576,576,576,2024-03-18 14:15:00+05:30,2024-03-18 14:45:00+05:30,Long,46680.85,46608.18333333333,46400.94166666667,46554.15,Trailing SL Hit,-126.69999999999709,9.323500000000001,-136.02349999999709,8.931495430051752,-1214.8932686296184,-0.48595730745184734,2024
577,577,577,2024-03-20 12:15:00+05:30,2024-03-20 13:45:00+05:30,Long,46461.8,46384.49166666667,46189.15416666667,46342.15,Trailing SL Hit,-119.65000000000146,9.280395000000002,-128.93039500000145,9.169404752808049,-1182.2149766944324,-0.472885990677773,2024
