Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
LONG,2021-09-28 14:45:00+05:30,38039.55,37659.154500000004,37892.286,2021-09-28 14:45:00+05:30,37434.4,-605.1500000000015,-612.6973950000015,-477903.96810000116,Gap SL,780,6,-9.558079362000022,2021,9
SHORT,2021-09-29 13:15:00+05:30,37730.9,38108.209,37889.492,2021-09-29 14:15:00+05:30,37896.05,-165.15000000000146,-172.71269500000145,-139897.28295000116,TSL,810,6,-2.7979456590000233,2021,9
LONG,2021-10-08 13:45:00+05:30,37791.9,37413.981,37761.996,2021-10-08 14:45:00+05:30,37757.1,-34.80000000000291,-42.354900000002914,-33036.82200000227,TSL,780,6,-0.6607364400000454,2021,10
LONG,2021-10-08 15:15:00+05:30,37835.3,37456.947,39498.547,2021-10-20 14:15:00+05:30,39375.9,1540.5999999999985,1532.8788799999986,1195645.526399999,TSL,780,6,23.91291052799998,2021,10
LONG,2021-10-21 09:45:00+05:30,39690.9,39293.991,39588.083,2021-10-21 10:45:00+05:30,39513.8,-177.09999999999854,-185.02046999999854,-138765.3524999989,TSL,750,6,-2.7753070499999777,2021,10
LONG,2021-10-21 14:15:00+05:30,39905.1,39506.049,39662.693999999996,2021-10-21 14:15:00+05:30,39506.049,-399.0509999999995,-406.9921148999995,-305244.0861749996,ISL,750,6,-6.104881723499992,2021,10
LONG,2021-10-26 10:45:00+05:30,40999.1,40589.109,40966.032999999996,2021-10-27 14:15:00+05:30,40923.3,-75.79999999999563,-83.99223999999563,-60474.412799996855,TSL,720,6,-1.2094882559999371,2021,10
SHORT,2021-11-01 12:15:00+05:30,39340.85,39734.258499999996,40003.529,2021-11-01 14:15:00+05:30,39734.258499999996,-393.40849999999773,-401.3160108499977,-300987.0081374983,ISL,750,6,-6.019740162749965,2021,11
SHORT,2021-11-09 10:45:00+05:30,39325.85,39719.1085,38888.684,2021-11-15 09:15:00+05:30,39017.45,308.40000000000146,300.56567000000143,225424.25250000108,TSL,750,6,4.508485050000022,2021,11
SHORT,2021-11-16 09:15:00+05:30,38475.2,38859.952,37561.947,2021-11-24 10:15:00+05:30,37668.2,807.0,799.38566,623520.8148,TSL,780,6,12.470416296,2021,11
SHORT,2021-11-29 14:15:00+05:30,36097.4,36458.374,36753.709,2021-11-30 09:45:00+05:30,36458.374,-360.974000000002,-368.229577400002,-309312.84501600167,ISL,840,6,-6.186256900320034,2021,11
SHORT,2021-11-30 11:15:00+05:30,36074.6,36435.346,36234.0,2021-12-01 12:45:00+05:30,36244.65,-170.0500000000029,-177.2819250000029,-148916.81700000243,TSL,840,6,-2.978336340000048,2021,11
LONG,2021-12-09 10:15:00+05:30,37005.35,36635.2965,36875.282,2021-12-10 12:45:00+05:30,36869.0,-136.34999999999854,-143.73743499999856,-116427.32234999882,TSL,810,6,-2.3285464469999764,2021,12
LONG,2021-12-13 13:15:00+05:30,37139.95,36768.5505,37119.866,2021-12-13 13:45:00+05:30,36929.35,-210.59999999999854,-218.00692999999853,-176585.6132999988,TSL,810,6,-3.5317122659999765,2021,12
SHORT,2021-12-21 14:15:00+05:30,34538.95,34884.339499999995,35319.318,2021-12-22 09:15:00+05:30,34884.339499999995,-345.3894999999975,-352.3318289499975,-306528.6911864978,ISL,870,6,-6.130573823729956,2021,12
LONG,2021-12-29 14:15:00+05:30,35205.05,34852.999500000005,35032.885,2021-12-29 15:15:00+05:30,34946.45,-258.6000000000058,-265.6151500000058,-223116.72600000488,TSL,840,6,-4.4623345200000974,2021,12
LONG,2022-01-06 09:45:00+05:30,37233.45,36861.1155,38425.539000000004,2022-01-13 13:45:00+05:30,38423.95,1190.5,1182.93426,958176.7506,TSL,810,6,19.163535012,2022,1
SHORT,2022-01-24 09:15:00+05:30,37497.25,37872.2225,37445.486000000004,2022-01-25 13:45:00+05:30,37462.05,35.19999999999709,27.70406999999709,22440.29669999764,TSL,810,6,0.44880593399995283,2022,1
LONG,2022-02-01 13:45:00+05:30,38315.1,37931.949,38858.466,2022-02-04 11:45:00+05:30,38745.85,430.75,423.043905,329974.2459,TSL,780,6,6.599484918,2022,2
SHORT,2022-02-08 15:15:00+05:30,37942.65,38322.0765,38472.979,2022-02-09 09:15:00+05:30,38322.0765,-379.4265000000014,-387.0529726500014,-301901.3186670011,ISL,780,6,-6.038026373340022,2022,2
SHORT,2022-02-22 14:45:00+05:30,37373.5,37747.235,37566.833000000006,2022-02-23 09:15:00+05:30,37747.235,-373.7350000000006,-381.24707350000057,-308810.1295350005,ISL,810,6,-6.17620259070001,2022,2
SHORT,2022-02-23 14:45:00+05:30,37358.1,37731.681,33477.102999999996,2022-03-09 12:15:00+05:30,33484.4,3873.699999999997,3866.615749999997,3131958.7574999975,TSL,810,6,62.63917514999995,2022,2
LONG,2022-03-21 10:15:00+05:30,36185.75,35823.8925,35890.816999999995,2022-03-22 09:15:00+05:30,35823.8925,-361.85749999999825,-369.0584642499983,-310009.10996999854,ISL,840,6,-6.200182199399971,2022,3
SHORT,2022-03-28 09:15:00+05:30,35084.25,35435.0925,35814.614,2022-03-28 09:15:00+05:30,35572.85,-488.59999999999854,-495.66570999999857,-431229.16769999877,Gap SL,870,6,-8.624583353999975,2022,3
LONG,2022-03-31 14:45:00+05:30,36366.35,36002.686499999996,37611.716,2022-04-06 10:15:00+05:30,37572.55,1206.2000000000044,1198.8061100000043,971032.9491000035,TSL,810,6,19.42065898200007,2022,3
LONG,2022-04-12 13:45:00+05:30,37747.55,37370.0745,37649.91,2022-04-12 13:45:00+05:30,37370.0745,-377.47550000000047,-384.98726245000046,-300290.06471100036,ISL,780,6,-6.005801294220007,2022,4
SHORT,2022-04-13 14:45:00+05:30,37441.4,37815.814,36628.66,2022-04-21 13:15:00+05:30,36673.25,768.1500000000015,760.7385350000014,616198.2133500011,TSL,810,6,12.323964267000024,2022,4
SHORT,2022-04-25 13:15:00+05:30,36042.85,36403.2785,36332.311,2022-04-26 09:15:00+05:30,36530.9,-488.0500000000029,-495.30737500000293,-416058.19500000245,Gap SL,840,6,-8.321163900000048,2022,4
SHORT,2022-04-28 09:15:00+05:30,36100.7,36461.706999999995,36157.096,2022-04-28 12:15:00+05:30,36264.65,-163.95000000000437,-171.18653500000437,-143796.68940000367,TSL,840,6,-2.8759337880000735,2022,4
SHORT,2022-05-04 13:45:00+05:30,35684.5,36041.345,36177.916,2022-05-04 13:45:00+05:30,36041.345,-356.84500000000116,-364.0175845000012,-305774.770980001,ISL,840,6,-6.115495419600021,2022,5
SHORT,2022-05-05 11:15:00+05:30,35731.4,36088.714,34733.981,2022-05-10 14:15:00+05:30,34758.95,972.4500000000044,965.4009650000044,810936.8106000037,TSL,840,6,16.218736212000074,2022,5
SHORT,2022-05-11 12:15:00+05:30,34335.1,34678.451,34452.619000000006,2022-05-11 13:45:00+05:30,34640.45,-305.34999999999854,-312.24755499999856,-271655.37284999876,TSL,870,6,-5.433107456999975,2022,5
SHORT,2022-05-13 13:45:00+05:30,33553.8,33889.338,34139.414,2022-05-13 13:45:00+05:30,33889.338,-335.53800000000047,-342.28231380000045,-308054.0824200004,ISL,900,6,-6.161081648400009,2022,5
SHORT,2022-05-16 11:15:00+05:30,33556.5,33892.065,33819.286,2022-05-17 09:15:00+05:30,33892.065,-335.5650000000023,-342.30985650000235,-308078.8708500021,ISL,900,6,-6.161577417000042,2022,5
LONG,2022-05-24 11:15:00+05:30,34455.25,34110.6975,34397.529,2022-05-25 14:45:00+05:30,34341.3,-113.94999999999709,-120.82965499999709,-105121.79984999746,TSL,870,6,-2.1024359969999495,2022,5
LONG,2022-05-26 11:15:00+05:30,34479.0,34134.21,35499.322,2022-05-31 14:45:00+05:30,35423.9,944.9000000000015,937.9097100000015,815981.4477000013,TSL,870,6,16.319628954000027,2022,5
LONG,2022-06-01 15:15:00+05:30,35679.7,35322.903,35701.102999999996,2022-06-01 15:15:00+05:30,35679.7,0.0,-7.13594,-5994.1896,TSL,840,6,-0.11988379199999999,2022,6
SHORT,2022-06-08 09:15:00+05:30,35067.0,35417.67,35320.532,2022-06-08 10:15:00+05:30,35384.05,-317.0500000000029,-324.0951050000029,-281962.7413500025,TSL,870,6,-5.639254827000051,2022,6
SHORT,2022-06-08 13:15:00+05:30,34931.85,35281.1685,35056.819,2022-06-09 14:45:00+05:30,35096.2,-164.34999999999854,-171.35280499999854,-149076.94034999874,TSL,870,6,-2.981538806999975,2022,6
SHORT,2022-06-15 09:15:00+05:30,33258.05,33590.63050000001,33604.212,2022-06-16 09:15:00+05:30,33676.8,-418.75,-425.443485,-382899.1365,Gap SL,900,6,-7.65798273,2022,6
SHORT,2022-06-16 11:15:00+05:30,33175.25,33507.0025,32925.292,2022-06-21 09:15:00+05:30,32925.9,249.34999999999854,242.73988499999854,218465.8964999987,TSL,900,6,4.369317929999974,2022,6
LONG,2022-06-27 14:45:00+05:30,33814.65,33476.5035,33572.251000000004,2022-06-29 09:15:00+05:30,33342.85,-471.8000000000029,-478.5157500000029,-430664.1750000026,Gap SL,900,6,-8.613283500000051,2022,6
LONG,2022-06-30 09:15:00+05:30,33616.8,33280.632000000005,33597.255,2022-06-30 09:15:00+05:30,33226.6,-390.20000000000437,-396.8843400000044,-357195.906000004,Gap SL,900,6,-7.143918120000079,2022,6
