Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
335,250000,2021-09-09,36850.9,36660.2,-190.70000000000437,11.988970147464247,3.6746637499999997,-2330.3520411222034,-0.9321408164488814,BNF
336,250000,2021-09-14,36732.85,36588.85,-144.0,8.46071408426881,7.33217,-1280.3782221219617,-0.5121512888487847,BNF
337,250000,2021-09-15,36707.8,36860.95,153.14999999999418,19.192016121292895,1.8548737500000003,2903.6585020629323,1.161463400825173,BNF
337,250000,2021-09-16,36860.95,37682.9,821.9500000000044,19.192016121292895,1.8548737500000003,15739.278883983816,6.295711553593526,BNF
337,250000,2021-09-17,37682.9,37892.7,209.79999999999563,19.192016121292895,1.8548737500000003,3990.8862153342025,1.596354486133681,BNF
337,250000,2021-09-20,37892.7,37487.15,-405.54999999999563,19.192016121292895,1.8548737500000003,-7818.920904903213,-3.127568361961285,BNF
338,250000,2021-09-21,37188.6,37298.35,109.75,6.685013314318193,3.7172175000000003,708.8305627667052,0.283532225106682,BNF
338,250000,2021-09-22,37298.35,37155.75,-142.59999999999854,6.685013314318193,3.7172175000000003,-978.1325471014812,-0.3912530188405925,BNF
339,250000,2021-09-22,37218.8,37151.45,-67.35000000000582,7.426937502320693,7.437025,-555.4385606595386,-0.22217542426381542,BNF
340,250000,2021-09-23,37409.25,37811.3,402.0500000000029,6.069065970747166,1.8845262500000002,2428.630659404061,0.9714522637616244,BNF
340,250000,2021-09-24,37811.3,37783.5,-27.80000000000291,6.069065970747166,1.8845262500000002,-180.15734812164365,-0.07206293924865746,BNF
340,250000,2021-09-27,37783.5,38171.75,388.25,6.069065970747166,1.8845262500000002,2344.8775490077323,0.9379510196030929,BNF
340,250000,2021-09-28,38171.75,37971.8,-199.9499999999971,6.069065970747166,1.8845262500000002,-1224.947054985733,-0.48997882199429327,BNF
341,250000,2021-09-28,38039.55,37867.8,-171.75,8.994153800029903,7.590735000000001,-1613.0181532004058,-0.6452072612801623,BNF
342,250000,2021-09-29,37795.85,37730.9,-64.94999999999709,8.987821501865193,7.552675000000001,-651.6411013077178,-0.2606564405230871,BNF
343,250000,2021-09-29,37817.9,37726.3,-91.59999999999854,10.28612573074335,7.554420000000001,-1019.9148308789182,-0.4079659323515673,BNF
344,250000,2021-10-04,37514.35,37602.7,88.34999999999854,6.499767091679232,3.7504550000000005,549.8773385620268,0.2199509354248107,BNF
344,250000,2021-10-05,37602.7,37494.75,-107.94999999999709,6.499767091679232,3.7504550000000005,-726.026941534578,-0.2904107766138312,BNF
345,250000,2021-10-05,37679.9,37742.7,62.799999999995634,11.560248159993938,3.762295,682.4905205964644,0.2729962082385858,BNF
345,250000,2021-10-06,37742.7,37566.0,-176.6999999999971,11.560248159993938,3.762295,-2086.1889137219996,-0.8344755654887999,BNF
346,250000,2021-10-07,37863.05,37751.05,-112.0,12.938284383490847,7.561410000000001,-1546.9195238711463,-0.6187678095484586,BNF
347,250000,2021-10-08,37909.3,37772.2,-137.10000000000582,15.64945226917058,7.56815,-2263.9773082943007,-0.9055909233177203,BNF
348,250000,2021-10-11,38021.0,38290.05,269.0500000000029,9.038867128653129,1.2919383333333332,2420.229542030737,0.9680918168122947,BNF
348,250000,2021-10-12,38290.05,38516.05,226.0,9.038867128653129,1.2919383333333332,2031.1063121421937,0.8124425248568775,BNF
348,250000,2021-10-13,38516.05,38584.25,68.19999999999709,9.038867128653129,1.2919383333333332,604.7730792407035,0.2419092316962814,BNF
348,250000,2021-10-14,38584.25,39329.35,745.0999999999985,9.038867128653129,1.2919383333333332,6723.18223862602,2.689272895450408,BNF
348,250000,2021-10-18,39329.35,39668.35,339.0,9.038867128653129,1.2919383333333332,3052.498297679997,1.2209993190719988,BNF
348,250000,2021-10-19,39668.35,39495.3,-173.04999999999563,9.038867128653129,1.2919383333333332,-1575.853615546798,-0.6303414462187192,BNF
349,250000,2021-10-21,39905.1,40164.75,259.65000000000146,6.542433130881358,1.6165679999999998,1688.1664743918318,0.6752665897567327,BNF
349,250000,2021-10-22,40164.75,40325.7,160.9499999999971,6.542433130881358,1.6165679999999998,1042.428324373813,0.41697132974952517,BNF
349,250000,2021-10-25,40325.7,41266.4,940.7000000000044,6.542433130881358,1.6165679999999998,6143.890558178599,2.45755622327144,BNF
349,250000,2021-10-26,41266.4,41297.25,30.849999999998545,6.542433130881358,1.6165679999999998,191.25777404615775,0.0765031096184631,BNF
349,250000,2021-10-27,41297.25,40923.3,-373.9499999999971,6.542433130881358,1.6165679999999998,-2457.1191573345873,-0.982847662933835,BNF
350,250000,2021-11-01,39659.15,39834.75,175.59999999999854,5.033261469544519,2.6456083333333336,870.5246755643376,0.3482098702257351,BNF
350,250000,2021-11-02,39834.75,39901.55,66.80000000000291,5.033261469544519,2.6456083333333336,322.905827677916,0.1291623310711664,BNF
350,250000,2021-11-03,39901.55,39709.1,-192.45000000000437,5.033261469544519,2.6456083333333336,-981.9672083015373,-0.39278688332061495,BNF
351,250000,2021-11-09,39513.3,39409.1,-104.20000000000437,8.213664800339473,7.89224,-920.6880860792401,-0.368275234431696,BNF
352,250000,2021-11-12,38767.8,38718.1,-49.700000000004366,11.818002757533703,7.74859,-678.9275950364747,-0.27157103801458987,BNF
353,250000,2021-11-15,39017.45,38691.65,-325.79999999999563,6.292342219518946,7.770910000000001,-2098.9423201963273,-0.8395769280785309,BNF
354,250000,2021-11-24,37454.55,37518.9,64.34999999999854,6.993333022518456,7.497345000000002,397.5895496293388,0.1590358198517355,BNF
355,250000,2021-11-30,36402.8,36298.4,-104.40000000000146,5.605643013967424,7.270120000000001,-625.9828280469121,-0.25039313121876483,BNF
356,250000,2021-12-01,36240.45,36166.7,-73.75,6.954667161220785,7.240715,-563.2634659742916,-0.22530538638971664,BNF
357,250000,2021-12-01,36313.0,36384.8,71.80000000000291,8.206025958395434,2.423736666666667,569.3034178098345,0.2277213671239338,BNF
357,250000,2021-12-02,36384.8,36535.65,150.84999999999854,8.206025958395434,2.423736666666667,1217.989769820958,0.48719590792838313,BNF
357,250000,2021-12-03,36535.65,36399.1,-136.5500000000029,8.206025958395434,2.423736666666667,-1140.4220906219018,-0.45616883624876076,BNF
358,250000,2021-12-07,36287.7,36621.4,333.70000000000437,7.95070562512423,1.8315400000000002,2638.58843172335,1.05543537268934,BNF
358,250000,2021-12-08,36621.4,37268.3,646.9000000000015,7.95070562512423,1.8315400000000002,5128.749433512236,2.051499773404894,BNF
358,250000,2021-12-09,37268.3,37049.95,-218.35000000000582,7.95070562512423,1.8315400000000002,-1750.5986086265618,-0.7002394434506247,BNF
358,250000,2021-12-10,37049.95,36973.9,-76.04999999999563,7.95070562512423,1.8315400000000002,-619.213198171303,-0.2476852792685212,BNF
359,250000,2021-12-10,37120.75,37104.0,-16.75,10.911471593802192,3.708475,-223.2320688150123,-0.08929282752600491,BNF
359,250000,2021-12-13,37104.0,37048.75,-55.25,10.911471593802192,3.708475,-643.3237251763967,-0.25732949007055866,BNF
360,250000,2021-12-14,36999.7,36858.1,-141.59999999999854,9.286919374061702,7.38578,-1383.618926741681,-0.5534475706966724,BNF
361,250000,2021-12-15,36953.55,36849.75,-103.80000000000291,13.873153136488444,7.380330000000001,-1542.4217438553605,-0.6169686975421442,BNF
362,250000,2021-12-15,37008.3,36912.65,-95.65000000000146,14.311952865968404,7.392095000000001,-1474.7336068506593,-0.5898934427402637,BNF
363,250000,2021-12-22,34964.65,34888.65,-76.0,11.483473367911168,6.98533,-952.9598269823198,-0.3811839307929279,BNF
364,250000,2021-12-22,34997.45,35095.25,97.80000000000291,11.778100584979104,3.5040149999999994,1110.627596089715,0.44425103843588604,BNF
364,250000,2021-12-23,35095.25,35082.85,-12.400000000001455,11.778100584979104,3.5040149999999994,-187.31908837503357,-0.07492763535001343,BNF
365,250000,2021-12-24,35020.65,34871.1,-149.5500000000029,9.39364050537796,6.989175,-1470.4727349584762,-0.5881890939833905,BNF
366,250000,2021-12-27,35023.45,35107.35,83.90000000000146,7.774236181295258,2.33668,634.0925134105745,0.2536370053642298,BNF
366,250000,2021-12-28,35107.35,35173.35,66.0,7.774236181295258,2.33668,494.933685765378,0.19797347430615123,BNF
366,250000,2021-12-29,35173.35,35076.95,-96.40000000000146,7.774236181295258,2.33668,-767.6022700769832,-0.3070409080307933,BNF
367,250000,2021-12-30,35119.5,35053.8,-65.69999999999709,14.070634585620155,7.01733,-1023.1789784719132,-0.40927159138876523,BNF
368,250000,2021-12-30,35131.1,35131.1,0.0,14.811523365178877,0.6688168181818183,-9.906195929524594,-0.003962478371809838,BNF
368,250000,2021-12-31,35131.1,35510.95,379.84999999999854,14.811523365178877,0.6688168181818183,5616.25095433365,2.2465003817334597,BNF
368,250000,2022-01-03,35510.95,36467.65,956.7000000000044,14.811523365178877,0.6688168181818183,14160.278207537172,5.664111283014869,BNF
368,250000,2022-01-04,36467.65,36856.75,389.09999999999854,14.811523365178877,0.6688168181818183,5753.257545461554,2.3013030181846217,BNF
368,250000,2022-01-05,36856.75,37644.9,788.1500000000015,14.811523365178877,0.6688168181818183,11663.795944336229,4.665518377734491,BNF
368,250000,2022-01-06,37644.9,37470.45,-174.45000000000437,14.811523365178877,0.6688168181818183,-2593.7764469850445,-1.0375105787940178,BNF
368,250000,2022-01-07,37470.45,37755.1,284.65000000000146,14.811523365178877,0.6688168181818183,4206.193929968664,1.6824775719874654,BNF
368,250000,2022-01-10,37755.1,38344.95,589.8499999999985,14.811523365178877,0.6688168181818183,8726.670861021215,3.490668344408486,BNF
368,250000,2022-01-11,38344.95,38433.55,88.60000000000582,14.811523365178877,0.6688168181818183,1302.39477422541,0.520957909690164,BNF
368,250000,2022-01-12,38433.55,38708.85,275.29999999999563,14.811523365178877,0.6688168181818183,4067.7061865041555,1.6270824746016623,BNF
368,250000,2022-01-13,38708.85,38438.75,-270.09999999999854,14.811523365178877,0.6688168181818183,-4010.4986568643176,-1.604199462745727,BNF
369,250000,2022-01-14,38378.3,38312.8,-65.5,11.090368015378452,7.669110000000001,-811.4723572577077,-0.32458894290308304,BNF
370,250000,2022-01-17,38349.6,38342.4,-7.19999999999709,14.009853597030064,7.6692,-208.31531510491865,-0.08332612604196747,BNF
371,250000,2022-01-18,38384.65,38164.15,-220.5,13.87571980296448,7.658912916666667,-3165.86914618064,-1.266347658472256,BNF
372,250000,2022-01-21,37738.65,37738.65,0.0,7.383617176370237,3.7569356282552087,-27.739774435302465,-0.011095909774120985,BNF
372,250000,2022-01-24,37738.65,37497.25,-241.40000000000146,7.383617176370237,3.7569356282552087,-1810.1449608110884,-0.7240579843244354,BNF
373,250000,2022-01-25,37279.05,37714.0,434.9499999999971,5.265605939603494,3.7212449999999997,2270.6806936558046,0.9082722774623218,BNF
373,250000,2022-01-27,37714.0,37145.85,-568.1500000000015,5.265605939603494,3.7212449999999997,-3011.2486243604526,-1.204499449744181,BNF
374,250000,2022-01-27,37613.45,38094.9,481.45000000000437,6.76719713973144,3.7641575,3232.5942670562326,1.2930377068224932,BNF
374,250000,2022-01-28,38094.9,37669.7,-425.20000000000437,6.76719713973144,3.7641575,-2902.8850196813364,-1.1611540078725344,BNF
375,250000,2022-01-31,38078.2,37957.65,-120.54999999999563,8.18107444777741,3.792540833333333,-1017.2555835832669,-0.4069022334333067,BNF
375,250000,2022-02-01,37957.65,37761.7,-195.95000000000437,8.18107444777741,3.792540833333333,-1634.1085969457552,-0.653643438778302,BNF
376,250000,2022-02-01,38598.7,38568.7,-30.0,6.764908166371739,2.582643333333333,-220.41858996764432,-0.08816743598705773,BNF
376,250000,2022-02-02,38568.7,39338.2,769.5,6.764908166371739,2.582643333333333,5188.125489046561,2.0752501956186244,BNF
376,250000,2022-02-03,39338.2,38880.6,-457.59999999999854,6.764908166371739,2.582643333333333,-3113.0933219081903,-1.245237328763276,BNF
377,250000,2022-02-09,38414.9,38602.4,187.5,3.2670841274162705,2.5628950000000006,604.2050803158162,0.24168203212632647,BNF
377,250000,2022-02-10,38602.4,38962.25,359.84999999999854,3.2670841274162705,2.5628950000000006,1167.2870296760057,0.46691481187040224,BNF
377,250000,2022-02-11,38962.25,38471.95,-490.3000000000029,3.2670841274162705,2.5628950000000006,-1610.2245412469415,-0.6440898164987765,BNF
378,250000,2022-02-15,37611.85,38152.85,541.0,3.568539753532859,3.773775,1917.1131405528884,0.7668452562211553,BNF
