,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
66,2019-09-12,Thursday,2019-09-12,0,11100,C,7.35,11:00:00,15.45,0.05,2019-09-12,15:21:00,0,EOD exit,7.3,0.074,1801.8018018018017,13019.819819819819,1.3019819819819818,2019,9,7.45,0.05,1.3153153153153152,250.0
670,2019-09-13,Friday,2019-09-19,6,10950,P,52.6,11:57:00,74.95,74.95,2019-09-17,11:54:00,0,SL hit,-22.35,1.2755,1342.2818791946308,-31712.080536912756,-3.1712080536912755,2019,9,77.8,16.2,4.885906040268457,183.7248322147651
67,2019-09-16,Monday,2019-09-19,3,11000,C,72.8,12:27:00,109.7,0.05,2019-09-19,15:21:00,0,EOD exit,72.75,0.7284999999999999,813.0081300813007,58554.0650406504,5.85540650406504,2019,9,80.7,0.05,5.914634146341462,111.78861788617884
671,2019-09-18,Wednesday,2019-09-19,1,10850,P,35.45,09:15:00,66.05,66.05,2019-09-18,10:09:00,0,SL hit,-30.599999999999994,1.0150000000000001,980.3921568627453,-30995.09803921569,-3.0995098039215687,2019,9,68.1,32.55,0.28431372549019673,132.9656862745098
672,2019-09-18,Wednesday,2019-09-19,1,10800,P,21.25,12:18:00,44.05,44.05,2019-09-19,09:27:00,0,SL hit,-22.799999999999997,0.653,1315.7894736842106,-30859.210526315786,-3.0859210526315786,2019,9,46.9,5.65,2.0526315789473686,177.63157894736844
674,2019-09-20,Friday,2019-09-26,6,10700,P,64.6,10:39:00,88.6,0.05,2019-09-26,15:21:00,0,EOD exit,64.55,0.6465,1250.0,79879.37499999999,7.987937499999999,2019,9,67.9,0.05,8.06875,167.1875
673,2019-09-20,Friday,2019-09-26,6,10700,P,77.05,09:15:00,85.7,85.7,2019-09-20,09:18:00,0,SL hit,-8.650000000000006,1.6275,1869.1588785046729,-19210.280373831785,-1.9210280373831785,2019,9,88.6,75.4,0.30841121495326945,250.0
68,2019-09-23,Monday,2019-09-26,3,11550,C,117.25,13:27:00,183.0,21.5,2019-09-26,15:21:00,0,EOD exit,95.75,1.3875,456.27376425855516,43055.13307984791,4.305513307984791,2019,9,164.75,9.0,4.93916349809886,65.8745247148289
69,2019-09-27,Friday,2019-10-03,6,11600,C,80.7,09:15:00,96.4,96.4,2019-09-27,09:27:00,0,SL hit,-15.700000000000003,1.7710000000000004,1724.1379310344828,-30122.413793103457,-3.0122413793103453,2019,9,104.35,74.35,1.0948275862068981,250.0
675,2019-09-27,Friday,2019-10-03,6,11550,P,90.6,12:21:00,114.9,114.9,2019-09-30,09:15:00,0,SL hit,-24.30000000000001,2.055,1234.5679012345672,-32537.037037037033,-3.253703703703703,2019,9,118.5,65.1,3.1481481481481466,178.24074074074065
70,2019-09-27,Friday,2019-10-03,6,11600,C,72.05,11:12:00,108.8,0.05,2019-10-03,15:21:00,0,EOD exit,72.0,0.721,816.3265306122449,58186.93877551021,5.818693877551021,2019,10,93.0,0.05,5.877551020408164,118.36734693877553
677,2019-09-30,Monday,2019-10-03,3,11400,P,33.3,14:18:00,68.7,68.7,2019-10-01,13:45:00,0,SL hit,-35.400000000000006,1.02,847.4576271186439,-30864.406779661018,-3.0864406779661016,2019,10,77.0,8.0,2.1440677966101687,120.76271186440675
676,2019-09-30,Monday,2019-10-03,3,11450,P,72.05,11:42:00,88.35,88.35,2019-09-30,12:18:00,0,SL hit,-16.299999999999997,1.6039999999999999,1746.7248908296942,-31273.362445414838,-3.1273362445414836,2019,9,95.5,67.35,0.8209606986899567,250.0
678,2019-10-03,Thursday,2019-10-03,0,11300,P,16.2,12:00:00,67.85,0.05,2019-10-03,15:21:00,0,EOD exit,16.15,0.1625,580.832526621491,9286.060019361086,0.9286060019361086,2019,10,43.5,0.05,0.9380445304937078,82.0425943852856
71,2019-10-04,Friday,2019-10-10,6,11400,C,82.4,11:33:00,109.0,0.05,2019-10-10,15:21:00,0,EOD exit,82.35000000000001,0.8245,1127.8195488721808,91946.05263157899,9.194605263157898,2019,10,95.8,0.05,9.28759398496241,160.71428571428578
