Day,Strike,Expiry,DTE,Option Type,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year,Entry Time,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%
2022-07-27,16300,2022-07-28,1,PE,25.8,33.54,8.5,2022-07-27 15:30:00,32.15,8.25,17.3,1226.993865030675,21226.99386503068,0.3429999999999999,20806.134969325158,250.0,2.080613496932516,2022,09:15:00,15950,2.25,1.95,-0.30000000000000004,-368.0981595092025,-0.036809815950920255,2.043803680981596
2022-07-28,16950,2022-07-28,0,CE,3.75,4.875,4.875,2022-07-28 10:13:00,17.4,0.05,-1.125,1179.9410029498524,-1327.433628318584,0.08625,-1429.203539823009,250.0,-0.1429203539823008,2022,09:15:00,17300,0.6,0.45,-0.14999999999999997,-176.99115044247782,-0.01769911504424778,-0.16061946902654858
2022-07-28,16600,2022-07-28,0,PE,7.5,9.75,0.05,2022-07-28 15:29:00,8.35,0.05,7.45,1204.819277108434,8975.903614457833,0.0755,8884.939759036146,250.00000000000009,0.8884939759036146,2022,09:15:00,16250,1.25,0.05,-1.2,-1445.7831325301208,-0.14457831325301207,0.7439156626506025
2022-07-29,17250,2022-08-04,6,CE,65.4,85.02000000000001,85.02000000000001,2022-07-29 15:11:00,94.1,53.05,-19.620000000000005,1019.3679918450558,-20000.0,1.5042000000000002,-21533.33333333333,219.80122324159012,-2.153333333333333,2022,09:15:00,17600,8.6,9.75,1.1500000000000004,1172.2731906218146,0.11722731906218145,-2.0361060142711516
2022-07-29,16900,2022-08-04,6,PE,63.15,82.095,39.1,2022-07-29 15:30:00,78.55,36.1,24.05,1055.6875164951175,25389.28477170757,1.0225,24309.844286091316,223.0139878595936,2.4309844286091318,2022,09:15:00,16550,13.25,9.9,-3.3499999999999996,-3536.5531802586434,-0.3536553180258643,2.0773291105832676
2022-08-01,17400,2022-08-04,3,CE,45.45,59.08500000000001,59.08500000000001,2022-08-01 10:38:00,85.75,33.75,-13.635000000000003,1149.425287356322,-15672.413793103457,1.0453500000000002,-16873.965517241388,250.0,-1.6873965517241387,2022,09:15:00,17750,3.6,4.35,0.7499999999999996,862.068965517241,0.0862068965517241,-1.6011896551724145
2022-08-01,17050,2022-08-04,3,PE,52.35,68.055,68.055,2022-08-01 09:20:00,73.35,23.7,-15.705000000000004,1173.0205278592375,-18422.28739002933,1.20405,-19834.662756598245,250.0,-1.9834662756598245,2022,09:15:00,16700,11.05,14.8,3.75,4398.826979472141,0.4398826979472141,-1.5435835777126103
2022-08-02,17500,2022-08-04,2,CE,24.0,31.200000000000003,31.200000000000003,2022-08-02 09:27:00,43.3,16.8,-7.200000000000003,1142.857142857143,-8228.571428571431,0.552,-8859.428571428574,250.0,-0.8859428571428574,2022,09:15:00,17850,1.9,2.15,0.25,285.7142857142857,0.028571428571428574,-0.8573714285714288
2022-08-02,17150,2022-08-04,2,PE,54.65,71.045,71.045,2022-08-02 10:01:00,74.1,27.35,-16.395000000000003,1166.1807580174927,-19119.5335276968,1.25695,-20585.364431486883,250.0,-2.058536443148689,2022,09:15:00,16800,11.65,13.7,2.049999999999999,2390.670553935859,0.23906705539358591,-1.8194693877551031
2022-08-03,17500,2022-08-04,1,CE,26.8,34.84,25.0,2022-08-03 15:30:00,33.2,10.1,1.8000000000000007,1142.857142857143,2057.142857142858,0.518,1465.142857142858,250.0,0.1465142857142858,2022,09:15:00,17850,1.35,0.95,-0.40000000000000013,-457.1428571428573,-0.04571428571428573,0.10080000000000006
2022-08-03,17200,2022-08-04,1,PE,41.55,54.015,54.015,2022-08-03 09:42:00,75.8,13.0,-12.465000000000003,1162.7906976744184,-14494.18604651163,0.95565,-15605.406976744189,249.99999999999997,-1.5605406976744187,2022,09:15:00,16850,6.75,8.9,2.1500000000000004,2500.0,0.25,-1.3105406976744187
2022-08-04,17650,2022-08-04,0,CE,3.25,4.2250000000000005,0.05,2022-08-04 15:29:00,3.45,0.05,3.2,1133.14447592068,3626.062322946176,0.033,3588.668555240794,250.0,0.3588668555240794,2022,09:15:00,18000,0.7,0.05,-0.6499999999999999,-736.5439093484418,-0.07365439093484417,0.2852124645892352
2022-08-04,17300,2022-08-04,0,PE,8.35,10.855,10.855,2022-08-04 11:14:00,156.5,0.05,-2.505000000000001,1156.0693641618495,-2895.953757225434,0.19205,-3117.976878612717,249.99999999999997,-0.3117976878612717,2022,09:15:00,16950,1.3,1.05,-0.25,-289.0173410404624,-0.02890173410404624,-0.34069942196531794
2022-08-05,17600,2022-08-11,6,CE,86.15,111.995,52.0,2022-08-05 15:30:00,95.65,49.25,34.150000000000006,773.8440704198105,26426.77500483653,1.3815000000000002,25357.70942155156,170.2456954923583,2.5357709421551564,2022,09:15:00,18150,4.8,2.1,-2.6999999999999997,-2089.378990133488,-0.2089378990133488,2.3268330431418076
2022-08-05,17250,2022-08-11,6,PE,101.1,131.43,85.0,2022-08-05 15:29:00,106.7,64.55,16.099999999999994,659.4131223211339,10616.551269370251,1.861,9389.38344873062,142.1859545004945,0.938938344873062,2022,09:15:00,16550,10.5,5.7,-4.8,-3165.1829871414425,-0.3165182987141443,0.6224200461589178
2022-08-08,17600,2022-08-11,3,CE,50.95,66.235,66.235,2022-08-08 11:30:00,90.5,36.8,-15.284999999999997,1136.3636363636365,-17369.31818181818,1.17185,-18700.965909090908,250.00000000000009,-1.8700965909090908,2022,09:15:00,17950,4.45,4.95,0.5,568.1818181818182,0.05681818181818182,-1.8132784090909089
2022-08-08,17250,2022-08-11,3,PE,67.3,87.49,27.0,2022-08-08 15:29:00,80.1,27.0,40.3,990.5894006934128,39920.75284794453,0.943,38986.62704309064,213.59583952451712,3.898662704309064,2022,09:15:00,16900,15.05,7.0,-8.05,-7974.244675581974,-0.7974244675581973,3.1012382367508664
2022-08-10,17750,2022-08-11,1,CE,19.85,25.805000000000003,8.05,2022-08-10 15:30:00,20.15,7.25,11.8,1126.7605633802818,13295.774647887329,0.279,12981.408450704228,250.00000000000009,1.2981408450704228,2022,09:15:00,18100,1.25,0.5,-0.75,-845.0704225352114,-0.08450704225352114,1.2136338028169016
2022-08-10,17400,2022-08-11,1,PE,48.45,62.98500000000001,62.98500000000001,2022-08-10 09:39:00,78.5,29.05,-14.535000000000004,1149.425287356322,-16706.89655172414,1.11435,-17987.75862068966,250.0,-1.798775862068966,2022,09:15:00,17050,8.8,9.45,0.6499999999999986,747.1264367816077,0.07471264367816077,-1.7240632183908051
2022-08-11,17900,2022-08-11,0,CE,2.9,3.77,0.05,2022-08-11 15:29:00,2.95,0.05,2.85,1117.31843575419,3184.357541899441,0.0295,3151.396648044693,250.0,0.3151396648044692,2022,09:15:00,18250,0.55,0.05,-0.5,-558.659217877095,-0.0558659217877095,0.2592737430167597
2022-08-11,17550,2022-08-11,0,PE,12.4,16.12,16.12,2022-08-11 11:28:00,21.85,0.05,-3.7200000000000006,1139.6011396011395,-4239.316239316239,0.2852,-4564.330484330484,249.99999999999997,-0.4564330484330484,2022,09:15:00,17200,1.9,3.0,1.1,1253.5612535612536,0.12535612535612536,-0.33107692307692305
