,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
38,2024-01-31,Wednesday,2024-02-02,2,71100,C,1090.25,12:10:00,1130.55,1130.55,2024-02-01,11:00:00,31.632348552670862,SL hit,-40.299999999999955,22.208000000000002,168.77637130801688,-10549.87341772151,-1.054987341772151,2024,2,1205.05,876.65,3.6050632911392406,200.0
126,2024-02-05,Monday,2024-02-09,4,72200,P,626.95,10:40:00,760.9,760.9,2024-02-05,14:35:00,33.252012686020976,SL hit,-133.94999999999993,13.878499999999999,149.30944382232184,-22072.191116088095,-2.2072191116088096,2024,2,764.4,512.7,1.705860395670027,179.6690307328606
127,2024-02-06,Tuesday,2024-02-09,3,71900,P,555.25,10:50:00,721.85,305.0,2024-02-09,15:20:00,24.58233890214794,EOD exit,250.25,8.602500000000001,120.04801920768305,29009.30372148859,2.900930372148859,2024,2,719.95,172.85,4.590636254501799,143.85754301720686
39,2024-02-07,Wednesday,2024-02-09,2,72600,C,374.95,09:40:00,487.25,0.1,2024-02-09,15:20:00,32.856169052488056,EOD exit,374.84999999999997,3.7505,165.28925619834712,61338.760330578516,6.1338760330578515,2024,2,424.9,0.05,6.196694214876033,200.0
128,2024-02-12,Monday,2024-02-16,4,71700,P,882.95,13:25:00,1000.25,0.1,2024-02-16,15:20:00,28.731123749754857,EOD exit,882.85,8.8305,167.36401673640168,146279.41422594144,14.627941422594143,2024,2,983.4,0.1,14.775732217573223,200.0
40,2024-02-12,Monday,2024-02-16,4,71800,C,321.5,13:50:00,629.35,629.35,2024-02-16,09:15:00,54.01221995926681,SL hit,-307.85,9.5085,64.966704563911,-20617.73591034595,-2.061773591034595,2024,2,630.9,134.25,1.2165015429592334,77.74348979481348
41,2024-02-16,Friday,2024-02-16,0,72500,C,58.7,12:15:00,278.0,0.1,2024-02-16,15:20:00,37.41721854304636,EOD exit,58.6,0.5880000000000001,91.19927040583674,5290.652074783401,0.5290652074783401,2024,2,83.95,0.1,0.5344277245782032,110.19911840705272
129,2024-02-19,Monday,2024-02-23,4,72600,P,610.75,10:05:00,710.0,0.1,2024-02-23,15:20:00,47.798191892680066,EOD exit,610.65,6.1085,165.28925619834712,99924.21487603305,9.992421487603306,2024,2,666.0,0.05,10.094214876033059,200.0
42,2024-02-19,Monday,2024-02-23,4,72700,C,619.55,14:45:00,690.0,690.0,2024-02-20,15:15:00,16.62251655629146,SL hit,-70.45000000000005,13.0955,165.06189821182943,-13790.178817056403,-1.3790178817056404,2024,2,692.8,439.45,2.9727647867950475,200.0
43,2024-02-21,Wednesday,2024-02-23,2,73300,C,261.8,11:20:00,400.0,0.2,2024-02-23,15:20:00,41.1917098445596,EOD exit,261.6,2.62,144.71780028943562,37479.01591895804,3.747901591895804,2024,2,313.3,0.1,3.7872648335745294,176.7969126869272
