,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation
55,nifty,11700,C,2019-05-02,2019-04-30 14:00:00,SELL,2019-04-30,14:30:00,30.45,60.9,1,2019-05-02 10:00:00,60.9,-30.45,0.9135,-31.3635,-18818.1,Initial SL Hit,600,-1.8818099999999998,79.4,21.8,2019,4,"20, 4, 30m, 2% SL"
56,nifty,11700,C,2019-05-09,2019-05-06 14:00:00,SELL,2019-05-06,14:30:00,29.6,59.2,1,2019-05-09 09:00:00,1.0,28.6,0.306,28.294,16976.4,Target Hit,600,1.6976400000000003,115.9,0.1,2019,5,"20, 4, 30m, 2% SL"
57,nifty,11300,C,2019-05-16,2019-05-13 14:00:00,SELL,2019-05-13,14:30:00,55.7,111.4,1,2019-05-16 11:00:00,1.0,54.7,0.5670000000000001,54.133,33291.795,Target Hit,615,3.3291795,126.0,0.95,2019,5,"20, 4, 30m, 2% SL"
58,nifty,11300,P,2019-05-16,2019-05-15 10:30:00,SELL,2019-05-15,11:00:00,65.45,130.9,1,2019-05-15 15:00:00,130.9,-65.45,1.9635000000000002,-67.4135,-41459.3025,Initial SL Hit,615,-4.145930249999999,199.0,51.1,2019,5,"20, 4, 30m, 2% SL"
59,nifty,11250,P,2019-05-23,2019-05-20 14:30:00,SELL,2019-05-20,15:00:00,52.7,105.4,1,2019-05-23 10:30:00,1.0,51.7,0.537,51.163000000000004,31465.245000000003,Target Hit,615,3.1465245000000004,258.6,0.7,2019,5,"20, 4, 30m, 2% SL"
60,nifty,11750,P,2019-05-30,2019-05-27 14:00:00,SELL,2019-05-27,14:30:00,20.7,41.4,1,2019-05-30 09:30:00,1.0,19.7,0.217,19.483,11689.800000000001,Target Hit,600,1.1689800000000001,139.0,0.85,2019,5,"20, 4, 30m, 2% SL"
61,nifty,12000,P,2019-06-06,2019-06-03 14:00:00,SELL,2019-06-03,14:30:00,38.0,76.0,1,2019-06-06 12:00:00,76.0,-38.0,1.1400000000000001,-39.14,-22896.9,Initial SL Hit,585,-2.2896900000000002,211.6,18.1,2019,6,"20, 4, 30m, 2% SL"
62,nifty,12000,C,2019-06-06,2019-06-06 11:00:00,SELL,2019-06-06,11:30:00,16.2,32.4,1,2019-06-06 13:00:00,1.0,15.2,0.172,15.027999999999999,8791.38,Target Hit,585,0.879138,117.3,0.85,2019,6,"20, 4, 30m, 2% SL"
63,nifty,11850,P,2019-06-13,2019-06-10 14:00:00,SELL,2019-06-10,14:30:00,38.7,77.4,1,2019-06-13 14:00:00,1.0,37.7,0.397,37.303000000000004,21822.255,Target Hit,585,2.1822255000000004,118.5,0.8,2019,6,"20, 4, 30m, 2% SL"
64,nifty,11900,C,2019-06-20,2019-06-17 14:00:00,SELL,2019-06-17,14:30:00,11.25,22.5,1,2019-06-20 09:00:00,1.0,10.25,0.1225,10.1275,5924.5875,Target Hit,585,0.59245875,70.35,0.15,2019,6,"20, 4, 30m, 2% SL"
65,nifty,11900,P,2019-06-20,2019-06-19 10:30:00,SELL,2019-06-19,11:00:00,115.6,231.2,1,2019-06-19 14:00:00,231.2,-115.6,3.4679999999999995,-119.068,-69654.78,Initial SL Hit,585,-6.965478,254.3,60.35,2019,6,"20, 4, 30m, 2% SL"
66,nifty,11850,C,2019-06-27,2019-06-24 14:00:00,SELL,2019-06-24,14:30:00,15.95,31.9,1,2019-06-25 13:30:00,31.9,-15.95,0.4784999999999999,-16.4285,-9610.6725,Initial SL Hit,585,-0.96106725,73.0,8.5,2019,6,"20, 4, 30m, 2% SL"
67,nifty,11850,P,2019-07-04,2019-07-01 15:00:00,SELL,2019-07-02,09:00:00,42.05,84.1,1,2019-07-04 12:30:00,1.0,41.05,0.4305,40.619499999999995,23762.407499999998,Target Hit,585,2.37624075,105.0,0.55,2019,7,"20, 4, 30m, 2% SL"
68,nifty,11850,C,2019-07-04,2019-07-02 10:30:00,SELL,2019-07-02,11:00:00,38.25,76.5,1,2019-07-02 13:30:00,76.5,-38.25,1.1475,-39.3975,-23047.537500000002,Initial SL Hit,585,-2.30475375,110.0,37.1,2019,7,"20, 4, 30m, 2% SL"
69,nifty,11950,C,2019-07-11,2019-07-08 15:00:00,SELL,2019-07-09,09:00:00,2.7,5.4,1,2019-07-10 09:00:00,1.0,1.7000000000000002,0.037000000000000005,1.6630000000000003,972.8550000000001,Target Hit,585,0.09728550000000001,113.75,1.0,2019,7,"20, 4, 30m, 2% SL"
70,nifty,11600,C,2019-07-18,2019-07-15 15:00:00,SELL,2019-07-16,09:00:00,33.0,66.0,1,2019-07-16 09:30:00,66.0,-33.0,0.99,-33.99,-20394.0,Initial SL Hit,600,-2.0394,84.4,23.5,2019,7,"20, 4, 30m, 2% SL"
71,nifty,11600,P,2019-07-18,2019-07-16 09:30:00,SELL,2019-07-16,10:00:00,30.1,60.2,1,2019-07-18 09:00:00,1.0,29.1,0.311,28.789,17273.4,Target Hit,600,1.72734,106.8,0.7,2019,7,"20, 4, 30m, 2% SL"
72,nifty,11600,C,2019-07-18,2019-07-18 13:00:00,SELL,2019-07-18,13:30:00,34.25,68.5,1,2019-07-18 15:00:00,1.0,33.25,0.3525,32.8975,19738.5,Target Hit,600,1.9738499999999999,97.0,0.05,2019,7,"20, 4, 30m, 2% SL"
