,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
873,bnf,41300,C,2022-11-10,2022-11-09 14:35:00,SELL,2022-11-09 14:40:00,554.0,831.0,10,2022-11-10 15:20:00,307.85,246.14999999999998,8.618500000000001,237.53149999999997,35629.72499999999,Expiry Exit,150,3.5629724999999994,2022,11
874,bnf,41300,P,2022-11-10,2022-11-04 14:25:00,SELL,2022-11-04 14:30:00,401.0,601.5,10,2022-11-10 13:40:00,10.0,391.0,4.11,386.89,58033.5,Target Hit,150,5.80335,2022,11
875,bnf,42200,C,2022-11-17,2022-11-14 09:25:00,SELL,2022-11-14 09:30:00,248.6,372.9,10,2022-11-16 10:20:00,372.9,-124.29999999999998,6.215,-130.515,-17619.524999999998,Initial SL Hit,135,-1.7619524999999996,2022,11
876,bnf,42200,C,2022-11-17,2022-11-16 14:30:00,SELL,2022-11-16 14:35:00,342.1,513.1500000000001,10,2022-11-17 15:20:00,259.8,82.30000000000001,6.019000000000001,76.281,10297.935000000001,Expiry Exit,135,1.0297935,2022,11
877,bnf,42200,P,2022-11-17,2022-11-11 13:30:00,SELL,2022-11-11 13:35:00,321.15,481.72499999999997,10,2022-11-17 12:10:00,10.0,311.15,3.3114999999999997,307.83849999999995,41558.197499999995,Target Hit,135,4.15581975,2022,11
878,bnf,42500,C,2022-11-24,2022-11-18 13:25:00,SELL,2022-11-18 13:30:00,246.8,370.20000000000005,10,2022-11-23 14:55:00,370.20000000000005,-123.40000000000003,6.17,-129.57000000000002,-17491.950000000004,Initial SL Hit,135,-1.7491950000000003,2022,11
879,bnf,42500,C,2022-11-24,2022-11-24 14:40:00,SELL,2022-11-24 14:45:00,406.2,609.3,10,2022-11-24 15:20:00,585.0,-178.8,9.912,-188.71200000000002,-25476.120000000003,Expiry Exit,135,-2.547612,2022,11
880,bnf,42500,P,2022-11-24,2022-11-18 14:55:00,SELL,2022-11-18 15:00:00,302.0,453.0,10,2022-11-24 09:45:00,10.0,292.0,3.12,288.88,38998.8,Target Hit,135,3.89988,2022,11
881,bnf,43200,C,2022-12-01,2022-11-25 13:35:00,SELL,2022-11-25 13:40:00,193.9,290.85,10,2022-12-01 09:15:00,290.85,-96.95000000000002,4.8475,-101.79750000000001,-13742.662500000002,Initial SL Hit,135,-1.3742662500000002,2022,11
882,bnf,43200,C,2022-12-01,2022-12-01 13:25:00,SELL,2022-12-01 13:30:00,100.8,151.2,10,2022-12-01 14:10:00,151.2,-50.39999999999999,2.52,-52.919999999999995,-7144.199999999999,Initial SL Hit,135,-0.7144199999999999,2022,12
883,bnf,43200,C,2022-12-01,2022-12-01 14:30:00,SELL,2022-12-01 14:35:00,134.35,201.52499999999998,10,2022-12-01 15:20:00,59.5,74.85,1.9385,72.91149999999999,9843.052499999998,Expiry Exit,135,0.9843052499999998,2022,12
884,bnf,43200,P,2022-12-01,2022-11-28 10:55:00,SELL,2022-11-28 11:00:00,342.35,513.5250000000001,10,2022-12-01 12:30:00,10.0,332.35,3.5235000000000003,328.8265,44391.5775,Target Hit,135,4.43915775,2022,11
885,bnf,43000,P,2022-12-08,2022-12-02 14:50:00,SELL,2022-12-02 14:55:00,211.55,317.32500000000005,10,2022-12-08 11:30:00,10.0,201.55,2.2155,199.33450000000002,26910.1575,Target Hit,135,2.69101575,2022,12
886,bnf,43800,C,2022-12-15,2022-12-09 13:25:00,SELL,2022-12-09 13:30:00,160.0,240.0,10,2022-12-13 09:20:00,240.0,-80.0,4.0,-84.0,-11340.0,Initial SL Hit,135,-1.134,2022,12
887,bnf,43800,C,2022-12-15,2022-12-13 14:10:00,SELL,2022-12-13 14:15:00,222.0,333.0,10,2022-12-14 09:15:00,316.5,-94.5,5.385,-99.885,-13484.475,Gap Outside ISL,135,-1.3484475,2022,12
