,Index,Strike,Option Type,Expiry,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Target,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Qty,ROI%,Max Price,Min Price,Trade Year,Trade Month,Variation,Cumulative PnL,Cumulative ROI%,Running Max ROI%,Drawdown
270,BANKNIFTY,29100,C,2019-08-01,2019-07-29 14:00:00,SELL,2019-07-29,14:15:00,270.95,427.8,2,2019-07-30 09:15:00,427.8,-156.85000000000002,6.9875,-163.83750000000003,-13516.593750000004,Initial SL Hit,82.5,-1.3516593750000003,427.95,155.15,2019,7,"35, 4, 15m, N Candles High SL",550085.0399999996,55.00850400000002,58.22910375000002,-3.220599749999998
1074,NIFTY,11250,C,2019-08-01,2019-07-29 14:00:00,SELL,2019-07-29,14:30:00,32.9,65.8,1,2019-08-01 09:00:00,1.0,31.9,0.3389999999999999,31.561,9705.0075,Target Hit,307.5,0.97050075,101.0,0.3,2019,7,"20, 4, 30m, 2% SL",559790.0474999995,55.97900475000002,58.22910375000002,-2.2500989999999987
271,BANKNIFTY,29100,C,2019-08-01,2019-07-30 12:15:00,SELL,2019-07-30,12:30:00,277.1,439.7,2,2019-08-01 10:30:00,2.0,275.1,2.7910000000000004,272.309,22465.492500000004,Target Hit,82.5,2.24654925,439.7,1.95,2019,7,"35, 4, 15m, N Candles High SL",582255.5399999996,58.225554000000024,58.22910375000002,-0.0035497499999976867
272,BANKNIFTY,28200,C,2019-08-08,2019-08-05 13:15:00,SELL,2019-08-05,13:30:00,124.25,550.0,2,2019-08-08 10:45:00,2.0,122.25,1.2625,120.9875,10888.875,Target Hit,90.0,1.0888875,550.0,1.9,2019,8,"35, 4, 15m, N Candles High SL",593144.4149999996,59.31444150000002,59.31444150000002,0.0
1075,NIFTY,10950,C,2019-08-08,2019-08-05 14:00:00,SELL,2019-08-05,14:30:00,46.0,92.0,1,2019-08-06 14:00:00,92.0,-46.0,1.38,-47.38,-15280.05,Initial SL Hit,322.5,-1.528005,188.3,23.2,2019,8,"20, 4, 30m, 2% SL",577864.3649999995,57.78643650000002,59.31444150000002,-1.5280050000000003
273,BANKNIFTY,28200,P,2019-08-08,2019-08-06 12:30:00,SELL,2019-08-06,12:45:00,382.6,832.7,2,2019-08-08 15:15:00,74.1,308.5,4.567,303.933,27353.97,Expiry Exit,90.0,2.7353970000000003,835.65,70.15,2019,8,"35, 4, 15m, N Candles High SL",605218.3349999995,60.52183350000002,60.52183350000002,0.0
1076,NIFTY,10950,P,2019-08-08,2019-08-06 14:00:00,SELL,2019-08-06,14:30:00,40.15,80.3,1,2019-08-07 09:00:00,80.3,-40.15,1.2045,-41.3545,-13336.82625,Initial SL Hit,322.5,-1.333682625,198.3,34.0,2019,8,"20, 4, 30m, 2% SL",591881.5087499995,59.18815087500002,60.52183350000002,-1.3336826250000016
1077,NIFTY,10950,P,2019-08-08,2019-08-07 10:30:00,SELL,2019-08-07,11:00:00,66.85,133.7,1,2019-08-08 15:00:00,1.0,65.85,0.6785,65.1715,21017.808749999997,Target Hit,322.5,2.1017808749999993,198.3,0.05,2019,8,"20, 4, 30m, 2% SL",612899.3174999994,61.28993175000002,61.28993175000002,0.0
1078,NIFTY,10950,C,2019-08-08,2019-08-07 13:00:00,SELL,2019-08-07,13:30:00,37.3,74.6,1,2019-08-08 15:00:00,74.6,-37.3,1.119,-38.419,-12390.1275,Initial SL Hit,322.5,-1.23901275,188.3,1.25,2019,8,"20, 4, 30m, 2% SL",600509.1899999995,60.05091900000002,61.28993175000002,-1.2390127500000006
274,BANKNIFTY,28300,C,2019-08-14,2019-08-13 12:30:00,SELL,2019-08-13,12:45:00,55.0,393.7,2,2019-08-14 14:30:00,2.0,53.0,0.5700000000000001,52.43,4718.7,Target Hit,90.0,0.47187,393.7,1.4,2019,8,"35, 4, 15m, N Candles High SL",605227.8899999994,60.522789000000024,61.28993175000002,-0.7671427499999979
1079,NIFTY,11100,C,2019-08-14,2019-08-13 14:00:00,SELL,2019-08-13,14:30:00,9.65,19.3,1,2019-08-14 14:30:00,1.0,8.65,0.1065,8.5435,2691.2025,Target Hit,315.0,0.26912025,120.0,0.55,2019,8,"20, 4, 30m, 2% SL",607919.0924999994,60.791909250000025,61.28993175000002,-0.4980224999999976
275,BANKNIFTY,27900,P,2019-08-22,2019-08-19 12:30:00,SELL,2019-08-19,12:45:00,76.65,310.55,2,2019-08-22 09:15:00,310.55,-233.9,3.872,-237.772,-21399.480000000003,Initial SL Hit,90.0,-2.1399480000000004,378.65,73.45,2019,8,"35, 4, 15m, N Candles High SL",586519.6124999995,58.65196125000003,61.28993175000002,-2.6379704999999944
1080,NIFTY,11050,P,2019-08-22,2019-08-19 14:30:00,SELL,2019-08-19,15:00:00,67.0,134.0,1,2019-08-21 14:30:00,134.0,-67.0,2.01,-69.01,-21738.15,Initial SL Hit,315.0,-2.1738150000000003,169.75,37.8,2019,8,"20, 4, 30m, 2% SL",564781.4624999994,56.47814625000003,61.28993175000002,-4.811785499999992
276,BANKNIFTY,27900,C,2019-08-22,2019-08-20 09:30:00,SELL,2019-08-20,09:45:00,288.65,606.65,2,2019-08-22 13:30:00,2.0,286.65,2.9065,283.7435,25536.915,Target Hit,90.0,2.5536915,606.65,1.55,2019,8,"35, 4, 15m, N Candles High SL",590318.3774999995,59.03183775000003,61.28993175000002,-2.2580939999999927
1081,NIFTY,11050,C,2019-08-22,2019-08-20 09:30:00,SELL,2019-08-20,10:00:00,43.5,87.0,1,2019-08-22 09:30:00,1.0,42.5,0.445,42.055,13247.325,Target Hit,315.0,1.3247325,124.05,0.7,2019,8,"20, 4, 30m, 2% SL",603565.7024999994,60.35657025000003,61.28993175000002,-0.9333614999999895
277,BANKNIFTY,26800,P,2019-08-29,2019-08-26 12:30:00,SELL,2019-08-26,12:45:00,74.2,335.7,2,2019-08-29 09:15:00,2.0,72.2,0.762,71.438,6429.42,Target Hit,90.0,0.642942,425.65,1.05,2019,8,"35, 4, 15m, N Candles High SL",609995.1224999995,60.99951225000003,61.28993175000002,-0.2904194999999916
1082,NIFTY,10700,P,2019-08-29,2019-08-26 14:30:00,SELL,2019-08-26,15:00:00,14.5,29.0,1,2019-08-28 15:00:00,1.0,13.5,0.155,13.345,4403.85,Target Hit,330.0,0.44038499999999997,126.0,1.0,2019,8,"20, 4, 30m, 2% SL",614398.9724999995,61.43989725000003,61.43989725000003,0.0
278,BANKNIFTY,26800,C,2019-08-29,2019-08-28 13:30:00,SELL,2019-08-28,13:45:00,996.75,1415.6,2,2019-08-29 15:15:00,502.65,494.1,14.994000000000002,479.106,43119.54,Expiry Exit,90.0,4.311954,1415.6,234.8,2019,8,"35, 4, 15m, N Candles High SL",657518.5124999995,65.75185125000003,65.75185125000003,0.0
279,BANKNIFTY,27400,C,2019-09-05,2019-09-03 13:00:00,SELL,2019-09-03,13:15:00,86.05,338.85,2,2019-09-05 14:00:00,2.0,84.05,0.8805,83.1695,7485.255,Target Hit,90.0,0.7485255,429.85,1.5,2019,9,"35, 4, 15m, N Candles High SL",665003.7674999995,66.50037675000003,66.50037675000003,0.0
1083,NIFTY,11000,C,2019-09-05,2019-09-03 14:00:00,SELL,2019-09-03,14:30:00,24.05,48.1,1,2019-09-05 11:30:00,1.0,23.05,0.2505,22.7995,7181.8425,Target Hit,315.0,0.7181842500000001,119.0,0.8,2019,9,"20, 4, 30m, 2% SL",672185.6099999995,67.21856100000002,67.21856100000002,0.0
280,BANKNIFTY,27400,P,2019-09-05,2019-09-04 12:45:00,SELL,2019-09-04,13:00:00,340.0,760.2,2,2019-09-05 15:15:00,478.65,-138.64999999999998,8.1865,-146.83649999999997,-13215.285,Expiry Exit,90.0,-1.3215285,760.2,197.95,2019,9,"35, 4, 15m, N Candles High SL",658970.3249999995,65.89703250000002,67.21856100000002,-1.3215284999999994
281,BANKNIFTY,27000,P,2019-09-12,2019-09-09 12:45:00,SELL,2019-09-09,13:00:00,56.8,249.35,2,2019-09-12 09:15:00,2.0,54.8,0.588,54.212,4879.08,Target Hit,90.0,0.487908,311.0,0.65,2019,9,"35, 4, 15m, N Candles High SL",663849.4049999994,66.38494050000003,67.21856100000002,-0.833620499999995
1084,NIFTY,10900,P,2019-09-12,2019-09-09 14:30:00,SELL,2019-09-09,15:00:00,23.35,46.7,1,2019-09-12 09:00:00,1.0,22.35,0.2435,22.1065,7129.34625,Target Hit,322.5,0.712934625,104.85,0.55,2019,9,"20, 4, 30m, 2% SL",670978.7512499994,67.09787512500003,67.21856100000002,-0.12068587499999239
282,BANKNIFTY,27800,P,2019-09-19,2019-09-16 13:15:00,SELL,2019-09-16,13:30:00,190.3,333.0,2,2019-09-17 13:00:00,333.0,-142.7,5.233,-147.933,-13313.97,Initial SL Hit,90.0,-1.331397,404.95,96.35,2019,9,"35, 4, 15m, N Candles High SL",657664.7812499994,65.76647812500003,67.21856100000002,-1.452082874999988
1085,NIFTY,11000,C,2019-09-19,2019-09-17 09:30:00,SELL,2019-09-17,10:00:00,41.6,83.2,1,2019-09-19 09:00:00,1.0,40.6,0.426,40.174,12654.81,Target Hit,315.0,1.265481,134.85,0.4,2019,9,"20, 4, 30m, 2% SL",670319.5912499995,67.03195912500003,67.21856100000002,-0.1866018749999938
283,BANKNIFTY,27800,C,2019-09-19,2019-09-17 10:00:00,SELL,2019-09-17,10:15:00,157.2,474.9,2,2019-09-19 09:15:00,2.0,155.2,1.592,153.60799999999998,13824.719999999998,Target Hit,90.0,1.3824719999999997,474.9,1.1,2019,9,"35, 4, 15m, N Candles High SL",684144.3112499994,68.41443112500002,68.41443112500002,0.0
1086,NIFTY,10750,P,2019-09-26,2019-09-23 14:00:00,SELL,2019-09-23,14:30:00,5.9,11.8,1,2019-09-23 15:00:00,11.8,-5.9,0.177,-6.077,-1959.8325,Initial SL Hit,322.5,-0.19598325,113.95,1.3,2019,9,"20, 4, 30m, 2% SL",682184.4787499994,68.21844787500002,68.41443112500002,-0.1959832499999976
