date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%,Cumulative ROI%,Max Cumulative ROI%,DD
2020-08-14,Friday,2020-08-20,6,11350,P,89.4,12:45:00,117.3,117.3,2020-08-14,13:25:00,38.17073170731707,SL hit,-27.89999999999999,2.067,716.8458781362009,-21481.720430107525,-2.1481720430107525,2020,8,121.0,87.25,0.1541218637992835,101.70250896057352,2020-08-14 12:45:00,10800,5.15,5.7,0.5499999999999998,394.26523297491036,0.03942652329749104,-2.1087455197132616,200.92658760229605,204.45975619409836,-3.5331685918023084
2020-08-17,Monday,2020-08-20,3,11250,C,75.1,09:15:00,117.95,117.95,2020-08-18,13:45:00,11.091445427728615,SL hit,-42.85000000000001,1.9305,466.74445740956816,-20901.050175029173,-2.090105017502917,2020,8,122.7,56.7,0.8588098016336051,65.63593932322051,2020-08-17 09:15:00,0,,,,,0.0,-2.090105017502917,198.83648258479315,204.45975619409836,-5.623273609305215
2020-08-17,Monday,2020-08-20,3,11200,P,91.45,09:55:00,129.45,0.05,2020-08-20,15:25:00,46.9988344988345,EOD exit,91.4,0.915,526.3157894736844,47623.684210526335,4.762368421052633,2020,8,95.95,0.05,4.810526315789476,73.68421052631581,2020-08-17 09:55:00,0,,,,,0.0,4.762368421052633,203.59885100584577,204.45975619409836,-0.8609051882525875
2020-08-19,Wednesday,2020-08-20,1,11500,C,20.1,11:35:00,29.35,29.35,2020-08-19,13:55:00,48.961424332344215,SL hit,-9.25,0.4945,1739.1304347826087,-16946.956521739132,-1.694695652173913,2020,8,30.0,15.75,0.7565217391304351,250.0,2020-08-19 11:35:00,11850,1.0,0.9,-0.09999999999999998,-173.91304347826085,-0.017391304347826084,-1.712086956521739,201.88676404932403,204.45975619409836,-2.5729921447743322
2020-08-19,Wednesday,2020-08-20,1,11450,C,40.55,14:25:00,55.0,0.05,2020-08-20,15:25:00,49.140401146131815,EOD exit,40.5,0.4059999999999999,1384.0830449826988,55493.42560553633,5.549342560553633,2020,8,41.65,0.05,5.60553633217993,198.0968858131488,2020-08-19 14:25:00,11900,0.75,0.05,-0.7,-968.8581314878891,-0.0968858131487889,5.452456747404844,207.33922079672888,207.33922079672888,0.0
2020-08-21,Friday,2020-08-27,6,11450,C,60.15,11:55:00,84.7,84.7,2020-08-24,12:15:00,28.86178861788616,SL hit,-24.550000000000004,1.4485,814.6639511201628,-21180.040733197555,-2.118004073319756,2020,8,96.45,48.0,0.9898167006109976,116.5987780040733,2020-08-21 11:55:00,12000,2.0,1.25,-0.75,-610.997963340122,-0.061099796334012205,-2.179103869653768,205.1601169270751,207.33922079672888,-2.1791038696537726
2020-08-21,Friday,2020-08-27,6,11400,P,92.15,13:55:00,111.55,0.05,2020-08-27,15:25:00,44.22572178477689,EOD exit,92.1,0.922,1030.927835051547,93997.93814432996,9.399793814432996,2020,8,104.85,0.05,9.494845360824748,146.90721649484544,2020-08-21 13:55:00,10850,7.9,0.05,-7.8500000000000005,-8092.783505154644,-0.8092783505154645,8.590515463917532,213.75063239099265,213.75063239099265,0.0
2020-08-24,Monday,2020-08-27,3,11450,C,86.65,15:05:00,119.4,151.15,2020-08-27,09:15:00,44.5475638051044,Gap SL hit,-64.5,2.378,610.6870229007634,-40841.52671755725,-4.084152671755725,2020,8,151.15,47.7,2.3786259541984736,87.40458015267177,2020-08-24 15:05:00,0,,,,,0.0,-4.084152671755725,209.66647971923692,213.75063239099265,-4.0841526717557315
2020-08-28,Friday,2020-09-03,6,11650,C,65.7,10:05:00,81.95,81.95,2020-08-28,11:25:00,45.42857142857142,SL hit,-16.25,1.4765,1230.7692307692307,-21817.23076923077,-2.181723076923077,2020,8,85.7,62.75,0.3630769230769234,179.23076923076923,2020-08-28 10:05:00,12100,2.4,2.45,0.050000000000000266,61.53846153846187,0.006153846153846187,-2.1755692307692307,207.49091048846768,213.75063239099265,-6.259721902524973
2020-08-28,Friday,2020-09-03,6,11600,P,81.05,12:55:00,104.95,104.95,2020-08-31,11:35:00,48.35965978128796,SL hit,-23.90000000000001,1.86,836.8200836820082,-21556.485355648536,-2.1556485355648536,2020,8,125.0,22.3,4.916317991631798,121.33891213389118,2020-08-28 12:55:00,11000,6.75,11.2,4.449999999999999,3723.849372384936,0.3723849372384936,-1.78326359832636,205.70764689014132,213.75063239099265,-8.04298550085133
2020-09-01,Tuesday,2020-09-03,2,11500,C,63.15,09:45:00,103.2,103.2,2020-09-01,12:45:00,44.381270903010034,SL hit,-40.05,1.6635,499.3757802746566,-20830.71161048689,-2.0830711610486894,2020,9,119.9,55.45,0.3845193508114853,71.78526841448189,2020-09-01 09:45:00,0,,,,,0.0,-2.0830711610486894,203.62457572909264,213.75063239099265,-10.126056661900009
2020-09-01,Tuesday,2020-09-03,2,11450,P,97.15,10:05:00,155.25,0.05,2020-09-03,15:25:00,48.27844311377245,EOD exit,97.1,0.972,344.23407917383827,33090.53356282273,3.309053356282273,2020,9,120.1,0.05,3.34251290877797,49.268502581755605,2020-09-01 10:05:00,0,,,,,0.0,3.309053356282273,206.93362908537492,213.75063239099265,-6.817003305617732
2020-09-01,Tuesday,2020-09-03,2,11500,C,85.45,14:05:00,127.7,27.85,2020-09-03,15:25:00,48.37244511733535,EOD exit,57.6,1.1330000000000002,473.3727810650888,26729.940828402367,2.672994082840237,2020,9,92.0,21.3,3.0366863905325445,68.0473372781065,2020-09-01 14:05:00,0,,,,,0.0,2.672994082840237,209.60662316821515,213.75063239099265,-4.144009222777498
2020-09-04,Friday,2020-09-10,6,11350,P,87.6,12:15:00,128.3,128.3,2020-09-04,14:35:00,39.0284757118928,SL hit,-40.70000000000002,2.1590000000000003,491.4004914004912,-21060.93366093366,-2.106093366093366,2020,9,128.55,65.0,1.1105651105651098,69.71744471744469,2020-09-04 12:15:00,0,,,,,0.0,-2.106093366093366,207.50052980212178,213.75063239099265,-6.250102588870874
2020-09-07,Monday,2020-09-10,3,11350,P,106.0,11:15:00,157.6,157.6,2020-09-09,09:15:00,46.87948350071736,SL hit,-51.6,2.636,387.59689922480624,-21021.70542635659,-2.102170542635659,2020,9,170.0,43.4,2.4263565891472867,54.99031007751939,2020-09-07 11:15:00,0,,,,,0.0,-2.102170542635659,205.3983592594861,213.75063239099265,-8.352273131506536
2020-09-07,Monday,2020-09-10,3,11400,C,57.9,12:55:00,85.0,85.0,2020-09-08,10:45:00,47.81382228490831,SL hit,-27.1,1.429,738.0073800738007,-21054.61254612546,-2.105461254612546,2020,9,94.0,42.8,1.1143911439114391,105.1660516605166,2020-09-07 12:55:00,11950,2.4,1.3,-1.0999999999999999,-811.8081180811807,-0.08118081180811808,-2.186642066420664,203.21171719306545,213.75063239099265,-10.538915197927196
2020-09-08,Tuesday,2020-09-10,2,11450,C,53.6,13:05:00,66.0,0.1,2020-09-10,15:25:00,47.62470308788599,EOD exit,53.5,0.537,1612.9032258064517,85424.1935483871,8.54241935483871,2020,9,58.9,0.05,8.63709677419355,230.8467741935484,2020-09-08 13:05:00,11800,1.6,0.05,-1.55,-2500.0,-0.25,8.29241935483871,211.50413654790415,213.75063239099265,-2.2464958430884963
2020-09-09,Wednesday,2020-09-10,1,11200,P,42.0,12:25:00,69.8,0.05,2020-09-10,15:25:00,47.10017574692442,EOD exit,41.95,0.4205,719.4244604316548,29877.338129496413,2.9877338129496414,2020,9,49.45,0.05,3.017985611510792,100.71942446043168,2020-09-09 12:25:00,10650,1.55,0.05,-1.5,-1079.1366906474823,-0.10791366906474824,2.879820143884893,214.38395669178905,214.38395669178905,0.0
2020-09-11,Friday,2020-09-17,6,11450,C,100.75,11:25:00,119.5,119.5,2020-09-14,09:15:00,35.89743589743591,SL hit,-18.75,2.2025,1066.6666666666667,-22349.333333333336,-2.2349333333333337,2020,9,137.0,86.65,1.5039999999999991,152.66666666666669,2020-09-11 11:25:00,11900,3.7,3.3,-0.40000000000000036,-426.6666666666671,-0.04266666666666671,-2.2776000000000005,212.10635669178905,214.38395669178905,-2.2776000000000067
2020-09-11,Friday,2020-09-17,6,11400,P,84.3,12:05:00,101.2,0.05,2020-09-17,15:25:00,39.5109395109395,EOD exit,84.25,0.8434999999999999,1183.4319526627214,98705.91715976328,9.870591715976326,2020,9,100.0,0.05,9.970414201183427,168.6390532544378,2020-09-11 12:05:00,10950,12.05,0.05,-12.0,-14201.183431952657,-1.4201183431952655,8.450473372781062,220.5568300645701,220.5568300645701,0.0
2020-09-14,Monday,2020-09-17,3,11550,C,69.55,13:05:00,81.5,81.5,2020-09-16,14:55:00,42.372881355932215,SL hit,-11.950000000000005,1.5105000000000002,1673.6401673640164,-22528.03347280335,-2.252803347280335,2020,9,85.0,29.1,6.769874476987445,241.63179916317983,2020-09-14 13:05:00,11900,2.8,1.0,-1.7999999999999998,-3012.5523012552294,-0.30125523012552297,-2.5540585774058577,218.00277148716424,220.5568300645701,-2.5540585774058684
2020-09-18,Friday,2020-09-24,6,11600,C,78.55,09:25:00,88.55,88.55,2020-09-18,13:45:00,49.35437589670016,SL hit,-10.0,1.671,1724.1379310344828,-20122.41379310345,-2.012241379310345,2020,9,90.75,74.15,0.7586206896551709,250.0,2020-09-18 09:25:00,11950,4.65,4.0,-0.6500000000000004,-1120.6896551724144,-0.11206896551724144,-2.1243103448275864,215.87846114233665,220.5568300645701,-4.67836892223346
