date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2020-02-07,Friday,2020-02-13,6,12150,P,105.95,12:30:00,127.0,127.0,2020-02-10,09:15:00,0,SL hit,-21.049999999999997,2.3295,950.1187648456058,-22213.30166270784,-2.2213301662707843,2020,2,130.25,62.85,4.095011876484561,144.29928741092638,2020-02-07 12:30:00
2020-02-10,Monday,2020-02-13,3,12100,P,110.2,12:05:00,147.4,0.1,2020-02-13,15:20:00,0,EOD exit,110.10000000000001,1.103,537.6344086021505,58600.53763440861,5.860053763440861,2020,2,135.65,0.05,5.922043010752688,81.31720430107526,2020-02-10 12:05:00
2020-02-12,Wednesday,2020-02-13,1,12250,C,15.75,15:00:00,24.7,0.05,2020-02-13,15:20:00,0,EOD exit,15.7,0.158,1306.1224489795918,20299.755102040817,2.0299755102040815,2020,2,16.4,0.05,2.050612244897959,200.0,2020-02-12 15:00:00
2020-02-14,Friday,2020-02-20,6,12200,C,61.0,10:45:00,96.5,0.05,2020-02-20,15:20:00,0,EOD exit,60.95,0.6104999999999999,563.3802816901408,33994.08450704225,3.399408450704225,2020,2,65.15,0.05,3.4338028169014088,85.91549295774648,2020-02-14 10:45:00
2020-02-14,Friday,2020-02-20,6,12150,P,56.25,11:35:00,94.65,94.65,2020-02-14,14:40:00,0,SL hit,-38.400000000000006,1.5090000000000001,520.8333333333333,-20785.9375,-2.07859375,2020,2,100.0,46.7,0.4973958333333331,79.10156249999999,2020-02-14 11:35:00
2020-02-17,Monday,2020-02-20,3,12100,P,45.5,09:15:00,64.2,64.2,2020-02-17,09:20:00,0,SL hit,-18.700000000000003,1.097,1069.5187165775399,-21173.26203208556,-2.117326203208556,2020,2,75.65,44.9,0.06417112299465255,161.7647058823529,2020-02-17 09:15:00
2020-02-17,Monday,2020-02-20,3,12150,P,101.7,14:55:00,128.2,169.15,2020-02-18,09:15:00,0,Gap SL hit,-67.45,2.7085000000000004,754.7169811320758,-52949.81132075474,-5.294981132075474,2020,2,177.0,96.2,0.4150943396226418,114.62264150943402,2020-02-17 14:55:00
2020-02-18,Tuesday,2020-02-20,2,12000,P,79.5,14:20:00,104.0,0.05,2020-02-20,15:20:00,0,EOD exit,79.45,0.7955,816.3265306122449,64207.75510204082,6.420775510204082,2020,2,83.55,0.05,6.485714285714287,122.44897959183673,2020-02-18 14:20:00
2020-02-25,Tuesday,2020-02-27,2,11850,P,66.95,10:05:00,97.0,97.0,2020-02-25,14:05:00,0,SL hit,-30.049999999999997,1.6395,665.5574043261232,-21091.18136439268,-2.109118136439268,2020,2,100.1,51.3,1.041597337770383,98.585690515807,2020-02-25 10:05:00
2020-02-25,Tuesday,2020-02-27,2,11900,C,55.2,12:30:00,74.85,0.05,2020-02-27,15:20:00,0,EOD exit,55.150000000000006,0.5525,1017.8117048346061,55569.97455470741,5.556997455470741,2020,2,55.7,0.05,5.613231552162853,151.39949109414766,2020-02-25 12:30:00
