date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
2020-07-31,Friday,2020-08-06,6,11100,P,117.35,10:15:00,154.5,154.5,2020-07-31,13:35:00,44.332855093256825,SL hit,-37.150000000000006,2.7185,538.3580080753701,-21463.526244952896,-2.1463526244952895,2020,7,165.0,110.0,0.3956931359353967,74.6971736204576,2020-07-31 10:15:00
2020-07-31,Friday,2020-08-06,6,11000,P,81.05,13:55:00,110.0,110.0,2020-08-03,09:15:00,41.36337377238591,SL hit,-28.950000000000003,1.9105,690.8462867012089,-21319.86183074266,-2.131986183074266,2020,8,114.3,63.3,1.2262521588946458,94.99136442141622,2020-07-31 13:55:00
2020-07-31,Friday,2020-08-06,6,11150,C,86.1,14:15:00,116.95,50.5,2020-08-06,15:25:00,46.0960960960961,EOD exit,35.599999999999994,1.3659999999999999,648.2982171799026,22193.84116693678,2.219384116693678,2020,8,108.95,7.7,5.0826580226904365,90.35656401944892,2020-07-31 14:15:00
2020-08-04,Tuesday,2020-08-06,2,10900,P,78.0,09:25:00,81.9,0.05,2020-08-06,15:25:00,48.62553451435553,EOD exit,77.95,0.7805,1834.8623853211009,141595.4128440367,14.159541284403671,2020,8,79.45,0.05,14.302752293577983,250.0,2020-08-04 09:25:00
2020-08-07,Friday,2020-08-13,6,11200,C,105.6,09:35:00,111.95,111.95,2020-08-07,09:45:00,38.066825775656326,SL hit,-6.3500000000000085,2.1755,1785.7142857142858,-15224.107142857158,-1.5224107142857157,2020,8,117.2,103.05,0.4553571428571424,250.0,2020-08-07 09:35:00
2020-08-07,Friday,2020-08-13,6,11200,C,108.15,09:45:00,117.2,117.2,2020-08-07,11:55:00,42.09428452231957,SL hit,-9.049999999999997,2.2535000000000003,1785.7142857142858,-20184.821428571424,-2.0184821428571422,2020,8,122.9,92.25,2.8392857142857157,250.0,2020-08-07 09:45:00
2020-08-07,Friday,2020-08-13,6,11150,P,98.7,10:55:00,121.1,0.05,2020-08-13,15:25:00,45.63106796116505,EOD exit,98.65,0.9875,892.8571428571432,87198.66071428575,8.719866071428575,2020,8,101.4,0.05,8.808035714285719,124.44196428571435,2020-08-07 10:55:00
2020-08-07,Friday,2020-08-13,6,11200,C,99.0,12:25:00,122.9,122.9,2020-08-07,14:25:00,41.83501683501683,SL hit,-23.900000000000006,2.2190000000000003,836.8200836820082,-21856.90376569038,-2.185690376569038,2020,8,123.45,93.2,0.48535564853556457,117.15481171548115,2020-08-07 12:25:00
2020-08-10,Monday,2020-08-13,3,11300,C,85.8,12:25:00,98.95,98.95,2020-08-11,09:15:00,43.143812709030115,SL hit,-13.150000000000006,1.8475000000000001,1520.9125475285164,-22809.885931558932,-2.280988593155893,2020,8,109.25,54.55,4.752851711026613,214.82889733840292,2020-08-10 12:25:00
2020-08-11,Tuesday,2020-08-13,2,11350,C,54.65,12:45:00,78.0,0.05,2020-08-13,15:25:00,32.77777777777777,EOD exit,54.6,0.5469999999999999,856.5310492505353,46298.072805139185,4.629807280513918,2020,8,70.0,0.05,4.676659528907923,121.52034261241971,2020-08-11 12:45:00
2020-08-14,Friday,2020-08-20,6,11400,C,65.6,10:05:00,72.35,72.35,2020-08-14,12:15:00,49.49152542372882,SL hit,-6.75,1.3795,1754.3859649122808,-14262.280701754387,-1.4262280701754388,2020,8,79.0,56.0,1.6842105263157887,250.0,2020-08-14 10:05:00
2020-08-14,Friday,2020-08-20,6,11350,P,89.4,12:45:00,117.3,117.3,2020-08-14,13:25:00,38.17073170731707,SL hit,-27.89999999999999,2.0669999999999997,716.8458781362009,-21481.720430107525,-2.1481720430107525,2020,8,121.0,87.25,0.15412186379928358,101.70250896057351,2020-08-14 12:45:00
2020-08-17,Monday,2020-08-20,3,11250,C,75.1,09:15:00,117.95,117.95,2020-08-18,13:45:00,11.091445427728615,SL hit,-42.85000000000001,1.9305,466.74445740956816,-20901.050175029173,-2.090105017502917,2020,8,122.7,56.7,0.8588098016336051,65.63593932322051,2020-08-17 09:15:00
