,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin,DATETIME
212,2023-05-30,Tuesday,2023-06-01,2,18650,C,38.65,12:35:00,78.0,0.05,2023-06-01,15:25:00,0,EOD exit,38.6,0.38699999999999996,762.3888182973316,29133.16391359593,2.913316391359593,2023,6,61.05,0.05,2.9428208386277,177.73189326556542,2023-05-30 12:35:00
535,2023-06-02,Friday,2023-06-08,6,18550,P,61.85,13:25:00,124.35,0.05,2023-06-08,15:25:00,0,EOD exit,61.800000000000004,0.619,480.00000000000006,29366.880000000005,2.9366880000000006,2023,6,101.1,0.05,2.9664000000000006,111.30000000000003,2023-06-02 13:25:00
213,2023-06-06,Tuesday,2023-06-08,2,18650,C,35.3,09:55:00,55.55,55.55,2023-06-07,09:15:00,0,SL hit,-20.25,0.9085,1072.3860589812332,-22690.08042895442,-2.2690080428954422,2023,6,58.7,21.85,1.4423592493297581,250.0,2023-06-06 09:55:00
214,2023-06-09,Friday,2023-06-15,6,18700,C,45.2,13:25:00,85.0,85.0,2023-06-14,09:15:00,0,SL hit,-39.8,1.3019999999999998,753.7688442211056,-30981.407035175882,-3.098140703517588,2023,6,85.4,31.6,1.0251256281407037,176.19346733668345,2023-06-09 13:25:00
536,2023-06-12,Monday,2023-06-15,3,18550,P,32.25,14:05:00,65.35,0.05,2023-06-15,15:25:00,0,EOD exit,32.2,0.32299999999999995,906.3444108761331,28891.5407854985,2.88915407854985,2023,6,43.5,0.05,2.9184290030211493,210.15861027190334,2023-06-12 14:05:00
215,2023-06-15,Thursday,2023-06-15,0,18800,C,8.05,09:15:00,25.75,25.75,2023-06-15,10:15:00,0,SL hit,-17.7,0.33799999999999997,1063.8297872340424,-19189.36170212766,-1.918936170212766,2023,6,27.7,7.6,0.047872340425532026,249.99999999999994,2023-06-15 09:15:00
537,2023-06-16,Friday,2023-06-22,6,18700,P,37.3,13:55:00,71.15,71.15,2023-06-20,10:25:00,0,SL hit,-33.85000000000001,1.0845,886.2629246676512,-30961.152141802067,-3.096115214180207,2023,6,76.2,18.05,1.706056129985228,207.16395864106346,2023-06-16 13:55:00
538,2023-06-21,Wednesday,2023-06-22,1,18800,P,28.35,09:25:00,47.0,47.0,2023-06-21,11:05:00,0,SL hit,-18.65,0.7535,1063.8297872340424,-20642.02127659574,-2.064202127659574,2023,6,50.0,24.65,0.39361702127659604,249.99999999999994,2023-06-21 09:25:00
539,2023-06-21,Wednesday,2023-06-22,1,18800,P,24.5,12:55:00,50.0,28.55,2023-06-22,15:25:00,0,EOD exit,-4.050000000000001,0.5305,1063.8297872340424,-4872.8723404255325,-0.48728723404255325,2023,6,48.45,4.45,2.132978723404255,249.99999999999994,2023-06-21 12:55:00
540,2023-07-04,Tuesday,2023-07-06,2,19400,P,68.0,12:35:00,126.0,0.05,2023-07-06,15:25:00,0,EOD exit,67.95,0.6805,517.2413793103449,34794.56896551725,3.4794568965517247,2023,7,94.0,0.05,3.5146551724137933,125.43103448275863,2023-07-04 12:35:00
216,2023-07-05,Wednesday,2023-07-06,1,19450,C,19.05,13:25:00,45.2,45.2,2023-07-06,10:25:00,0,SL hit,-26.150000000000002,0.6425,1028.2776349614396,-27550.12853470437,-2.7550128534704372,2023,7,48.15,13.35,0.5861182519280207,250.0,2023-07-05 13:25:00
217,2023-07-07,Friday,2023-07-13,6,19450,C,75.55,11:25:00,144.5,0.05,2023-07-13,15:25:00,0,EOD exit,75.5,0.756,435.097897026831,32520.957215373455,3.252095721537346,2023,7,120.8,0.05,3.284989122552574,105.78317621464831,2023-07-07 11:25:00
541,2023-07-11,Tuesday,2023-07-13,2,19400,P,43.25,09:15:00,74.9,0.05,2023-07-13,15:25:00,0,EOD exit,43.2,0.433,947.8672985781989,40537.44075829384,4.053744075829384,2023,7,50.0,0.05,4.0947867298578196,229.8578199052132,2023-07-11 09:15:00
542,2023-07-14,Friday,2023-07-20,6,19450,P,44.9,14:55:00,90.75,0.05,2023-07-20,15:25:00,0,EOD exit,44.85,0.44949999999999996,654.3075245365321,29051.581243184297,2.9051581243184295,2023,7,47.9,0.05,2.9345692475463467,159.07851690294436,2023-07-14 14:55:00
218,2023-07-21,Friday,2023-07-27,6,19850,C,71.45,14:35:00,146.95,0.05,2023-07-27,15:25:00,0,EOD exit,71.4,0.715,397.3509933774835,28086.754966887424,2.808675496688742,2023,7,95.0,0.05,2.8370860927152326,98.59271523178809,2023-07-21 14:35:00
543,2023-07-26,Wednesday,2023-07-27,1,19700,P,42.5,09:15:00,65.0,65.0,2023-07-27,14:35:00,0,SL hit,-22.5,1.075,1015.2284263959391,-23934.010152284263,-2.3934010152284264,2023,7,92.1,4.1,3.8984771573604062,250.0,2023-07-26 09:15:00
219,2023-07-28,Friday,2023-08-03,6,19700,C,65.75,11:35:00,129.75,0.1,2023-08-03,15:25:00,0,EOD exit,65.65,0.6585,468.75,30464.765625,3.0464765625,2023,8,127.95,0.05,3.0796875000000004,115.4296875,2023-07-28 11:35:00
544,2023-07-31,Monday,2023-08-03,3,19650,P,69.3,09:55:00,106.45,106.45,2023-08-02,10:45:00,0,SL hit,-37.150000000000006,1.7575,807.5370121130551,-31419.246298788694,-3.1419246298788694,2023,8,107.65,22.15,3.8075370121130545,198.35127860026915,2023-07-31 09:55:00
545,2023-08-04,Friday,2023-08-10,6,19450,P,69.05,11:15:00,110.75,0.05,2023-08-10,15:25:00,0,EOD exit,69.0,0.691,719.4244604316547,49143.1654676259,4.91431654676259,2023,8,89.45,0.05,4.964028776978417,174.91007194244602,2023-08-04 11:15:00
220,2023-08-08,Tuesday,2023-08-10,2,19650,C,34.15,11:05:00,61.9,0.05,2023-08-10,15:25:00,0,EOD exit,34.1,0.34199999999999997,1017.8117048346055,34359.287531806614,3.4359287531806615,2023,8,47.85,0.05,3.470737913486005,250.0,2023-08-08 11:05:00
221,2023-08-18,Friday,2023-08-24,6,19350,C,51.9,13:05:00,90.0,90.0,2023-08-18,14:05:00,0,SL hit,-38.1,1.419,787.4015748031496,-31117.322834645667,-3.111732283464567,2023,8,91.55,51.55,0.027559055118110347,190.4527559055118,2023-08-18 13:05:00
546,2023-08-21,Monday,2023-08-24,3,19300,P,51.65,11:05:00,100.0,0.05,2023-08-24,15:25:00,0,EOD exit,51.6,0.517,620.4756980351602,31695.76008273009,3.169576008273009,2023,8,61.75,0.05,3.201654601861427,149.68976215098243,2023-08-21 11:05:00
222,2023-08-22,Tuesday,2023-08-24,2,19450,C,31.1,13:55:00,47.95,47.95,2023-08-23,14:55:00,0,SL hit,-16.85,0.7905000000000001,1028.2776349614396,-18139.33161953728,-1.813933161953728,2023,8,48.6,16.4,1.5115681233933165,250.0,2023-08-22 13:55:00
