Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
2022-10-14 10:15:00,LONG,2022-10-14 11:15:00,7290.95,7270.8,7270.8,2022-10-14 11:15:00,7270.8,-20.149999999999636,-27.430874999999638,-149498.26874999804,Initial SL hit,5450,6.333,-2.3919722999999684,2022,10
2022-10-18 09:15:00,LONG,2022-10-18 10:15:00,7333.95,7286.35,7296.003676470588,2022-10-20 09:15:00,7286.35,-47.599999999999454,-54.910149999999454,-296514.809999997,Initial SL hit,5400,6.333,-4.744236959999952,2022,10
2022-10-27 10:15:00,LONG,2022-10-27 11:15:00,7327.45,7300.75,7300.75,2022-10-27 14:15:00,7300.75,-26.699999999999818,-34.01409999999982,-183676.13999999902,Initial SL hit,5400,6.333,-2.9388182399999843,2022,10
2022-10-31 09:15:00,LONG,2022-10-31 10:15:00,7375.75,7318.2,7418.613235294118,2022-11-09 15:15:00,7417.35,41.600000000000364,34.203450000000366,182988.45750000197,TSL Hit,5350,6.333,2.9278153200000316,2022,10
2022-11-22 11:15:00,LONG,2022-11-22 12:15:00,7190.85,7178.8,7416.830882352941,2022-12-09 12:15:00,7394.55,203.69999999999982,196.40729999999982,1080240.149999999,TSL Hit,5500,6.333,17.283842399999983,2022,11
2022-12-13 10:15:00,LONG,2022-12-13 11:15:00,7405.75,7394.3,7441.389705882353,2022-12-15 14:15:00,7421.85,16.100000000000364,8.686200000000364,46471.17000000195,TSL Hit,5350,6.333,0.7435387200000312,2022,12
2022-12-19 15:15:00,LONG,2022-12-20 09:15:00,7351.25,7343.65,7343.65,2022-12-20 09:15:00,7343.65,-7.600000000000364,-14.947450000000364,-80716.23000000196,Initial SL hit,5400,6.333,-1.2914596800000313,2022,12
2022-12-20 11:15:00,LONG,2022-12-20 12:15:00,7279.2,7254.75,7254.75,2022-12-21 13:15:00,7254.75,-24.449999999999818,-31.71697499999982,-172857.51374999902,Initial SL Hit,5450,6.333,-2.7657202199999844,2022,12
2022-12-26 11:15:00,LONG,2022-12-26 12:15:00,7082.5,7054.05,7054.05,2022-12-26 12:15:00,7054.05,-28.449999999999818,-35.51827499999982,-198902.33999999898,Initial SL Hit,5600,6.333,-3.1824374399999833,2022,12
2022-12-26 13:15:00,LONG,2022-12-26 14:15:00,7091.65,7067.4,7139.381617647059,2023-01-04 10:15:00,7136.8,45.150000000000546,38.03577500000055,213000.34000000308,TSL Hit,5600,6.333,3.408005440000049,2022,12
2023-01-05 13:15:00,LONG,2023-01-05 14:15:00,7126.35,7094.15,7141.511029411765,2023-01-06 10:15:00,7139.8,13.449999999999818,6.316924999999817,35058.933749998985,TSL Hit,5550,6.333,0.5609429399999838,2023,1
2023-01-09 13:15:00,LONG,2023-01-09 14:15:00,7159.35,7133.85,7133.85,2023-01-10 09:15:00,7133.85,-25.5,-32.6466,-181188.63,Initial SL Hit,5550,6.333,-2.8990180800000003,2023,1
2023-01-18 09:15:00,LONG,2023-01-18 10:15:00,7031.2,6990.1,6990.1,2023-01-20 13:15:00,6990.1,-41.099999999999454,-48.11064999999945,-271825.1724999969,Initial SL Hit,5650,6.333,-4.34920275999995,2023,1
2023-01-23 12:15:00,LONG,2023-01-23 13:15:00,7049.95,7036.35,7036.35,2023-01-23 14:15:00,7036.35,-13.599999999999454,-20.643149999999455,-115601.63999999694,Initial SL Hit,5600,6.333,-1.8496262399999512,2023,1
2023-01-23 15:15:00,LONG,2023-01-24 09:15:00,7062.4,7039.05,7039.05,2023-01-24 11:15:00,7039.05,-23.349999999999454,-30.400724999999454,-170244.05999999694,Initial SL Hit,5600,6.333,-2.7239049599999507,2023,1
2023-01-30 13:15:00,LONG,2023-01-30 14:15:00,6805.85,6760.55,6963.7,2023-02-01 13:15:00,6963.4,157.54999999999927,150.66537499999927,873859.1749999957,TSL Hit,5800,6.333,13.98174679999993,2023,1
2023-02-01 15:15:00,LONG,2023-02-02 09:15:00,6949.7,6923.2,6923.2,2023-02-02 09:15:00,6923.2,-26.5,-33.43645,-190587.765,Initial SL Hit,5700,6.333,-3.04940424,2023,2
2023-02-03 14:15:00,LONG,2023-02-03 15:15:00,6955.4,6922.2,6986.256617647059,2023-02-13 14:15:00,6980.2,24.800000000000182,17.83220000000018,101643.54000000104,TSL Hit,5700,6.333,1.6262966400000165,2023,2
2023-02-15 09:15:00,LONG,2023-02-15 10:15:00,6993.05,6945.55,7010.359558823529,2023-02-17 12:15:00,6989.4,-3.6500000000005457,-10.641225000000546,-60122.921250003084,TSL Hit,5650,6.333,-0.9619667400000493,2023,2
2023-02-20 11:15:00,LONG,2023-02-20 12:15:00,7023.0,7008.8,7015.262500000001,2023-02-20 14:15:00,7008.8,-14.199999999999818,-21.215899999999817,-119869.83499999896,Initial SL hit,5650,6.333,-1.9179173599999833,2023,2
2023-02-28 11:15:00,LONG,2023-02-28 12:15:00,6811.2,6797.35,6797.35,2023-02-28 13:15:00,6797.35,-13.849999999999454,-20.654274999999455,-119794.79499999684,Initial SL Hit,5800,6.333,-1.9167167199999495,2023,2
2023-03-01 10:15:00,LONG,2023-03-01 11:15:00,6852.85,6839.6,6878.063970588235,2023-03-10 09:15:00,6839.6,-13.25,-20.096225,-116558.105,Initial SL hit,5800,6.333,-1.86492968,2023,3
2023-03-15 15:15:00,LONG,2023-03-16 09:15:00,6720.45,6707.8,6707.8,2023-03-16 09:15:00,6707.8,-12.649999999999636,-19.364124999999635,-114248.33749999786,Initial SL Hit,5900,6.333,-1.8279733999999654,2023,3
2023-03-16 10:15:00,LONG,2023-03-16 11:15:00,6758.25,6690.1,6690.1,2023-03-20 12:15:00,6690.1,-68.14999999999964,-74.87417499999964,-438013.92374999786,Initial SL Hit,5850,6.333,-7.008222779999966,2023,3
2023-03-21 11:15:00,LONG,2023-03-21 12:15:00,6770.45,6748.6,6798.033823529411,2023-03-22 15:15:00,6796.0,25.550000000000182,18.76677500000018,109785.63375000106,TSL Hit,5850,6.333,1.7565701400000169,2023,3
2023-03-29 09:15:00,LONG,2023-03-29 10:15:00,6666.4,6613.45,7467.961029411765,2023-05-19 09:15:00,7424.0,757.6000000000004,750.5548000000003,4465801.060000002,TSL Hit,5950,6.333,71.45281696000005,2023,3
2023-05-22 09:15:00,LONG,2023-05-22 10:15:00,7501.6,7449.65,7839.125735294118,2023-06-09 14:15:00,7833.35,331.75,324.082525,1717637.3824999998,TSL Hit,5300,6.333,27.482198119999996,2023,5
2023-06-12 10:15:00,LONG,2023-06-12 11:15:00,7863.5,7844.25,8036.080147058825,2023-06-23 09:15:00,7996.7,133.19999999999982,125.26989999999982,632612.9949999991,TSL Hit,5050,6.333,10.121807919999986,2023,6
2023-06-26 11:15:00,LONG,2023-06-26 12:15:00,8020.6,8008.05,8008.05,2023-06-26 12:15:00,8008.05,-12.550000000000182,-20.56432500000018,-101793.4087500009,Initial SL Hit,4950,6.333,-1.6286945400000146,2023,6
2023-06-26 13:15:00,LONG,2023-06-26 14:15:00,8036.85,8014.95,8190.94705882353,2023-07-10 11:15:00,8175.6,138.75,130.643775,640154.4975,TSL Hit,4900,6.333,10.242471960000001,2023,6
2023-07-11 09:15:00,LONG,2023-07-11 10:15:00,8277.45,8223.05,8258.16911764706,2023-07-13 13:15:00,8223.05,-54.400000000001455,-62.650250000001456,-300721.200000007,Initial SL hit,4800,6.333,-4.811539200000111,2023,7
2023-07-14 14:15:00,LONG,2023-07-14 15:15:00,8351.2,8305.05,8478.76838235294,2023-08-02 12:15:00,8477.85,126.64999999999964,118.23547499999964,561618.5062499982,TSL Hit,4750,6.333,8.985896099999973,2023,7
2023-08-03 14:15:00,LONG,2023-08-03 15:15:00,8505.3,8446.85,8525.301470588236,2023-08-09 09:15:00,8525.1,19.80000000000109,11.284800000001091,52474.32000000507,TSL Hit,4650,6.333,0.8395891200000812,2023,8
2023-08-09 12:15:00,LONG,2023-08-09 13:15:00,8567.55,8540.2,8559.913970588235,2023-08-14 09:15:00,8540.2,-27.349999999998545,-35.90387499999854,-165157.8249999933,Initial SL hit,4600,6.333,-2.6425251999998927,2023,8
2023-08-16 11:15:00,LONG,2023-08-16 12:15:00,8586.7,8558.35,8571.70661764706,2023-08-18 10:15:00,8558.35,-28.350000000000364,-36.92252500000036,-169843.61500000168,Initial SL hit,4600,6.333,-2.7174978400000267,2023,8
2023-08-21 10:15:00,LONG,2023-08-21 11:15:00,8617.3,8593.85,9007.71544117647,2023-09-12 11:15:00,8992.5,375.2000000000007,366.39510000000075,1685417.4600000035,TSL Hit,4600,6.333,26.966679360000057,2023,8
2023-09-13 13:15:00,LONG,2023-09-13 14:15:00,8999.65,8952.8,9104.183088235293,2023-09-21 12:15:00,9084.75,85.10000000000036,76.05780000000036,334654.3200000016,TSL Hit,4400,6.333,5.354469120000025,2023,9
2023-09-25 11:15:00,LONG,2023-09-25 12:15:00,9052.15,8991.05,9130.005147058822,2023-09-28 11:15:00,9128.5,76.35000000000036,67.25967500000036,292579.58625000156,TSL Hit,4350,6.333,4.681273380000025,2023,9
2023-09-29 15:15:00,LONG,2023-10-03 09:15:00,9114.05,9101.95,9101.95,2023-10-03 09:15:00,9101.95,-12.099999999998545,-21.207999999998545,-92254.79999999367,Initial SL Hit,4350,6.333,-1.4760767999998987,2023,10
2023-10-03 12:15:00,LONG,2023-10-03 13:15:00,9114.65,9098.7,9098.7,2023-10-03 13:15:00,9098.7,-15.949999999998909,-25.056674999998908,-108996.53624999525,Initial SL Hit,4350,6.333,-1.7439445799999238,2023,10
2023-10-06 11:15:00,LONG,2023-10-06 12:15:00,9108.65,9085.2,9096.558088235293,2023-10-09 09:15:00,9058.95,-49.69999999999891,-58.783799999998905,-255709.52999999523,Gap Open Outside ISL,4350,6.333,-4.091352479999923,2023,10
2023-10-10 11:15:00,LONG,2023-10-10 12:15:00,9113.55,9091.35,9120.097058823529,2023-10-18 10:15:00,9118.45,4.900000000001455,-4.2159999999985445,-18339.59999999367,TSL Hit,4350,6.333,-0.2934335999998987,2023,10
2023-10-27 12:15:00,LONG,2023-10-27 13:15:00,8757.15,8731.5,8731.5,2023-10-27 14:15:00,8731.5,-25.649999999999636,-34.39432499999964,-154774.46249999836,Initial SL Hit,4500,6.333,-2.4763913999999736,2023,10
2023-10-31 11:15:00,LONG,2023-10-31 12:15:00,8743.9,8710.55,8710.55,2023-10-31 12:15:00,8710.55,-33.350000000000364,-42.07722500000036,-191451.37375000163,Initial SL Hit,4550,6.333,-3.063221980000026,2023,10
2023-10-31 13:15:00,LONG,2023-10-31 14:15:00,8758.1,8724.05,8724.05,2023-11-01 15:15:00,8724.05,-34.05000000000109,-42.79107500000109,-192559.8375000049,Initial SL Hit,4500,6.333,-3.0809574000000786,2023,10
2023-11-02 10:15:00,LONG,2023-11-02 11:15:00,8836.05,8814.0,8814.0,2023-11-02 11:15:00,8814.0,-22.049999999999272,-30.875024999999273,-138937.61249999673,Initial SL Hit,4500,6.333,-2.2230017999999476,2023,11
2023-11-02 12:15:00,LONG,2023-11-02 13:15:00,8818.75,8801.0,10137.163970588235,2023-12-20 13:15:00,10124.45,1305.7000000000007,1296.2284000000006,5833027.800000003,TSL Hit,4500,6.333,93.32844480000004,2023,11
2023-12-22 10:15:00,LONG,2023-12-22 11:15:00,10250.4,10225.9,10225.9,2023-12-22 12:15:00,10225.9,-24.5,-34.73815,-133741.8775,Initial SL hit,3850,6.333,-2.1398700400000004,2023,12
2023-12-22 13:15:00,LONG,2023-12-22 14:15:00,10238.9,10188.35,10421.816911764705,2024-01-09 15:15:00,10416.6,177.70000000000073,167.37225000000072,644383.1625000028,TSL Hit,3850,6.333,10.310130600000045,2023,12
2024-01-11 11:15:00,LONG,2024-01-11 12:15:00,10476.05,10461.95,10461.95,2024-01-11 12:15:00,10461.95,-14.099999999998545,-24.568999999998546,-93362.19999999448,Initial SL hit,3800,6.333,-1.4937951999999117,2024,1
2024-01-11 13:15:00,LONG,2024-01-11 14:15:00,10476.0,10426.55,10426.55,2024-01-11 14:15:00,10426.55,-49.45000000000073,-59.90127500000072,-227624.84500000274,Initial SL Hit,3800,6.333,-3.641997520000044,2024,1
