Previous Day,Day High,Day Low,Daily Range,Current Day Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Max High,Min Low,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2020-02-20,12151.2,12071.9,79.30000000000109,12012.55,125%,12111.675000000001,11913.424999999997,low,12000,2020-02-27,3,NIFTY20FEB12000CE,CE,2020-02-24 13:54:00,35.25,2020-02-24 15:30:00,26.35,39.25,25.4,EOD Closing,8.899999999999999,0.616,8.283999999999999,6750.0,60074.99999999999,55916.99999999999,0.6674999999999999,0.6212999999999999,2020
2020-02-27,11661.25,11536.95,124.29999999999927,11382.0,125%,11537.375,11226.625,low,11400,2020-03-05,6,NIFTY2030511400CE,CE,2020-02-28 14:53:00,71.55,2020-02-28 15:30:00,69.9,73.3,62.7,EOD Closing,1.6499999999999915,1.4144999999999999,0.2354999999999916,7105.263157894737,11723.684210526255,1673.2894736841508,0.13026315789473616,0.01859210526315723,2020
2020-02-28,11382.0,11175.6,206.39999999999964,11387.35,125%,11645.35,11129.35,low,11400,2020-03-05,3,NIFTY2030511400CE,CE,2020-03-02 15:09:00,32.0,2020-03-02 15:30:00,36.5,38.7,22.65,EOD Closing,-4.5,0.685,-5.1850000000000005,7105.263157894737,-31973.684210526313,-36840.78947368421,-0.35526315789473684,-0.40934210526315795,2020
2020-03-03,11341.7,11152.75,188.95000000000073,11351.35,125%,11587.537500000002,11115.162499999999,low,11350,2020-03-05,1,NIFTY2030511350CE,CE,2020-03-04 13:40:00,10.9,2020-03-04 15:30:00,25.0,43.95,8.15,EOD Closing,-14.1,0.359,-14.459,7136.563876651982,-100625.55066079294,-103187.57709251101,-1.1180616740088105,-1.1465286343612335,2020
2020-03-06,11034.5,10831.3,203.20000000000073,10742.05,125%,10996.05,10488.05,low,10750,2020-03-12,3,NIFTY2031210750CE,CE,2020-03-09 12:49:00,47.15,2020-03-09 15:30:00,31.0,51.2,30.35,EOD Closing,16.15,0.7815000000000001,15.3685,7534.883720930233,121688.37209302325,115799.86046511628,1.352093023255814,1.2866651162790697,2020
2020-03-11,10544.75,10334.3,210.45000000000073,10039.95,125%,10303.0125,9776.8875,low,10050,2020-03-12,0,NIFTY2031210050CE,CE,2020-03-12 10:56:00,6.35,2020-03-12 15:30:00,0.25,16.95,0.1,EOD Closing,6.1,0.066,6.034,8059.701492537313,49164.17910447761,48632.23880597015,0.5462686567164179,0.5403582089552239,2020
2020-03-12,10039.95,9508.4,531.5500000000011,9107.6,125%,9772.037500000002,8443.162499999999,high,9100,2020-03-19,6,NIFTY203199100PE,PE,2020-03-13 12:28:00,187.35,2020-03-13 15:30:00,157.05,236.05,94.55,EOD Closing,30.299999999999983,3.444,26.855999999999984,8901.098901098901,269703.29670329654,239047.91208791194,2.996703296703295,2.6560879120879104,2020
2020-03-18,9125.9,9083.5,42.399999999999636,8063.3,125%,8116.299999999999,8010.300000000001,high,8050,2020-03-19,0,NIFTY203198050PE,PE,2020-03-19 11:05:00,97.15,2020-03-19 11:06:00,71.0,112.75,0.1,SL Hit,26.150000000000006,1.6815,24.468500000000006,10062.111801242236,263124.2236024845,246204.7826086957,2.92360248447205,2.7356086956521746,2020
2020-03-18,9125.9,9083.5,42.399999999999636,8063.3,125%,8116.299999999999,8010.300000000001,low,8050,2020-03-19,0,NIFTY203198050CE,CE,2020-03-19 09:15:00,111.5,2020-03-19 15:30:00,199.05,514.7,57.2,EOD Closing,-87.55000000000001,3.1055,-90.65550000000002,10062.111801242236,-880937.8881987579,-912185.7763975157,-9.788198757763977,-10.135397515527952,2020
2020-04-13,9111.55,8912.9,198.64999999999964,9196.4,125%,9444.7125,8948.0875,low,9200,2020-04-16,1,NIFTY204169200CE,CE,2020-04-15 14:14:00,24.2,2020-04-15 15:30:00,19.55,25.9,15.65,EOD Closing,4.649999999999999,0.4375,4.212499999999999,8804.347826086956,40940.21739130433,37088.31521739129,0.45489130434782593,0.41209239130434766,2020
2020-04-21,9044.0,8910.45,133.54999999999927,9026.75,125%,9193.6875,8859.8125,high,9050,2020-04-23,1,NIFTY204239050PE,PE,2020-04-22 14:44:00,41.6,2020-04-22 15:30:00,40.0,46.5,35.55,EOD Closing,1.6000000000000014,0.816,0.7840000000000015,8950.276243093922,14320.441988950288,7017.016574585648,0.15911602209944764,0.07796685082872942,2020
2020-04-28,9403.1,9260.3,142.8000000000011,9408.6,125%,9587.100000000002,9230.099999999999,high,9400,2020-04-30,1,NIFTY20APR9400PE,PE,2020-04-29 14:47:00,15.9,2020-04-29 15:30:00,18.2,19.3,14.3,EOD Closing,-2.299999999999999,0.341,-2.640999999999999,8617.021276595744,-19819.1489361702,-22757.55319148935,-0.22021276595744665,-0.25286170212765946,2020
2020-04-30,9889.05,9734.3,154.75,9533.5,125%,9726.9375,9340.0625,low,9550,2020-05-07,3,NIFTY205079550CE,CE,2020-05-04 13:47:00,73.0,2020-05-04 15:30:00,66.6,75.85,56.8,EOD Closing,6.400000000000006,1.396,5.004000000000006,8481.675392670157,54282.72251308905,42442.303664921514,0.603141361256545,0.47158115183246124,2020
2020-05-08,9380.85,9350.7,30.149999999999636,9348.15,125%,9385.8375,9310.4625,high,9350,2020-05-14,3,NIFTY205149350PE,PE,2020-05-11 09:20:00,117.9,2020-05-11 10:46:00,121.2,216.35,91.3,SL Hit,-3.299999999999997,2.3910000000000005,-5.690999999999997,8663.101604278076,-28588.235294117625,-49301.7112299465,-0.31764705882352917,-0.54779679144385,2020
2020-05-08,9380.85,9350.7,30.149999999999636,9348.15,125%,9385.8375,9310.4625,low,9350,2020-05-14,3,NIFTY205149350CE,CE,2020-05-11 11:37:00,103.4,2020-05-11 15:30:00,75.5,121.95,60.7,EOD Closing,27.900000000000006,1.7890000000000001,26.111000000000004,8663.101604278076,241700.53475935836,226202.24598930488,2.685561497326204,2.5133582887700543,2020
2020-05-15,9182.4,9050.1,132.29999999999927,9158.3,125%,9323.675,8992.925,low,9150,2020-05-21,3,NIFTY205219150CE,CE,2020-05-18 09:37:00,85.6,2020-05-18 15:30:00,44.0,88.3,41.8,EOD Closing,41.599999999999994,1.296,40.303999999999995,8852.459016393443,368262.29508196714,356789.50819672126,4.0918032786885234,3.964327868852458,2020
2020-05-26,9160.85,8997.0,163.85000000000036,9082.2,125%,9287.0125,8877.3875,high,9100,2020-05-28,1,NIFTY20MAY9100PE,PE,2020-05-27 14:05:00,13.45,2020-05-27 15:30:00,8.35,20.4,6.8,EOD Closing,5.1,0.21799999999999997,4.882,8901.098901098901,45395.604395604394,43455.16483516483,0.5043956043956044,0.48283516483516487,2020
