week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2024-03-16,2024-03-16 09:16:00,72550.5234,74187.3516,72484.8203,1702.5312999999878,46.93367380999453,72891.02966,72210.01714000001,72900,CE,2024-03-22,STRANGLE,462.4,0.05,2024-03-22 15:15:00,6,4.6245,457.72549999999995,2000000,9,246.91358024691357,113018.64197530862,5.650932098765431,2024
2024-03-16,2024-03-16 09:16:00,72550.5234,74187.3516,72484.8203,1702.5312999999878,46.93367380999453,72891.02966,72210.01714000001,72200,PE,2024-03-22,STRANGLE,396.5,410.55,2024-03-19 10:15:00,6,8.0705,-22.12050000000001,2000000,8,221.60664819944597,-4902.049861495847,-0.24510249307479234,2024
2024-03-16,2024-03-20 12:15:00,72550.5234,74187.3516,72484.8203,1702.5312999999878,46.93367380999453,72891.02966,72210.01714000001,72200,PE,2024-03-22,RE-ENTRY,257.95,336.4,2024-03-20 13:15:00,2,5.943499999999999,-84.39349999999999,2000000,8,221.60664819944597,-18702.16066481994,-0.9351080332409971,2024
2024-03-16,2024-03-21 09:15:00,72550.5234,74187.3516,72484.8203,1702.5312999999878,46.93367380999453,72891.02966,72210.01714000001,72200,PE,2024-03-22,RE-ENTRY,75.05,0.1,2024-03-22 15:15:00,1,0.7515,74.19850000000001,2000000,8,221.60664819944597,16442.880886426596,0.8221440443213298,2024
2024-03-23,2024-03-23 09:16:00,72417.6875,73115.6172,71674.4219,1441.1952999999921,39.80230106077309,72705.92655999999,72129.44844000001,72700,CE,2024-03-28,STRANGLE,478.1,479.6,2024-03-27 09:15:00,5,9.577,-11.077,2000000,9,247.59284731774414,-2742.585969738652,-0.1371292984869326,2024
2024-03-23,2024-03-23 09:16:00,72417.6875,73115.6172,71674.4219,1441.1952999999921,39.80230106077309,72705.92655999999,72129.44844000001,72100,PE,2024-03-28,STRANGLE,170.0,0.1,2024-03-28 15:15:00,5,1.701,168.199,2000000,8,221.9140083217753,37325.71428571428,1.866285714285714,2024
2024-03-30,2024-03-30 09:16:00,74004.3984,74190.3125,72363.0312,1827.2813000000024,49.383045859609396,74369.85466000001,73638.94214,74400,CE,2024-04-05,STRANGLE,355.0,0.05,2024-04-05 15:15:00,6,3.5505,351.3995,2000000,9,241.93548387096774,85016.00806451612,4.2508004032258055,2024
2024-03-30,2024-03-30 09:16:00,74004.3984,74190.3125,72363.0312,1827.2813000000024,49.383045859609396,74369.85466000001,73638.94214,73600,PE,2024-04-05,STRANGLE,285.05,0.1,2024-04-05 15:15:00,6,2.8515000000000006,282.0985,2000000,8,217.3913043478261,61325.760869565216,3.0662880434782607,2024
2024-04-06,2024-04-06 09:16:00,74470.5234,74501.7266,73485.1172,1016.6094000000012,27.302329930985852,74673.84528000001,74267.20152,74700,CE,2024-04-12,STRANGLE,372.8,407.65,2024-04-08 11:15:00,6,7.804500000000001,-42.65449999999997,2000000,9,240.96385542168676,-10278.19277108433,-0.5139096385542165,2024
2024-04-06,2024-04-06 09:16:00,74470.5234,74501.7266,73485.1172,1016.6094000000012,27.302329930985852,74673.84528000001,74267.20152,74300,PE,2024-04-12,STRANGLE,429.1,73.95,2024-04-12 14:15:00,6,5.0305,350.1195,2000000,8,215.34320323014805,75395.85464333782,3.769792732166891,2024
