week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year,Index,Trade Month,Portfolio,Allocation,New Qty,New PnL,ROI% PF
2024-09-14,2024-09-14 09:16:00,82985.33,83116.19,80895.05,2221.1399999999994,53.53090720974416,83429.558,82541.102,83400,CE,2024-09-20,STRANGLE,285.15,335.0,2024-09-19 09:15:00,6,6.2015,-56.051500000000026,2000000,9,215.8273381294964,-12097.446043165472,-0.6048723021582736,2024,SENSEX,9,2000000,1000000,107.9136690647482,-6048.723021582737,-0.3024361510791368
2024-09-13,2024-09-18 13:45:00,25430.45,25433.35,24753.15,680.1999999999971,13.373731097955346,25521.418118928294,25339.481881071708,25350,PE,2024-09-19,RE-ENTRY,98.0,118.75,2024-09-18 13:55:00,1,2.1675,-22.9175,2000000,9,710.0591715976332,-16272.78106508876,-0.813639053254438,2024,NIFTY,9,2000000,1000000,355.0295857988166,-8136.390532544379,-0.406819526627219
2024-09-13,2024-09-18 14:05:00,25430.45,25433.35,24753.15,680.1999999999971,13.373731097955346,25521.418118928294,25339.481881071708,25350,PE,2024-09-19,RE-ENTRY,113.95,117.25,2024-09-18 14:35:00,1,2.312,-5.6119999999999965,2000000,9,710.0591715976332,-3984.8520710059142,-0.1992426035502957,2024,NIFTY,9,2000000,1000000,355.0295857988166,-1992.4260355029573,-0.09962130177514786
2024-09-14,2024-09-19 10:15:00,82985.33,83116.19,80895.05,2221.1399999999994,53.53090720974416,83429.558,82541.102,83400,CE,2024-09-20,RE-ENTRY,304.5,256.85,2024-09-20 08:15:00,1,5.6135,42.036499999999975,2000000,9,215.8273381294964,9072.62589928057,0.4536312949640285,2024,SENSEX,9,2000000,1000000,107.9136690647482,4536.312949640285,0.22681564748201427
2024-09-20,2024-09-20 09:16:00,25525.95,25611.95,25285.55,326.40000000000146,6.39349367996101,25546.818363371392,25505.08163662861,25550,CE,2024-09-26,STRANGLE,145.5,164.5,2024-09-20 09:55:00,6,3.1,-22.1,2000000,10,782.7788649706458,-17299.412915851273,-0.8649706457925637,2024,NIFTY,9,2000000,1000000,391.3894324853229,-8649.706457925637,-0.43248532289628183
2024-09-20,2024-09-20 09:16:00,25525.95,25611.95,25285.55,326.40000000000146,6.39349367996101,25546.818363371392,25505.08163662861,25500,PE,2024-09-26,STRANGLE,127.55,157.15,2024-09-20 09:15:00,6,2.847,-32.44700000000001,2000000,9,705.8823529411765,-22903.76470588236,-1.145188235294118,2024,NIFTY,9,2000000,1000000,352.94117647058823,-11451.88235294118,-0.572594117647059
2024-09-20,2024-09-20 09:45:00,25525.95,25611.95,25285.55,326.40000000000146,6.39349367996101,25546.818363371392,25505.08163662861,25500,PE,2024-09-26,RE-ENTRY,131.7,0.1,2024-09-26 15:25:00,6,1.3179999999999998,130.28199999999998,2000000,9,705.8823529411765,91963.76470588232,4.598188235294117,2024,NIFTY,9,2000000,1000000,352.94117647058823,45981.88235294117,2.2990941176470585
2024-09-21,2024-09-21 09:16:00,84651.15,84694.46,82700.63,1993.8300000000015,47.10697964528543,85049.916,84252.38399999999,85000,CE,2024-09-27,STRANGLE,355.95,431.8,2024-09-24 13:15:00,6,7.8775,-83.72750000000002,2000000,9,211.76470588235293,-17730.52941176471,-0.8865264705882355,2024,SENSEX,9,2000000,1000000,105.88235294117646,-8865.264705882355,-0.44326323529411776
2024-09-21,2024-09-21 09:16:00,84651.15,84694.46,82700.63,1993.8300000000015,47.10697964528543,85049.916,84252.38399999999,84300,PE,2024-09-27,STRANGLE,409.5,0.05,2024-09-27 15:15:00,6,4.0955,405.3545,2000000,8,189.79833926453145,76935.61091340451,3.8467805456702258,2024,SENSEX,9,2000000,1000000,94.89916963226572,38467.805456702255,1.9233902728351129
2024-09-21,2024-09-24 14:15:00,84651.15,84694.46,82700.63,1993.8300000000015,47.10697964528543,85049.916,84252.38399999999,85000,CE,2024-09-27,RE-ENTRY,372.75,406.45,2024-09-25 14:15:00,3,7.792000000000001,-41.49199999999999,2000000,9,211.76470588235293,-8786.541176470586,-0.4393270588235293,2024,SENSEX,9,2000000,1000000,105.88235294117646,-4393.270588235293,-0.21966352941176465
2024-09-27,2024-09-27 09:16:00,26248.25,26250.9,25426.6,824.3000000000029,15.701999180897827,26377.681579248143,26118.818420751857,26100,PE,2024-10-03,STRANGLE,97.5,112.8,2024-09-30 09:15:00,6,2.103,-17.403,2000000,9,689.6551724137931,-12002.06896551724,-0.600103448275862,2024,NIFTY,9,2000000,1000000,344.82758620689657,-6001.0344827586205,-0.300051724137931
2024-09-27,2024-09-27 09:16:00,26248.25,26250.9,25426.6,824.3000000000029,15.701999180897827,26377.681579248143,26118.818420751857,26400,CE,2024-10-03,STRANGLE,76.25,0.05,2024-10-03 15:25:00,6,0.763,75.437,2000000,10,757.5757575757576,57149.24242424242,2.857462121212121,2024,NIFTY,9,2000000,1000000,378.7878787878788,28574.621212121212,1.4287310606060606
2024-09-28,2024-09-28 09:16:00,85208.76,85978.25,84607.38,1370.8699999999951,32.17673863579274,85482.934,84934.586,84900,PE,2024-10-04,STRANGLE,265.7,425.95,2024-09-30 09:15:00,6,6.9165,-167.1665,2000000,8,188.4570082449941,-31503.69846878681,-1.5751849234393405,2024,SENSEX,9,2000000,1000000,94.22850412249706,-15751.849234393405,-0.7875924617196702
2024-09-28,2024-09-28 09:16:00,85208.76,85978.25,84607.38,1370.8699999999951,32.17673863579274,85482.934,84934.586,85500,CE,2024-10-04,STRANGLE,440.0,0.05,2024-10-04 15:15:00,6,4.4005,435.5495,2000000,9,210.52631578947367,91694.63157894736,4.584731578947368,2024,SENSEX,9,2000000,1000000,105.26315789473684,45847.31578947369,2.2923657894736844
