,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
40,2014-01-16 14:15:00,BAJFINANCE,2014-01-16,15:15:00,157.505,2014-01-24,10:15:00,154.495,-3.009999999999991,-3.3219999999999907,6349.00479349862,-21091.393924002357,-2.1091393924002357,2014,1
41,2014-01-30 12:15:00,BAJFINANCE,2014-01-30,13:15:00,149.97,2014-02-03,11:15:00,149.385,-0.585000000000008,-0.884355000000008,6668.000266720011,-5896.879375875228,-0.5896879375875228,2014,1
42,2014-02-17 14:15:00,BAJFINANCE,2014-02-17,15:15:00,150.4,2014-02-20,15:15:00,149.64,-0.7600000000000193,-1.0600400000000194,6648.936170212765,-7048.138297872469,-0.7048138297872468,2014,2
43,2014-02-25 12:15:00,BAJFINANCE,2014-02-25,13:15:00,155.5,2014-03-05,14:15:00,155.8,0.30000000000001137,-0.011299999999988652,6430.868167202572,-72.6688102893161,-0.00726688102893161,2014,2
44,2014-03-06 11:15:00,BAJFINANCE,2014-03-06,12:15:00,159.38,2014-03-13,13:15:00,165.57,6.189999999999998,5.865049999999997,6274.312962730582,36799.15924206298,3.6799159242062984,2014,3
45,2014-03-24 09:15:00,BAJFINANCE,2014-03-24,10:15:00,169.5,2014-03-24,14:15:00,166.3,-3.1999999999999886,-3.5357999999999885,5899.705014749263,-20860.176991150376,-2.0860176991150374,2014,3
46,2014-03-27 14:15:00,BAJFINANCE,2014-03-27,15:15:00,170.395,2014-04-03,09:15:00,172.105,1.7099999999999795,1.3674999999999795,5868.716805070571,8025.470230933886,0.8025470230933887,2014,3
47,2014-04-07 10:15:00,BAJFINANCE,2014-04-07,11:15:00,178.88,2014-05-12,13:15:00,187.0,8.120000000000005,7.754120000000005,5590.3398926654745,43348.16636851524,4.334816636851524,2014,4
48,2014-05-21 11:15:00,BAJFINANCE,2014-05-21,12:15:00,181.98,2014-05-28,09:15:00,194.665,12.685000000000002,12.308355000000002,5495.109352676119,67635.75667655788,6.763575667655789,2014,5
49,2014-05-30 15:15:00,BAJFINANCE,2014-06-02,09:15:00,203.98,2014-06-11,13:15:00,201.975,-2.0049999999999955,-2.4109549999999955,4902.441415825081,-11819.565643690536,-1.1819565643690535,2014,6
