,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2014, 6)",0.9833805755846067,7,85.71428571428571,0.6335161914913678,-2.8177165733636005,-2.8177165733636005,0.34899910973328063
"(2014, 7)",-2.555508278759799,7,28.57142857142857,0.6456503202248992,-0.7693617838419194,-3.250925928960409,-0.7860862826785497
"(2014, 8)",0.9006833662487963,7,57.14285714285714,0.8212786504562992,-0.7948104118588003,-2.2682713310669635,0.3970792003199755
"(2014, 9)",21.087148410657708,8,37.5,7.689802049130294,-0.39645154734663457,-1.4224762284183186,14.824253642610925
"(2014, 10)",4.737038913024189,7,100.0,0.6767198447177413,,0.0,inf
"(2014, 11)",2.5957505574551085,7,71.42857142857143,0.6970841673763728,-0.4448351397133777,-0.82516339869281,3.145741269628767
"(2014, 12)",-2.163333215637075,7,14.285714285714285,1.0661764705882355,-0.5382516143708851,-2.2492496008601965,-0.9618022005248933
"(2015, 1)",4.107547711448452,7,71.42857142857143,1.0030981130291015,-0.4539714268485272,-0.721524910345498,5.692870270385504
"(2015, 2)",3.177950662214772,7,57.14285714285714,1.1001462744428974,-0.40754481185227237,-0.8142701525054461,3.902821013930652
"(2015, 3)",-0.018095634345030143,7,42.857142857142854,0.586330133264977,-0.4442715085349903,-1.2736142557429584,-0.014208096575107914
"(2015, 4)",-3.380799686491173,7,0.0,,-0.48297138378445326,-3.238481367992713,-1.0439460050334248
"(2015, 5)",1.3765487318908063,8,75.0,0.259262086018001,-0.08951189210859975,-0.08959288990825687,15.364486325872425
"(2015, 6)",-0.6708715276640158,8,37.5,0.23148098098309602,-0.2730628941226608,-1.3653144706133038,-0.49136777065188364
"(2015, 7)",2.4401484342549393,9,55.55555555555556,0.6206155830192749,-0.16573237021035866,-0.20445823429601906,11.934703645743314
"(2015, 8)",-7.634707844457527,9,0.0,,-0.8483008716063919,-7.17434199079899,-1.0641683731064049
"(2015, 9)",0.15958920080572842,9,66.66666666666666,0.2702762132288691,-0.487356026189162,-1.3245862191039783,0.12048230496742082
"(2015, 10)",1.902582066325269,9,77.77777777777779,0.3403625072321051,-0.2399777421497336,-0.46175575836592786,4.1203212561077125
"(2015, 11)",1.0479610591970916,9,55.55555555555556,0.6011670044810915,-0.4894684908020914,-0.9391693495729293,1.1158382241431042
