,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
41,2014-05-14 09:15:00,PERSISTENT,2014-05-14,10:15:00,249.25,239.28,279.16,2014-05-15,13:15:00,237.5,SuperTrend Reversed,-11.75,-12.23675,4012.036108324975,-49094.28284854564,-4.909428284854564,2014,5
42,2014-05-19 10:15:00,PERSISTENT,2014-05-21,09:15:00,238.5,228.95999999999998,267.12,2014-05-21,10:15:00,237.8875,SuperTrend Reversed,-0.6125000000000114,-1.0888875000000113,4192.8721174004195,-4565.566037735897,-0.4565566037735897,2014,5
43,2014-05-22 09:15:00,PERSISTENT,2014-05-22,10:15:00,246.175,236.328,275.71600000000007,2014-06-18,12:15:00,259.0,SuperTrend Reversed,12.824999999999989,12.31982499999999,4062.1509089062656,50044.98832131609,5.004498832131608,2014,5
44,2014-06-20 10:15:00,PERSISTENT,2014-06-20,11:15:00,270.5,259.68,302.96000000000004,2014-06-25,11:15:00,274.75,SuperTrend Reversed,4.25,3.7047499999999998,3696.857670979667,13695.933456561921,1.3695933456561922,2014,6
45,2014-07-04 09:15:00,PERSISTENT,2014-07-04,10:15:00,276.6875,265.62,309.89000000000004,2014-07-16,12:15:00,309.89000000000004,Target Hit,33.20250000000004,32.615922500000046,3614.185678789248,117880.00000000017,11.788000000000018,2014,7
46,2014-07-16 13:15:00,PERSISTENT,2014-07-16,14:15:00,312.5,300.0,350.00000000000006,2014-07-21,14:15:00,318.0375,SuperTrend Reversed,5.537500000000023,4.906962500000023,3200.0,15702.280000000073,1.5702280000000073,2014,7
47,2014-07-30 13:15:00,PERSISTENT,2014-07-30,14:15:00,312.8875,300.37199999999996,350.434,2014-08-08,14:15:00,309.5,SuperTrend Reversed,-3.3874999999999886,-4.009887499999989,3196.0369142263594,-12815.748471894816,-1.2815748471894817,2014,7
48,2014-08-19 12:15:00,PERSISTENT,2014-08-19,13:15:00,311.75,299.28,349.16,2014-08-28,14:15:00,311.775,SuperTrend Reversed,0.024999999999977263,-0.5985250000000227,3207.698476343224,-1919.8877305534008,-0.1919887730553401,2014,8
49,2014-09-02 15:15:00,PERSISTENT,2014-09-03,09:15:00,324.6625,311.676,363.62200000000007,2014-09-15,09:15:00,325.25,SuperTrend Reversed,0.5874999999999773,-0.06241250000002274,3080.12166480576,-192.23809340475952,-0.01922380934047595,2014,9
50,2014-09-15 13:15:00,PERSISTENT,2014-09-15,14:15:00,336.25,322.8,376.6,2014-09-24,10:15:00,344.725,SuperTrend Reversed,8.475000000000023,7.794025000000023,2973.977695167286,23179.256505576275,2.3179256505576276,2014,9
51,2014-10-01 10:15:00,PERSISTENT,2014-10-01,11:15:00,355.25,341.03999999999996,397.88000000000005,2014-10-08,10:15:00,359.7875,SuperTrend Reversed,4.537500000000023,3.8224625000000225,2814.9190710767066,10759.92258972561,1.0759922589725608,2014,10
52,2014-10-21 15:15:00,PERSISTENT,2014-10-22,09:15:00,335.0,321.59999999999997,375.20000000000005,2014-10-22,10:15:00,321.59999999999997,Initial SL Hit,-13.400000000000034,-14.056600000000033,2985.0746268656717,-41960.0000000001,-4.19600000000001,2014,10
53,2014-10-22 11:15:00,PERSISTENT,2014-10-22,12:15:00,325.725,312.696,364.81200000000007,2014-10-28,11:15:00,317.25,SuperTrend Reversed,-8.475000000000023,-9.117975000000023,3070.0744493053953,-27992.862076905432,-2.7992862076905434,2014,10
54,2014-10-31 10:15:00,PERSISTENT,2014-10-31,11:15:00,320.95,308.11199999999997,359.464,2014-11-05,15:15:00,321.25,SuperTrend Reversed,0.30000000000001137,-0.34219999999998874,3115.7501168406293,-1066.2096899828282,-0.10662096899828283,2014,10
55,2014-11-07 10:15:00,PERSISTENT,2014-11-07,11:15:00,335.0125,321.61199999999997,375.214,2014-11-11,09:15:00,321.61199999999997,Initial SL Hit,-13.400500000000022,-14.057124500000022,2984.9632476400134,-41960.000000000065,-4.196000000000007,2014,11
56,2014-11-11 12:15:00,PERSISTENT,2014-11-11,13:15:00,325.4625,312.44399999999996,364.51800000000003,2014-11-18,10:15:00,320.0,SuperTrend Reversed,-5.462499999999977,-6.107962499999977,3072.5506010677113,-18767.02385067397,-1.876702385067397,2014,11
57,2014-11-24 09:15:00,PERSISTENT,2014-11-24,10:15:00,332.25,318.96,372.12000000000006,2014-11-25,11:15:00,336.3875,SuperTrend Reversed,4.137499999999989,3.4688624999999886,3009.7817908201655,10440.519187358883,1.0440519187358883,2014,11
58,2014-11-26 15:15:00,PERSISTENT,2014-11-27,09:15:00,357.25,342.96,400.12000000000006,2014-12-01,09:15:00,400.12000000000006,Target Hit,42.87000000000006,42.11263000000006,2799.1602519244225,117880.00000000016,11.788000000000016,2014,11
59,2014-12-01 10:15:00,PERSISTENT,2014-12-01,11:15:00,407.2,390.912,456.064,2014-12-03,09:15:00,456.064,Target Hit,48.86400000000003,48.00073600000003,2455.7956777996073,117880.00000000009,11.788000000000007,2014,12
60,2014-12-03 14:15:00,PERSISTENT,2014-12-03,15:15:00,397.4875,381.588,445.18600000000004,2014-12-04,14:15:00,388.25,SuperTrend Reversed,-9.237500000000011,-10.023237500000011,2515.8023837227583,-25216.48479511937,-2.521648479511937,2014,12
61,2014-12-18 11:15:00,PERSISTENT,2014-12-18,12:15:00,390.0,374.4,436.80000000000007,2015-01-02,09:15:00,436.80000000000007,Target Hit,46.80000000000007,45.97320000000007,2564.102564102564,117880.00000000017,11.788000000000018,2014,12
62,2015-01-02 10:15:00,PERSISTENT,2015-01-02,11:15:00,455.0,436.8,509.6,2015-01-05,11:15:00,444.0125,SuperTrend Reversed,-10.987500000000011,-11.886512500000011,2197.802197802198,-26124.203296703323,-2.6124203296703326,2015,1
63,2015-01-08 15:15:00,PERSISTENT,2015-01-09,09:15:00,436.5,419.03999999999996,488.88000000000005,2015-01-16,12:15:00,439.0,SuperTrend Reversed,2.5,1.6244999999999998,2290.950744558992,3721.649484536082,0.37216494845360826,2015,1
64,2015-01-19 12:15:00,PERSISTENT,2015-01-19,13:15:00,454.225,436.056,508.7320000000001,2015-01-27,11:15:00,451.65,SuperTrend Reversed,-2.5750000000000455,-3.4808750000000455,2201.5520942264297,-7663.327645990524,-0.7663327645990523,2015,1
65,2015-02-05 12:15:00,PERSISTENT,2015-02-05,13:15:00,422.5,405.59999999999997,473.20000000000005,2015-02-06,10:15:00,410.0,SuperTrend Reversed,-12.5,-13.3325,2366.8639053254437,-31556.213017751477,-3.155621301775148,2015,2
66,2015-02-18 12:15:00,PERSISTENT,2015-02-18,13:15:00,433.0,415.68,484.96000000000004,2015-03-04,12:15:00,456.5,SuperTrend Reversed,23.5,22.6105,2309.4688221709007,52218.24480369515,5.221824480369515,2015,2
67,2015-03-09 13:15:00,PERSISTENT,2015-03-09,14:15:00,468.75,450.0,525.0,2015-03-10,09:15:00,435.0,SuperTrend Reversed,-33.75,-34.65375,2133.3333333333335,-73928.00000000001,-7.392800000000002,2015,3
68,2015-03-17 14:15:00,PERSISTENT,2015-03-18,09:15:00,400.0,384.0,448.00000000000006,2015-03-18,12:15:00,384.0,Initial SL Hit,-16.0,-16.784,2500.0,-41960.0,-4.196,2015,3
69,2015-03-18 14:15:00,PERSISTENT,2015-03-18,15:15:00,386.5,371.03999999999996,432.88000000000005,2015-03-20,09:15:00,375.575,SuperTrend Reversed,-10.925000000000011,-11.68707500000001,2587.3221216041397,-30238.22768434673,-3.0238227684346732,2015,3
70,2015-03-30 11:15:00,PERSISTENT,2015-03-30,12:15:00,353.825,339.67199999999997,396.28400000000005,2015-04-09,09:15:00,396.28400000000005,Target Hit,42.45900000000006,41.70889100000006,2826.2559174733274,117880.00000000017,11.788000000000018,2015,3
71,2015-04-09 10:15:00,PERSISTENT,2015-04-09,11:15:00,393.025,377.304,440.188,2015-04-15,09:15:00,377.025,SuperTrend Reversed,-16.0,-16.77005,2544.367406653521,-42669.16862794988,-4.266916862794988,2015,4
72,2015-04-29 10:15:00,PERSISTENT,2015-04-29,11:15:00,359.725,345.336,402.89200000000005,2015-05-05,09:15:00,349.925,SuperTrend Reversed,-9.800000000000011,-10.509650000000011,2779.9013135033706,-29215.78983946073,-2.921578983946073,2015,4
73,2015-05-08 11:15:00,PERSISTENT,2015-05-08,12:15:00,348.5,334.56,390.32000000000005,2015-05-15,14:15:00,390.32000000000005,Target Hit,41.82000000000005,41.08118000000005,2869.4404591104735,117880.00000000016,11.788000000000016,2015,5
74,2015-05-18 09:15:00,PERSISTENT,2015-05-18,10:15:00,389.975,374.37600000000003,436.77200000000005,2015-05-27,10:15:00,387.125,SuperTrend Reversed,-2.8500000000000227,-3.6271000000000226,2564.2669401884737,-9300.852618757672,-0.9300852618757672,2015,5
75,2015-05-29 09:15:00,PERSISTENT,2015-05-29,10:15:00,387.0,371.52,433.44000000000005,2015-06-02,11:15:00,379.575,SuperTrend Reversed,-7.425000000000011,-8.191575000000011,2583.9793281653747,-21166.860465116308,-2.116686046511631,2015,5
76,2015-06-09 15:15:00,PERSISTENT,2015-06-10,09:15:00,374.3,359.328,419.21600000000007,2015-06-11,14:15:00,367.575,SuperTrend Reversed,-6.725000000000023,-7.466875000000023,2671.6537536735236,-19948.904621961054,-1.9948904621961052,2015,6
77,2018-01-31 15:15:00,PERSISTENT,2018-02-01,09:15:00,395.0,379.2,442.40000000000003,2018-02-02,10:15:00,379.2,Initial SL Hit,-15.800000000000011,-16.574200000000012,2531.6455696202534,-41960.00000000004,-4.196000000000004,2018,2
78,2018-02-02 11:15:00,PERSISTENT,2018-02-02,12:15:00,386.5,371.03999999999996,432.88000000000005,2018-02-06,09:15:00,371.5,SuperTrend Reversed,-15.0,-15.758,2587.3221216041397,-40771.021992238035,-4.077102199223804,2018,2
79,2018-02-08 13:15:00,PERSISTENT,2018-02-08,14:15:00,399.4,383.424,447.32800000000003,2018-02-16,12:15:00,383.9,SuperTrend Reversed,-15.5,-16.2833,2503.7556334501755,-40769.40410615924,-4.076940410615924,2018,2
80,2018-02-22 09:15:00,PERSISTENT,2018-02-22,10:15:00,393.0,377.28,440.16,2018-03-01,15:15:00,415.175,SuperTrend Reversed,22.17500000000001,21.366825000000013,2544.529262086514,54368.51145038171,5.436851145038172,2018,2
