Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2020-06-30,22479.35,19510.35,2969.0,21354.1,35%,22393.25,20314.949999999997,high,20300,2020-07-30,24,BANKNIFTY20JUL20300PE,PE,2020-07-06 13:37:00,214.5,2020-07-30 15:30:00,0.15,Expiry Closing,214.35,2.1465,212.2035,344.82758620689657,73913.79310344828,73173.62068965517,7.391379310344828,7.317362068965517,2020
2020-07-31,23208.4,21028.0,2180.4000000000015,21543.8,35%,22306.94,20780.66,high,20800,2020-08-27,15,BANKNIFTY20AUG20800PE,PE,2020-08-12 12:52:00,100.6,2020-08-27 15:30:00,0.05,Expiry Closing,100.55,1.0065,99.5435,336.53846153846155,33838.942307692305,33500.216346153844,3.3838942307692306,3.3500216346153846,2020
2020-08-31,25228.5,21034.0,4194.5,23893.8,35%,25361.875,22425.725,low,25400,2020-09-24,15,BANKNIFTY20SEP25400CE,CE,2020-09-09 09:49:00,30.05,2020-09-24 15:30:00,0.05,Expiry Closing,30.0,0.30100000000000005,29.699,275.59055118110234,8267.71653543307,8184.763779527559,0.826771653543307,0.8184763779527559,2020
2020-09-30,24198.85,20407.45,3791.399999999998,21685.25,35%,23012.239999999998,20358.260000000002,high,20400,2020-10-29,22,BANKNIFTY20OCT20400PE,PE,2020-10-07 14:32:00,82.15,2020-10-29 15:30:00,0.15,Expiry Closing,82.0,0.8230000000000002,81.177,343.1372549019608,28137.254901960783,27854.852941176472,2.813725490196078,2.785485294117647,2020
2020-10-31,24821.45,21685.25,3136.2000000000007,24367.6,35%,25465.269999999997,23269.93,high,23300,2020-11-26,23,BANKNIFTY20NOV23300PE,PE,2020-11-03 09:31:00,318.0,2020-11-26 15:30:00,0.1,Expiry Closing,317.9,3.1810000000000005,314.719,300.42918454935625,95506.43776824034,94550.77253218884,9.550643776824035,9.455077253218883,2020
2020-12-31,31505.55,28977.65,2527.899999999998,31297.3,35%,32182.065,30412.535,high,30400,2021-01-28,20,BANKNIFTY21JAN30400PE,PE,2021-01-08 09:15:00,180.0,2021-01-28 15:30:00,34.55,Expiry Closing,145.45,2.1455,143.3045,230.26315789473685,33491.77631578947,32997.74671052631,3.3491776315789474,3.2997746710526314,2021
2020-12-31,31505.55,28977.65,2527.899999999998,31297.3,35%,32182.065,30412.535,low,32200,2021-01-28,1,BANKNIFTY21JAN32200CE,CE,2021-01-27 13:44:00,18.25,2021-01-28 15:30:00,0.2,Expiry Closing,18.05,0.1845,17.8655,217.3913043478261,3923.913043478261,3883.8043478260875,0.3923913043478261,0.38838043478260875,2021
2021-01-31,32841.35,29694.95,3146.399999999998,30976.35,35%,32077.589999999997,29875.11,high,29900,2021-02-25,24,BANKNIFTY21FEB29900PE,PE,2021-02-01 12:57:00,257.4,2021-02-25 15:30:00,0.1,Expiry Closing,257.29999999999995,2.575,254.72499999999997,234.11371237458195,60237.458193979925,59634.61538461538,6.023745819397992,5.963461538461538,2021
2021-02-28,37703.05,30909.2,6793.850000000002,35374.25,35%,37752.0975,32996.4025,low,37800,2021-03-25,0,BANKNIFTY21MAR37800CE,CE,2021-03-25 09:26:00,1.3,2021-03-25 15:30:00,0.05,Expiry Closing,1.25,0.013500000000000002,1.2365,185.1851851851852,231.4814814814815,228.98148148148147,0.02314814814814815,0.022898148148148147,2021
2021-03-31,36497.35,32420.55,4076.7999999999993,33588.0,35%,35014.88,32161.12,low,35000,2021-04-29,22,BANKNIFTY21APR35000CE,CE,2021-04-07 09:15:00,243.65,2021-04-29 15:30:00,0.05,Expiry Closing,243.6,2.4370000000000003,241.16299999999998,200.0,48720.0,48232.6,4.872,4.82326,2021
2021-04-30,34284.85,30407.9,3876.949999999997,32368.55,35%,33725.4825,31011.6175,high,31000,2021-05-27,9,BANKNIFTY21MAY31000PE,PE,2021-05-18 09:15:00,50.0,2021-05-27 15:30:00,0.05,Expiry Closing,49.95,0.5005,49.4495,225.80645161290323,11279.032258064517,11166.016129032258,1.1279032258064516,1.1166016129032257,2021
2021-05-31,35582.35,31921.65,3660.699999999997,35639.75,35%,36920.994999999995,34358.505000000005,low,36900,2021-06-24,6,BANKNIFTY21JUN36900CE,CE,2021-06-18 09:55:00,16.65,2021-06-24 15:30:00,0.05,Expiry Closing,16.599999999999998,0.167,16.432999999999996,189.7018970189702,3149.051490514905,3117.371273712736,0.3149051490514905,0.3117371273712736,2021
2021-06-30,35804.35,33915.15,1889.199999999997,34866.0,35%,35527.22,34204.78,high,34200,2021-07-29,23,BANKNIFTY21JUL34200PE,PE,2021-07-06 11:01:00,176.4,2021-07-29 15:30:00,0.15,Expiry Closing,176.25,1.7655,174.4845,204.6783625730994,36074.56140350877,35713.20175438596,3.607456140350877,3.5713201754385966,2021
