,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown,Slippage in pts,PnL w cs,ROI% w cs
87,2019-02-01,27588.5,26827.3,761.2000000000007,27302.65,50%,27683.25,26922.050000000003,low,27700,2019-02-14,1,BANKNIFTY1921427700CE,CE,2019-02-13 15:06:00,2.25,2019-02-13 15:20:00,0.05,Expiry Closing,2.2,234.7990210686968,516.557846351133,0.0516557846351133,2019,-1.3271064706472542,0.8684217936201368,-2.195528264267391,0.023,511.15746886655296,0.051115746886655294
88,2019-02-08,27482.1,26818.65,663.4499999999971,27017.2,50%,27348.925,26685.475000000002,low,27300,2019-02-21,6,BANKNIFTY1922127300CE,CE,2019-02-15 11:14:00,41.3,2019-02-20 15:20:00,0.1,Expiry Closing,41.199999999999996,237.66930510065754,9791.975370147089,0.9791975370147089,2019,-0.34790893363254527,0.8684217936201368,-1.2163307272526822,0.414,9693.580277835417,0.9693580277835417
89,2019-02-22,27196.85,26719.65,477.1999999999971,26941.0,50%,27179.6,26702.4,high,26700,2019-03-07,2,BANKNIFTY1930726700PE,PE,2019-03-05 11:53:00,31.15,2019-03-06 15:20:00,0.05,Friday Closing,31.099999999999998,239.14995069831787,7437.5634667176855,0.7437563466717686,2019,13.89637885098756,13.89637885098756,0.0,0.312,7362.94868209981,0.736294868209981
90,2019-03-01,27813.55,26941.0,872.5499999999993,27686.15,50%,28122.425000000003,27249.875,high,27200,2019-03-14,2,BANKNIFTY1931427200PE,PE,2019-03-12 09:15:00,5.95,2019-03-13 15:20:00,0.05,Friday Closing,5.9,231.13227255473166,1363.6804080729169,0.1363680408072917,2019,14.032746891794853,14.032746891794853,0.0,0.06,1349.8124717196329,0.13498124717196328
91,2019-03-08,29069.25,27648.3,1420.9500000000007,29007.0,50%,29717.475,28296.525,high,28300,2019-03-20,2,BANKNIFTY1932028300PE,PE,2019-03-18 09:15:00,7.15,2019-03-19 15:20:00,0.05,Friday Closing,7.1000000000000005,218.72652370364577,1552.958318295885,0.1552958318295885,2019,14.188042723624442,14.188042723624442,0.0,0.07200000000000001,1537.2100085892225,0.15372100085892226
92,2019-03-15,29883.7,29002.35,881.3500000000022,29920.75,50%,30361.425000000003,29480.074999999997,low,30400,2019-03-28,3,BANKNIFTY19MAR30400CE,CE,2019-03-25 09:15:00,10.7,2019-03-26 15:14:00,50.5,SL Hit,-39.8,214.08744813525715,-8520.680435783233,-0.8520680435783233,2019,-1.1999769772108686,0.8684217936201368,-2.0683987708310054,0.612,-8651.701954042011,-0.8651701954042011
93,2019-04-05,30231.9,29641.4,590.5,29780.55,50%,30075.8,29485.3,high,29500,2019-04-18,3,BANKNIFTY1941829500PE,PE,2019-04-15 09:48:00,28.45,2019-04-17 15:20:00,0.05,Friday Closing,28.4,216.12060194575042,6137.825095259312,0.6137825095259312,2019,14.801825233150371,14.801825233150371,0.0,0.28500000000000003,6076.230723704773,0.6076230723704773
94,2019-04-12,30656.5,29711.55,944.9500000000007,30282.5,50%,30754.975,29810.025,low,30800,2019-04-25,3,BANKNIFTY19APR30800CE,CE,2019-04-22 14:23:00,14.25,2019-04-24 15:20:00,0.05,Expiry Closing,14.2,211.34792013324673,3001.1404658921033,0.3001140465892103,2019,-0.8998629306216583,0.8684217936201368,-1.7682847242417952,0.14300000000000002,2970.917713313049,0.2970917713313049
95,2019-04-26,30047.3,29550.85,496.4500000000007,29811.65,50%,30059.875,29563.425000000003,high,29600,2019-05-09,6,BANKNIFTY1950929600PE,PE,2019-05-03 13:54:00,69.75,2019-05-06 09:15:00,185.05,SL Hit,-115.30000000000001,216.2350974513367,-24931.906736139124,-2.4931906736139124,2019,12.30863455953646,14.801825233150371,-2.4931906736139116,2.548,-25482.873764445132,-2.548287376444513
96,2019-04-26,30047.3,29550.85,496.4500000000007,29811.65,50%,30059.875,29563.425000000003,low,30100,2019-05-09,3,BANKNIFTY1950930100CE,CE,2019-05-06 09:15:00,57.0,2019-05-08 15:20:00,0.05,Expiry Closing,56.95,216.2350974513367,12314.588799853627,1.2314588799853627,2019,0.3315959493637044,0.8684217936201368,-0.5368258442564324,0.5705,12191.22667675764,1.219122667675764
97,2019-05-10,29202.4,28526.1,676.3000000000029,28881.4,50%,29219.550000000003,28543.25,high,28500,2019-05-23,6,BANKNIFTY1952328500PE,PE,2019-05-17 13:30:00,427.85,2019-05-22 15:20:00,0.1,Friday Closing,427.75,222.45380233439596,95154.61394853787,9.515461394853787,2019,21.824095954390245,21.824095954390245,0.0,4.2795000000000005,94202.62290144782,9.420262290144782
98,2019-05-24,31711.3,30565.05,1146.25,31678.9,50%,32252.025,31105.775,low,32300,2019-06-06,6,BANKNIFTY1960632300CE,CE,2019-05-31 12:00:00,17.5,2019-06-04 09:36:00,20.9,SL Hit,-3.3999999999999986,201.53773290204256,-685.2282918669445,-0.06852282918669445,2019,0.26307312017700996,0.8684217936201368,-0.6053486734431268,0.384,-762.6187813013288,-0.07626187813013288
99,2019-06-07,31398.7,30628.9,769.7999999999993,30983.45,50%,31368.35,30598.550000000003,low,31400,2019-06-20,6,BANKNIFTY1962031400CE,CE,2019-06-14 15:11:00,25.8,2019-06-19 15:20:00,0.05,Expiry Closing,25.75,207.2152344640378,5335.792287448973,0.5335792287448973,2019,0.7966523489219073,0.8684217936201368,-0.07176944469822955,0.2585,5282.227149340019,0.5282227149340019
100,2019-06-28,31607.8,31061.3,546.5,31523.05,50%,31796.3,31249.8,low,31800,2019-07-11,3,BANKNIFTY1971131800CE,CE,2019-07-08 09:15:00,32.55,2019-07-10 15:20:00,0.05,Expiry Closing,32.5,204.42630117340698,6643.854788135727,0.6643854788135727,2019,1.4610378277354799,1.4610378277354799,0.0,0.32599999999999996,6577.211813953197,0.6577211813953197
101,2019-07-12,30861.4,30334.65,526.75,30515.1,50%,30778.475,30251.725,low,30800,2019-07-25,6,BANKNIFTY19JUL30800CE,CE,2019-07-19 09:50:00,44.1,2019-07-24 15:20:00,0.05,Expiry Closing,44.050000000000004,211.18655164039154,9302.767599759249,0.9302767599759248,2019,2.391314587711405,2.391314587711405,0.0,0.4415,9209.528737210016,0.9209528737210015
102,2019-07-26,29583.45,28049.8,1533.6500000000015,28224.25,50%,28991.075,27457.425,low,29000,2019-08-08,3,BANKNIFTY1980829000CE,CE,2019-08-05 09:45:00,16.9,2019-08-07 15:20:00,0.05,Expiry Closing,16.849999999999998,224.20693265082443,3777.886815166391,0.3777886815166391,2019,2.7691032692280437,2.7691032692280437,0.0,0.16949999999999998,3739.883740082076,0.3739883740082076
103,2019-08-02,28541.2,27390.5,1150.7000000000007,28293.65,50%,28869.0,27718.300000000003,low,28900,2019-08-14,1,BANKNIFTY1981428900CE,CE,2019-08-13 14:49:00,2.7,2019-08-13 15:20:00,0.05,Expiry Closing,2.6500000000000004,225.1550105649659,596.6607779971597,0.059666077799715965,2019,2.8287693470277597,2.8287693470277597,0.0,0.0275,590.4690152066231,0.05904690152066231
104,2019-08-09,28602.2,27683.85,918.3500000000022,27920.3,50%,28379.475,27461.125,high,27500,2019-08-22,3,BANKNIFTY1982227500PE,PE,2019-08-19 09:16:00,38.75,2019-08-21 14:47:00,60.65,SL Hit,-21.9,229.03876833521412,-5015.949026541189,-0.5015949026541189,2019,21.32250105173613,21.824095954390245,-0.5015949026541158,0.9940000000000001,-5243.613562266391,-0.5243613562266392
105,2019-08-16,28468.25,26978.35,1489.9000000000015,26835.35,50%,27580.3,26090.399999999998,high,26100,2019-08-29,3,BANKNIFTY19AUG26100PE,PE,2019-08-26 09:15:00,25.65,2019-08-26 10:03:00,93.65,SL Hit,-68.0,235.67546400873087,-16025.9315525937,-1.6025931552593702,2019,19.71990789647676,21.824095954390245,-2.104188057913486,1.193,-16307.092381156115,-1.6307092381156114
106,2019-08-30,27585.0,26642.6,942.4000000000015,26986.5,50%,27457.7,26515.3,high,26500,2019-09-12,3,BANKNIFTY1991226500PE,PE,2019-09-09 10:31:00,20.75,2019-09-11 15:20:00,0.05,Friday Closing,20.7,236.72776671024886,4900.264770902151,0.49002647709021513,2019,20.209934373566973,21.824095954390245,-1.6141615808232714,0.20800000000000002,4851.02539542642,0.48510253954264204
107,2019-09-06,28061.95,26964.95,1097.0,27772.0,50%,28320.5,27223.5,low,28300,2019-09-19,2,BANKNIFTY1991928300CE,CE,2019-09-17 14:07:00,8.5,2019-09-18 15:20:00,0.05,Expiry Closing,8.45,229.51572182694514,1939.4078494376863,0.19394078494376865,2019,3.0227101319715284,3.0227101319715284,0.0,0.0855,1919.7842552214825,0.19197842552214825
108,2019-09-13,28124.9,26645.15,1479.75,26878.65,50%,27618.525,26138.775,high,26100,2019-09-26,6,BANKNIFTY19SEP26100PE,PE,2019-09-20 11:09:00,20.25,2019-09-25 15:20:00,0.05,Friday Closing,20.2,235.34928096268717,4754.055475446281,0.4754055475446281,2019,20.685339921111602,21.824095954390245,-1.1387560332786428,0.203,4706.279571410855,0.4706279571410855
109,2019-09-27,30111.2,28085.35,2025.8500000000022,28681.9,50%,29694.825000000004,27668.975,low,29700,2019-10-10,3,BANKNIFTY19101029700CE,CE,2019-10-07 09:19:00,20.95,2019-10-09 15:20:00,0.05,Expiry Closing,20.9,218.89335936480512,4574.871210724426,0.4574871210724426,2019,3.480197253043971,3.480197253043971,0.0,0.21,4528.903605257818,0.45289036052578174
110,2019-10-11,29046.45,27742.5,1303.9500000000007,28954.8,50%,29606.775,28302.824999999997,high,28300,2019-10-24,2,BANKNIFTY19102428300PE,PE,2019-10-22 12:06:00,30.75,2019-10-23 15:20:00,0.05,Friday Closing,30.7,219.54434415771388,6740.011365641816,0.6740011365641817,2019,21.35934105767578,21.824095954390245,-0.4647548967144637,0.308,6672.39170764124,0.667239170764124
111,2019-10-18,29691.85,28864.25,827.5999999999985,29228.65,50%,29642.45,28814.850000000002,high,28800,2019-10-31,2,BANKNIFTY19OCT28800PE,PE,2019-10-29 10:56:00,36.6,2019-10-30 15:20:00,0.05,Friday Closing,36.550000000000004,219.28012023297669,8014.688394515299,0.8014688394515299,2019,22.16080989712731,22.16080989712731,0.0,0.3665,7934.322230449912,0.7934322230449913
112,2019-11-01,30818.9,30015.1,803.8000000000029,30571.3,50%,30973.2,30169.399999999998,high,30200,2019-11-14,6,BANKNIFTY19111430200PE,PE,2019-11-08 12:12:00,101.65,2019-11-13 15:20:00,0.1,Friday Closing,101.55000000000001,209.85884571177664,21311.16578203092,2.131116578203092,2019,24.291926475330406,24.291926475330406,0.0,1.0175,21097.634406519188,2.1097634406519186
113,2019-11-08,31203.65,30340.25,863.4000000000015,30912.4,50%,31344.100000000002,30480.7,high,30500,2019-11-21,1,BANKNIFTY19112130500PE,PE,2019-11-20 10:01:00,18.75,2019-11-20 15:20:00,0.1,Friday Closing,18.65,207.37555074160687,3867.5540213309678,0.3867554021330968,2019,24.6786818774635,24.6786818774635,0.0,0.18850000000000003,3828.463730016175,0.3828463730016175
114,2019-11-15,31469.3,30879.05,590.25,31389.6,50%,31684.725,31094.475,high,31100,2019-11-28,2,BANKNIFTY19NOV31100PE,PE,2019-11-26 09:15:00,35.9,2019-11-27 15:20:00,0.05,Friday Closing,35.85,205.14617059166522,7354.490215711198,0.7354490215711198,2019,25.41413089903462,25.41413089903462,0.0,0.3595,7280.740167383495,0.7280740167383495
