,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
53,2023-02-15,18736.1,18209.1,527.0,18186.05,40%,18396.85,17975.25,low,18400,2023-02-28,6,FINNIFTY23FEB18400CE,CE,2023-02-22 13:28:00,29.75,2023-02-28 15:30:00,0.05,Expiry Closing,29.7,0.298,29.402,1304.3478260869565,38739.13043478261,38350.434782608696,1.2913043478260868,1.2783478260869565,2023,18750,FINNIFTY23FEB18750CE,9.2,0.05,-9.149999999999999,-11934.78260869565,26415.652173913048,2.6415652173913045
54,2023-02-22,18203.3,17764.9,438.3999999999978,18083.5,40%,18258.86,17908.14,high,17900,2023-03-06,3,FINNIFTY2330617900PE,PE,2023-03-03 10:47:00,3.75,2023-03-06 15:30:00,0.05,Expiry Closing,3.7,0.038,3.6620000000000004,1340.7821229050278,4960.893854748603,4909.944134078212,0.16536312849162013,0.16366480446927376,2023,17550,FINNIFTY2330617550PE,1.55,0.05,-1.5,-2011.1731843575417,2898.7709497206706,0.28987709497206704
55,2023-03-01,18466.15,17923.9,542.25,18316.0,40%,18532.9,18099.1,low,18550,2023-03-14,4,FINNIFTY2331418550CE,CE,2023-03-10 09:15:00,3.65,2023-03-14 15:30:00,0.1,Expiry Closing,3.55,0.0375,3.5124999999999997,1293.8005390835579,4592.99191374663,4544.474393530996,0.153099730458221,0.15148247978436655,2023,18900,FINNIFTY2331418900CE,1.0,0.05,-0.95,-1229.11051212938,3315.3638814016163,0.3315363881401616
56,2023-03-08,18443.5,17456.95,986.5499999999993,17693.45,40%,18088.07,17298.83,low,18100,2023-03-21,5,FINNIFTY2332118100CE,CE,2023-03-16 09:45:00,9.8,2023-03-21 15:30:00,0.05,Expiry Closing,9.75,0.09850000000000002,9.6515,1325.9668508287293,12928.176795580112,12797.569060773481,0.43093922651933697,0.4265856353591161,2023,18450,FINNIFTY2332118450CE,4.1,0.05,-4.05,-5370.165745856353,7427.403314917128,0.7427403314917128
57,2023-03-15,17830.0,17262.9,567.0999999999985,17869.4,40%,18096.24,17642.56,low,18100,2023-03-28,4,FINNIFTY23MAR18100CE,CE,2023-03-24 09:23:00,12.55,2023-03-28 15:30:00,0.05,Expiry Closing,12.5,0.12600000000000003,12.374,1325.9668508287293,16574.585635359115,16407.5138121547,0.5524861878453039,0.5469171270718233,2023,18450,FINNIFTY23MAR18450CE,1.9,0.05,-1.8499999999999999,-2453.038674033149,13954.47513812155,1.395447513812155
58,2023-03-22,17966.75,17556.05,410.7000000000007,17702.95,40%,17867.23,17538.670000000002,high,17550,2023-04-03,3,FINNIFTY2340317550PE,PE,2023-03-31 09:15:00,7.0,2023-04-03 15:30:00,0.05,Expiry Closing,6.95,0.0705,6.8795,1367.5213675213674,9504.273504273504,9407.863247863248,0.3168091168091168,0.3135954415954416,2023,17200,FINNIFTY2340317200PE,1.8,0.05,-1.75,-2393.162393162393,7014.700854700855,0.7014700854700855
59,2023-03-29,18184.65,17694.2,490.4500000000007,18221.25,40%,18417.43,18025.07,high,18050,2023-04-11,5,FINNIFTY2341118050PE,PE,2023-04-06 10:05:00,15.8,2023-04-11 15:30:00,0.05,Expiry Closing,15.75,0.15850000000000003,15.5915,1329.6398891966758,20941.82825484764,20731.08033240997,0.6980609418282548,0.6910360110803323,2023,17700,FINNIFTY2341117700PE,4.7,0.05,-4.65,-6182.825484764543,14548.254847645425,1.4548254847645423
60,2023-04-05,18606.4,18203.35,403.0500000000029,18618.45,40%,18779.670000000002,18457.23,high,18450,2023-04-18,5,FINNIFTY2341818450PE,PE,2023-04-13 14:04:00,11.15,2023-04-18 15:30:00,0.1,Expiry Closing,11.05,0.1125,10.9375,1300.8130081300812,14373.983739837398,14227.642276422763,0.4791327913279133,0.4742547425474255,2023,18100,FINNIFTY2341818100PE,3.65,0.05,-3.6,-4682.926829268293,9544.71544715447,0.9544715447154472
61,2023-04-12,19103.5,18587.75,515.75,18783.35,40%,18989.649999999998,18577.05,high,18600,2023-04-25,1,FINNIFTY23APR18600PE,PE,2023-04-24 14:22:00,2.3,2023-04-25 15:30:00,0.05,Expiry Closing,2.25,0.023499999999999997,2.2265,1290.3225806451615,2903.225806451613,2872.903225806452,0.0967741935483871,0.09576344086021507,2023,18250,FINNIFTY23APR18250PE,1.15,0.05,-1.0999999999999999,-1419.3548387096773,1453.5483870967748,0.14535483870967747
62,2023-04-19,19050.05,18671.6,378.4500000000007,18929.15,40%,19080.530000000002,18777.77,high,18800,2023-05-02,5,FINNIFTY2350218800PE,PE,2023-04-27 13:59:00,16.0,2023-05-02 15:30:00,0.05,Expiry Closing,15.95,0.1605,15.789499999999999,1276.595744680851,20361.702127659573,20156.808510638297,0.6787234042553192,0.6718936170212765,2023,18400,FINNIFTY2350218400PE,3.7,0.05,-3.6500000000000004,-4659.574468085107,15497.234042553191,1.5497234042553192
