,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Cumulative ROI%,Running Max ROI%,Drawdown
551,2021-07-16,15961.3,15578.6,382.6999999999989,15856.8,40%,16009.88,15703.72,low,16000,2021-07-29,2,NIFTY21JUL16000CE,CE,2021-07-27 13:12:00,5.2,2021-07-29 15:30:00,0.1,Expiry Closing,5.1000000000000005,0.053,5.047000000000001,1061.8443111378724,5415.40598680315,5359.128238312843,0.541540598680315,0.5359128238312844,2021,16650,NIFTY21JUL16650CE,1.6,0.05,-1.55,-1645.8586822637023,3713.26955604914,0.18566347780245698,NIFTY,164.64330403656678,164.64330403656678,0.0
552,2021-07-23,15899.5,15514.65,384.8500000000004,15800.6,40%,15954.54,15646.66,high,15650,2021-08-05,2,NIFTY2180515650PE,PE,2021-08-03 09:58:00,9.95,2021-08-05 15:30:00,0.15,Friday Closing,9.8,0.1009999999999999,9.698999999999998,1065.5274298099475,10442.168812137485,10334.55054172668,1.0442168812137484,1.033455054172668,2021,15000,NIFTY2180515000PE,2.8,0.05,-2.75,-2930.200431977356,7404.350109749324,0.3702175054874662,NIFTY,165.01352154205424,165.01352154205424,0.0
204,2021-07-23,35185.85,34117.7,1068.1500000000017,34698.75,50%,35232.825,34164.675,high,34200,2021-08-05,2,BANKNIFTY2180534200PE,PE,2021-08-03 15:05:00,17.9,2021-08-05 15:30:00,0.05,Friday Closing,17.849999999999998,0.1795,17.670499999999997,397.3567262914626,7092.817564302607,7021.492031933289,0.7092817564302607,0.7021492031933289,2021,32800,BANKNIFTY2180532800PE,5.45,0.05,-5.4,-2145.7263219738984,4875.765709959391,0.24378828549796955,BANKNIFTY,165.2573098275522,165.2573098275522,0.0
553,2021-08-06,16375.0,16162.8,212.20000000000076,16385.7,40%,16470.58,16300.82,high,16300,2021-08-18,5,NIFTY2181816300PE,PE,2021-08-13 11:11:00,37.8,2021-08-18 15:30:00,0.15,Friday Closing,37.65,0.3794999999999999,37.2705,1032.1433732145435,38860.19800152756,38468.49959139265,3.886019800152756,3.8468499591392646,2021,15650,NIFTY2181815650PE,4.6,0.05,-4.55,-4696.252348126173,33772.24724326647,1.6886123621633238,NIFTY,166.94592218971553,166.94592218971553,0.0
205,2021-08-06,36315.3,35532.8,782.5,36000.75,50%,36392.0,35609.5,low,36400,2021-08-18,0,BANKNIFTY2181836400CE,CE,2021-08-18 14:29:00,2.9,2021-08-18 15:30:00,0.2,Expiry Closing,2.7,0.031,2.669,384.6999340514399,1038.6898219388877,1026.7641239832928,0.10386898219388878,0.10267641239832928,2021,37900,BANKNIFTY2181837900CE,2.05,0.25,-1.7999999999999998,-692.4598812925917,334.3042426907012,0.01671521213453506,BANKNIFTY,166.96263740185006,166.96263740185006,0.0
554,2021-08-13,16701.25,16385.0,316.25,16382.5,40%,16509.0,16256.0,high,16250,2021-08-26,6,NIFTY21AUG16250PE,PE,2021-08-20 09:50:00,39.6,2021-08-26 15:30:00,0.1,Friday Closing,39.5,0.397,39.103,1029.7413532012845,40674.78345145073,40265.97613422982,4.067478345145073,4.026597613422982,2021,15600,NIFTY21AUG15600PE,5.65,0.05,-5.6000000000000005,-5766.551577927193,34499.42455630263,1.7249712278151315,NIFTY,168.6876086296652,168.6876086296652,0.0
206,2021-08-13,36257.4,35434.85,822.5500000000029,35146.5,50%,35557.775,34735.225,high,34700,2021-08-26,2,BANKNIFTY21AUG34700PE,PE,2021-08-24 12:03:00,35.2,2021-08-26 09:16:00,9.25,SL Hit,25.950000000000003,0.4445,25.5055,393.7254229208661,10217.174724796476,10042.16377430815,1.0217174724796476,1.004216377430815,2021,33300,BANKNIFTY21AUG33300PE,6.75,2.3,-4.45,-1752.078131997854,8290.085642310296,0.4145042821155148,BANKNIFTY,169.1021129117807,169.1021129117807,0.0
555,2021-08-20,16711.55,16377.1,334.4499999999989,16642.55,40%,16776.329999999998,16508.77,high,16500,2021-09-02,3,NIFTY2190216500PE,PE,2021-08-30 09:15:00,15.5,2021-09-02 15:30:00,0.05,Friday Closing,15.45,0.1555,15.2945,1013.3324749811194,15655.986738458294,15498.41353859873,1.5655986738458294,1.549841353859873,2021,15850,NIFTY2190215850PE,2.6,0.05,-2.5500000000000003,-2583.997811201855,12914.415727396876,0.6457207863698438,NIFTY,169.74783369815054,169.74783369815054,0.0
207,2021-08-20,35907.55,34818.9,1088.6500000000017,35559.75,50%,36104.075,35015.425,high,35000,2021-09-02,3,BANKNIFTY2190235000PE,PE,2021-08-30 10:40:00,28.1,2021-09-02 15:30:00,0.05,Friday Closing,28.05,0.2815,27.7685,387.7678627689534,10876.888550669144,10767.731897299684,1.0876888550669144,1.0767731897299684,2021,33600,BANKNIFTY2190233600PE,8.05,0.05,-8.0,-3102.142902151628,7665.588995148057,0.3832794497574028,BANKNIFTY,170.13111314790794,170.13111314790794,0.0
557,2021-09-03,17436.2,17212.55,223.65000000000143,17363.55,40%,17453.01,17274.09,low,17450,2021-09-16,3,NIFTY2191617450CE,CE,2021-09-13 10:09:00,27.15,2021-09-14 09:33:00,57.1,SL Hit,-29.950000000000003,0.8425,-30.792500000000004,974.0440187681096,-29172.61836210488,-29993.250447917017,-2.917261836210488,-2.9993250447917017,2021,18150,NIFTY2191618150CE,1.5,1.25,-0.25,-243.51100469202737,-30236.761452609044,-1.5118380726304523,NIFTY,168.6192750752775,170.13111314790794,-1.5118380726304395
