Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2020-02-29,14747.6,13523.2,1224.3999999999996,13824.5,10%,13946.94,13702.06,low,13950,2020-03-31,29,FINNIFTY20MAR13950CE,CE,2020-03-02 09:27:00,,2020-03-31 15:30:00,,Expiry Closing,,,,573.4767025089606,,,,,2020
2020-03-31,13874.9,7985.15,5889.75,9293.9,10%,9882.875,8704.925,high,8700,2020-04-28,11,FINNIFTY20APR8700PE,PE,2020-04-17 15:08:00,,2020-04-28 15:30:00,,Expiry Closing,,,,919.5402298850574,,,,,2020
2020-03-31,13874.9,7985.15,5889.75,9293.9,10%,9882.875,8704.925,low,9900,2020-04-28,25,FINNIFTY20APR9900CE,CE,2020-04-03 09:18:00,,2020-04-28 15:30:00,,Expiry Closing,,,,808.0808080808081,,,,,2020
2020-04-30,10694.45,8522.95,2171.5,10120.65,10%,10337.8,9903.5,low,10350,2020-05-26,22,FINNIFTY20MAY10350CE,CE,2020-05-04 09:34:00,,2020-05-26 15:30:00,,Expiry Closing,,,,772.9468599033817,,,,,2020
2020-05-31,10120.65,8575.45,1545.199999999999,9739.85,10%,9894.37,9585.33,high,9600,2020-06-30,29,FINNIFTY20JUN9600PE,PE,2020-06-01 09:32:00,,2020-06-30 15:30:00,,Expiry Closing,,,,833.3333333333334,,,,,2020
2020-06-30,10970.3,9586.2,1384.0999999999985,10558.35,10%,10696.76,10419.94,high,10400,2020-07-28,27,FINNIFTY20JUL10400PE,PE,2020-07-01 11:27:00,,2020-07-28 15:30:00,,Expiry Closing,,,,769.2307692307693,,,,,2020
2020-07-31,11443.85,10455.55,988.3000000000011,10698.75,10%,10797.58,10599.92,high,10600,2020-08-25,20,FINNIFTY20AUG10600PE,PE,2020-08-05 09:31:00,,2020-08-25 15:30:00,,Expiry Closing,,,,754.7169811320755,,,,,2020
2020-07-31,11443.85,10455.55,988.3000000000011,10698.75,10%,10797.58,10599.92,low,10800,2020-08-25,22,FINNIFTY20AUG10800CE,CE,2020-08-03 09:15:00,,2020-08-25 15:30:00,,Expiry Closing,,,,740.7407407407408,,,,,2020
2020-08-31,11985.1,10442.8,1542.300000000001,11480.1,10%,11634.33,11325.87,low,11650,2020-09-29,25,FINNIFTY20SEP11650CE,CE,2020-09-04 09:15:00,,2020-09-29 15:30:00,,Expiry Closing,,,,686.695278969957,,,,,2020
2020-09-30,11629.25,10114.9,1514.3500000000004,10726.8,10%,10878.234999999999,10575.365,high,10600,2020-10-27,26,FINNIFTY20OCT10600PE,PE,2020-10-01 10:39:00,,2020-10-27 15:30:00,,Expiry Closing,,,,754.7169811320755,,,,,2020
2020-10-31,12101.6,10726.8,1374.800000000001,11789.8,10%,11927.279999999999,11652.32,high,11650,2020-11-24,22,FINNIFTY20NOV11650PE,PE,2020-11-02 13:19:00,,2020-11-24 15:30:00,,Expiry Closing,,,,686.695278969957,,,,,2020
2020-11-30,14435.9,11701.15,2734.75,14358.2,10%,14631.675000000001,14084.725,high,14100,2020-12-29,14,FINNIFTY20DEC14100PE,PE,2020-12-15 14:00:00,,2020-12-29 15:30:00,,Expiry Closing,,,,567.3758865248227,,,,,2020
2020-11-30,14435.9,11701.15,2734.75,14358.2,10%,14631.675000000001,14084.725,low,14650,2020-12-29,27,FINNIFTY20DEC14650CE,CE,2020-12-02 14:05:00,,2020-12-08 10:00:00,,SL Hit,,,,546.0750853242321,,,,,2020
2020-12-31,15272.5,14055.6,1216.8999999999996,15215.4,10%,15337.09,15093.71,high,15100,2021-01-25,20,FINNIFTY21JAN15100PE,PE,2021-01-05 14:25:00,,2021-01-25 15:30:00,,Expiry Closing,,,,529.8013245033112,,,,,2021
