,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Cumulative ROI%,Running Max ROI%,Drawdown
531,2021-03-05,15216.75,14862.6,354.14999999999964,15321.15,40%,15462.81,15179.49,low,15450,2021-03-18,6,NIFTY2131815450CE,CE,2021-03-12 13:32:00,51.2,2021-03-18 15:30:00,0.1,Expiry Closing,51.1,0.513,50.587,824.5590549195133,42134.96770638713,41711.96891121342,4.213496770638713,4.171196891121342,2021,15750,NIFTY2131815750CE,9.4,0.05,-9.35,-7709.627163497449,34002.341747715975,3.4002341747715974,NIFTY,175.84268733640607,177.0951982580153,-1.252510921609229
190,2021-03-05,36173.8,34899.2,1274.6000000000058,36497.35,50%,37134.65,35860.05,low,37100,2021-03-18,6,BANKNIFTY2131837100CE,CE,2021-03-12 13:34:00,175.3,2021-03-18 15:30:00,0.2,Expiry Closing,175.10000000000002,1.755,173.34500000000003,235.62898802062224,41258.63580241096,40845.10692843477,4.125863580241096,4.084510692843477,2021,38200,BANKNIFTY2131838200CE,46.45,0.05,-46.400000000000006,-10933.185044156873,29911.921884277894,2.9911921884277892,BANKNIFTY,178.83387952483386,178.83387952483386,0.0
532,2021-03-12,15332.6,14479.35,853.25,14471.15,40%,14812.45,14129.85,high,14150,2021-03-25,2,NIFTY21MAR14150PE,PE,2021-03-23 09:20:00,9.75,2021-03-25 09:18:00,4.0,SL Hit,5.75,0.1375,5.6125,860.7623991979722,4949.38379538834,4831.028965498619,0.494938379538834,0.4831028965498619,2021,13850,NIFTY21MAR13850PE,4.0,0.95,-3.05,-2625.325317553815,2205.7036479448043,0.22057036479448044,NIFTY,179.05444988962833,179.05444988962833,0.0
533,2021-03-19,14878.4,14265.6,612.7999999999993,14506.3,40%,14751.419999999998,14261.18,high,14250,2021-04-01,2,NIFTY2140114250PE,PE,2021-03-30 10:16:00,14.35,2021-04-01 15:30:00,0.05,Friday Closing,14.3,0.144,14.156,864.3235702054446,12359.82705393786,12235.364459828275,1.2359827053937857,1.2235364459828275,2021,13950,NIFTY2140113950PE,5.05,0.05,-5.0,-4321.617851027223,7913.746608801052,0.7913746608801052,NIFTY,179.84582455050844,179.84582455050844,0.0
191,2021-03-26,33990.1,33154.7,835.4000000000015,33649.15,50%,34066.850000000006,33231.45,low,34100,2021-04-08,3,BANKNIFTY2140834100CE,CE,2021-04-05 09:24:00,207.05,2021-04-08 15:30:00,0.15,Expiry Closing,206.9,2.072,204.828,256.8479328144515,53141.83729931001,52609.64838251847,5.314183729931002,5.260964838251847,2021,35100,BANKNIFTY2140835100CE,42.2,0.05,-42.150000000000006,-10826.140368129132,41783.508014389336,4.178350801438934,BANKNIFTY,184.02417535194738,184.02417535194738,0.0
534,2021-03-26,14882.85,14415.35,467.5,14837.7,40%,15024.7,14650.7,low,15000,2021-04-08,3,NIFTY2140815000CE,CE,2021-04-05 10:00:00,26.2,2021-04-08 09:15:00,15.35,SL Hit,10.85,0.4155,10.4345,848.6026343288052,9207.338582467535,8854.744187903918,0.9207338582467535,0.8854744187903918,2021,15300,NIFTY2140815300CE,4.6,0.5,-4.1,-3479.270800748101,5375.473387155816,0.5375473387155817,NIFTY,184.56172269066295,184.56172269066295,0.0
535,2021-04-02,14982.45,14460.15,522.3000000000011,14882.65,40%,15091.57,14673.73,low,15100,2021-04-15,3,NIFTY2141515100CE,CE,2021-04-12 09:15:00,4.45,2021-04-15 15:30:00,0.05,Expiry Closing,4.4,0.045,4.355,844.8425180415292,3717.3070793827287,3679.2891660708597,0.37173070793827284,0.367928916607086,2021,15400,NIFTY2141515400CE,2.05,0.05,-2.0,-1689.6850360830583,1989.6041299878013,0.19896041299878015,NIFTY,184.76068310366173,184.76068310366173,0.0
192,2021-04-02,33688.25,32158.45,1529.7999999999993,32636.9,50%,33401.8,31872.0,low,33400,2021-04-15,3,BANKNIFTY2141533400CE,CE,2021-04-12 09:15:00,27.8,2021-04-15 15:30:00,0.05,Expiry Closing,27.75,0.2785,27.4715,261.9619301953786,7269.443562921757,7196.487165362343,0.7269443562921757,0.7196487165362344,2021,34400,BANKNIFTY2141534400CE,11.0,0.05,-10.95,-2868.4831356393956,4328.004029722948,0.4328004029722948,BANKNIFTY,185.19348350663404,185.19348350663404,0.0
536,2021-04-09,14917.85,14249.25,668.6000000000004,14599.6,40%,14867.04,14332.16,low,14850,2021-04-22,3,NIFTY2142214850CE,CE,2021-04-19 09:15:00,4.85,2021-04-22 15:30:00,0.05,Expiry Closing,4.8,0.0489999999999999,4.751,857.6017821973978,4116.488554547509,4074.4660672198374,0.4116488554547509,0.40744660672198374,2021,15150,NIFTY2142215150CE,2.4,0.1,-2.3,-1972.484099054015,2101.9819681658228,0.21019819681658228,NIFTY,185.40368170345062,185.40368170345062,0.0
193,2021-04-09,32968.5,30522.5,2446.0,32161.45,50%,33384.45,30938.45,low,33400,2021-04-22,3,BANKNIFTY2142233400CE,CE,2021-04-19 09:15:00,15.5,2021-04-22 15:30:00,0.1,Expiry Closing,15.4,0.156,15.244,262.09807260565924,4036.310318127152,3995.4230188006695,0.4036310318127152,0.399542301880067,2021,34400,BANKNIFTY2142234400CE,7.2,0.1,-7.1000000000000005,-1860.8963155001807,2134.526703300489,0.2134526703300489,BANKNIFTY,185.61713437378066,185.61713437378066,0.0
194,2021-04-16,32325.15,30407.9,1917.25,31490.6,50%,32449.225,30531.975,high,30500,2021-04-29,3,BANKNIFTY21APR30500PE,PE,2021-04-26 09:26:00,81.15,2021-04-29 15:30:00,0.2,Friday Closing,80.95,0.8135000000000001,80.1365,269.65204870070085,21828.333342321734,21608.97140070371,2.1828333342321735,2.160897140070371,2021,29600,BANKNIFTY21APR29600PE,36.15,0.05,-36.1,-9734.438958095301,11874.53244260841,1.187453244260841,BANKNIFTY,186.8045876180415,186.8045876180415,0.0
537,2021-04-16,14696.25,14153.95,542.2999999999993,14326.35,40%,14543.27,14109.43,high,14100,2021-04-29,3,NIFTY21APR14100PE,PE,2021-04-26 09:58:00,36.1,2021-04-29 15:30:00,0.05,Friday Closing,36.05,0.3615,35.688500000000005,876.6941685054323,31604.824774620833,31287.899832706127,3.160482477462083,3.1287899832706128,2021,13800,NIFTY21APR13800PE,13.95,0.05,-13.9,-12186.04894222551,19101.850890480615,1.9101850890480616,NIFTY,188.71477270708957,188.71477270708957,0.0
538,2021-04-23,15043.15,14274.2,768.9499999999989,14747.35,40%,15054.93,14439.77,low,15050,2021-05-06,3,NIFTY2150615050CE,CE,2021-05-03 09:15:00,10.0,2021-05-06 15:30:00,0.05,Expiry Closing,9.95,0.1005,9.8495,846.8986571176353,8426.64163832047,8341.528323280148,0.842664163832047,0.8341528323280148,2021,15350,NIFTY2150615350CE,3.35,0.05,-3.3000000000000003,-2794.7655684881965,5546.762754791952,0.5546762754791952,NIFTY,189.26944898256875,189.26944898256875,0.0
540,2021-05-07,14966.8,14650.1,316.6999999999989,14749.4,40%,14876.08,14622.72,low,14900,2021-05-20,6,NIFTY2152014900CE,CE,2021-05-14 09:34:00,44.0,2021-05-18 09:15:00,212.35,SL Hit,-168.35,2.5635000000000003,-170.9135,857.0806287677937,-144289.52385305805,-146486.6500449043,-14.428952385305806,-14.648665004490429,2021,15200,NIFTY2152015200CE,6.85,37.75,30.9,26483.791428924822,-120002.85861597946,-12.000285861597947,NIFTY,177.2691631209708,189.26944898256875,-12.000285861597945
195,2021-05-07,33297.6,32356.0,941.5999999999984,32495.15,50%,32965.95,32024.35,high,32000,2021-05-20,3,BANKNIFTY2152032000PE,PE,2021-05-17 11:08:00,91.8,2021-05-20 15:30:00,0.1,Friday Closing,91.7,0.919,90.781,265.4253858905932,24339.507886167397,24095.58195653394,2.4339507886167397,2.409558195653394,2021,31000,BANKNIFTY2152031000PE,21.0,0.05,-20.95,-5560.661834407927,18534.920122126015,1.8534920122126015,BANKNIFTY,179.1226551331834,189.26944898256875,-10.146793849385347
539,2021-05-07,14966.8,14650.1,316.6999999999989,14749.4,40%,14876.08,14622.72,high,14600,2021-05-20,3,NIFTY2152014600PE,PE,2021-05-17 14:03:00,22.35,2021-05-20 15:30:00,0.1,Friday Closing,22.25,0.2245,22.0255,857.0806287677937,19070.04399008341,18877.62938892504,1.907004399008341,1.8877629388925041,2021,14300,NIFTY2152014300PE,5.7,0.05,-5.65,-4842.505552538035,14035.123836387007,1.4035123836387007,NIFTY,180.5261675168221,189.26944898256875,-8.743281465746634
196,2021-05-14,34140.65,32119.9,2020.75,33559.8,50%,34570.175,32549.425000000003,high,32500,2021-05-27,6,BANKNIFTY21MAY32500PE,PE,2021-05-21 14:49:00,35.8,2021-05-27 15:30:00,0.1,Friday Closing,35.7,0.359,35.340999999999994,253.108351346211,9035.968143059734,8945.102244926442,0.9035968143059734,0.8945102244926442,2021,31500,BANKNIFTY21MAY31500PE,14.75,0.05,-14.7,-3720.6927647893017,5224.40948013714,0.5224409480137141,BANKNIFTY,181.04860846483584,189.26944898256875,-8.22084051773291
541,2021-05-14,15137.1,14592.15,544.9500000000007,14987.8,40%,15205.78,14769.82,high,14750,2021-05-27,3,NIFTY21MAY14750PE,PE,2021-05-24 09:15:00,10.5,2021-05-27 15:30:00,0.1,Friday Closing,10.4,0.106,10.294,838.4969399794026,8720.368175785787,8631.48750014797,0.8720368175785788,0.8631487500147971,2021,14450,NIFTY21MAY14450PE,4.25,0.05,-4.2,-3521.6871479134907,5109.80035223448,0.5109800352234479,NIFTY,181.55958850005928,189.26944898256875,-7.70986048250947
