,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year
214,2022-01-10,38848.8,37930.55,918.25,38212.55,50%,38671.675,37753.425,low,38700,2022-01-27,7,BANKNIFTY22JAN38700CE,2022-01-20 13:30:00,165.3,2022-01-21 15:20:00,75.0,Friday Closing,90.30000000000001,155.15231755542007,14010.254275254434,1.4010254275254435,2022
215,2022-01-17,38852.5,37225.65,1626.8499999999985,37601.95,50%,38415.375,36788.524999999994,low,38400,2022-02-03,10,BANKNIFTY2220338400CE,2022-01-24 13:29:00,291.8,2022-01-28 15:20:00,397.5,Friday Closing,-105.69999999999999,156.1874640036704,-16509.014945187962,-1.6509014945187963,2022
216,2022-01-24,38409.35,36383.55,2025.7999999999956,38091.8,50%,39104.7,37078.90000000001,high,37100,2022-02-10,8,BANKNIFTY2221037100PE,2022-02-02 09:28:00,89.9,2022-02-04 15:20:00,46.05,Friday Closing,43.85000000000001,153.43424191976925,6728.091508181883,0.6728091508181884,2022
217,2022-01-31,39419.9,37650.5,1769.4000000000015,38592.05,50%,39476.75,37707.350000000006,low,39500,2022-02-17,9,BANKNIFTY2221739500CE,2022-02-08 10:24:00,89.45,2022-02-11 15:20:00,62.6,Friday Closing,26.85,151.98819558347634,4080.88305141634,0.408088305141634,2022
218,2022-02-07,39195.75,37320.45,1875.300000000003,37664.0,50%,38601.65,36726.35,low,38600,2022-02-24,9,BANKNIFTY22FEB38600CE,2022-02-15 10:02:00,99.95,2022-02-18 15:20:00,120.55,Friday Closing,-20.599999999999994,155.43377031810815,-3201.935668553027,-0.3201935668553027,2022
219,2022-02-14,38461.2,36655.2,1806.0,37400.0,50%,38303.0,36497.0,low,38300,2022-03-03,7,BANKNIFTY2230338300CE,2022-02-24 09:15:00,81.3,2022-02-25 15:20:00,49.65,Friday Closing,31.65,156.6456935488082,4957.836200819779,0.4957836200819779,2022
220,2022-02-21,38051.95,35002.1,3049.8499999999985,35938.95,50%,37463.875,34414.024999999994,low,37500,2022-03-10,6,BANKNIFTY2231037500CE,2022-03-04 09:15:00,23.8,2022-03-04 15:20:00,18.0,Friday Closing,5.800000000000001,160.15428195828648,928.8948353580616,0.09288948353580617,2022
221,2022-02-28,36268.55,34097.15,2171.4000000000015,33278.15,50%,34363.850000000006,32192.45,high,32200,2022-03-17,7,BANKNIFTY2231732200PE,2022-03-10 09:15:00,80.05,2022-03-11 09:15:00,145.4,SL Hit,-65.35000000000001,174.60208911399621,-11410.246523599653,-1.1410246523599652,2022
222,2022-02-28,36268.55,34097.15,2171.4000000000015,33278.15,50%,34363.850000000006,32192.45,low,34400,2022-03-17,9,BANKNIFTY2231734400CE,2022-03-08 13:07:00,247.35,2022-03-11 15:20:00,776.25,Friday Closing,-528.9,174.60208911399621,-92347.0449323926,-9.23470449323926,2022
223,2022-03-07,35370.55,32159.3,3211.2500000000036,34660.25,50%,36265.875,33054.625,high,33100,2022-03-24,7,BANKNIFTY2232433100PE,2022-03-17 09:15:00,40.3,2022-03-18 15:20:00,25.85,Friday Closing,14.449999999999996,165.4447879721639,2390.6771861977677,0.23906771861977677,2022
224,2022-03-14,36610.55,34638.2,1972.3500000000058,36545.85,50%,37532.025,35559.674999999996,low,37500,2022-03-31,9,BANKNIFTY22MAR37500CE,2022-03-22 09:52:00,159.85,2022-03-23 09:15:00,342.2,SL Hit,-182.35,159.8634765909913,-29151.10495636726,-2.915110495636726,2022
225,2022-03-21,36822.2,35207.75,1614.449999999997,35488.7,50%,36295.924999999996,34681.475,high,34700,2022-04-07,8,BANKNIFTY2240734700PE,2022-03-30 10:21:00,149.5,2022-04-01 15:20:00,21.65,Friday Closing,127.85,165.30781348043894,21134.603953474118,2.1134603953474116,2022
226,2022-04-11,37981.2,37269.1,712.0999999999985,36833.15,50%,37189.2,36477.100000000006,low,37200,2022-04-28,10,BANKNIFTY22APR37200CE,2022-04-18 13:04:00,352.4,2022-04-22 15:20:00,69.05,Friday Closing,283.34999999999997,161.33716240198768,45714.884966603204,4.57148849666032,2022
227,2022-04-18,37123.25,35931.25,1192.0,35792.35,50%,36388.35,35196.35,high,35200,2022-05-05,9,BANKNIFTY2250535200PE,2022-04-26 09:15:00,162.0,2022-04-27 11:34:00,258.6,SL Hit,-96.60000000000002,164.88793803511288,-15928.174814191909,-1.5928174814191907,2022
228,2022-04-25,36716.65,35533.05,1183.5999999999985,35627.6,50%,36219.399999999994,35035.8,high,35000,2022-05-12,10,BANKNIFTY2251235000PE,2022-05-02 15:00:00,188.25,2022-05-04 14:11:00,376.0,SL Hit,-187.75,165.6570788030724,-31102.116545276844,-3.110211654527684,2022
229,2022-04-25,36716.65,35533.05,1183.5999999999985,35627.6,50%,36219.399999999994,35035.8,low,36200,2022-05-12,6,BANKNIFTY2251236200CE,2022-05-06 09:15:00,54.2,2022-05-06 15:20:00,29.25,Friday Closing,24.950000000000003,165.6570788030724,4133.144116136657,0.4133144116136658,2022
230,2022-05-02,36302.45,34353.4,1949.0499999999956,34091.75,50%,35066.274999999994,33117.225000000006,low,35100,2022-05-19,6,BANKNIFTY2251935100CE,2022-05-13 15:09:00,22.0,2022-05-13 15:20:00,24.0,Friday Closing,-2.0,171.10457269841183,-342.20914539682366,-0.034220914539682366,2022
