,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,PnL,Hedge PnL,Total PnL,Total ROI%,Trade Year,ROI%
180,180,2019-08-05,28602.2,27390.5,1211.7000000000007,28356.8,20%,28599.14,28114.46,low,28600,2019-08-22,9,BANKNIFTY1982228600CE,2019-08-13 09:17:00,172.75,2019-08-16 15:20:00,104.0,Friday Closing,68.75,209.7965183568457,28900,BANKNIFTY1982228900CE,91.55,44.0,-47.55,14423.51063703314,-9975.824447868012,4447.68618916513,1.779074475666052,2019,1.442351063703314
181,181,2019-08-12,28356.8,27683.85,672.9500000000007,28331.25,20%,28465.84,28196.66,high,28200,2019-08-29,10,BANKNIFTY19AUG28200PE,2019-08-19 10:47:00,243.2,2019-08-21 14:47:00,613.0,SL Hit,-369.8,210.77895470500783,27900,BANKNIFTY19AUG27900PE,154.9,426.8,271.9,-77946.0574499119,57310.79778429162,-20635.259665620277,-8.254103866248109,2019,-7.794605744991189
182,182,2019-08-12,28356.8,27683.85,672.9500000000007,28331.25,20%,28465.84,28196.66,low,28500,2019-08-29,10,BANKNIFTY19AUG28500CE,2019-08-19 14:40:00,223.75,2019-08-23 15:20:00,20.0,Friday Closing,203.75,210.77895470500783,28800,BANKNIFTY19AUG28800CE,135.6,10.95,-124.65,42946.212021145344,-26273.596703979223,16672.61531716612,6.669046126866449,2019,4.294621202114534
183,183,2019-08-19,28468.25,26563.1,1905.1500000000012,27663.95,20%,28044.98,27282.92,high,27300,2019-09-05,9,BANKNIFTY1990527300PE,2019-08-27 09:15:00,97.9,2019-08-30 15:20:00,153.3,Friday Closing,-55.400000000000006,213.94203169337257,27000,BANKNIFTY1990527000PE,70.9,110.2,39.3,-11852.388555812842,8407.921845549541,-3444.466710263301,-1.3777866841053203,2019,-1.1852388555812843
184,184,2019-08-19,28468.25,26563.1,1905.1500000000012,27663.95,20%,28044.98,27282.92,low,28000,2019-09-05,10,BANKNIFTY1990528000CE,2019-08-26 09:32:00,146.3,2019-08-30 15:20:00,90.3,Friday Closing,56.000000000000014,213.94203169337257,28300,BANKNIFTY1990528300CE,95.95,42.35,-53.6,11980.753774828869,-11467.29289876477,513.4608760640967,0.2053843504256386,2019,1.198075377482887
185,185,2019-08-26,28273.95,26864.5,1409.4500000000007,27239.2,20%,27521.09,26957.31,low,27500,2019-09-12,9,BANKNIFTY1991227500CE,2019-09-03 09:32:00,201.0,2019-09-06 15:20:00,150.0,Friday Closing,51.0,218.01462078718535,27800,BANKNIFTY1991227800CE,123.85,67.0,-56.85,11118.745660146456,-12394.131191751489,-1275.3855316050322,-0.5101542126420129,2019,1.1118745660146456
186,186,2019-09-09,28124.9,26995.5,1129.4000000000017,27868.0,20%,28093.88,27642.12,high,27600,2019-09-26,6,BANKNIFTY19SEP27600PE,2019-09-20 11:27:00,153.3,2019-09-20 15:20:00,28.7,Friday Closing,124.6,213.5696457733855,27300,BANKNIFTY19SEP27300PE,97.6,24.4,-73.19999999999999,26610.77786336384,-15633.298070611816,10977.47979275202,4.390991917100808,2019,2.661077786336384
187,187,2019-09-09,28124.9,26995.5,1129.4000000000017,27868.0,20%,28093.88,27642.12,low,28100,2019-09-26,9,BANKNIFTY19SEP28100CE,2019-09-17 10:16:00,186.6,2019-09-20 11:28:00,488.0,SL Hit,-301.4,213.5696457733855,28400,BANKNIFTY19SEP28400CE,103.0,333.0,230.0,-64369.89123609839,49121.01852787867,-15248.872708219722,-6.099549083287889,2019,-6.436989123609839
188,188,2019-09-16,29417.3,26645.15,2772.149999999998,30039.4,20%,30593.83,29484.97,high,29500,2019-10-03,10,BANKNIFTY19100329500PE,2019-09-23 12:38:00,226.6,2019-09-27 15:20:00,210.0,Friday Closing,16.599999999999994,196.1179754218416,29200,BANKNIFTY19100329200PE,205.0,138.05,-66.94999999999999,3255.558392002569,-13130.098454492292,-9874.540062489725,-3.949816024995889,2019,0.3255558392002569
189,189,2019-09-16,29417.3,26645.15,2772.149999999998,30039.4,20%,30593.83,29484.97,low,30600,2019-10-03,8,BANKNIFTY19100330600CE,2019-09-25 14:37:00,92.3,2019-09-25 14:37:00,92.3,SL Hit,0.0,196.1179754218416,30900,BANKNIFTY19100330900CE,60.0,60.0,0.0,0.0,0.0,0.0,0.0,2019,0.0
