,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown
206,2022-04-15,37123.25,35931.25,1192.0,36514.15,50%,37110.15,35918.15,low,37100,2022-04-28,3,BANKNIFTY22APR37100CE,CE,2022-04-25 09:15:00,37.8,2022-04-28 15:30:00,0.05,Expiry Closing,37.75,0.37849999999999995,37.3715,188.62763960803176,7120.693395203199,7049.297833611558,0.7120693395203198,0.7049297833611559,2022,67.7192411382321,67.7192411382321,0.0
207,2022-04-22,36603.7,35533.05,1070.6499999999942,36474.05,50%,37009.375,35938.725000000006,low,37000,2022-05-05,3,BANKNIFTY2250537000CE,CE,2022-05-02 09:15:00,49.0,2022-05-05 15:30:00,0.05,Expiry Closing,48.95,0.4905,48.459500000000006,189.1412648822089,9258.464915984126,9165.691125559404,0.9258464915984126,0.9165691125559404,2022,68.64508762983053,68.64508762983053,0.0
208,2022-05-06,34797.75,33300.05,1497.699999999997,33925.95,50%,34674.799999999996,33177.1,low,34700,2022-05-19,6,BANKNIFTY2251934700CE,CE,2022-05-13 14:56:00,47.0,2022-05-19 15:30:00,0.05,Expiry Closing,46.95,0.4705,46.4795,201.87571377484517,9478.064761728981,9383.082238397916,0.9478064761728981,0.9383082238397916,2022,69.59289410600343,69.59289410600343,0.0
209,2022-05-13,34654.2,33009.05,1645.1499999999942,33765.15,50%,34587.725,32942.575000000004,high,32900,2022-05-26,3,BANKNIFTY22MAY32900PE,PE,2022-05-23 09:49:00,47.7,2022-05-26 15:30:00,0.05,Friday Closing,47.650000000000006,0.47750000000000004,47.17250000000001,202.38393823242205,9643.594656774912,9546.95632626893,0.9643594656774913,0.954695632626893,2022,65.1937734317545,65.1937734317545,0.0
210,2022-05-27,36083.45,35287.8,795.6499999999942,35929.55,50%,36327.375,35531.725000000006,low,36300,2022-06-09,6,BANKNIFTY2260936300CE,CE,2022-06-03 13:00:00,177.5,2022-06-09 15:30:00,0.05,Expiry Closing,177.45,1.7755,175.6745,192.69215020353107,34193.222053616584,33851.097140930215,3.419322205361658,3.3851097140930215,2022,73.01221631136508,73.01221631136508,0.0
211,2022-06-03,35952.8,34660.4,1292.4000000000015,34686.95,50%,35333.149999999994,34040.75,low,35300,2022-06-16,3,BANKNIFTY2261635300CE,CE,2022-06-13 09:15:00,20.85,2022-06-16 15:30:00,0.05,Expiry Closing,20.8,0.20900000000000002,20.591,198.11423549839176,4120.7760983665485,4079.370223147385,0.41207760983665487,0.4079370223147385,2022,73.42429392120174,73.42429392120174,0.0
212,2022-06-10,34744.9,32542.7,2202.2000000000007,32393.45,50%,33494.55,31292.35,high,31300,2022-06-23,2,BANKNIFTY2262331300PE,PE,2022-06-21 13:09:00,11.85,2022-06-23 15:30:00,0.05,Friday Closing,11.799999999999999,0.11900000000000001,11.681,208.98922361996205,2466.072838715552,2441.2031211047765,0.24660728387155517,0.24412031211047766,2022,65.44038071562605,65.44038071562605,0.0
213,2022-06-17,33592.9,32298.0,1294.9000000000015,33434.8,50%,34082.25,32787.350000000006,high,32800,2022-06-30,3,BANKNIFTY22JUN32800PE,PE,2022-06-27 09:15:00,54.35,2022-06-30 15:30:00,0.1,Friday Closing,54.25,0.5445000000000001,53.7055,205.385501250651,11142.163442847817,11030.331037416838,1.1142163442847817,1.1030331037416838,2022,66.55459705991082,66.55459705991082,0.0
214,2022-06-24,34134.8,33180.7,954.1000000000058,33264.75,50%,33741.8,32787.7,high,32800,2022-07-07,3,BANKNIFTY2270732800PE,PE,2022-07-04 09:15:00,85.75,2022-07-07 15:30:00,0.05,Friday Closing,85.7,0.858,84.842,207.45781197209394,17779.13448600845,17601.135683336393,1.777913448600845,1.7601135683336393,2022,68.33251050851167,68.33251050851167,0.0
215,2022-07-08,35541.6,34558.45,983.1500000000015,34734.45,50%,35226.024999999994,34242.875,high,34200,2022-07-21,3,BANKNIFTY2272134200PE,PE,2022-07-18 14:23:00,30.6,2022-07-21 15:30:00,0.05,Friday Closing,30.55,0.30650000000000005,30.2435,198.7167158372255,6070.79566882724,6009.88899542313,0.6070795668827239,0.6009888995423129,2022,68.93959007539439,68.93959007539439,0.0
216,2022-07-29,38230.55,37223.4,1007.1500000000015,37868.25,50%,38371.825,37364.675,high,37400,2022-08-11,1,BANKNIFTY2281137400PE,PE,2022-08-10 09:21:00,33.25,2022-08-11 15:30:00,0.05,Friday Closing,33.2,0.33299999999999996,32.867000000000004,182.42551663883594,6056.527152409354,5995.779455368622,0.6056527152409354,0.5995779455368622,2022,69.54524279063533,69.54524279063533,0.0
217,2022-08-12,39703.4,38739.95,963.4500000000044,39732.65,50%,40214.375,39250.925,low,40200,2022-08-25,6,BANKNIFTY22AUG40200CE,CE,2022-08-19 11:09:00,71.55,2022-08-25 15:30:00,0.1,Expiry Closing,71.45,0.7164999999999999,70.7335,174.0671090872356,12437.094944282984,12312.37586062198,1.2437094944282985,1.231237586062198,2022,74.66800341563003,74.66800341563003,0.0
218,2022-08-19,39750.9,37955.45,1795.4500000000044,39129.65,50%,40027.375,38231.925,low,40000,2022-09-01,3,BANKNIFTY2290140000CE,CE,2022-08-29 09:15:00,17.35,2022-09-01 15:30:00,0.15,Expiry Closing,17.200000000000003,0.17500000000000002,17.025000000000002,174.88031628354344,3007.9414400769474,2977.3373847273274,0.3007941440076947,0.2977337384727327,2022,74.96879755963772,74.96879755963772,0.0
219,2022-09-02,40265.3,39203.4,1061.9000000000015,40520.75,50%,41051.7,39989.8,high,40000,2022-09-15,1,BANKNIFTY2291540000PE,PE,2022-09-14 11:47:00,41.65,2022-09-15 15:30:00,0.15,Friday Closing,41.5,0.418,41.082,170.5166899300151,7076.442632095627,7005.16665570488,0.7076442632095628,0.700516665570488,2022,70.25288705384489,70.25288705384489,0.0
220,2022-09-16,41676.75,40361.05,1315.699999999997,40429.35,50%,41087.2,39771.5,low,41100,2022-09-29,6,BANKNIFTY22SEP41100CE,CE,2022-09-23 10:14:00,107.25,2022-09-29 15:30:00,0.05,Expiry Closing,107.2,1.073,106.12700000000001,170.3693607741584,18263.59547498978,18080.78915087911,1.826359547498978,1.808078915087911,2022,76.7951571071367,76.7951571071367,0.0
221,2022-09-23,40528.3,37537.1,2991.2000000000044,37660.0,50%,39155.600000000006,36164.399999999994,high,36200,2022-10-06,2,BANKNIFTY22100636200PE,PE,2022-10-04 12:38:00,5.5,2022-10-06 15:30:00,0.05,Friday Closing,5.45,0.0555,5.3945,178.77391739623448,974.3178498094779,964.3958973939868,0.09743178498094779,0.09643958973939869,2022,70.35031883882584,70.35031883882584,0.0
222,2022-10-07,39315.65,38439.35,876.3000000000029,39446.05,50%,39884.200000000004,39007.9,high,39000,2022-10-20,3,BANKNIFTY22102039000PE,PE,2022-10-17 14:59:00,107.1,2022-10-20 15:30:00,0.1,Friday Closing,107.0,1.0719999999999998,105.928,175.50809593773974,18779.36626533815,18591.221586492895,1.877936626533815,1.8591221586492894,2022,72.22825546535965,72.22825546535965,0.0
223,2022-10-14,40621.55,39148.2,1473.3500000000058,40370.75,50%,41107.425,39634.075,high,39600,2022-10-27,3,BANKNIFTY22OCT39600PE,PE,2022-10-24 18:15:00,20.15,2022-10-27 15:30:00,0.05,Friday Closing,20.099999999999998,0.20199999999999999,19.897999999999996,170.28553843983173,3422.7393226406175,3388.341643875771,0.3422739322640618,0.3388341643875771,2022,72.57052939762372,72.57052939762372,0.0
224,2022-10-28,41674.1,40840.25,833.8499999999985,41314.85,50%,41731.774999999994,40897.925,high,40900,2022-11-10,3,BANKNIFTY22111040900PE,PE,2022-11-07 09:15:00,51.65,2022-11-10 15:30:00,0.15,Friday Closing,51.5,0.518,50.982,167.73789276875956,8638.501477591117,8551.6132491369,0.8638501477591117,0.8551613249136901,2022,73.43437954538282,73.43437954538282,0.0
225,2022-11-25,43512.1,42757.2,754.9000000000015,42976.7,50%,43354.149999999994,42599.25,high,42600,2022-12-08,3,BANKNIFTY22120842600PE,PE,2022-12-05 15:11:00,40.7,2022-12-08 15:30:00,0.1,Friday Closing,40.6,0.40800000000000003,40.192,161.46089820697674,6555.312467203255,6489.436420734809,0.6555312467203256,0.6489436420734809,2022,74.08991079210315,74.08991079210315,0.0
226,2022-12-02,43634.0,42938.05,695.9499999999971,43765.3,50%,44113.275,43417.325000000004,high,43400,2022-12-15,1,BANKNIFTY22121543400PE,PE,2022-12-14 11:18:00,24.35,2022-12-15 15:30:00,0.2,Friday Closing,24.150000000000002,0.24550000000000002,23.904500000000002,158.68239209172296,3832.1797690151097,3793.223241756592,0.38321797690151094,0.3793223241756592,2022,74.47312876900466,74.47312876900466,0.0
