,Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
531,SHORT,2018-10-16 14:45:00,25610.95,25803.032125,2018-10-17 09:15:00,25803.032125,-192.08212500000081,5.1413982125,510,-197.22352321250082,-100583.99683837542,-2.0116799367675084,0 days 18:30:00,ISL Hit,2018
532,LONG,2018-10-17 11:15:00,25652.35,25459.957374999998,2018-10-17 11:30:00,25622.1,-30.25,5.127445,510,-35.377445,-18042.49695,-0.360849939,0 days 00:15:00,MA Cross Opp,2018
533,SHORT,2018-10-17 11:30:00,25622.1,25814.26575,2018-10-22 10:00:00,25245.65,376.4499999999971,5.086775,510,371.3632249999971,189395.24474999853,3.7879048949999703,4 days 22:30:00,MA Cross Opp,2018
534,LONG,2018-10-22 10:00:00,25245.65,25056.307625,2018-10-22 14:15:00,25238.75,-6.900000000001455,5.04844,510,-11.948440000001455,-6093.704400000742,-0.12187408800001483,0 days 04:15:00,MA Cross Opp,2018
535,SHORT,2018-10-22 14:15:00,25238.75,25428.040625,2018-10-24 09:15:00,25225.55,13.200000000000728,5.046430000000001,510,8.153570000000727,4158.32070000037,0.0831664140000074,1 days 19:00:00,MA Cross Opp W Gap Exit,2018
536,LONG,2018-10-24 10:00:00,25217.05,25027.922125,2018-10-24 13:45:00,25027.922125,-189.1278749999983,5.0244972125,510,-194.1523722124983,-99017.70982837414,-1.9803541965674825,0 days 03:45:00,ISL Hit,2018
537,SHORT,2018-10-24 13:45:00,25105.1,25293.38825,2018-10-26 13:15:00,24705.25,399.84999999999854,4.981035,510,394.8689649999985,201383.17214999924,4.027663442999985,1 days 23:30:00,MA Cross Opp,2018
538,LONG,2018-10-26 13:15:00,24705.25,24519.960625,2018-10-26 13:30:00,24664.7,-40.54999999999927,4.936995,540,-45.48699499999927,-24562.977299999606,-0.49125954599999216,0 days 00:15:00,MA Cross Opp,2018
539,SHORT,2018-10-26 13:30:00,24664.7,24849.685250000002,2018-10-29 11:30:00,24587.5,77.20000000000073,4.92522,540,72.27478000000073,39028.381200000396,0.7805676240000079,2 days 22:00:00,MA Cross Opp,2018
540,LONG,2018-10-29 11:30:00,24587.5,24403.09375,2018-10-30 12:15:00,24931.95,344.4500000000007,4.951945,540,339.4980550000007,183328.94970000038,3.6665789940000075,1 days 00:45:00,MA Cross Opp,2018
541,SHORT,2018-10-30 12:15:00,24931.95,25118.939625000003,2018-10-31 12:45:00,24857.45,74.5,4.978940000000001,510,69.52106,35455.740600000005,0.709114812,1 days 00:30:00,MA Cross Opp,2018
542,LONG,2018-10-31 12:45:00,24857.45,24671.019125000003,2018-11-02 15:15:00,25709.05,851.5999999999985,5.05665,510,846.5433499999986,431737.1084999993,8.634742169999985,2 days 02:30:00,MA Cross Opp,2018
543,SHORT,2018-11-02 15:15:00,25709.05,25901.867875,2018-11-05 13:15:00,25688.85,20.200000000000728,5.13979,510,15.060210000000728,7680.707100000372,0.15361414200000745,2 days 22:00:00,MA Cross Opp,2018
544,LONG,2018-11-05 13:15:00,25688.85,25496.183625,2018-11-06 14:15:00,25596.1,-92.75,5.128495,510,-97.878495,-49918.03245,-0.998360649,1 days 01:00:00,MA Cross Opp,2018
545,SHORT,2018-11-06 14:15:00,25596.1,25788.07075,2018-11-07 17:30:00,25788.07075,-191.9707500000004,5.138417075,510,-197.1091670750004,-100525.6752082502,-2.010513504165004,1 days 03:15:00,ISL Hit,2018
546,SHORT,2018-11-07 18:15:00,25719.1,25911.99325,2018-11-09 09:30:00,25742.55,-23.450000000000728,5.146165,510,-28.596165000000727,-14584.04415000037,-0.29168088300000744,1 days 15:15:00,MA Cross Opp,2018
547,LONG,2018-11-09 09:30:00,25742.55,25549.480875,2018-11-09 13:15:00,25708.0,-34.54999999999927,5.145055,510,-39.69505499999927,-20244.478049999627,-0.4048895609999925,0 days 03:45:00,MA Cross Opp,2018
548,SHORT,2018-11-09 13:15:00,25708.0,25900.81,2018-11-12 09:15:00,25900.81,-192.8100000000013,5.160881,510,-197.9708810000013,-100965.14931000066,-2.0193029862000134,2 days 20:00:00,ISL Hit,2018
549,LONG,2018-11-12 09:15:00,25817.85,25624.216125,2018-11-12 11:00:00,25708.4,-109.44999999999709,5.1526250000000005,510,-114.60262499999709,-58447.33874999852,-1.1689467749999702,0 days 01:45:00,MA Cross Opp,2018
550,SHORT,2018-11-12 11:00:00,25708.4,25901.213000000003,2018-11-13 13:00:00,25536.1,172.3000000000029,5.12445,510,167.17555000000291,85259.53050000149,1.7051906100000298,1 days 02:00:00,MA Cross Opp,2018
551,LONG,2018-11-13 13:00:00,25536.1,25344.57925,2018-11-14 14:15:00,25841.2,305.1000000000022,5.13773,510,299.9622700000022,152980.75770000112,3.0596151540000225,1 days 01:15:00,MA Cross Opp,2018
552,SHORT,2018-11-14 14:15:00,25841.2,26035.009000000002,2018-11-15 11:15:00,25995.25,-154.04999999999927,5.183645,510,-159.23364499999929,-81209.15894999963,-1.6241831789999928,0 days 21:00:00,MA Cross Opp,2018
553,LONG,2018-11-15 11:15:00,25995.25,25800.285625,2018-11-16 12:45:00,26195.8,200.54999999999927,5.219105000000001,510,195.33089499999926,99618.75644999962,1.9923751289999923,1 days 01:30:00,MA Cross Opp,2018
554,SHORT,2018-11-16 12:45:00,26195.8,26392.268500000002,2018-11-16 13:00:00,26235.8,-40.0,5.2431600000000005,480,-45.24316,-21716.716800000002,-0.43433433600000004,0 days 00:15:00,MA Cross Opp,2018
555,LONG,2018-11-16 13:00:00,26235.8,26039.0315,2018-11-16 14:45:00,26169.3,-66.5,5.2405100000000004,480,-71.74051,-34435.4448,-0.688708896,0 days 01:45:00,MA Cross Opp,2018
556,SHORT,2018-11-16 14:45:00,26169.3,26365.569750000002,2018-11-16 15:00:00,26245.45,-76.15000000000146,5.241475,510,-81.39147500000145,-41509.65225000074,-0.8301930450000149,0 days 00:15:00,MA Cross Opp,2018
557,LONG,2018-11-16 15:00:00,26245.45,26048.609125000003,2018-11-20 10:00:00,26213.1,-32.35000000000218,5.245855000000001,480,-37.59585500000218,-18046.010400001047,-0.36092020800002095,3 days 19:00:00,MA Cross Opp,2018
558,SHORT,2018-11-20 10:00:00,26213.1,26409.69825,2018-11-21 12:15:00,26177.95,35.14999999999782,5.239105,480,29.910894999997815,14357.229599998951,0.287144591999979,1 days 02:15:00,MA Cross Opp,2018
559,LONG,2018-11-21 12:15:00,26177.95,25981.615375,2018-11-22 11:45:00,26242.0,64.04999999999927,5.241995,480,58.80800499999927,28227.84239999965,0.564556847999993,0 days 23:30:00,MA Cross Opp,2018
560,SHORT,2018-11-22 11:45:00,26242.0,26438.815000000002,2018-11-26 12:45:00,26175.7,66.29999999999927,5.24177,480,61.05822999999927,29307.95039999965,0.586159007999993,4 days 01:00:00,MA Cross Opp,2018
561,LONG,2018-11-26 12:45:00,26175.7,25979.382250000002,2018-11-27 12:30:00,26324.1,148.39999999999782,5.249980000000001,480,143.15001999999782,68712.00959999896,1.3742401919999792,0 days 23:45:00,MA Cross Opp,2018
562,SHORT,2018-11-27 12:30:00,26324.1,26521.53075,2018-11-27 13:45:00,26423.1,-99.0,5.27472,480,-104.27472,-50051.865600000005,-1.001037312,0 days 01:15:00,MA Cross Opp,2018
563,LONG,2018-11-27 13:45:00,26423.1,26224.92675,2018-11-28 14:15:00,26445.4,22.30000000000291,5.28685,480,17.01315000000291,8166.312000001397,0.16332624000002793,1 days 00:30:00,MA Cross Opp,2018
564,SHORT,2018-11-28 14:15:00,26445.4,26643.740500000004,2018-11-29 09:45:00,26627.8,-182.39999999999782,5.30732,480,-187.70731999999782,-90099.51359999896,-1.8019902719999794,0 days 19:30:00,MA Cross Opp,2018
565,LONG,2018-11-29 09:45:00,26627.8,26428.091500000002,2018-11-30 11:30:00,26872.15,244.35000000000218,5.349995,480,239.00000500000218,114720.00240000105,2.294400048000021,1 days 01:45:00,MA Cross Opp,2018
566,SHORT,2018-11-30 11:30:00,26872.15,27073.691125000005,2018-12-03 09:15:00,26888.8,-16.649999999997817,5.376095,480,-22.026094999997817,-10572.525599998951,-0.211450511999979,2 days 21:45:00,MA Cross Opp,2018
567,LONG,2018-12-03 09:45:00,26916.15,26714.278875000004,2018-12-03 12:15:00,26816.15,-100.0,5.37323,480,-105.37323,-50579.150400000006,-1.0115830080000001,0 days 02:30:00,MA Cross Opp,2018
568,SHORT,2018-12-03 12:15:00,26816.15,27017.271125000003,2018-12-04 15:00:00,26718.75,97.40000000000146,5.353490000000001,480,92.04651000000146,44182.3248000007,0.8836464960000141,1 days 02:45:00,MA Cross Opp,2018
569,LONG,2018-12-04 15:00:00,26718.75,26518.359375,2018-12-05 09:30:00,26518.359375,-200.390625,5.3237109375000005,480,-205.7143359375,-98742.88125,-1.974857625,0 days 18:30:00,ISL Hit,2018
570,SHORT,2018-12-05 09:30:00,26531.05,26730.032875,2018-12-07 09:30:00,26348.9,182.14999999999782,5.287995,480,176.86200499999782,84893.76239999896,1.6978752479999792,2 days 00:00:00,MA Cross Opp,2018
571,LONG,2018-12-07 09:30:00,26348.9,26151.283250000004,2018-12-07 14:15:00,26395.85,46.94999999999709,5.274475000000001,480,41.67552499999709,20004.251999998603,0.40008503999997214,0 days 04:45:00,MA Cross Opp,2018
572,SHORT,2018-12-07 14:15:00,26395.85,26593.818875,2018-12-07 14:45:00,26482.85,-87.0,5.28787,480,-92.28787,-44298.177599999995,-0.8859635519999999,0 days 00:30:00,MA Cross Opp,2018
