Trade Type,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Points Captured,Slippage,Qty,Final Points,PnL,ROI%,Trade Duration,Remarks,Trade Year
SHORT,2018-10-25 09:15:00,25069.75,25320.447500000002,2018-10-29 12:15:00,24700.85,368.90000000000146,4.97706,1170,363.92294000000146,425789.8398000017,4.257898398000017,4 days 03:00:00,MA Cross Opp,2018
LONG,2018-10-29 12:15:00,24700.85,24453.8415,2018-10-30 14:15:00,24890.0,189.15000000000146,4.959085,1200,184.19091500000147,221029.09800000177,2.2102909800000177,1 days 02:00:00,MA Cross Opp,2018
SHORT,2018-10-30 14:15:00,24890.0,25138.9,2018-10-31 14:15:00,25013.8,-123.79999999999927,4.990380000000001,1200,-128.79037999999926,-154548.4559999991,-1.5454845599999911,1 days 00:00:00,MA Cross Opp,2018
LONG,2018-10-31 14:15:00,25013.8,24763.662,2018-11-05 11:15:00,25604.55,590.75,5.061835,1170,585.688165,685255.1530500001,6.8525515305,4 days 21:00:00,MA Cross Opp,2018
SHORT,2018-11-05 11:15:00,25604.55,25860.5955,2018-11-05 15:15:00,25706.35,-101.79999999999927,5.1310899999999995,1170,-106.93108999999927,-125109.37529999916,-1.2510937529999915,0 days 04:00:00,MA Cross Opp,2018
LONG,2018-11-05 15:15:00,25706.35,25449.2865,2018-11-06 14:15:00,25565.25,-141.09999999999854,5.12716,1140,-146.22715999999855,-166698.96239999833,-1.6669896239999833,0 days 23:00:00,MA Cross Opp,2018
SHORT,2018-11-06 14:15:00,25565.25,25820.9025,2018-11-09 14:15:00,25755.15,-189.90000000000146,5.132040000000001,1170,-195.03204000000144,-228187.4868000017,-2.281874868000017,3 days 00:00:00,MA Cross Opp,2018
LONG,2018-11-09 14:15:00,25755.15,25497.5985,2018-11-12 09:15:00,25740.7,-14.450000000000728,5.149585000000001,1140,-19.59958500000073,-22343.52690000083,-0.2234352690000083,2 days 19:00:00,MA Cross Opp,2018
SHORT,2018-11-12 09:15:00,25740.7,25998.107,2018-11-12 11:15:00,25755.3,-14.599999999998545,5.1496,1140,-19.749599999998544,-22514.54399999834,-0.2251454399999834,0 days 02:00:00,MA Cross Opp,2018
LONG,2018-11-12 11:15:00,25755.3,25497.747,2018-11-12 12:15:00,25693.45,-61.849999999998545,5.144875,1140,-66.99487499999854,-76374.15749999834,-0.7637415749999834,0 days 01:00:00,MA Cross Opp,2018
SHORT,2018-11-12 12:15:00,25693.45,25950.3845,2018-11-13 14:15:00,25728.8,-35.349999999998545,5.142225,1140,-40.49222499999854,-46161.136499998334,-0.46161136499998334,1 days 02:00:00,MA Cross Opp,2018
LONG,2018-11-13 14:15:00,25728.8,25471.512,2018-11-15 09:15:00,25892.85,164.04999999999927,5.162165,1140,158.88783499999928,181132.1318999992,1.8113213189999917,1 days 19:00:00,MA Cross Opp,2018
SHORT,2018-11-15 09:15:00,25892.85,26151.7785,2018-11-15 11:15:00,25999.35,-106.5,5.18922,1140,-111.68922,-127325.7108,-1.273257108,0 days 02:00:00,MA Cross Opp,2018
LONG,2018-11-15 11:15:00,25999.35,25739.356499999998,2018-11-20 11:15:00,26149.5,150.15000000000146,5.214885,1140,144.93511500000145,165226.03110000165,1.6522603110000165,5 days 00:00:00,MA Cross Opp,2018
SHORT,2018-11-20 11:15:00,26149.5,26410.995,2018-11-21 13:15:00,26289.4,-139.90000000000146,5.24389,1140,-145.14389000000145,-165464.03460000164,-1.6546403460000163,1 days 02:00:00,MA Cross Opp,2018
