Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2021-07-16 10:15:00,LONG,2021-07-16 10:45:00,35835.5,35297.9675,35297.9675,2021-07-16 11:45:00,35732.35,-103.15000000000146,-110.30678500000144,-153877.96507500202,MACD Reversal,1395,5,-1.5387796507500202,2021,7,BANKNIFTY,60000000,20000000.0,2790.0,-307755.93015000405,-0.5129265502500067
2021-07-22 12:15:00,LONG,2021-07-22 13:15:00,15822.35,15717.92249,15794.131254882752,2021-07-27 12:15:00,15717.92249,-104.42751000000136,-110.73556449800137,-348817.02816870424,Initial SL hit,3150,5,-3.488170281687043,2021,7,NIFTY,60000000,20000000.0,6300.0,-697634.0563374086,-1.1627234272290143
2021-07-23 12:15:00,LONG,2021-07-23 13:15:00,16605.09960938,16472.25881250496,16472.25881250496,2021-07-26 09:15:00,16472.25881250496,-132.8407968750398,-139.4562685594168,-418368.8056782504,Initial SL Hit,3000,5,-4.183688056782504,2021,7,FINNIFTY,60000000,20000000.0,6000.0,-836737.6113565008,-1.394562685594168
2021-07-23 12:15:00,LONG,2021-07-23 12:45:00,34868.05078125,34345.03001953125,34993.66333333333,2021-07-26 14:15:00,34949.2,81.14921874999709,74.1674936718721,106801.19088749582,TSL Hit,1440,5,1.0680119088749582,2021,7,BANKNIFTY,60000000,20000000.0,2880.0,213602.38177499163,0.35600396962498604
2021-07-26 09:15:00,LONG,2021-07-26 10:15:00,16588.2,16455.4944,16455.4944,2021-07-27 13:15:00,16540.25,-47.95000000000073,-54.575690000000726,-165091.4622500022,MACD Reversal,3025,5,-1.650914622500022,2021,7,FINNIFTY,60000000,20000000.0,6050.0,-330182.9245000044,-0.550304874166674
2021-07-27 09:15:00,LONG,2021-07-27 09:45:00,35169.7,34642.1545,35016.66333333333,2021-07-27 12:15:00,34902.2,-267.5,-274.50719,-391172.74575,TSL Hit,1425,5,-3.911727457499999,2021,7,BANKNIFTY,60000000,20000000.0,2850.0,-782345.4914999999,-1.3039091525
2021-07-29 11:15:00,LONG,2021-07-29 12:15:00,15801.8,15697.50812,15790.230004882753,2021-07-30 14:15:00,15748.95,-52.84999999999855,-59.16014999999855,-187833.47624999535,TSL Hit,3175,5,-1.8783347624999536,2021,7,NIFTY,60000000,20000000.0,6350.0,-375666.9524999908,-0.6261115874999847
2021-07-29 12:45:00,LONG,2021-07-29 13:15:00,34663.7,34143.74449999999,34649.486666666664,2021-07-30 09:15:00,34590.3,-73.39999999999418,-80.32539999999418,-115668.57599999162,TSL Hit,1440,5,-1.156685759999916,2021,7,BANKNIFTY,60000000,20000000.0,2880.0,-231337.15199998324,-0.385561919999972
2021-07-29 15:15:00,LONG,2021-07-30 09:15:00,16537.35,16405.051199999998,16405.051199999998,2021-07-30 10:15:00,16449.1,-88.25,-94.84729,-286913.05225,MACD Reversal,3025,5,-2.8691305225000003,2021,7,FINNIFTY,60000000,20000000.0,6050.0,-573826.1045,-0.9563768408333334
2021-08-02 10:15:00,LONG,2021-08-02 11:15:00,16553.25,16420.824,16926.832307692308,2021-08-11 10:15:00,17051.4,498.1500000000015,491.4290700000015,1486572.9367500043,MACD Reversal,3025,5,14.865729367500045,2021,8,FINNIFTY,60000000,20000000.0,6050.0,2973145.873500009,4.955243122500015
