,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month
130,2019-09-26 09:15:00,LONG,2019-09-26 10:15:00,13323.25,13216.664,13216.664,2019-09-30 09:15:00,13216.664,-106.58599999999933,-111.89398279999934,-419602.4354999975,Initial SL hit,3750,5,-4.196024354999976,2019,9
131,2019-10-09 13:15:00,LONG,2019-10-09 14:15:00,12868.2,12765.2544,12765.2544,2019-10-10 09:15:00,12765.2544,-102.94560000000092,-108.07229088000092,-418780.1271600036,Initial SL Hit,3875,5,-4.187801271600035,2019,10
132,2019-10-10 11:15:00,LONG,2019-10-10 12:15:00,12759.55,12657.4736,12657.4736,2019-10-10 12:15:00,12698.0,-61.54999999999927,-66.64150999999927,-261567.92674999713,MACD Reversal,3925,5,-2.6156792674999716,2019,10
133,2019-10-11 15:15:00,LONG,2019-10-14 09:15:00,12779.75,12677.512,13110.473076923077,2019-10-25 10:15:00,13330.7,550.9500000000007,545.7279100000007,2128338.8490000027,MACD Reversal,3900,5,21.28338849000003,2019,10
134,2019-10-27 19:00:00,LONG,2019-10-29 09:15:00,13408.35,13301.083200000001,13518.995384615386,2019-11-06 10:15:00,13583.75,175.39999999999964,170.00157999999965,633255.8854999987,MACD Reversal,3725,5,6.332558854999987,2019,10
135,2019-11-06 11:15:00,LONG,2019-11-06 12:15:00,13762.2,13652.1024,13749.416923076922,2019-11-13 14:15:00,13804.65,42.44999999999891,36.93662999999891,133895.28374999604,MACD Reversal,3625,5,1.3389528374999604,2019,11
136,2019-11-14 14:15:00,LONG,2019-11-14 15:15:00,13957.35,13845.691200000001,13946.552307692305,2019-11-20 15:15:00,13975.8,18.44999999999891,12.863369999998909,45986.5477499961,MACD Reversal,3575,5,0.45986547749996093,2019,11
137,2019-11-21 12:15:00,LONG,2019-11-21 13:15:00,14037.9,13925.5968,13962.904615384616,2019-11-22 09:15:00,13971.0,-66.89999999999964,-72.50177999999964,-257381.31899999874,MACD Reversal,3550,5,-2.573813189999987,2019,11
138,2019-11-25 10:15:00,LONG,2019-11-25 11:15:00,14048.1,13935.7152,14094.592307692308,2019-11-29 10:15:00,14174.9,126.79999999999927,121.15539999999928,430101.6699999974,MACD Reversal,3550,5,4.301016699999974,2019,11
139,2019-12-04 09:15:00,LONG,2019-12-04 10:15:00,14221.25,14107.48,14143.056153846153,2019-12-04 11:15:00,14140.6,-80.64999999999964,-86.32236999999964,-304286.3542499987,TSL Hit,3525,5,-3.0428635424999873,2019,12
140,2019-12-04 15:15:00,LONG,2019-12-05 09:15:00,14259.0,14144.928,14180.82230769231,2019-12-05 15:15:00,14176.35,-82.64999999999964,-88.33706999999964,-309179.7449999988,TSL Hit,3500,5,-3.0917974499999876,2019,12
141,2019-12-05 15:15:00,LONG,2019-12-06 09:15:00,14232.35,14118.4912,14188.334615384616,2019-12-06 10:15:00,14182.4,-49.95000000000073,-55.632950000000726,-196106.14875000255,TSL Hit,3525,5,-1.9610614875000254,2019,12
142,2019-12-11 13:15:00,LONG,2019-12-11 14:15:00,14137.7,14024.5984,14518.542307692307,2019-12-26 10:15:00,14597.45,459.75,454.00297,1600360.46925,MACD Reversal,3525,5,16.0036046925,2019,12
143,2019-12-27 10:15:00,LONG,2019-12-27 11:15:00,14652.95,14535.726400000001,14602.380000000001,2019-12-31 09:15:00,14587.15,-65.80000000000109,-71.6480200000011,-243603.26800000374,TSL Hit,3400,5,-2.436032680000037,2019,12
144,2020-01-02 11:15:00,LONG,2020-01-02 12:15:00,14646.05,14528.881599999999,14615.322307692308,2020-01-03 09:15:00,14614.2,-31.849999999998545,-37.70204999999854,-129129.52124999501,TSL Hit,3425,5,-1.2912952124999502,2020,1
145,2020-01-09 09:15:00,LONG,2020-01-09 10:15:00,14510.6,14394.5152,14500.530769230769,2020-01-15 11:15:00,14552.85,42.25,36.43731,125708.71949999999,MACD Reversal,3450,5,1.257087195,2020,1
146,2020-01-15 15:15:00,LONG,2020-01-16 09:15:00,14655.7,14538.4544,14538.4544,2020-01-17 11:15:00,14587.8,-67.90000000000146,-73.74870000000145,-250745.58000000493,MACD Reversal,3400,5,-2.507455800000049,2020,1
147,2020-01-24 09:15:00,LONG,2020-01-24 10:15:00,14360.7,14245.814400000001,14245.814400000001,2020-01-27 13:15:00,14304.1,-56.600000000000364,-62.33296000000036,-216607.03600000127,MACD Reversal,3475,5,-2.1660703600000124,2020,1
148,2020-01-28 11:15:00,LONG,2020-01-28 12:15:00,14383.3,14268.2336,14268.2336,2020-01-28 14:15:00,14268.2336,-115.0663999999997,-120.7967067199997,-419768.555851999,Initial SL Hit,3475,5,-4.197685558519989,2020,1
149,2020-01-29 10:15:00,LONG,2020-01-29 11:15:00,14398.45,14283.262400000001,14283.262400000001,2020-01-30 09:15:00,14283.262400000001,-115.18759999999929,-120.9239424799993,-420210.70011799753,Initial SL Hit,3475,5,-4.202107001179976,2020,1
