,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
328,2023-08-10 11:15:00,LONG,2023-08-10 12:15:00,19581.75,19452.510449999998,19529.03875,2023-08-10 15:15:00,19549.2,-32.54999999999927,-40.37618999999927,-14131.666499999745,MACD Reversal,350,7,-1.4131666499999744,2023,8,-17.56497656962995
329,2023-08-21 12:15:00,LONG,2023-08-21 13:15:00,19407.45,19279.36083,19386.88,2023-08-24 15:15:00,19380.4,-27.049999999999272,-34.807569999999274,-12182.649499999745,TSL Hit,350,7,-1.2182649499999745,2023,8,-18.783241519629883
330,2023-08-29 12:15:00,LONG,2023-08-29 13:15:00,19361.0,19233.217399999998,19370.594999999998,2023-08-30 14:15:00,19344.5,-16.5,-24.2411,-8484.385,TSL Hit,350,7,-0.8484385000000001,2023,8,-19.631680019629925
331,2023-08-30 15:15:00,LONG,2023-08-31 09:15:00,19352.5,19224.7735,19224.7735,2023-08-31 09:15:00,19347.3,-5.200000000000728,-12.939960000000728,-4528.9860000002545,MACD Reversal,350,7,-0.45289860000002546,2023,8,-20.08457861962995
332,2023-09-01 12:15:00,LONG,2023-09-01 13:15:00,19400.95,19272.903729999998,20078.541250000002,2023-09-20 09:15:00,19969.35,568.3999999999978,560.5259399999978,196184.07899999924,TSL Hit,350,7,19.618407899999923,2023,9,-0.4661707196299858
333,2023-09-27 15:15:00,LONG,2023-09-28 09:15:00,19730.05,19599.83167,19599.83167,2023-09-28 11:15:00,19629.8,-100.25,-108.12197,-37842.6895,MACD Reversal,350,7,-3.78426895,2023,9,-4.250439669629941
334,2023-09-29 13:15:00,LONG,2023-09-29 14:15:00,19718.8,19588.655919999997,19588.655919999997,2023-10-03 09:15:00,19588.655919999997,-130.14408000000185,-138.00557118400184,-48301.94991440064,Initial SL Hit,350,7,-4.830194991440064,2023,9,-9.080634661070007
335,2023-10-05 12:15:00,LONG,2023-10-05 13:15:00,19554.2,19425.14228,19550.79375,2023-10-09 12:15:00,19510.55,-43.650000000001455,-51.462950000001456,-18012.03250000051,TSL Hit,350,7,-1.801203250000051,2023,10,-10.881837911070079
336,2023-10-10 10:15:00,LONG,2023-10-10 11:15:00,19627.3,19497.75982,19678.9875,2023-10-13 10:15:00,19678.85,51.54999999999927,43.68876999999927,15291.069499999745,TSL Hit,350,7,1.5291069499999745,2023,10,-9.352730961070051
337,2023-10-13 13:15:00,LONG,2023-10-13 14:15:00,19784.6,19654.02164,19699.2075,2023-10-13 15:15:00,19733.75,-50.849999999998545,-58.75366999999854,-20563.78449999949,MACD Reversal,350,7,-2.056378449999949,2023,10,-11.409109411069949
338,2023-10-16 09:15:00,LONG,2023-10-16 10:15:00,19754.5,19624.1203,19715.96,2023-10-16 14:15:00,19730.45,-24.049999999999272,-31.94698999999927,-11181.446499999745,MACD Reversal,350,7,-1.1181446499999745,2023,10,-12.527254061069925
339,2023-10-17 11:15:00,LONG,2023-10-17 12:15:00,19836.2,19705.28108,19773.8975,2023-10-18 10:15:00,19724.9,-111.29999999999927,-119.21221999999928,-41724.27699999975,TSL Hit,350,7,-4.172427699999974,2023,10,-16.699681761069883
340,2023-10-30 12:15:00,LONG,2023-10-30 13:15:00,19128.65,19002.40091,19002.40091,2023-11-01 09:15:00,19044.1,-84.55000000000291,-92.18455000000291,-34569.206250001094,MACD Reversal,375,7,-3.4569206250001097,2023,10,-20.15660238606995
341,2023-11-02 12:15:00,LONG,2023-11-02 13:15:00,19112.75,18986.60585,19347.665,2023-11-10 09:15:00,19349.1,236.34999999999854,228.65762999999853,85746.61124999945,MACD Reversal,375,7,8.574661124999945,2023,11,-11.581941261070028
342,2023-11-10 14:15:00,LONG,2023-11-10 15:15:00,19425.85,19297.639389999997,19631.1725,2023-11-20 14:15:00,19690.65,264.8000000000029,256.9767000000029,89941.84500000102,MACD Reversal,350,7,8.994184500000102,2023,11,-2.5877567610699543
343,2023-11-21 10:15:00,LONG,2023-11-21 11:15:00,19783.85,19653.276589999998,19736.6125,2023-11-22 13:15:00,19735.8,-48.04999999999927,-55.953929999999275,-19583.875499999747,TSL Hit,350,7,-1.9583875499999748,2023,11,-4.546144311069952
344,2023-11-22 13:15:00,LONG,2023-11-22 14:15:00,19759.65,19629.23631,20931.115,2023-12-12 14:15:00,20903.2,1143.5499999999993,1135.4174299999993,397396.10049999977,TSL Hit,350,7,39.73961004999998,2023,11,0.0
345,2023-12-14 10:15:00,LONG,2023-12-14 11:15:00,21170.8,21031.072719999996,21289.251249999998,2023-12-20 14:15:00,21142.35,-28.450000000000728,-36.912630000000725,-11996.604750000235,TSL Hit,325,7,-1.1996604750000235,2023,12,-1.1996604749999733
346,2023-12-22 13:15:00,LONG,2023-12-22 14:15:00,21345.85,21204.967389999998,21621.35125,2024-01-02 10:15:00,21588.4,242.5500000000029,233.9631500000029,76038.02375000095,TSL Hit,325,7,7.603802375000096,2023,12,0.0
347,2024-01-04 12:15:00,LONG,2024-01-04 13:15:00,21672.7,21529.66018,21663.73125,2024-01-05 13:15:00,21649.2,-23.5,-32.16438,-10453.4235,TSL Hit,325,7,-1.04534235,2024,1,-1.0453423500000554
348,2024-01-05 13:15:00,LONG,2024-01-05 14:15:00,21699.45,21556.23363,21660.17,2024-01-08 10:15:00,21620.0,-79.45000000000073,-88.11389000000072,-28637.014250000237,TSL Hit,325,7,-2.863701425000024,2024,1,-3.9090437750001
349,2024-01-09 11:15:00,LONG,2024-01-09 12:15:00,21713.4,21570.09156,21629.6174902345,2024-01-09 14:15:00,21570.09156,-143.3084400000007,-151.9651383120007,-49388.66995140023,Initial SL hit,325,7,-4.938866995140023,2024,1,-8.847910770140174
350,2024-01-11 11:15:00,LONG,2024-01-11 12:15:00,21670.6,21527.574039999996,21629.4687402345,2024-01-11 13:15:00,21606.3,-64.29999999999927,-72.95537999999927,-23710.49849999976,TSL Hit,325,7,-2.371049849999976,2024,1,-11.218960620140138
351,2024-01-11 14:15:00,LONG,2024-01-11 15:15:00,21664.9,21521.91166,21813.3624902345,2024-01-17 09:15:00,21791.0,126.09999999999854,117.40881999999854,38157.86649999952,TSL Hit,325,7,3.8157866499999527,2024,1,-7.4031739701401875
352,2024-01-20 12:15:00,LONG,2024-01-20 13:15:00,21658.4,21515.454560000002,21515.454560000002,2024-01-20 14:15:00,21578.2,-80.20000000000073,-88.84732000000074,-28875.379000000237,MACD Reversal,325,7,-2.8875379000000234,2024,1,-10.290711870140171
353,2024-01-29 09:15:00,LONG,2024-01-29 10:15:00,21590.4,21447.90336,21765.98875,2024-02-05 15:15:00,21761.3,170.89999999999782,162.2296599999978,52724.639499999284,TSL Hit,325,7,5.272463949999928,2024,1,-5.0182479201401975
354,2024-02-05 15:15:00,LONG,2024-02-06 09:15:00,21776.3,21632.576419999998,21860.219999999998,2024-02-08 10:15:00,21737.0,-39.29999999999927,-48.002659999999274,-15600.864499999763,TSL Hit,325,7,-1.5600864499999763,2024,2,-6.578334370140169
355,2024-02-14 15:15:00,LONG,2024-02-15 09:15:00,21856.25,21711.99875,22030.71,2024-02-21 15:15:00,22028.75,172.5,163.723,53209.975000000006,TSL Hit,325,7,5.320997500000001,2024,2,-1.2573368701401932
356,2024-02-22 15:15:00,LONG,2024-02-23 09:15:00,22252.5,22105.6335,22132.39375,2024-02-26 10:15:00,22105.6335,-146.8665000000001,-155.7381267000001,-50614.89117750003,Initial SL hit,325,7,-5.061489117750003,2024,2,-6.31882598789025
357,2024-02-27 12:15:00,LONG,2024-02-27 13:15:00,22209.75,22063.16565,22146.03125,2024-02-28 10:15:00,22063.16565,-146.584350000001,-155.438933130001,-50517.65326725032,Initial SL hit,325,7,-5.051765326725032,2024,2,-11.37059131461524
358,2024-03-01 09:15:00,LONG,2024-03-01 10:15:00,22201.1,22054.572739999996,22222.75625,2024-03-06 10:15:00,22273.25,72.15000000000146,63.25513000000146,20557.917250000475,MACD Reversal,325,7,2.0557917250000473,2024,3,-9.314799589615177
359,2024-03-06 13:15:00,LONG,2024-03-06 14:15:00,22412.75,22264.825849999997,22384.103750000002,2024-03-11 11:15:00,22373.55,-39.20000000000073,-48.15726000000073,-14447.17800000022,TSL Hit,300,7,-1.444717800000022,2024,3,-10.759517389615212
360,2024-03-21 09:15:00,LONG,2024-03-21 10:15:00,22079.65,21933.924310000002,21968.234999999997,2024-03-21 11:15:00,21951.45,-128.20000000000073,-137.00622000000072,-44527.021500000235,TSL Hit,325,7,-4.4527021500000235,2024,3,-15.212219539615262
361,2024-03-21 12:15:00,LONG,2024-03-21 13:15:00,22015.3,21869.99902,22358.00125,2024-04-04 11:15:00,22385.3,370.0,361.11988,117363.96100000001,MACD Reversal,325,7,11.736396100000002,2024,3,-3.475823439615283
362,2024-04-04 12:15:00,LONG,2024-04-04 13:15:00,22491.35,22342.907089999997,22604.396249999998,2024-04-12 12:15:00,22568.05,76.70000000000073,67.68812000000072,20306.436000000216,TSL Hit,300,7,2.0306436000000216,2024,4,-1.4451798396152071
363,2024-04-22 10:15:00,LONG,2024-04-22 11:15:00,22297.4,22150.23716,22575.78375,2024-05-03 11:15:00,22476.55,179.14999999999782,170.19520999999781,55313.44324999929,TSL Hit,325,7,5.531344324999929,2024,4,0.0
364,2024-05-14 10:15:00,LONG,2024-05-14 11:15:00,22180.65,22034.25771,22117.1875,2024-05-16 13:15:00,22065.5,-115.15000000000146,-123.99923000000146,-40299.749750000476,TSL Hit,325,7,-4.029974975000047,2024,5,-4.029974975000073
365,2024-05-16 14:15:00,LONG,2024-05-16 15:15:00,22408.75,22260.85225,22819.8625,2024-05-28 15:15:00,22865.05,456.2999999999993,447.2452399999993,134173.57199999978,MACD Reversal,300,7,13.417357199999977,2024,5,0.0
366,2024-06-03 10:15:00,LONG,2024-06-03 11:15:00,23207.5,23054.3305,23054.3305,2024-06-04 09:15:00,23054.3305,-153.16949999999997,-162.42186609999996,-48726.55982999999,Initial SL hit,300,7,-4.872655982999999,2024,6,-4.872655982999959
367,2024-06-06 09:15:00,LONG,2024-06-06 10:15:00,22799.5,22649.023299999997,22649.023299999997,2024-06-06 12:15:00,22649.023299999997,-150.4767000000029,-159.5664046600029,-47869.921398000864,Initial SL hit,300,7,-4.786992139800087,2024,6,-9.659648122800036
368,2024-06-06 12:15:00,LONG,2024-06-06 13:15:00,22805.45,22654.93403,23492.8675,2024-06-21 12:15:00,23453.25,647.7999999999993,638.5482599999992,191564.47799999977,TSL Hit,300,7,19.156447799999977,2024,6,0.0
369,2024-06-24 14:15:00,LONG,2024-06-24 15:15:00,23550.25,23394.818349999998,24298.2225,2024-07-10 10:15:00,24211.45,661.2000000000007,651.6476600000008,195494.29800000024,TSL Hit,300,7,19.549429800000024,2024,6,0.0
370,2024-07-11 15:15:00,LONG,2024-07-12 09:15:00,24357.0,24196.2438,24555.8725,2024-07-19 13:15:00,24570.65,213.65000000000146,203.86447000000146,56062.729250000404,MACD Reversal,275,7,5.60627292500004,2024,7,0.0
371,2024-07-26 09:15:00,LONG,2024-07-26 10:15:00,24595.0,24432.673,24836.807500000003,2024-08-02 09:15:00,24778.9,183.90000000000146,174.02522000000147,47856.93550000041,TSL Hit,275,7,4.78569355000004,2024,7,0.0
372,2024-08-09 10:15:00,LONG,2024-08-09 11:15:00,24372.35,24211.492489999997,24255.3475,2024-08-12 09:15:00,24252.15,-120.19999999999709,-129.92489999999708,-35729.347499999196,TSL Hit,275,7,-3.5729347499999196,2024,8,-3.572934749999945
373,2024-08-12 09:15:00,LONG,2024-08-12 10:15:00,24323.7,24163.16358,24252.0925,2024-08-13 11:15:00,24296.0,-27.700000000000728,-37.42394000000073,-11227.182000000217,MACD Reversal,300,7,-1.1227182000000218,2024,8,-4.695652949999953
374,2024-08-16 11:15:00,LONG,2024-08-16 12:15:00,24440.4,24279.09336,25177.36,2024-09-04 09:15:00,25152.45,712.0499999999993,702.1314299999992,193086.1432499998,TSL Hit,275,7,19.30861432499998,2024,8,0.0
375,2024-09-10 12:15:00,LONG,2024-09-10 13:15:00,25106.95,24941.24413,25064.00625,2024-09-10 14:15:00,25042.95,-64.0,-74.02998,-20358.244499999997,TSL Hit,275,7,-2.03582445,2024,9,-2.03582444999995
376,2024-09-10 15:15:00,LONG,2024-09-11 09:15:00,25061.75,24896.34245,25031.1525,2024-09-11 13:15:00,24937.55,-124.20000000000073,-134.19986000000074,-36904.9615000002,TSL Hit,275,7,-3.69049615000002,2024,9,-5.726320600000008
377,2024-09-12 13:15:00,LONG,2024-09-12 14:15:00,25230.2,25063.680679999998,25295.010000000002,2024-09-18 15:15:00,25343.45,113.25,103.13526999999999,28362.199249999998,MACD Reversal,275,7,2.836219925,2024,9,-2.890100674999985
378,2024-09-19 13:15:00,LONG,2024-09-19 14:15:00,25426.55,25258.73477,25997.010000000002,2024-09-30 09:15:00,25982.55,556.0,545.71818,150072.49949999998,TSL Hit,275,7,15.007249949999999,2024,9,0.0
379,2024-10-09 10:15:00,LONG,2024-10-09 11:15:00,25221.45,25054.98843,25054.98843,2024-10-09 14:15:00,25054.98843,-166.46156999999948,-176.5168576859995,-48542.13586364986,Initial SL Hit,275,7,-4.8542135863649865,2024,10,-4.854213586364949
380,2024-10-10 09:15:00,LONG,2024-10-10 10:15:00,25130.35,24964.48969,24964.48969,2024-10-10 10:15:00,25023.2,-107.14999999999782,-117.18070999999782,-32224.6952499994,MACD Reversal,275,7,-3.22246952499994,2024,10,-8.0766831113649
381,2024-10-14 10:15:00,LONG,2024-10-14 11:15:00,25118.4,24952.61856,25034.5075,2024-10-15 12:15:00,25025.35,-93.05000000000291,-103.07875000000291,-28346.6562500008,TSL Hit,275,7,-2.83466562500008,2024,10,-10.911348736364971
382,2024-10-28 15:15:00,LONG,2024-10-29 09:15:00,24368.75,24207.91625,24207.91625,2024-10-29 09:15:00,24207.91625,-160.8337500000016,-170.5490832500016,-46900.997893750435,Initial SL Hit,275,7,-4.690099789375044,2024,10,-15.601448525740011
383,2024-10-29 13:15:00,LONG,2024-10-29 14:15:00,24418.75,24257.58625,24365.4375,2024-10-30 13:15:00,24323.5,-95.25,-104.99845,-28874.573750000003,TSL Hit,275,7,-2.8874573750000003,2024,10,-18.488905900740065
384,2024-11-05 15:15:00,LONG,2024-11-06 09:15:00,24220.2,24060.34668,24229.46,2024-11-07 09:15:00,24221.4,1.2000000000007276,-8.488319999999273,-2546.495999999782,TSL Hit,300,7,-0.2546495999999782,2024,11,-18.743555500740058
385,2024-11-07 11:15:00,LONG,2024-11-07 12:15:00,24233.2,24073.260879999998,24073.260879999998,2024-11-07 13:15:00,24216.0,-17.200000000000728,-26.889840000000728,-8066.9520000002185,MACD Reversal,300,7,-0.8066952000000219,2024,11,-19.550250700740094
386,2024-11-19 10:15:00,LONG,2024-11-19 11:15:00,23750.0,23593.25,23593.25,2024-11-19 14:15:00,23593.25,-156.75,-166.21865,-49865.595,Initial SL Hit,300,7,-4.9865595,2024,11,-24.536810200740092
387,2024-11-22 11:15:00,LONG,2024-11-22 12:15:00,23657.0,23500.8638,23957.425,2024-11-28 12:15:00,23979.35,322.34999999999854,312.82272999999856,93846.81899999957,MACD Reversal,300,7,9.384681899999956,2024,11,-15.152128300740173
