Trade No.,Portfolio,Date,Entry Price,Exit Price,Points,Qty,Slippage,PnL,ROI%,Index
25,1000000,2022-06-10,6652.7,6632.15,-20.550000000000182,150,6.6496749999999984,-4079.951250000027,-0.4079951250000027,MIDCPNIFTY
26,1000000,2022-06-21,6255.55,6294.25,38.69999999999982,150,3.1174533424999993,5337.381998624973,0.5337381998624973,MIDCPNIFTY
26,1000000,2022-06-22,6294.25,6178.95,-115.30000000000018,150,3.1174533424999993,-17762.618001375027,-1.7762618001375026,MIDCPNIFTY
27,1000000,2022-06-23,6278.15,6285.2,7.050000000000182,150,6.2574321049999995,118.88518425002736,0.011888518425002737,MIDCPNIFTY
28,1000000,2022-06-23,6256.2,6285.2,29.0,150,1.2643200000000008,4160.352,0.4160352,MIDCPNIFTY
28,1000000,2022-06-24,6285.2,6361.25,76.05000000000018,150,1.2643200000000008,11217.852000000028,1.1217852000000028,MIDCPNIFTY
28,1000000,2022-06-27,6361.25,6437.95,76.69999999999982,150,1.2643200000000008,11315.351999999973,1.1315351999999974,MIDCPNIFTY
28,1000000,2022-06-28,6437.95,6449.1,11.150000000000546,150,1.2643200000000008,1482.8520000000817,0.14828520000000817,MIDCPNIFTY
28,1000000,2022-06-29,6449.1,6408.55,-40.55000000000018,150,1.2643200000000008,-6272.1480000000265,-0.6272148000000026,MIDCPNIFTY
29,1000000,2022-07-04,6399.05,6424.0,24.949999999999818,150,6.377933134999999,2785.8100297499727,0.27858100297499727,MIDCPNIFTY
30,1000000,2022-07-04,6384.7,6424.0,39.30000000000018,150,3.1936875000000002,5415.946875000027,0.5415946875000027,MIDCPNIFTY
30,1000000,2022-07-05,6424.0,6390.05,-33.94999999999982,150,3.1936875000000002,-5571.553124999973,-0.5571553124999973,MIDCPNIFTY
31,1000000,2022-07-06,6446.9,6528.2,81.30000000000018,150,1.6296999999999997,11950.545000000027,1.1950545000000028,MIDCPNIFTY
