Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2021-02-16 13:45:00,LONG,2021-02-16 14:15:00,36950.95,36396.68575,37049.57666666667,2021-02-17 12:45:00,36991.4,40.450000000004366,33.055765000004364,991.6729500001308,TSL Hit,30,5,0.3966691800000523,2021,2,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,991.6729500001309,0.09916729500001308
2021-02-17 13:45:00,LONG,2021-02-17 14:15:00,37033.05,36477.55425,36477.55425,2021-02-17 14:15:00,36919.65,-113.40000000000146,-120.79527000000144,-3623.858100000044,MACD Reversal,30,5,-1.4495432400000174,2021,2,-1.4495432400000254,BANKNIFTY,1000000,333333.0,0.9999990000000001,-3623.858100000043,-0.3623858100000043
2021-02-24 15:45:00,LONG,2021-02-24 16:15:00,36032.3,35491.815500000004,36753.94666666666,2021-02-25 14:45:00,36558.2,525.8999999999942,518.6409499999942,15559.228499999825,TSL Hit,30,5,6.22369139999993,2021,2,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,15559.228499999825,1.5559228499999824
2021-02-25 12:15:00,LONG,2021-02-25 13:15:00,15133.55,15033.668569999998,15033.668569999998,2021-02-26 09:15:00,14899.5,-234.04999999999927,-240.05660999999927,-18004.245749999944,Gap Open Outside ISL,75,5,-7.201698299999977,2021,2,-7.201698299999976,NIFTY,1000000,333333.0,2.4999975,-18004.245749999944,-1.8004245749999943
2021-02-25 13:15:00,LONG,2021-02-25 14:15:00,17046.85,16910.475199999997,16910.475199999997,2021-02-25 14:15:00,16910.475199999997,-136.3748000000014,-143.1662650400014,-10737.469878000104,Initial SL Hit,75,5,-4.294987951200042,2021,2,-4.294987951200028,FINNIFTY,1000000,333333.0,2.4999975,-10737.469878000105,-1.0737469878000105
2021-03-02 12:15:00,LONG,2021-03-02 13:15:00,14849.85,14751.84099,14925.859999999995,2021-03-05 11:15:00,15008.25,158.39999999999964,152.42837999999963,11432.128499999972,MACD Reversal,75,5,4.57285139999999,2021,3,-2.628846899999985,NIFTY,1000000,333333.0,2.4999975,11432.128499999973,1.1432128499999974
2021-03-03 09:15:00,LONG,2021-03-03 09:45:00,35847.9,35310.1815,36053.14,2021-03-04 09:15:00,35645.85,-202.0500000000029,-209.1993750000029,-6275.981250000087,TSL Hit,30,5,-2.510392500000035,2021,3,-2.51039250000008,BANKNIFTY,1000000,333333.0,0.9999990000000001,-6275.981250000087,-0.6275981250000088
2021-03-03 09:15:00,LONG,2021-03-03 10:15:00,16603.0,16470.176,16611.550769230766,2021-03-04 09:15:00,16470.176,-132.82400000000052,-139.43863520000053,-10457.89764000004,Initial SL hit,75,5,-4.183159056000016,2021,3,-8.47814700720005,FINNIFTY,1000000,333333.0,2.4999975,-10457.89764000004,-1.045789764000004
2021-03-04 09:15:00,LONG,2021-03-04 10:15:00,16559.4,16426.9248,16581.741538461538,2021-03-04 14:15:00,16557.5,-1.9000000000014552,-8.523380000001456,-639.2535000001092,TSL Hit,75,5,-0.2557014000000436,2021,3,-8.733848407200071,FINNIFTY,1000000,333333.0,2.4999975,-639.2535000001092,-0.06392535000001091
2021-03-04 09:45:00,LONG,2021-03-04 10:15:00,35702.15,35166.61775,36077.26666666667,2021-03-04 13:45:00,36075.15,373.0,365.82227,10974.6681,TSL Hit,30,5,4.389867240000001,2021,3,0.0,BANKNIFTY,1000000,333333.0,0.9999990000000001,10974.6681,1.09746681
