,Signal Generated At,Trade Type,Entry Date,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,Slippages,After Costs,PnL,Remarks,Max Qty,RPT Qty,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%
272,2022-12-29 15:00:00,LONG,2022-12-29,15:15:00,7155.4,7107.85,7208.451538461539,2022-12-30 10:45:00,7201.65,46.25,1.435705,44.814295,375767.863575,TSL Hit,8385,2103.049421661441,8385,6,3.7576786357500005,2022,12,-5.902285032000208
273,2022-12-30 11:45:00,LONG,2022-12-30,12:00:00,7185.2,7174.0,7174.0,2022-12-30 12:00:00,7174.0,-11.199999999999818,1.43592,-12.635919999999818,-105573.11159999848,Initial SL Hit,8355,8928.571428571573,8355,6,-1.055731115999985,2022,12,-6.958016148000183
274,2022-12-30 12:15:00,LONG,2022-12-30,12:30:00,7198.5,7172.2,7172.2,2022-12-30 15:00:00,7172.2,-26.300000000000182,1.43707,-27.73707000000018,-231327.1638000015,Initial SL Hit,8340,3802.2813688212664,8340,6,-2.313271638000015,2022,12,-9.271287786000187
275,2023-01-02 09:30:00,LONG,2023-01-02,09:45:00,7206.45,7173.5,7207.541538461541,2023-01-02 11:15:00,7207.3,0.8500000000003638,1.441375,-0.5913749999996363,-4923.196874996972,TSL Hit,8325,3034.901365705631,8325,6,-0.04923196874996972,2023,1,-9.320519754750165
276,2023-01-02 15:00:00,LONG,2023-01-02,15:15:00,7215.75,7199.35,7217.5550769230795,2023-01-03 10:15:00,7214.0,-1.75,1.4429750000000001,-3.192975,-26533.62225,TSL Hit,8310,6097.560975609891,8310,6,-0.2653362225,2023,1,-9.585855977250162
277,2023-01-05 14:00:00,LONG,2023-01-05,14:15:00,7126.35,7094.15,7146.862923076918,2023-01-06 10:00:00,7139.4,13.049999999999272,1.4265750000000001,11.623424999999273,97811.12137499388,TSL Hit,8415,3105.590062111731,8415,6,0.9781112137499388,2023,1,-8.607744763500222
278,2023-01-06 11:30:00,LONG,2023-01-06,11:45:00,7145.75,7132.65,7132.65,2023-01-06 12:15:00,7132.65,-13.100000000000364,1.42784,-14.527840000000364,-122033.85600000306,Initial SL Hit,8400,7633.58778625933,8400,6,-1.2203385600000305,2023,1,-9.828083323500266
279,2023-01-09 10:00:00,LONG,2023-01-09,10:15:00,7186.95,7172.7,7172.7,2023-01-09 11:00:00,7172.7,-14.25,1.435965,-15.685965,-131056.23757499999,Initial SL hit,8355,7017.543859649123,8355,6,-1.3105623757499998,2023,1,-11.138645699250276
280,2023-01-09 11:15:00,LONG,2023-01-09,11:30:00,7181.2,7169.35,7169.35,2023-01-09 11:45:00,7169.35,-11.849999999999454,1.435055,-13.285054999999454,-110996.63452499545,Initial SL Hit,8355,8438.818565401232,8355,6,-1.1099663452499544,2023,1,-12.24861204450022
281,2023-01-09 13:45:00,LONG,2023-01-09,14:00:00,7148.05,7134.2,7142.741999999996,2023-01-10 09:45:00,7134.2,-13.850000000000364,1.428225,-15.278225000000363,-128337.09000000305,Initial SL hit,8400,7220.216606498006,8400,6,-1.2833709000000306,2023,1,-13.531982944500243
282,2023-01-11 09:45:00,LONG,2023-01-11,10:00:00,7131.6,7106.1,7140.905384615387,2023-01-11 11:15:00,7130.65,-0.9500000000007276,1.426225,-2.3762250000007277,-19995.933375006123,TSL Hit,8415,3921.5686274509803,8415,6,-0.19995933375006122,2023,1,-13.731942278250301
283,2023-01-13 13:30:00,LONG,2023-01-13,13:45:00,7060.0,7037.6,7057.3173846153895,2023-01-13 15:15:00,7053.25,-6.75,1.4113250000000002,-8.161325,-69412.069125,TSL Hit,8505,4464.2857142857865,8505,6,-0.69412069125,2023,1,-14.426062969500293
284,2023-01-16 10:15:00,LONG,2023-01-16,10:30:00,7038.55,7032.0,7032.0,2023-01-16 10:45:00,7032.0,-6.550000000000182,1.407055,-7.957055000000182,-67794.10860000155,Initial SL Hit,8520,15267.17557251866,8520,6,-0.6779410860000155,2023,1,-15.104004055500297
285,2023-01-16 11:00:00,LONG,2023-01-16,11:15:00,7038.55,7029.75,7029.75,2023-01-16 11:15:00,7029.75,-8.800000000000182,1.40683,-10.206830000000181,-86962.19160000155,Initial SL Hit,8520,11363.63636363613,8520,6,-0.8696219160000155,2023,1,-15.973625971500326
286,2023-01-17 14:45:00,LONG,2023-01-17,15:00:00,6986.9,6973.45,7031.776615384612,2023-01-18 11:30:00,7030.45,43.55000000000018,1.401735,42.14826500000018,361632.11370000156,TSL Hit,8580,7434.9442379183165,8580,6,3.6163211370000155,2023,1,-12.357304834500297
287,2023-01-18 12:00:00,LONG,2023-01-18,12:15:00,7030.75,7025.4,7025.4,2023-01-19 09:15:00,7022.7,-8.050000000000182,1.405345,-9.455345000000182,-80701.36957500156,Gap Open Outside ISL,8535,18691.588785045456,8535,6,-0.8070136957500156,2023,1,-13.164318530250313
288,2023-01-19 10:00:00,LONG,2023-01-19,10:15:00,7032.4,7004.2,7043.051846153849,2023-01-19 12:45:00,7042.9,10.5,1.40753,9.09247,77604.23145,TSL Hit,8535,3546.0992907801647,8535,6,0.7760423145,2023,1,-12.388276215750324
289,2023-01-23 10:45:00,LONG,2023-01-23,11:00:00,7032.95,7009.0,7042.826461538465,2023-01-23 12:45:00,7041.25,8.300000000000182,1.4074200000000001,6.892580000000182,58828.170300001555,TSL Hit,8535,4175.365344467673,8535,6,0.5882817030000156,2023,1,-11.799994512750317
290,2023-01-23 13:15:00,LONG,2023-01-23,13:30:00,7042.55,7036.85,7036.85,2023-01-23 14:15:00,7036.85,-5.699999999999818,1.4079400000000002,-7.107939999999818,-60559.64879999845,Initial SL Hit,8520,17543.859649123366,8520,6,-0.6055964879999846,2023,1,-12.405591000750292
291,2023-01-23 14:30:00,LONG,2023-01-23,14:45:00,7047.45,7035.6,7035.6,2023-01-24 11:15:00,7035.6,-11.849999999999454,1.408305,-13.258304999999455,-112960.75859999536,Initial SL Hit,8520,8438.818565401232,8520,6,-1.1296075859999537,2023,1,-13.535198586750255
292,2023-01-30 11:15:00,LONG,2023-01-30,11:45:00,6813.5,6796.35,6796.35,2023-01-30 12:45:00,6796.35,-17.149999999999636,1.3609850000000001,-18.510984999999636,-162989.22292499678,Initial SL Hit,8805,5830.903790087587,8805,6,-1.6298922292499678,2023,1,-15.16509081600023
293,2023-01-30 13:00:00,LONG,2023-01-30,13:15:00,6798.9,6784.2,6784.2,2023-01-30 13:15:00,6784.2,-14.699999999999818,1.35831,-16.058309999999818,-141634.2941999984,Initial SL Hit,8820,6802.721088435458,8820,6,-1.416342941999984,2023,1,-16.581433758000202
294,2023-01-30 13:45:00,LONG,2023-01-30,14:00:00,6782.7,6760.65,6931.846769230771,2023-01-31 12:30:00,6921.35,138.65000000000055,1.370405,137.27959500000054,1214924.4157500048,TSL Hit,8850,4535.147392290212,8850,6,12.149244157500048,2023,1,-4.432189600500152
295,2023-01-31 12:45:00,LONG,2023-01-31,13:00:00,6922.85,6907.3,6907.3,2023-01-31 13:45:00,6907.3,-15.550000000000182,1.383015,-16.933015000000182,-146809.2400500016,Initial SL Hit,8670,6430.868167202497,8670,6,-1.468092400500016,2023,1,-5.900282001000164
296,2023-01-31 14:15:00,LONG,2023-01-31,14:30:00,6909.2,6896.3,7072.059538461539,2023-02-01 11:45:00,7070.7,161.5,1.39799,160.10201,1390485.95685,TSL Hit,8685,7751.937984496342,8685,6,13.9048595685,2023,1,0.0
